"","County","Year","Poverty Count","Poverty Percent","Median Income","Population","Fatalities Count","Fatalities Percent","Commute"
"1","ALEUTIANS EAST County",2004,346,12.7,39828,2724.4094488189,0,0,4.3
"2","ALEUTIANS EAST County",2005,225,16.8,47177,1339.28571428571,0,0,4.3
"3","ALEUTIANS EAST County",2006,402,15.2,46164,2644.73684210526,0,0,4.3
"4","ALEUTIANS EAST County",2007,450,16.9,56111,2662.72189349112,0,0,4.3
"5","ALEUTIANS EAST County",2003,321,11.9,39239,2697.47899159664,0,0,4.3
"6","ALEUTIANS EAST County",2008,429,15.3,52786,2803.92156862745,0,0,4.3
"7","ALEUTIANS EAST County",2009,380,13.9,50444,2733.81294964029,0,0,4.3
"8","ALEUTIANS EAST County",2010,527,16.8,47077,3136.90476190476,0,0,4.3
"9","ALEUTIANS EAST County",2011,562,17.8,51289,3157.30337078652,0,0,4.3
"10","ALEUTIANS WEST County",2008,404,9,62849,4488.88888888889,0,0,4.6
"11","ALEUTIANS WEST County",2009,419,9.1,58174,4604.39560439561,0,0,4.6
"12","ALEUTIANS WEST County",2010,482,9,58517,5355.55555555556,0,0,4.6
"13","ALEUTIANS WEST County",2011,532,10.1,59362,5267.32673267327,0,0,4.6
"14","ALEUTIANS WEST County",2003,385,7.2,50367,5347.22222222222,0,0,4.6
"15","ALEUTIANS WEST County",2004,392,7.4,50670,5297.2972972973,0,0,4.6
"16","ALEUTIANS WEST County",2005,273,9.2,60138,2967.39130434783,1,0.0336996336996337,4.6
"17","ALEUTIANS WEST County",2006,495,9.6,64142,5156.25,1,0.0193939393939394,4.6
"18","ALEUTIANS WEST County",2007,487,10.2,61536,4774.50980392157,1,0.0209445585215606,4.6
"19","BETHEL County",2003,3442,20.7,35326,16628.0193236715,1,0.00601394538059268,7
"20","BETHEL County",2004,3481,20.7,36057,16816.4251207729,0,0,7
"21","BETHEL County",2005,3340,20,45504,16700,0,0,7
"22","BETHEL County",2006,3555,21.2,41156,16768.8679245283,0,0,7
"23","BETHEL County",2007,3609,21.4,39519,16864.4859813084,0,0,7
"24","BETHEL County",2008,3630,21.5,41755,16883.7209302326,0,0,7
