"","County","Year","Poverty Count","Poverty Percent","Median Income","Population","Fatalities Count","Fatalities Percent","Commute"
"1","APACHE COUNTY",2003,"18702","27.6","25558.00",67760.8695652174,48,0.070837343599615,26.4
"2","APACHE COUNTY",2004,"20387.00","29.80","26592.00",68412.7516778523,54,0.0789326531613283,26.4
"3","APACHE COUNTY",2005,"28285.00","41.70","26308.00",67829.7362110312,32,0.0471769489128513,26.4
"4","APACHE COUNTY",2006,"24112","34.5","27600",69889.8550724638,33,0.0472171532846715,26.4
"5","APACHE COUNTY",2007,"22962","33.4","29976",68748.502994012,50,0.0727288563713962,26.4
"6","APACHE COUNTY",2008,"22913","33.2","31728",69015.0602409639,45,0.0652031597782918,26.4
"7","APACHE COUNTY",2009,"24530","35.4","28956",69293.7853107345,33,0.0476233183856502,26.4
"8","APACHE COUNTY",2010,"24394.00","34.50","30651.00",70707.2463768116,36,0.0509141592194802,26.4
"9","APACHE COUNTY",2011,"26096.00","36.50","30837.00",71495.8904109589,44,0.0615419987737584,26.4
"10","COCHISE COUNTY",2003,"19349","16.3","34801.00",118705.521472393,52,0.0438058814409013,19.5
"11","COCHISE COUNTY",2004,"20661.00","17.10","36585.00",120824.561403509,53,0.0438652533759257,19.5
"12","COCHISE COUNTY",2005,"20205.00","16.90","36296.00",119556.213017751,47,0.0393120514724078,19.5
"13","COCHISE COUNTY",2006,"21980","18","38825",122111.111111111,35,0.0286624203821656,19.5
"14","COCHISE COUNTY",2007,"19910","16.3","42995",122147.239263804,21,0.0171923656454043,19.5
"15","COCHISE COUNTY",2008,"19628","16","44000",122675,33,0.0269003464438557,19.5
"16","COCHISE COUNTY",2009,"19982","16.2","43786",123345.679012346,39,0.0316184566109498,19.5
"17","COCHISE COUNTY",2010,"22199.00","17.70","43677.00",125418.079096045,23,0.0183386639037794,19.5
"18","COCHISE COUNTY",2011,"24723.00","19.60","41237.00",126137.755102041,23,0.0182340330865995,19.5
"19","COCONINO COUNTY",2003,"18655","15.6","39034.00",119583.333333333,55,0.045993031358885,18
"20","COCONINO COUNTY",2004,"19990.00","16.50","40040.00",121151.515151515,58,0.0478739369684842,18
"21","COCONINO COUNTY",2005,"21717.00","18.00","41446.00",120650,62,0.0513883133029424,18
"22","COCONINO COUNTY",2006,"20465","16.8","43683",121815.476190476,82,0.0673149279257269,18
"23","COCONINO COUNTY",2007,"20087","16.2","48549",123993.827160494,56,0.0451635386070593,18
