"","County","Year","Poverty Count","Poverty Percent","Median Income","Population","Fatalities Count","Fatalities Percent","Commute"
"1","ADAMS COUNTY",2003,"40377","10.4","48633.00",388240.384615385,39,0.0100453228323055,28.4
"2","ADAMS COUNTY",2004,"42902.00","10.80","50229.00",397240.740740741,48,0.0120833527574472,28.4
"3","ADAMS COUNTY",2005,"45316.00","11.50","50798.00",394052.173913043,54,0.0137037690881808,28.4
"4","ADAMS COUNTY",2006,"51347","12.5","50930",410776,38,0.00925078388221318,28.4
"5","ADAMS COUNTY",2007,"53520","12.8","52544",418125,39,0.00932735426008969,28.4
"6","ADAMS COUNTY",2008,"51042","12","56601",425350,39,0.00916891971317738,28.4
"7","ADAMS COUNTY",2009,"58240","13.3","53779",437894.736842105,22,0.00502403846153846,28.4
"8","ADAMS COUNTY",2010,"57201.00","13.00","52785.00",440007.692307692,29,0.00659079386724008,28.4
"9","ADAMS COUNTY",2011,"71813.00","16.10","52429.00",446043.47826087,29,0.00650160834389317,28.4
"10","ALAMOSA COUNTY",2003,"2630","18.5","30994.00",14216.2162162162,15,0.105513307984791,14
"11","ALAMOSA COUNTY",2004,"2757.00","19.20","31587.00",14359.375,4,0.0278563656147987,14
"12","ALAMOSA COUNTY",2005,"3162.00","22.20","32642.00",14243.2432432432,5,0.0351043643263757,14
"13","ALAMOSA COUNTY",2006,"3256","22.8","33726",14280.701754386,2,0.014004914004914,14
"14","ALAMOSA COUNTY",2007,"3145","21.9","35988",14360.7305936073,6,0.0417806041335453,14
"15","ALAMOSA COUNTY",2008,"3097","21.4","34681",14471.9626168224,3,0.0207297384565709,14
"16","ALAMOSA COUNTY",2009,"3216","22.2","35960",14486.4864864865,2,0.0138059701492537,14
"17","ALAMOSA COUNTY",2010,"3103.00","21.00","36339.00",14776.1904761905,6,0.0406058652916532,14
"18","ALAMOSA COUNTY",2011,"3400.00","22.70","36870.00",14977.9735682819,4,0.0267058823529412,14
"19","ARAPAHOE COUNTY",2003,"40973","7.9","55907.00",518645.569620253,24,0.00462743758084592,26.6
"20","ARAPAHOE COUNTY",2004,"43291.00","8.20","55615.00",527939.024390244,30,0.00568247441731538,26.6
"21","ARAPAHOE COUNTY",2005,"47086.00","9.00","55159.00",523177.777777778,35,0.00668988659049399,26.6
"22","ARAPAHOE COUNTY",2006,"54978","10.3","55804",533766.990291262,40,0.00749390665357052,26.6
"23","ARAPAHOE COUNTY",2007,"59975","11.1","59299",540315.315315315,36,0.00666277615673197,26.6
"24","ARAPAHOE COUNTY",2008,"53625","9.8","59320",547193.87755102,44,0.00804102564102564,26.6
"25","ARAPAHOE COUNTY",2009,"68473","12.3","56099",556691.056910569,29,0.00520935259153243,26.6
"26","ARAPAHOE COUNTY",2010,"65173.00","11.40","58152.00",571692.98245614,19,0.00332346216991699,26.6
"27","ARAPAHOE COUNTY",2011,"69436.00","12.00","57042.00",578633.333333333,27,0.00466616740595656,26.6
"28","ARCHULETA COUNTY",2003,"1287","11.1","38677.00",11594.5945945946,11,0.0948717948717949,18.9
"29","ARCHULETA COUNTY",2004,"1258.00","10.60","40592.00",11867.9245283019,4,0.0337042925278219,18.9
"30","ARCHULETA COUNTY",2005,"1365.00","11.60","41860.00",11767.2413793103,3,0.0254945054945055,18.9
"31","ARCHULETA COUNTY",2006,"1291","10.5","46904",12295.2380952381,3,0.0243996901626646,18.9
"32","ARCHULETA COUNTY",2007,"1295","10.4","53200",12451.9230769231,0,0,18.9
"33","ARCHULETA COUNTY",2008,"1424","11.3","51058",12601.7699115044,3,0.0238061797752809,18.9
"34","ARCHULETA COUNTY",2009,"1594","12.9","46013",12356.5891472868,2,0.0161856963613551,18.9
"35","ARCHULETA COUNTY",2010,"1565.00","13.10","46165.00",11946.5648854962,1,0.00837060702875399,18.9
"36","ARCHULETA COUNTY",2011,"1767.00","14.90","48043.00",11859.0604026846,3,0.0252971137521222,18.9
"37","BACA COUNTY",2003,"638","15.8","26434.00",4037.9746835443,7,0.173354231974922,12.3
"38","BACA COUNTY",2004,"624.00","15.60","26580.00",4000,2,0.05,12.3
"39","BACA COUNTY",2005,"737.00","18.50","28804.00",3983.78378378378,5,0.12550881953867,12.3
"40","BACA COUNTY",2006,"698","17.8","29443",3921.34831460674,8,0.204011461318052,12.3
"41","BACA COUNTY",2007,"747","19.8","30397",3772.72727272727,1,0.0265060240963855,12.3
"42","BACA COUNTY",2008,"661","17.7","31963",3734.46327683616,5,0.133888048411498,12.3
"43","BACA COUNTY",2009,"664","18.3","32660",3628.41530054645,6,0.165361445783133,12.3
"44","BACA COUNTY",2010,"641.00","17.30","33086.00",3705.20231213873,6,0.161934477379095,12.3
"45","BACA COUNTY",2011,"761.00","20.50","34168.00",3712.19512195122,2,0.0538764783180026,12.3
"46","BENT COUNTY",2003,"932","19.3","27369.00",4829.01554404145,5,0.103540772532189,23.2
"47","BENT COUNTY",2004,"972.00","20.40","27569.00",4764.70588235294,1,0.0209876543209877,23.2
"48","BENT COUNTY",2005,"1087.00","22.90","30166.00",4746.72489082969,5,0.105335786568537,23.2
"49","BENT COUNTY",2006,"1150","24.3","30475",4732.51028806584,0,0,23.2
"50","BENT COUNTY",2007,"1232","28.2","32043",4368.79432624113,1,0.0228896103896104,23.2
"51","BENT COUNTY",2008,"1291","29.4","33187",4391.15646258503,1,0.0227730441518203,23.2
"52","BENT COUNTY",2009,"1632","37.2","30890",4387.09677419355,0,0,23.2
"53","BENT COUNTY",2010,"1349.00","30.90","33702.00",4365.69579288026,1,0.0229058561897702,23.2
"54","BENT COUNTY",2011,"1386.00","32.40","35522.00",4277.77777777778,0,0,23.2
"55","BOULDER COUNTY",2003,"25866","9.5","57112.00",272273.684210526,20,0.00734555014304492,21.7
"56","BOULDER COUNTY",2004,"26824.00","9.80","57908.00",273714.285714286,21,0.00767223382045929,21.7
"57","BOULDER COUNTY",2005,"30507.00","11.20","58334.00",272383.928571429,23,0.00844396368046678,21.7
"58","BOULDER COUNTY",2006,"30429","11.1","62322",274135.135135135,18,0.00656610470275067,21.7
"59","BOULDER COUNTY",2007,"34186","12.1","64299",282528.925619835,15,0.00530919089685836,21.7
"60","BOULDER COUNTY",2008,"29232","10.3","66760",283805.825242718,23,0.00810413245758073,21.7
"61","BOULDER COUNTY",2009,"37975","12.9","63757",294379.84496124,19,0.00645424621461488,21.7
"62","BOULDER COUNTY",2010,"39097.00","13.60","62215.00",287477.941176471,20,0.00695705552855718,21.7
"63","BOULDER COUNTY",2011,"40026.00","13.80","68101.00",290043.47826087,17,0.00586119022635287,21.7
"64","BROOMFIELD COUNTY",2003,"2194","5.1","64005.00",43019.6078431373,6,0.013947128532361,26.8
"65","BROOMFIELD COUNTY",2004,"2263.00","5.20","65375.00",43519.2307692308,4,0.00919133893062307,26.8
"66","BROOMFIELD COUNTY",2005,"2145.00","4.90","67067.00",43775.5102040816,2,0.00456876456876457,26.8
"67","BROOMFIELD COUNTY",2006,"2610","5.8","71714",45000,0,0,26.8
"68","BROOMFIELD COUNTY",2007,"2978","5.6","70168",53178.5714285714,4,0.00752182672934856,26.8
"69","BROOMFIELD COUNTY",2008,"2745","5","77855",54900,2,0.00364298724954463,26.8
"70","BROOMFIELD COUNTY",2009,"2708","4.9","77606",55265.306122449,1,0.00180945347119646,26.8
"71","BROOMFIELD COUNTY",2010,"3323.00","6.00","76006.00",55383.3333333333,1,0.00180559735179055,26.8
"72","BROOMFIELD COUNTY",2011,"3698.00","6.50","79051.00",56892.3076923077,1,0.00175770686857761,26.8
"73","CHAFFEE COUNTY",2003,"1804","11.5","35719.00",15686.9565217391,5,0.0318736141906874,15.3
"74","CHAFFEE COUNTY",2004,"1809.00","11.60","37226.00",15594.8275862069,4,0.0256495301271421,15.3
"75","CHAFFEE COUNTY",2005,"1987.00","12.80","40120.00",15523.4375,6,0.0386512330145949,15.3
"76","CHAFFEE COUNTY",2006,"2039","13.1","39263",15564.8854961832,7,0.0449730259931339,15.3
"77","CHAFFEE COUNTY",2007,"1903","12.3","42464",15471.5447154472,3,0.0193904361534419,15.3
"78","CHAFFEE COUNTY",2008,"1854","11.9","45916",15579.8319327731,3,0.0192556634304207,15.3
"79","CHAFFEE COUNTY",2009,"1893","12","42602",15775,1,0.0063391442155309,15.3
"80","CHAFFEE COUNTY",2010,"2120.00","12.90","42420.00",16434.1085271318,4,0.0243396226415094,15.3
"81","CHAFFEE COUNTY",2011,"2121.00","12.90","44156.00",16441.8604651163,7,0.0425742574257426,15.3
"82","CHEYENNE COUNTY",2003,"223","11.1","35873.00",2009.00900900901,2,0.0995515695067265,13.8
"83","CHEYENNE COUNTY",2004,"223.00","11.60","36563.00",1922.41379310345,2,0.104035874439462,13.8
"84","CHEYENNE COUNTY",2005,"250.00","13.00","39252.00",1923.07692307692,4,0.208,13.8
"85","CHEYENNE COUNTY",2006,"250","13.4","37794",1865.67164179104,6,0.3216,13.8
"86","CHEYENNE COUNTY",2007,"215","12.4","44053",1733.87096774194,1,0.0576744186046512,13.8
"87","CHEYENNE COUNTY",2008,"206","12","46017",1716.66666666667,0,0,13.8
"88","CHEYENNE COUNTY",2009,"229","13.4","42026",1708.9552238806,1,0.0585152838427948,13.8
"89","CHEYENNE COUNTY",2010,"216.00","12.10","44464.00",1785.12396694215,3,0.168055555555556,13.8
