"","County","Year","Poverty Count","Poverty Percent","Median Income","Population","Fatalities Count","Fatalities Percent","Commute"
"1","FAIRFIELD COUNTY",2003,"65152","7.3","61035.00",892493.150684932,55,0.00616251227897839,28
"2","FAIRFIELD COUNTY",2004,"75971.00","8.50","60790.00",893776.470588235,53,0.00592989430177304,28
"3","FAIRFIELD COUNTY",2005,"64208.00","7.30","71493.00",879561.643835616,56,0.00636680787440817,28
"4","FAIRFIELD COUNTY",2006,"59854","6.8","76378",880205.882352941,58,0.00658936746082133,28
"5","FAIRFIELD COUNTY",2007,"58661","6.7","80020",875537.313432836,53,0.00605342561497417,28
"6","FAIRFIELD COUNTY",2008,"71553","8.2","84250",872597.56097561,49,0.00561541794194513,28
"7","FAIRFIELD COUNTY",2009,"72291","8.2","78892",881597.56097561,42,0.00476407851599784,28
"8","FAIRFIELD COUNTY",2010,"84125.00","9.30","74634.00",904569.892473118,57,0.00630133729569094,28
"9","FAIRFIELD COUNTY",2011,"85240.00","9.40","77065.00",906808.510638298,51,0.00562412013139371,28
"10","HARTFORD COUNTY",2003,"78790","9.2","51630.00",856413.043478261,72,0.00840715826881584,21.9
"11","HARTFORD COUNTY",2004,"91769.00","10.70","54093.00",857654.205607477,57,0.0066460351534832,21.9
"12","HARTFORD COUNTY",2005,"79065.00","9.30","57722.00",850161.290322581,53,0.00623411117435022,21.9
"13","HARTFORD COUNTY",2006,"83684","9.8","58608",853918.367346939,83,0.00971989866641174,21.9
"14","HARTFORD COUNTY",2007,"79020","9.3","61056",849677.419354839,66,0.00776765375854214,21.9
"15","HARTFORD COUNTY",2008,"88314","10.4","64045",849173.076923077,69,0.00812555200760921,21.9
"16","HARTFORD COUNTY",2009,"86396","10.1","61962",855405.940594059,46,0.00537756377610075,21.9
"17","HARTFORD COUNTY",2010,"98243.00","11.30","60028.00",869407.079646018,69,0.00793644330893804,21.9
"18","HARTFORD COUNTY",2011,"107964.00","12.40","60947.00",870677.419354839,54,0.00620206735578526,21.9
"19","LITCHFIELD COUNTY",2003,"10321","5.5","58029.00",187654.545454545,14,0.00746051739172561,26.8
"20","LITCHFIELD COUNTY",2004,"11589.00","6.10","59546.00",189983.606557377,28,0.0147381137285357,26.8
"21","LITCHFIELD COUNTY",2005,"8647.00","4.60","63869.00",187978.260869565,20,0.0106395281600555,26.8
"22","LITCHFIELD COUNTY",2006,"11300","6","66113",188333.333333333,17,0.00902654867256637,26.8
"23","LITCHFIELD COUNTY",2007,"9950","5.4","68142",184259.259259259,19,0.0103115577889447,26.8
"24","LITCHFIELD COUNTY",2008,"10399","5.6","67520",185696.428571429,16,0.00861621309741321,26.8
"25","LITCHFIELD COUNTY",2009,"12130","6.5","67688",186615.384615385,7,0.00375103050288541,26.8
"26","LITCHFIELD COUNTY",2010,"12650.00","6.70","66076.00",188805.970149254,25,0.0132411067193676,26.8
"27","LITCHFIELD COUNTY",2011,"14633.00","7.80","68658.00",187602.564102564,14,0.00746258456912458,26.8
"28","MIDDLESEX COUNTY",2003,"8033","5.1","61869.00",157509.803921569,10,0.00634881115398979,24.2
"29","MIDDLESEX COUNTY",2004,"8882.00","5.60","63949.00",158607.142857143,18,0.0113487953163702,24.2
"30","MIDDLESEX COUNTY",2005,"8323.00","5.30","69856.00",157037.735849057,20,0.0127357923825544,24.2
"31","MIDDLESEX COUNTY",2006,"10195","6.5","68764",156846.153846154,17,0.0108386463952918,24.2
"32","MIDDLESEX COUNTY",2007,"8210","5.2","72155",157884.615384615,15,0.00950060901339829,24.2
"33","MIDDLESEX COUNTY",2008,"8791","5.5","74645",159836.363636364,15,0.00938459788419975,24.2
"34","MIDDLESEX COUNTY",2009,"9149","5.7","74524",160508.771929825,14,0.00872226472838562,24.2
"35","MIDDLESEX COUNTY",2010,"11030.00","6.80","70805.00",162205.882352941,19,0.011713508612874,24.2
"36","MIDDLESEX COUNTY",2011,"10868.00","6.70","75714.00",162208.955223881,12,0.00739786529260214,24.2
"37","NEW HAVEN COUNTY",2003,"77769","9.4","50737.00",827329.787234043,78,0.00942792115110134,23.9
"38","NEW HAVEN COUNTY",2004,"88635.00","10.70","52591.00",828364.485981309,54,0.00651886952106955,23.9
"39","NEW HAVEN COUNTY",2005,"88557.00","10.90","53577.00",812449.541284404,69,0.00849283512314103,23.9
"40","NEW HAVEN COUNTY",2006,"80732","9.9","56755",815474.747474747,65,0.00797081702422831,23.9
"41","NEW HAVEN COUNTY",2007,"77912","9.5","59640",820126.315789474,75,0.00914493274463497,23.9
"42","NEW HAVEN COUNTY",2008,"89679","11","61459",815263.636363636,94,0.0115300126004973,23.9
"43","NEW HAVEN COUNTY",2009,"97672","11.9","60388",820773.109243697,58,0.00706650831353919,23.9
"44","NEW HAVEN COUNTY",2010,"97210.00","11.60","57070.00",838017.24137931,77,0.00918835510749923,23.9
"45","NEW HAVEN COUNTY",2011,"108038.00","12.90","58985.00",837503.875968992,40,0.00477609729909847,23.9
"46","NEW LONDON COUNTY",2003,"16861","6.6","51513.00",255469.696969697,37,0.0144831267421861,22.4
"47","NEW LONDON COUNTY",2004,"19337.00","7.50","54218.00",257826.666666667,48,0.0186171588147076,22.4
"48","NEW LONDON COUNTY",2005,"16012.00","6.30","58674.00",254158.73015873,25,0.00983637272045965,22.4
"49","NEW LONDON COUNTY",2006,"16983","6.7","59398",253477.611940298,40,0.0157804863687217,22.4
"50","NEW LONDON COUNTY",2007,"17326","6.9","60907",251101.449275362,39,0.0155315710492901,22.4
