LONGITUDE,LATITUDE
-111.80532,33.40791
-111.78761,33.45179
-111.73644,33.4155
-111.77099,33.42265
-111.85912,33.36424
-111.84,33.39335
-111.78836,33.379
-111.6848,33.39042
-111.68471,33.39397
-111.9254,33.63812
-111.92605,33.58242
-111.92617,33.48036
-83.56695,41.63083
-83.56657,41.72158
-83.52353,41.64855
-83.66474,41.59463
-90.0757,29.9508
-113.626,53.643
-111.97562,33.53105
-77.18197,39.10016
-111.88628,33.58245
-77.15224,39.10655
-77.08369,39.05536
-77.21998,39.14523
-77.03035,39.06645
-77.06499,39.04506
-77.11191,39.07342
-77.19199,39.15793
-77.02815,38.99602
-76.97903,39.01143
-77.13766,38.98357
-77.02701,38.99762
-77.12397,39.06185
-76.99063,39.03979
-77.13648,39.0978
-77.07361,39.05724
-77.19038,39.10499
-77.0778,39.08374
-77.01315,39.0197
-77.07597,39.10947
-77.12195,38.97314
-77.21209,39.15259
-77.05002,39.05801
-77.1776,39.12255
-77.10293,39.02247
-77.1223,39.04006
-113.61698,53.53933
-114.08488,51.06694
-114.06112,51.03786
-114.13549,51.03782
-113.95843,51.08151
-114.08876,51.04536
-114.05693,51.11061
-114.09492,51.083
-114.09489,50.97957
-114.09468,51.04329
-114.07152,51.04261
-114.07619,51.04782
-113.93511,51.06709
-114.10811,51.14325
-114.0597,51.03052
-113.95835,51.09619
-113.98186,50.97958
-114.08319,50.97959
-114.05805,51.04632
-113.99139,51.0492
-114.05383,51.09598
-113.95578,51.05336
-114.04858,51.01597
-114.14248,51.10261
-114.00167,51.05241
-114.00164,51.0928
-113.94684,51.1106
-114.07148,51.12521
-114.08481,50.96355
-114.05872,50.96405
-114.04844,50.96405
-114.03219,50.93108
-114.14913,51.06343
-114.00167,51.08148
-114.04204,50.94833
-114.11835,51.07421
-113.98435,50.99883
-114.16606,51.01807
-114.15449,51.1152
-114.0625,51.07064
-114.0584,51.04128
-114.06224,50.9051
-113.97007,51.03791
-97.2676,49.85921
-97.14735,49.86471
-97.16309,49.86
-97.20604,49.8641
-97.15735,49.79499
-97.14094,49.85607
-97.18106,49.87367
-97.11191,49.85262
-97.13816,49.82327
-97.1178,49.84075
-97.09056,49.8341
-97.0932,49.87103
-97.1207,49.8925
-97.10214,49.88206
-97.04831,49.92246
-97.08058,49.95041
-97.01203,49.89512
-97.06615,49.90717
-97.04188,49.89533
-97.10399,49.92761
-97.12107,49.91436
-97.10444,49.90654
-97.15485,49.94514
-97.12407,49.92744
-97.16862,49.92941
-97.13102,49.91731
-97.19508,49.93122
-97.13577,49.94963
-97.13592,49.92167
-97.15263,49.93657
-97.20146,49.8835
-97.17832,49.88419
-97.24557,49.87605
-97.20057,49.89422
-97.25387,49.8855
-97.20592,49.88752
-97.30061,49.88285
-97.26256,49.88003
-97.13716,49.89008
-97.13585,49.90257
-97.13323,49.90178
-97.15808,49.90107
-97.14024,49.88763
-97.18522,49.89733
-97.14937,49.90214
-97.15929,49.8858
-83.53616,41.72228
-83.56607,41.70713
-83.60845,41.665
-83.64461,41.69124
-83.58552,41.72126
-83.56164,41.63451
-83.62181,41.65289
-111.96306,33.30521
-111.92823,33.31992
-111.87643,33.33514
-111.85904,33.33511
-111.84181,33.34964
-111.84175,33.33512
-111.84163,33.32066
-111.85914,33.3206
-77.07651,39.02745
-90.07816,29.93122
-77.15853,39.12101
-106.78587,32.29355
-84.25368,39.77783
-84.23955,39.74751
-76.70171,39.29236
-111.84122,33.24759
-76.87104,39.1028
-87.16643,30.35889
-112.33644,33.60904
-114.01883,51.04901
-76.8651,39.09294
-90.11498,29.96104
-113.45514,53.57038
-113.61512,53.53162
-113.46666,53.46533
-113.61687,53.54129
-113.50833,53.54629
-83.66458,41.61662
-113.32,53.5412
-85.28952,35.11972
-81.50946,28.67311
-83.62586,41.62428
-90.10993,29.96575
-90.10059,29.97452
