State,County,Avg Commute
AL,Autauga,25.1
AL,Baldwin,25.8
AL,Barbour,23.8
AL,Bibb,28.3
AL,Blount,33.2
AL,Bullock,28.1
AL,Butler,25.1
AL,Calhoun,22.1
AL,Chambers,23.6
AL,Cherokee,26.2
AL,Chilton,32
AL,Choctaw,34.8
AL,Clarke,25.1
AL,Clay,27.3
AL,Cleburne,29.1
AL,Coffee,20.7
AL,Colbert,22.7
AL,Conecuh,25.2
AL,Coosa,30.2
AL,Covington,20.8
AL,Crenshaw,27.4
AL,Cullman,27.4
AL,Dale,20
AL,Dallas,24.7
AL,DeKalb,23.1
AL,Elmore,27.5
AL,Escambia,24.6
AL,Etowah,23.6
AL,Fayette,27.2
AL,Franklin,24.4
AL,Geneva,26.1
AL,Greene,25.1
AL,Hale,28
AL,Henry,23.3
AL,Houston,19.7
AL,Jackson,26.2
AL,Jefferson,23.3
AL,Lamar,25.5
AL,Lauderdale,23.5
AL,Lawrence,26.1
AL,Lee,20.3
AL,Limestone,25
AL,Lowndes,35.4
AL,Macon,22.8
AL,Madison,20.8
AL,Marengo,21.1
AL,Marion,23.7
AL,Marshall,24.4
AL,Mobile,24.1
AL,Monroe,23.4
AL,Montgomery,19.7
AL,Morgan,22.9
AL,Perry,29.1
AL,Pickens,29.9
AL,Pike,19.5
AL,Randolph,26.9
AL,Russell,22.3
AL,Shelby,29
AL,St. Clair,30.1
AL,Sumter,23.8
AL,Talladega,24.6
AL,Tallapoosa,23.7
AL,Tuscaloosa,20.3
AL,Walker,28.8
AL,Washington,32.1
AL,Wilcox,25
AL,Winston,25.2
AK,Aleutians East,4.3
AK,Aleutians West,4.6
AK,Anchorage Municipality,18.2
AK,Bethel,7
AK,Bristol Bay,8.7
AK,Denali,12.8
AK,Dillingham,9.2
AK,Fairbanks North Star,18
AK,Haines,12.9
AK,Hoonah-Angoon,9.7
AK,Juneau,15.3
AK,Kenai Peninsula,18.4
AK,Ketchikan Gateway,14.2
AK,Kodiak Island,13.4
AK,Lake and Peninsula,6.3
AK,Matanuska-Susitna,33.4
AK,Nome,5.9
AK,North Slope,5.4
AK,Northwest Arctic,7.4
AK,Petersburg,8.5
AK,Prince of Wales-Hyder,14.2
AK,Sitka,10.1
AK,Skagway Municipality,4.6
AK,Southeast Fairbanks,16.6
AK,Valdez-Cordova,14.3
AK,Wade Hampton,5.4
AK,Wrangell,13.4
AK,Yakutat,6.3
AK,Yukon-Koyukuk,7.7
AZ,Apache,26.4
AZ,Cochise,19.5
AZ,Coconino,18
AZ,Gila,18.9
AZ,Graham,19.6
AZ,Greenlee,14.8
AZ,La Paz,14.6
AZ,Maricopa,25.7
AZ,Mohave,19.4
AZ,Navajo,21.8
AZ,Pima,23.9
AZ,Pinal,32.4
AZ,Santa Cruz,19
AZ,Yavapai,21.7
AZ,Yuma,19.1
AR,Arkansas,14.7
AR,Ashley,18.6
AR,Baxter,17.1
AR,Benton,20.8
AR,Boone,19.7
AR,Bradley,17.2
AR,Calhoun,26.1
AR,Carroll,19.1
AR,Chicot,21
AR,Clark,21
AR,Clay,22.6
AR,Cleburne,23.9
AR,Cleveland,26.2
AR,Columbia,17.9
AR,Conway,23.8
AR,Craighead,17.8
AR,Crawford,21.1
AR,Crittenden,21.1
AR,Cross,23.1
AR,Dallas,19.6
AR,Desha,21.4
AR,Drew,22.2
AR,Faulkner,24.8
AR,Franklin,24.6
AR,Fulton,24
AR,Garland,22.3
AR,Grant,28.6
AR,Greene,19.6
AR,Hempstead,19.8
AR,Hot Spring,26.8
AR,Howard,18.5
AR,Independence,20.9
AR,Izard,24
AR,Jackson,18.6
AR,Jefferson,21.3
AR,Johnson,19.5
AR,Lafayette,23
AR,Lawrence,25.9
AR,Lee,18.7
AR,Lincoln,24.1
AR,Little River,24.7
AR,Logan,27.5
AR,Lonoke,26.1
AR,Madison,28.8
AR,Marion,21.6
AR,Miller,19.4
AR,Mississippi,18.1
AR,Monroe,20.3
AR,Montgomery,27.2
AR,Nevada,23.8
AR,Newton,34.5
AR,Ouachita,20.2
AR,Perry,31.9
AR,Phillips,18.5
AR,Pike,26.8
AR,Poinsett,22.2
AR,Polk,20
AR,Pope,19.1
AR,Prairie,22.9
AR,Pulaski,19.2
AR,Randolph,27.4
AR,Saline,24.8
AR,Scott,23.2
AR,Searcy,25.8
AR,Sebastian,17.5
AR,Sevier,19
AR,Sharp,27.2
AR,St. Francis,19.8
AR,Stone,19.1
AR,Union,17.6
AR,Van Buren,29.2
AR,Washington,20.3
AR,White,22
AR,Woodruff,16.5
AR,Yell,22.5
CA,Alameda,27.9
CA,Alpine,23.1
CA,Amador,28.9
CA,Butte,20.8
CA,Calaveras,37.2
CA,Colusa,22.4
CA,Contra Costa,32
CA,Del Norte,14.9
CA,El Dorado,29.4
CA,Fresno,21.5
CA,Glenn,20.5
CA,Humboldt,17.9
CA,Imperial,19.2
CA,Inyo,17.2
CA,Kern,23.2
CA,Kings,20.9
CA,Lake,27.8
CA,Lassen,17.9
CA,Los Angeles,29
CA,Madera,26.9
CA,Marin,28.2
CA,Mariposa,35.2
CA,Mendocino,19.2
CA,Merced,25.6
CA,Modoc,18.2
CA,Mono,18.4
CA,Monterey,22
CA,Napa,24.1
CA,Nevada,24.1
CA,Orange,25.9
CA,Placer,27
CA,Plumas,20.6
CA,Riverside,31.7
CA,Sacramento,25.8
CA,San Benito,30.6
CA,San Bernardino,29.3
CA,San Diego,24.6
CA,San Francisco,29.4
CA,San Joaquin,29.7
CA,San Luis Obispo,20.3
CA,San Mateo,25
CA,Santa Barbara,19.5
CA,Santa Clara,24.2
CA,Santa Cruz,25.7
CA,Shasta,19.4
CA,Sierra,27.4
CA,Siskiyou,19.5
CA,Solano,29.5
CA,Sonoma,25.1
CA,Stanislaus,26.5
CA,Sutter,27.9
CA,Tehama,22.7
CA,Trinity,20.9
CA,Tulare,20.9
CA,Tuolumne,25.8
CA,Ventura,25.4
CA,Yolo,21.3
CA,Yuba,28.8
CO,Adams,28.4
CO,Alamosa,14
CO,Arapahoe,26.6
CO,Archuleta,18.9
CO,Baca,12.3
CO,Bent,23.2
CO,Boulder,21.7
CO,Broomfield,26.8
CO,Chaffee,15.3
CO,Cheyenne,13.8
CO,Clear Creek,28.7
CO,Conejos,24.4
CO,Costilla,22.1
CO,Crowley,24.6
CO,Custer,29.1
CO,Delta,24
CO,Denver,24.6
CO,Dolores,18.9
CO,Douglas,27.2
CO,Eagle,19.9
CO,El Paso,21.8
CO,Elbert,41
CO,Fremont,23.5
CO,Garfield,28.5
CO,Gilpin,34.1
CO,Grand,18.6
CO,Gunnison,12.5
CO,Hinsdale,5.7
CO,Huerfano,23.2
CO,Jackson,18.8
CO,Jefferson,25.9
CO,Kiowa,16.4
CO,Kit Carson,12.8
CO,La Plata,20.3
CO,Lake,33.3
CO,Larimer,22
CO,Las Animas,21.6
CO,Lincoln,17.1
CO,Logan,17.1
CO,Mesa,20.6
CO,Mineral,11.7
CO,Moffat,25.1
CO,Montezuma,22.8
CO,Montrose,21.4
CO,Morgan,15.9
CO,Otero,16.2
CO,Ouray,23.4
CO,Park,41.1
CO,Phillips,15.9
CO,Pitkin,19
CO,Prowers,14.3
CO,Pueblo,20.4
CO,Rio Blanco,19.4
CO,Rio Grande,19
CO,Routt,17.8
CO,Saguache,18.9
CO,San Juan,14.5
CO,San Miguel,16.7
CO,Sedgwick,21.4
CO,Summit,16.4
CO,Teller,32.7
CO,Washington,21
CO,Weld,25.2
CO,Yuma,16.4
CT,Fairfield,28
CT,Hartford,21.9
CT,Litchfield,26.8
CT,Middlesex,24.2
CT,New Haven,23.9
CT,New London,22.4
CT,Tolland,25.3
CT,Windham,25.9
DE,Kent,24.2
DE,New Castle,24.4
DE,Sussex,23.5
DC,District of Columbia,29.3
FL,Alachua,20.4
FL,Baker,30.3
FL,Bay,20.9
FL,Bradford,24.6
FL,Brevard,23.6
FL,Broward,26.8
FL,Calhoun,27.6
FL,Charlotte,23.5
FL,Citrus,25.6
FL,Clay,32.1
FL,Collier,23.6
FL,Columbia,21.3
FL,DeSoto,24.7
FL,Dixie,23.2
FL,Duval,23.4
FL,Escambia,21.8
FL,Flagler,24.4
FL,Franklin,20.3
FL,Gadsden,29.1
FL,Gilchrist,32.8
FL,Glades,27.6
FL,Gulf,25.9
FL,Hamilton,25.5
FL,Hardee,25.8
FL,Hendry,28.5
FL,Hernando,30.2
FL,Highlands,22
FL,Hillsborough,25.6
FL,Holmes,28.3
FL,Indian River,21.7
FL,Jackson,23.5
FL,Jefferson,25.7
FL,Lafayette,26.7
FL,Lake,27.8
FL,Lee,26
FL,Leon,20
FL,Levy,29.4
FL,Liberty,23.4
FL,Madison,25.1
FL,Manatee,23.5
FL,Marion,24.5
FL,Martin,23.5
FL,Miami-Dade,29.5
FL,Monroe,18
FL,Nassau,28.4
FL,Okaloosa,22.3
FL,Okeechobee,26.7
FL,Orange,26.2
FL,Osceola,30.2
