"","County","State","Fatalities.Count","X","DIST_br","DIST_fu","DIST_ho","DIST_in","DIST_li","DIST_ma","DIST_hi","DIST_sc"
"1","AUTAUGA COUNTY","Alabama",12.3333333333333,1,1150.45009213273,12165.6072471545,15630.4585789091,8493.23670805454,25440.5809036364,233437.133518182,32145.2834372727,3643.90057645455
"2","BALDWIN COUNTY","Alabama",34.3333333333333,2,1733.90012698468,11558.4321747872,9489.1316006383,6352.9619683617,60799.9674731915,54851.2260244681,48410.9053882979,3605.76494986809
"3","BARBOUR COUNTY","Alabama",6.44444444444444,3,1922.72508722667,8504.707257,9658.69637666667,6427.26441533333,65449.15329,198298.080333333,104958.234916667,4836.8872835
"4","BIBB COUNTY","Alabama",6.44444444444444,4,1196.65593651733,31745.9271933333,13921.1312504667,5824.416105284,42384.2087866667,258272.94894,59892.272808,3084.54951121333
"5","BLOUNT COUNTY","Alabama",13.3333333333333,5,867.634416973333,12047.3822732222,27425.7357244444,5674.87680246667,34900.6177811111,190118.391277778,53556.0882794444,3511.169159
"6","BULLOCK COUNTY","Alabama",5.33333333333333,6,703.9317066,13817.27933639,12333.32113532,9713.21100767,35911.864894,219031.83445,48513.648913,3670.62180896
"7","BUTLER COUNTY","Alabama",9.44444444444444,7,413.513078414286,17099.2435212857,7487.21223885714,4218.18305643429,68252.29169,150397.392857143,44274.8452485714,3457.08695795714
"8","CALHOUN COUNTY","Alabama",21.3333333333333,8,830.717729712414,5047.3496456931,8370.94496862379,3436.80462115966,76154.9426272414,119679.143610345,94641.7909,1559.63374010345
"9","CHAMBERS COUNTY","Alabama",9.11111111111111,9,1257.01212221214,9935.71637492857,7257.90505207143,6655.98643278571,28666.7273657143,138878.998678571,104660.79117,2993.36496235714
"10","CHEROKEE COUNTY","Alabama",8,10,1882.0006422425,22279.4552043333,10704.3118214167,4579.00512321667,36934.3844525,98041.8582066667,89165.9454158333,2558.2323234
"11","CHILTON COUNTY","Alabama",16.8888888888889,11,1292.22284559923,11140.7360616615,13658.3247144615,4668.03348166154,50880.6503253846,232532.037934615,57265.1805580769,2729.67235772692
"12","CHOCTAW COUNTY","Alabama",6.22222222222222,12,1636.25163594286,41065.44729,12388.8402687571,10750.6111815714,118741.787442857,178141.938814286,171248.843785714,2831.25793377143
"13","CLARKE COUNTY","Alabama",8.44444444444444,13,1623.145565088,16791.65346425,13684.226087935,8150.811448831,110704.0548335,143160.65389,141973.048015,3639.17448268
"14","CLAY COUNTY","Alabama",2.66666666666667,14,1639.83153566667,8805.79286783333,11547.9211076667,5035.73962,82134.4916483333,139643.625833333,96533.2770016667,2723.5390235
"15","CLEBURNE COUNTY","Alabama",8.22222222222222,15,610.856379181429,10468.8324852857,21019.0920928571,5979.78362071429,89145.6851957143,96153.7329785714,90765.9664685714,3523.44903071429
"16","COFFEE COUNTY","Alabama",9.33333333333333,16,1524.28321023077,15155.5219674615,9760.09465915385,4874.21574484615,72899.8897930769,130953.5918,70755.4380323077,2663.11536453846
"17","COLBERT COUNTY","Alabama",12.1111111111111,17,1166.95348372778,9601.91241594445,9040.23256688889,4730.15387203889,94446.8131272222,199169.356238889,104473.509619444,1142.85258374556
"18","CONECUH COUNTY","Alabama",8,18,841.70540145,10952.35084975,10478.9770185,3933.99835024167,87634.4379816667,103284.041981667,89475.5319775,3773.445046275
"19","COOSA COUNTY","Alabama",5.11111111111111,19,1186.26245413357,21099.211278,17371.4116777857,6200.91062740571,61616.9299978571,191729.5621,64113.9355007143,3694.88569771429
"20","COVINGTON COUNTY","Alabama",11.1111111111111,20,1479.89728323188,20631.162474875,11164.5458284187,7176.51362289375,90756.37513875,115210.9498375,77096.60103125,3276.94705201875
"21","CRENSHAW COUNTY","Alabama",4.44444444444444,21,1568.1134006125,14161.5529715,14765.013368675,6911.39896125,57785.62913,168769.304925,19606.6935895,2960.3020396125
"22","CULLMAN COUNTY","Alabama",26.2222222222222,22,924.73256647125,10911.2327721563,11168.1855252,4471.69525933656,57228.7547784375,210252.53758125,71893.0752296875,2180.4735267375
"23","DALE COUNTY","Alabama",10.3333333333333,23,1295.35273999375,9057.11738050625,7885.66940535625,3667.59021805,51979.180879375,131772.27859375,93679.103088125,1781.24766058125
"24","DALLAS COUNTY","Alabama",10.8888888888889,24,999.150414276111,15241.8424682778,9889.50858825556,7170.08077070556,15467.25707235,216730.790661111,72761.5683672222,2651.48461183889
"25","ELMORE COUNTY","Alabama",18.6666666666667,26,1279.32316777394,8372.19777071212,12310.1524054848,5905.96949270576,22869.0214648788,220100.390924242,26720.245850697,2263.96987472727
"26","ESCAMBIA COUNTY","Alabama",14.2222222222222,27,1401.50853113684,43685.0852031579,10195.3086276053,6210.95256803368,61945.8694731579,70710.2794994737,109685.778803158,2745.12895623684
"27","ETOWAH COUNTY","Alabama",19.8888888888889,28,1476.52034641724,9150.02563901724,10474.6184396724,6098.39436986207,56908.3446744828,136029.068137931,93161.3002396552,1828.22881171379
"28","FAYETTE COUNTY","Alabama",4.77777777777778,29,905.347375232,45174.475016,15437.8672922,2844.64162514,57805.827086,255699.61622,83128.184262,2439.4394798
