"","County","State","Fatalities.Count","X","DIST_br","DIST_fu","DIST_ho","DIST_in","DIST_li","DIST_ma","DIST_hi","DIST_sc"
"1","APACHE COUNTY","Arizona",41.6666666666667,84,3007.31701405872,66905.8185423936,28782.2626842979,22987.9415831021,167808.351721702,257892.522587234,220678.858610638,9119.86722382128
"2","COCHISE COUNTY","Arizona",36.2222222222222,85,1868.81773007146,33062.0186016829,18388.981980061,7277.10798449024,57115.2211277317,252114.963321951,331453.316458537,8757.61483885366
"3","COCONINO COUNTY","Arizona",55.1111111111111,86,2722.86623022463,27092.1995196567,28223.6917080299,10482.6980106251,142969.937664627,186157.631065672,116024.01826791,13494.8054971791
"4","GILA COUNTY","Arizona",20.2222222222222,87,2960.31150082714,38999.3295305357,20294.3607750357,14965.2415772179,32303.31559875,117584.073216071,272967.949732143,10555.3797544821
"5","GRAHAM COUNTY","Arizona",9.11111111111111,88,1433.83719692,34232.8170568,49852.183334,20603.76436896,112858.927299,201836.03799,321403.40727,8585.46460328
"6","GREENLEE COUNTY","Arizona",2.44444444444444,89,4490.671274815,17150.3053925,83183.497015,11446.342319,154685.104025,262950.658,257880.6833,14947.16053375
"7","LA PAZ COUNTY","Arizona",26,90,3887.0272588016,48376.988304732,46950.13623252,15020.231915368,153660.6586216,165465.337388,93529.7418096,18675.1543742
"8","MARICOPA COUNTY","Arizona",419.444444444444,91,960.985254171702,4930.11333185699,10183.994624949,2802.36229247383,8644.17989205622,16143.5503481317,234447.957557624,3079.88893723913
"9","MOHAVE COUNTY","Arizona",54,92,2170.53241073805,31387.7121417792,32201.8066814286,20971.2102654883,240475.503380519,136769.966335325,38254.0969743377,15775.2183250409
"10","NAVAJO COUNTY","Arizona",43.3333333333333,93,4399.9291583975,47608.0433016,42577.968879125,16682.9612654575,106092.218837365,223011.082945,231540.57393,8009.6579167025
"11","PIMA COUNTY","Arizona",124.555555555556,94,1009.18280818251,7259.29381928096,9258.94446383102,3675.2261037585,10227.8848614186,172174.810905348,398734.84374385,3081.76083201529
"12","PINAL COUNTY","Arizona",84.8888888888889,95,1875.62994570658,14426.6841845626,15206.7397584414,6967.74620932036,29084.6520372613,66606.9536856757,299564.83230991,5174.61930333523
"13","SANTA CRUZ COUNTY","Arizona",10.5555555555556,96,697.400076514545,16048.4081552727,52477.7733054545,11646.3028378909,53728.2665109091,238085.417890909,418374.005209091,6693.51857872727
"14","YAVAPAI COUNTY","Arizona",60,97,1860.1330460522,28515.8668804024,22501.4503715,10545.267086539,89066.5420619512,104806.072810732,154704.327216098,7591.14027982317
"15","YUMA COUNTY","Arizona",27.1111111111111,98,1324.43696712424,8930.05652435455,11115.4280135152,2380.8204704197,210200.063130303,229708.826554545,202490.006645455,3224.86506621485
