"","County","State","Fatalities.Count","X","DIST_br","DIST_fu","DIST_ho","DIST_in","DIST_li","DIST_ma","DIST_hi","DIST_sc"
"1","ALAMEDA COUNTY","California",88.7777777777778,174,590.659101638644,2072.92913148712,2872.73464502542,1006.08794434339,4957.74440074644,17094.4621886017,13920.6318914915,856.37241415678
"2","ALPINE COUNTY","California",2.44444444444444,175,4116.714746,33064.7952333333,36503.0862133333,13829.2880776667,121545.703866667,96255.7243033333,17458.5109333333,14514.060259
"3","AMADOR COUNTY","California",12.1111111111111,176,4359.75358015294,9743.40773052824,11029.0607321176,6870.90678332353,56324.4814111765,119637.315206471,13317.9939503529,5051.51044952941
"4","BUTTE COUNTY","California",32.1111111111111,177,1479.4494131086,8683.49269030175,7932.37631085263,4683.39148327632,54269.3140526316,153156.556292982,21648.9556998772,2497.9614545386
"5","CALAVERAS COUNTY","California",12.8888888888889,178,1676.58458195684,15354.1987238421,16007.0051264211,8444.96703581526,53005.0200563158,120364.696510526,16656.2125273684,4180.75207231579
"6","COLUSA COUNTY","California",9.44444444444444,179,998.348729433077,33562.0521976923,11051.325894,9278.67386723077,46703.4108546154,95541.839,49959.2449253846,3886.58626002308
"7","CONTRA COSTA COUNTY","California",66.5555555555556,180,604.440560625952,2333.39354622964,4074.41986073583,1545.48405038845,23205.2117042024,12229.016622456,29620.9208096905,1075.74868249655
"8","DEL NORTE COUNTY","California",9.33333333333333,181,1963.77753832563,21204.2540880937,22038.029704875,8536.5239165375,114936.21379625,388985.3151875,19257.802968625,6610.9934631125
"9","EL DORADO COUNTY","California",25.8888888888889,182,1963.90380384937,11570.5429702875,13979.7755925,6795.54798501875,47251.755905,110956.0512125,9346.57283628125,2811.43009186562
"10","FRESNO COUNTY","California",146.666666666667,183,1545.0255614599,9220.43269422424,7658.4549317904,4075.19649299136,142613.299453687,221085.07054899,70707.2581051414,2347.80276332919
"11","GLENN COUNTY","California",9.22222222222222,184,916.3533659,14596.5710488,13255.481711,4169.22760529,74889.038515,143473.2981,52383.181876,3593.75981674
"12","HUMBOLDT COUNTY","California",23.8888888888889,185,1067.62191556214,27285.2461400452,15754.7283807571,10749.1145013095,141790.378119048,277052.962847619,13460.8839195738,2503.24114655
"13","IMPERIAL COUNTY","California",40.3333333333333,186,2062.84187558789,18225.4746139816,20755.6997873816,8994.07765353947,127011.811561316,148581.005577105,160149.321221053,10464.1146731974
"14","INYO COUNTY","California",10.3333333333333,187,18828.0417412,61901.5604431333,32731.8583472267,16870.4442572,184659.519833333,216957.648892667,44703.1383798,17275.0968325333
"15","KERN COUNTY","California",149.555555555556,188,2294.57863741349,10555.0108262143,12658.5825494815,3962.19826497746,26827.7861439365,161575.704733915,67658.6010007831,3367.85489518439
"16","KINGS COUNTY","California",33.7777777777778,189,1419.55784439931,15131.6578225517,10675.2363260724,3017.40347172931,115395.331913793,248408.210237931,91279.3677862069,3135.13908038276
"17","LAKE COUNTY","California",16,190,1931.50324593103,19380.2855597931,10835.0643814379,4521.72137447931,85666.0607310345,60919.3013782759,22552.6873526414,3121.34451195172
"18","LASSEN COUNTY","California",10.5555555555556,191,7502.6110936625,55720.459149375,25824.8634321875,9119.79016406937,146475.9694375,135702.265950625,100216.42904625,9668.74181459375
"19","LOS ANGELES COUNTY","California",697.777777777778,192,979.915003101486,2505.44413062506,3216.20524420122,1215.01991572072,7232.43711699798,19504.8615565486,21700.7306887021,1103.75314659715
"20","MADERA COUNTY","California",37.6666666666667,193,1365.88282646933,12389.0890226044,9004.66213720889,6380.75958728889,111210.394297333,185123.346428889,72294.6000615556,2843.99318643778
"21","MARIN COUNTY","California",9.11111111111111,194,704.62053862875,7031.7230008625,6931.03873305,3790.4049723125,18473.7528025,26509.18661125,18480.5530725,1775.3842551
"22","MARIPOSA COUNTY","California",5.88888888888889,195,1308.86808433333,16057.3418672222,15684.8366348889,7964.22408938889,89643.9854544444,171631.936477778,22277.48007,3255.85206432222
"23","MENDOCINO COUNTY","California",23.4444444444444,196,1144.53936844647,14283.5141711565,15600.9253682324,10072.6352715391,139034.312125882,124468.251407353,35069.8975185294,3822.66945353235
"24","MERCED COUNTY","California",52,197,1348.17219941507,13051.7448438551,9233.96978478116,4875.6874447058,53877.071345942,119867.440578696,53789.7785410145,2700.38626267391
