"","County","State","Fatalities.Count","X","DIST_br","DIST_fu","DIST_ho","DIST_in","DIST_li","DIST_ma","DIST_hi","DIST_sc"
"1","ADAMS COUNTY","Colorado",37.4444444444444,232,665.721020010962,2235.57884307692,8067.14016734038,1093.60769871308,13395.9015659423,13627.8657855,13047.3675017308,1884.97707217692
"2","ALAMOSA COUNTY","Colorado",5.22222222222222,233,4658.69447133333,76332.6258744444,7872.25441177778,6074.64560577778,136799.134444444,181813.6796,121142.952788889,5488.60001666667
"3","ARAPAHOE COUNTY","Colorado",31.5555555555556,234,763.593651957209,2888.27978344349,8422.86246397674,1701.3024546593,3658.37731892767,9475.2709578907,17683.627837,2864.76323822093
"4","ARCHULETA COUNTY","Colorado",3.33333333333333,235,1425.088117075,20000.1236095,32675.5491425,8572.8277835,219332.9587,228531.206525,198937.06195,31296.1167875
"5","BACA COUNTY","Colorado",4.66666666666667,236,3610.8631873875,48605.7616075,95179.97138375,13638.143353125,210032.9283625,261080.37315,256056.001,33837.355205
"6","BENT COUNTY","Colorado",1.55555555555556,237,489.5198168,27604.22621,17504.42314,1891.228222,144285.0406,177167.348,199276.0026,6143.034992
"7","BOULDER COUNTY","Colorado",19.5555555555556,238,1495.28072798919,4284.89897761649,6224.72274973784,2591.1172510673,11933.2278206297,24232.3918863514,32760.0851978378,3039.55077549162
"8","BROOMFIELD COUNTY","Colorado",2.33333333333333,239,845.43817495,4910.212461,6765.463993,1230.4509707,17910.12428,5713.6584888,16243.19706,1449.61996365
"9","CHAFFEE COUNTY","Colorado",4.44444444444444,240,2367.49275613333,52841.75409,62769.0431711111,9045.62068577778,126183.105544444,115365.575344444,73843.5444833333,12183.3368333333
"10","CHEYENNE COUNTY","Colorado",3,241,3642.29005548333,41198.991975,92644.450075,4950.10597933333,182826.418,189038.352,205496.0628,19240.6621775
"11","CLEAR CREEK COUNTY","Colorado",3.88888888888889,242,1431.769171,14949.585407,17511.26765625,3845.868367875,53677.1315825,51011.4771125,19946.9760825,5983.49886625
"12","CONEJOS COUNTY","Colorado",2.44444444444444,243,3795.72543446,54532.805108,10424.1209766,7877.1930092,157779.80614,206834.56976,147377.22338,7185.8381724
"13","COSTILLA COUNTY","Colorado",2.22222222222222,244,9697.52398825,49903.49513,44479.5716175,11733.195752,109487.114195,165980.456025,114390.6085325,14847.9836245
"14","CUSTER COUNTY","Colorado",1.77777777777778,245,744.85635305,24085.497845,44544.934105,6977.179534,41210.346825,83968.194345,39633.458185,9933.2797045
"15","DELTA COUNTY","Colorado",7.33333333333333,246,3302.01664799,19362.3377541,22268.3848008,10288.0629551,263523.23763,67188.198219,164833.85437,9345.5971677
"16","DENVER COUNTY","Colorado",44.2222222222222,247,746.750071434242,1448.12436826818,2603.68800806818,763.26879245803,3384.43971565758,6093.04430407727,5399.10512821212,846.410246335303
"17","DOLORES COUNTY","Colorado",0.666666666666667,248,6785.9703345,77158.325515,28073.39427,11175.347707,317751.45785,153624.3266,96293.12439,12895.48398
"18","DOUGLAS COUNTY","Colorado",17.8888888888889,249,1220.2423757025,4345.29716249583,14591.1291842083,3763.1021746125,9928.663685125,23597.711965,24524.6483175833,4115.341810775
"19","EAGLE COUNTY","Colorado",7.55555555555556,250,669.2865151025,37825.42311875,42379.0054775,4569.5785852875,122329.34571,124801.49971875,83742.3868825,12823.10675975
"20","EL PASO COUNTY","Colorado",45.6666666666667,251,1048.9081669761,5411.36626966104,11855.9233563766,3029.82543797039,63019.029742987,13265.9927367831,28553.7123194286,3279.50881331688
"21","ELBERT COUNTY","Colorado",5,252,3907.4628715,17550.420642375,73225.09391375,14960.518811875,64606.8063275,70089.9652875,68119.75326875,21577.1499175
"22","FREMONT COUNTY","Colorado",7.33333333333333,253,2018.76908886923,24316.6831843077,38100.3973653846,6193.23367830769,58238.6586592308,63689.8649415385,22592.4439373846,7428.00154376923
"23","GARFIELD COUNTY","Colorado",10.2222222222222,254,5218.87237368947,15598.0061111053,33743.6077350947,12294.2750297895,223817.198089474,91311.8268273684,173215.188447368,9986.58586653684
"24","GILPIN COUNTY","Colorado",0.666666666666667,255,33.15523274,10738.25459,30062.14107,10059.20847,31730.44521,42779.85661,35358.97025,9246.970224
"25","GRAND COUNTY","Colorado",4,256,6160.1929836,24834.3233632,21398.40587,9810.0444036,78017.11444,93031.019528,69100.501458,7913.7202414
"26","GUNNISON COUNTY","Colorado",3.44444444444444,257,3563.3262282,35420.258926,32512.237924,9890.8700994,201639.14288,135760.44632,144492.202242,21816.23208
"27","HINSDALE COUNTY","Colorado",0.444444444444444,258,154.242585125,62411.41928,47255.694745,42773.611535,219537.37445,169557.79875,167540.89365,27970.208455
"28","HUERFANO COUNTY","Colorado",5.11111111111111,259,1330.13473371,17858.451051375,60855.0302225,12898.4018982775,69554.05161,133541.5218875,98138.03220125,10467.03378675
"29","JEFFERSON COUNTY","Colorado",39,260,1101.52326802197,3705.09826211689,10250.5935086115,3502.64931155836,14123.647957541,12222.1112287705,15801.7934043279,2509.4541697541
"30","KIOWA COUNTY","Colorado",2.11111111111111,261,4870.7113975,30682.503315,74547.24222,10129.6641865,177654.76505,192948.1675,214796.23635,12306.284344
"31","KIT CARSON COUNTY","Colorado",4.88888888888889,262,2807.67719268333,27135.2210281667,110699.024795,9906.69843178333,190175.60505,196840.294383333,197757.72985,26665.3101868333
"32","LA PLATA COUNTY","Colorado",12,263,3172.94101494167,20456.13006275,19071.0185725,7747.80596985833,236245.723108333,222063.233425,176692.439841667,10139.4704828333
"33","LAKE COUNTY","Colorado",1.55555555555556,264,2670.4233145,23233.48568,48004.517225,13047.678175,102964.35845,98069.96476,53989.647485,14324.599175
"34","LARIMER COUNTY","Colorado",27.4444444444444,265,1196.72315427946,10044.3473122189,20563.9302646487,6045.80887197892,15635.624531,64463.9472894595,82464.7009094595,4669.21221189351
"35","LAS ANIMAS COUNTY","Colorado",5.44444444444444,266,782.1394859875,22722.640332625,20856.507443,17315.9892345,103028.755595,171256.344475,143049.9739625,10637.99372875
"36","LINCOLN COUNTY","Colorado",4.55555555555556,267,1813.4236404,30825.051971375,100122.95805625,8673.03150317,107981.05544,107457.00979375,117192.225575,46396.25152875
"37","LOGAN COUNTY","Colorado",4.77777777777778,268,1719.46502133333,8982.82449866667,51442.76628,4998.8853642,162688.426333333,173889.735466667,102747.10018,7569.45565733333
"38","MESA COUNTY","Colorado",18,269,884.319194457241,11338.5801577538,18686.4453001034,9188.96843241035,296437.827741379,20676.8409129034,150131.050995172,8969.05419603793
"39","MINERAL COUNTY","Colorado",1.44444444444444,270,1776.4166756,19821.17343,58675.77573,24007.010575,211467.8041,235949.2986,175663.764,33439.86134
"40","MOFFAT COUNTY","Colorado",3.11111111111111,271,2567.37179767143,18831.0506862857,23937.0692621429,14454.4237690286,216076.619214286,171749.191428571,203755.580414286,12711.0404258571
"41","MONTEZUMA COUNTY","Colorado",6.33333333333333,272,2183.644792894,60293.923224,18975.5019564,7673.854216006,287708.28189,201364.50086,108116.388508,13032.55896581
"42","MONTROSE COUNTY","Colorado",5.44444444444444,273,2113.500626285,44157.5808991667,43492.0759165,12637.6548529,300516.8029,96351.85566,125512.01236,22797.963384
"43","MORGAN COUNTY","Colorado",4.88888888888889,274,1061.43564102222,6729.45798822222,16381.3899825111,3594.48155377778,104838.762228889,105040.316041111,116798.139882222,6732.08451558889
"44","OTERO COUNTY","Colorado",3.55555555555556,275,808.85090395,35956.29038625,16624.002655375,4533.878621175,85965.145305,134811.552125,150627.0803125,8735.6524237875
"45","OURAY COUNTY","Colorado",1.77777777777778,276,677.2567141,21944.72011,15654.74235,15702.50414,269398.9213,114809.2868,155508.5658,15410.62099
"46","PARK COUNTY","Colorado",6.11111111111111,277,5160.66343795714,20981.8989994286,46380.3869342857,16236.3879611429,72075.3193914286,66928.2730128571,38492.21139,21459.1589004286
"47","PITKIN COUNTY","Colorado",3,278,1243.5471836,14225.654401,44166.690554,23448.973569,169267.78026,139968.35284,120791.24126,23382.1152708
"48","PROWERS COUNTY","Colorado",3.66666666666667,279,1797.304418102,30455.3898896,68330.64235,14415.4500592,195509.31506,228639.03648,247323.8626,13132.6873146
"49","PUEBLO COUNTY","Colorado",22.3333333333333,280,1405.64768986143,6558.14199820476,9723.34880479286,3639.84521180143,8951.99552948095,65805.4530133333,65475.4038642857,4185.0581617481
"50","RIO BLANCO COUNTY","Colorado",4.11111111111111,281,6562.13584275,45281.175835,76730.6551475,17893.68638825,275373.3042,106097.604005,224026.566475,31183.067895
"51","RIO GRANDE COUNTY","Colorado",2.22222222222222,282,551.927267,76599.31935,14434.0780943333,3534.93441566667,153943.544366667,187616.515566667,123565.442366667,9879.61567966667
"52","ROUTT COUNTY","Colorado",4.44444444444444,283,3231.70336721667,20225.821279,38708.5792933333,21763.5465275,160285.17185,174806.157983333,154381.62555,17259.1225428333
"53","SAGUACHE COUNTY","Colorado",1.88888888888889,284,5036.401135,85117.913835,20133.56817,11134.42327,137925.80165,158310.74,94679.23082,11532.06152
"54","SAN MIGUEL COUNTY","Colorado",2,285,2507.012395,49277.37503,41738.0756,19616.73889,310111.0799,111823.9188,112753.1292,8274.719823
"55","SEDGWICK COUNTY","Colorado",0.777777777777778,286,19.67116728,17904.09303,18273.31743,334.996705,216616.9326,232397.2187,50885.73677,10429.75203
"56","SUMMIT COUNTY","Colorado",5.88888888888889,287,2000.48422247692,13280.2824560154,22517.0704660769,9279.76963913077,83565.5700046154,82170.1977969231,41493.1858761538,10691.1898995385
"57","TELLER COUNTY","Colorado",2.33333333333333,288,3014.90406116667,16595.3215266667,6423.52795903333,16403.4142733333,74755.09818,33966.1208166667,11062.404713,6496.9063167
"58","WASHINGTON COUNTY","Colorado",3.77777777777778,289,5499.24227325,37007.9791933333,58961.05682,14587.5662196667,135018.869266667,141134.878266667,144680.359683333,12414.7658883333
"59","WELD COUNTY","Colorado",48.3333333333333,290,1931.43303682729,10232.5708304971,19752.8257368571,5368.01519523029,36351.3602612,49663.4392135286,68082.9130202857,5821.22090929429
"60","YUMA COUNTY","Colorado",2,291,7881.57061998,33753.628312,68964.736694,12116.4736142,208534.6212,215105.14502,141506.423796,24086.400576
