"","County","State","Fatalities.Count","X","DIST_br","DIST_fu","DIST_ho","DIST_in","DIST_li","DIST_ma","DIST_hi","DIST_sc"
"1","BARNSTABLE COUNTY","Massachusetts",21,1177,2341.59162738,5906.74209800286,12236.0798834086,3543.78351425829,86484.1201957143,18706.9255861143,34521.5138394286,1958.0551216
"2","BERKSHIRE COUNTY","Massachusetts",15,1178,934.958226352381,14875.5915373762,7908.39087362381,4469.36203050286,154335.688719048,86240.7575942857,22364.3290777143,1835.25237864286
"3","BRISTOL COUNTY","Massachusetts",50.1111111111111,1179,1026.63178612105,4540.7518472186,4359.31669601047,1965.88841775791,30456.5220822442,32052.3425140349,10895.7892037849,1263.42686966244
"4","DUKES COUNTY","Massachusetts",1.22222222222222,1180,1380.3920695,11961.588275,1401.4304784,2542.4564355,77549.5153,33909.457125,34061.451895,446.29702315
"5","ESSEX COUNTY","Massachusetts",39.3333333333333,1181,762.894614024091,4521.53090290152,3145.85590069394,1522.69568319348,95188.7848666667,10369.1383830606,20958.9159981212,1230.7778671947
"6","FRANKLIN COUNTY","Massachusetts",6.88888888888889,1182,1080.52134052222,26775.2493714444,8900.91262555555,2139.19511212222,123665.555544444,70147.1372788889,13042.288,2539.38903007778
"7","HAMPDEN COUNTY","Massachusetts",35,1183,1070.3927903738,4006.230219964,4007.330488556,1961.0140184342,101396.3196382,36705.1769816,53191.8445662,1166.0288528724
"8","HAMPSHIRE COUNTY","Massachusetts",8.55555555555556,1184,1069.97855581111,6031.79465433333,6315.89510166667,3678.39651255556,103397.521951111,50658.3816144444,39142.5131911111,2102.11649656667
"9","MIDDLESEX COUNTY","Massachusetts",59.8888888888889,1185,1023.34530294144,3153.39447965811,3388.94292540667,1673.23709950322,67917.9771585556,9654.61947623333,15415.6916198089,911.802152108667
"10","NORFOLK COUNTY","Massachusetts",36.3333333333333,1186,865.942455570339,3915.1959617178,3600.99963421186,1616.33282043119,45318.9127937288,10506.6059822119,10797.2139908644,1032.04448237492
"11","PLYMOUTH COUNTY","Massachusetts",41.2222222222222,1187,1838.23120166909,6106.08951524909,5900.94661753818,4901.70057210182,54442.8479850909,26787.4936430909,17163.9401043455,1828.09197467636
"12","SUFFOLK COUNTY","Massachusetts",28.3333333333333,1188,363.008249050909,1375.16016582273,1153.86982322727,538.873562878636,63940.1286879545,4444.15493697273,5159.09126354545,425.931702297273
"13","WORCESTER COUNTY","Massachusetts",60.1111111111111,1189,1029.04236464889,6827.20937824711,4126.80500159889,2806.52564733844,57895.7336613333,14732.7654167989,27387.3660941333,1548.44068074567
