"","County","State","Fatalities.Count","X","DIST_br","DIST_fu","DIST_ho","DIST_in","DIST_li","DIST_ma","DIST_hi","DIST_sc"
"1","AITKIN COUNTY","Minnesota",4.11111111111111,1273,2827.841441,41254.986956,20089.998886,9952.60749,449104.01658,103823.395432,44729.048868,8695.4293964
"2","ANOKA COUNTY","Minnesota",20.8888888888889,1274,1183.37916506667,4765.5827516725,8661.501449625,2514.0119922125,374622.995875,27334.58410125,23256.610945375,3944.61155865417
"3","BECKER COUNTY","Minnesota",5.44444444444444,1275,6586.7149288,13679.3517848,31742.530128,9759.7169056,341601.97924,269031.55936,213207.04304,9332.5409978
"4","BELTRAMI COUNTY","Minnesota",5,1276,4728.03093452727,17867.4698825545,33461.0580918182,6162.11533367,290339.582363636,229239.598154545,151628.313518182,16404.0636827364
"5","BENTON COUNTY","Minnesota",4.55555555555556,1277,1414.97376318333,13319.5246774,8918.3026275,4454.97162531667,399274.089266667,106068.767488333,89753.611775,1842.69288093333
"6","BLUE EARTH COUNTY","Minnesota",7.55555555555556,1278,1841.69146420786,8727.86105478572,5172.44371671429,4161.84318942857,256651.911135714,104628.167635,116039.38305,4335.18122292857
"7","BROWN COUNTY","Minnesota",2.88888888888889,1279,2320.1202845,11066.9658735714,6387.51965137143,5543.46564855714,247226.8142,116614.804185714,126032.002842857,2876.9700947
"8","CARLTON COUNTY","Minnesota",4.77777777777778,1280,3195.99671408889,10921.9108807778,9006.62177844444,5859.51791571111,490041.468055556,32918.75236,21985.3735533333,5124.02451727778
"9","CARVER COUNTY","Minnesota",8.66666666666667,1281,1188.33935674444,6563.88214255556,17718.6905944444,1763.51289892444,331529.265333333,34694.5674922222,41786.23547,4632.03390133333
"10","CASS COUNTY","Minnesota",6.44444444444444,1282,3294.4155776,19292.0386169,10802.72587235,5201.26858,370527.8409,171267.85136,112742.533473,8184.5844413
"11","CHIPPEWA COUNTY","Minnesota",2.66666666666667,1283,910.283834048,10962.071048,5842.7647358,4881.4984468,287737.25132,181248.25244,115968.458978,2341.645408
"12","CHISAGO COUNTY","Minnesota",7.11111111111111,1284,2048.3060523,8575.017893,6138.214813,6645.94641614286,394905.272171429,48838.3320914286,15018.1760681429,3899.84430085714
"13","CLAY COUNTY","Minnesota",5.77777777777778,1285,1696.72431143571,5165.48513942857,6181.08786942857,4103.60713695,319953.028071429,335399.130457143,229162.4087,4151.92796052857
"14","CLEARWATER COUNTY","Minnesota",1.44444444444444,1286,3976.9064745,33194.55098,8560.516549,6144.2595095,275312.8041,255740.05535,179681.58905,14089.335483
"15","COOK COUNTY","Minnesota",1,1287,1264.796779,127189.1191,686.3170626,1469.917045,547986.1067,174136.7123,159621.7629,1480.922852
