"","County","State","Fatalities.Count","X","DIST_br","DIST_fu","DIST_ho","DIST_in","DIST_li","DIST_ma","DIST_hi","DIST_sc"
"1","ADAIR COUNTY","Missouri",2.66666666666667,1438,648.05101806,9040.62877647429,10050.397512,6742.78701936286,117178.983014286,170001.374128571,64654.3368157143,1869.37852104286
"2","ANDREW COUNTY","Missouri",4.44444444444444,1439,1086.40918907,9571.99618233333,15969.0201433333,6984.35862577778,16864.1640466667,107169.422903333,66190.7137255556,1179.04812847778
"3","ATCHISON COUNTY","Missouri",1.33333333333333,1440,575.2506108,3474.782901,23713.13325,547.9934014,91878.12078,103485.6487,96915.04232,1085.412443
"4","AUDRAIN COUNTY","Missouri",5.22222222222222,1441,1266.296435985,8742.7918080125,34758.93646625,6269.6343768,45204.46618125,136697.6533,78599.19062,1533.94923025
"5","BARRY COUNTY","Missouri",14.2222222222222,1442,1594.23808318667,20540.0252448667,37494.2706633333,8729.77625582467,72675.8945686667,76275.3242986667,145169.82626,1919.44358688667
"6","BARTON COUNTY","Missouri",4.66666666666667,1443,1334.2390592,15253.764059,26002.1380066667,11008.0494828333,96209.4218883333,103328.576688333,49555.8620316667,1009.81378299
"7","BATES COUNTY","Missouri",4,1444,1271.35387854,44901.5650157143,12751.31865,9833.47882485714,76844.7221328571,88739.9700614286,31754.1283385714,1407.90281997143
"8","BENTON COUNTY","Missouri",6.55555555555556,1445,1054.489641714,17466.3241274,46236.38913,6920.2780845,104042.155886,116830.28851,118985.1495,1573.95629264
"9","BOLLINGER COUNTY","Missouri",2.55555555555556,1446,1115.815546,26244.21273,57990.21761,8366.088846,124107.5168,143049.8253,98270.94848,1004.966536
"10","BOONE COUNTY","Missouri",21.7777777777778,1447,827.618414400526,6856.73951579474,8246.95185589474,4529.73140785789,9022.81023994737,159378.669673684,117172.646747368,1742.24404015263
"11","BUCHANAN COUNTY","Missouri",11,1448,925.228691755556,3869.00846524444,6713.76910856667,2266.90138442222,7074.10512681111,86298.6016955556,45354.18883,1034.99893104444
"12","BUTLER COUNTY","Missouri",14.2222222222222,1449,1517.29949719231,10866.2842066923,39723.5901969231,5615.63781930769,129763.779830769,180072.653192308,42325.6860638462,2068.27457272308
"13","CALDWELL COUNTY","Missouri",2.88888888888889,1450,1593.85980248571,33275.6384557143,70206.55369,17176.90824,43866.5879342857,73892.2253328571,91659.5678557143,990.499512371429
"14","CALLAWAY COUNTY","Missouri",12.8888888888889,1451,927.7093632525,8732.041803565,9535.56549105,5903.7237282,36275.4088565,131206.334585,113725.6736235,2558.022434515
"15","CAMDEN COUNTY","Missouri",12.8888888888889,1452,1312.67554932727,27420.3023472727,14525.8174772727,9285.82932339091,100614.213781818,112574.195945455,160699.948990909,2922.37265836273
"16","CAPE GIRARDEAU COUNTY","Missouri",8.11111111111111,1453,901.716768014286,17483.0568662857,42597.4803314286,6019.42423577857,116088.968635714,141389.973557143,95633.5963721429,2497.73571882143
"17","CARROLL COUNTY","Missouri",2.22222222222222,1454,1092.129291975,14550.0836655,47776.159655,16065.46643,63959.36346,83911.8604175,119127.67665,2194.82820025
"18","CARTER COUNTY","Missouri",3.88888888888889,1455,2010.39107645,49007.8115083333,64142.6955733333,7340.68693213167,168287.521616667,196035.44545,88374.6553633333,2333.81005978333
"19","CASS COUNTY","Missouri",10.5555555555556,1456,1171.24348513688,22436.1802769375,31137.276244375,9231.518125875,31674.665625625,41709.342033125,53966.375530625,2880.613126625
"20","CEDAR COUNTY","Missouri",3,1457,2080.08439633333,44356.4355233333,24785.225073,8388.34547333333,69595.37045,79009.6540633333,78624.8972366667,3058.54121466667
"21","CHARITON COUNTY","Missouri",1.88888888888889,1458,23.71064014,8097.794819,27235.68427,10402.25591,55923.83265,143746.0991,123123.0485,2106.196418
"22","CHRISTIAN COUNTY","Missouri",9.88888888888889,1459,2333.68803812941,8698.68851964706,19169.5171702353,8156.85485984706,20897.1604652353,21331.3303329412,162524.786858824,2941.76037776471
"23","CLARK COUNTY","Missouri",2.33333333333333,1460,866.3706037,10748.82467125,20170.026445,5551.0672728125,78723.4690325,156954.654825,42812.13011,2127.04249675
"24","CLAY COUNTY","Missouri",24.6666666666667,1461,755.914972545588,4437.65913870882,13572.5445301059,2101.90514582029,5650.11355397059,26799.6843823529,39281.8829952941,1642.33734647941
"25","CLINTON COUNTY","Missouri",4,1462,917.595137044286,22235.9319414286,46664.8121585714,6743.10330935714,26557.1370471429,57994.1095885714,57885.1469085714,1570.38623834286
"26","COLE COUNTY","Missouri",11.1111111111111,1463,1023.58269452067,8462.16215923333,10828.9457437933,8274.43166208,48823.1060533333,152915.501006667,153514.24742,1854.68709648
"27","COOPER COUNTY","Missouri",5.55555555555556,1464,1344.5780174,15859.8547366667,29388.2007633333,12176.2812796667,39819.9084033333,133254.240233333,153012.472133333,1102.9106599
"28","CRAWFORD COUNTY","Missouri",8.11111111111111,1465,1069.14182960714,13004.2066075,25253.0325907143,8000.21675203571,87953.9571642857,107755.167281429,134519.145914286,1831.87835782857
"29","DADE COUNTY","Missouri",2.55555555555556,1466,1220.368561,32519.9658,53569.04894,5567.168413,55237.92349,62309.14183,85487.01559,607.8334314
"30","DALLAS COUNTY","Missouri",5.22222222222222,1467,1647.41245247143,31440.5941057143,41758.0921757143,10568.2468118571,47860.39127,53922.5324614286,146602.609914286,1837.70512857143
"31","DENT COUNTY","Missouri",4.66666666666667,1469,1153.1621082,31969.4047048571,19921.8591317143,13231.0108458571,130204.274785714,146099.586342857,171700.378042857,3118.50314571429
"32","DOUGLAS COUNTY","Missouri",4.33333333333333,1470,3928.0768640625,18484.86545125,54452.80803125,10518.076299375,66632.20400125,66791.96025625,204801.9417125,1833.12694595
