"","County","State","Fatalities.Count","X","DIST_br","DIST_fu","DIST_ho","DIST_in","DIST_li","DIST_ma","DIST_hi","DIST_sc"
"1","ADAMS COUNTY","Mississippi",6.22222222222222,1357,1397.924532,5147.49203622222,3900.75352565556,1774.9212739,110922.402288889,151061.993366667,5546.59409844444,2166.85703473333
"2","ALCORN COUNTY","Mississippi",8.88888888888889,1358,1007.44687405714,10095.6516548571,8693.53129114286,7469.34174486429,27185.3917914286,115060.245179286,74231.4570735714,1625.32228492857
"3","AMITE COUNTY","Mississippi",5.11111111111111,1359,1420.844937175,11564.791067375,17023.6784345,10184.687669625,76622.0358925,132044.251375,76252.1698675,3442.4892265
"4","ATTALA COUNTY","Mississippi",5.66666666666667,1360,1122.03016908182,11472.0305036364,13200.5287875455,6091.64551372727,199436.928563636,86363.2166463636,62130.52094,3579.31317523636
"5","BENTON COUNTY","Mississippi",3.88888888888889,1361,1701.27163085,20940.4966275,20547.543605,5494.9854300175,58076.478485,64490.3178525,71936.25482,2237.609700625
"6","BOLIVAR COUNTY","Mississippi",8.11111111111111,1362,1207.181345125,12436.5434748125,12534.0725762875,11772.6527714669,156087.843575,154081.965225,144208.7608625,2620.52877839375
"7","CALHOUN COUNTY","Mississippi",5.11111111111111,1363,877.305066528571,8893.77811028571,13163.6284314286,6827.33139771429,129808.292314286,140402.0566,75200.7170657143,4611.80739618286
"8","CARROLL COUNTY","Mississippi",4.44444444444444,1364,2039.05841828,12901.976489,14314.317875,5859.200539434,176115.13366,119023.1525,94251.968008,6484.7316018
"9","CHICKASAW COUNTY","Mississippi",5.33333333333333,1365,551.26754296,14743.8985966,11213.8862002,7205.9558734,136918.62248,159753.95026,43603.43727,2185.2735626
"10","CHOCTAW COUNTY","Mississippi",2.55555555555556,1366,1047.5877205,9289.412013,10296.722693,9540.545509,158174.2199,134233.29015,103970.7963,1861.1803215
"11","CLAIBORNE COUNTY","Mississippi",3.88888888888889,1367,1095.954641875,10107.430119,12104.1811655,8243.808608375,163714.818625,85630.3372075,66549.00916,1237.72527595
"12","CLARKE COUNTY","Mississippi",7.55555555555556,1368,564.158315719,12836.18975345,12536.3984529,7469.02577966,165451.34564,136037.58374,136763.33681,1750.65794086
"13","CLAY COUNTY","Mississippi",5,1369,1543.137823075,12300.143008,12001.599686,9399.36812725,121585.371075,189775.77085,64894.2570825,4397.866246
"14","COAHOMA COUNTY","Mississippi",9.22222222222222,1370,1381.06000558,11036.5144315556,9808.91561632222,3760.72126854444,97931.3284222222,111496.014365556,99587.0678255556,2541.67291764444
"15","COPIAH COUNTY","Mississippi",12.8888888888889,1371,1199.638671328,7126.33244756,10543.18513452,7374.054823684,168487.320256,61529.4615856,84424.6623408,4053.448237628
"16","COVINGTON COUNTY","Mississippi",12.1111111111111,1372,626.70035972125,20404.65537,9087.9266703125,6477.8807702875,184537.4532,98640.340885625,115896.70556875,1297.5090294125
"17","FORREST COUNTY","Mississippi",25.3333333333333,1374,824.893381796667,7683.98894958611,8712.1883575,2991.35800118083,152113.492075,101169.134773889,156186.023680556,2422.9875964
"18","FRANKLIN COUNTY","Mississippi",2.66666666666667,1375,1493.447811,16271.72557,15162.04379,10980.933308,115447.93665,114166.05555,62170.413165,9511.142372
"19","GEORGE COUNTY","Mississippi",8.88888888888889,1376,1933.62650195,7033.507786,7149.05913227778,4872.97412103333,148886.172411111,58593.67966,93652.648255,3127.36862869444
"20","GREENE COUNTY","Mississippi",3.66666666666667,1377,1379.928558175,20011.673839625,13508.22682825,5521.90130675,161302.2595375,90418.614125,122313.214575,3695.6877477
