"","County","State","Fatalities.Count","X","DIST_br","DIST_fu","DIST_ho","DIST_in","DIST_li","DIST_ma","DIST_hi","DIST_sc"
"1","ADAMS COUNTY","North Dakota",0.555555555555556,1914,8120.739413,57387.224845,93626.28251,8246.536107,503841.4471,221685.97465,141889.12495,12124.788261
"2","BARNES COUNTY","North Dakota",2.33333333333333,1915,1045.3750041,3251.403725,91668.628195,1833.2280837,323953.8962,389738.1694,232944.50625,2537.387248
"3","BENSON COUNTY","North Dakota",4.77777777777778,1916,9610.27561964286,15418.6522780714,122037.620071429,9647.34849564286,239564.284678571,520980.0909,366152.507035714,4021.04545157143
"4","BILLINGS COUNTY","North Dakota",1.44444444444444,1917,3220.012555,39978.72617,40651.71926,24281.37263,377625.0036,334347.6468,239591.422,1063.251446
"5","BOTTINEAU COUNTY","North Dakota",1.33333333333333,1918,8464.236838,20011.9464025,78737.106565,14044.53506525,281647.732625,557052.0097,477522.7557,3837.199421
"6","BOWMAN COUNTY","North Dakota",1.55555555555556,1919,2539.993602,17353.2662905,86504.597195,11348.2897405,489211.3812,218876.24675,125200.74875,6872.5758475
"7","BURKE COUNTY","North Dakota",0.888888888888889,1920,4173.6804615,45295.720455,44939.84578,5441.8987305,237437.8037,515123.7491,423137.0851,11900.496302
"8","BURLEIGH COUNTY","North Dakota",5,1921,1910.83545296857,5261.86722098571,6656.06563242857,765.584348851429,424450.427185714,356818.677757143,300031.839757143,3765.68241384286
"9","CASS COUNTY","North Dakota",7.77777777777778,1922,1875.755884613,6851.96674383,18173.22597467,3897.705994141,324823.25383,356573.432455,218076.172595,8379.74888125
"10","DIVIDE COUNTY","North Dakota",0.333333333333333,1923,13139.085805,46901.420115,46108.45442,5437.48938393,209161.373,519366.1158,424344.7362,8483.5750095
"11","DUNN COUNTY","North Dakota",2.66666666666667,1924,5060.3847585,27667.935915625,56327.5646025,8014.404293725,373824.0178125,362590.9074,274534.8906,23953.250132375
"12","EDDY COUNTY","North Dakota",0.333333333333333,1925,3427.154374,21379.47655,153594.0819,395.1390055,278005.6423,494334.2523,341306.0765,894.8501334
"13","EMMONS COUNTY","North Dakota",1.44444444444444,1926,9734.071212,14004.53591,56199.36477,10754.91686,444999.1248,340404.1523,295185.7859,31368.65868
"14","FOSTER COUNTY","North Dakota",1,1927,3807.885508,4506.4418295,137638.6468,3533.135798,295515.2486,475344.8884,323132.6896,3123.1271035
"15","GRAND FORKS COUNTY","North Dakota",6,1928,2799.131414925,7684.4501136125,18758.409354,4282.5167785225,211886.8276125,404015.856575,319530.3315125,7174.5240273375
"16","GRANT COUNTY","North Dakota",0.666666666666667,1929,5147.720021,48541.00991,73129.42448,19460.95639,495744.6691,288456.8318,224991.2437,19972.02284
"17","GRIGGS COUNTY","North Dakota",1.11111111111111,1930,13533.75953,29531.86114,105212.4267,10695.63822,252936.4862,476528.8837,319980.0056,9025.302448
"18","HETTINGER COUNTY","North Dakota",0.333333333333333,1931,3652.81122305,43384.36024,52316.19633,9025.8564165,460453.4558,271484.75075,189157.95555,11445.2812185
"19","KIDDER COUNTY","North Dakota",1,1932,21993.79849,44940.2632775,68008.8269675,13719.35498875,374782.3192,409384.353975,308238.11515,13858.53737725
"20","LOGAN COUNTY","North Dakota",0.444444444444444,1933,27319.04504,44914.17683,45324.75026,760.6872709,384850.4918,401569.8577,258638.0362,16986.10017
"21","MCHENRY COUNTY","North Dakota",2,1934,4243.35817425,8195.85094625,67878.80774,5478.46607775,301358.3367,496163.2422,425622.486175,4239.272115425
"22","MCKENZIE COUNTY","North Dakota",6.55555555555556,1935,5323.66976903,21004.4667838,51042.82558055,9681.535675278,302430.196825,414431.4995,319260.231245,11207.44778795
"23","MCLEAN COUNTY","North Dakota",2.88888888888889,1936,3663.148179,26025.9713,75178.74382,4856.375886,371625.9114,418697.6713,350355.8617,9202.105236
"24","MERCER COUNTY","North Dakota",1.77777777777778,1937,4384.83930033333,33115.50306,88434.7411766667,9574.64609466667,393535.479166667,387521.503466667,308774.841266667,24165.2400466667
"25","MORTON COUNTY","North Dakota",4.33333333333333,1938,1703.72452651429,11415.9673832857,25529.8865794286,6245.53484438571,438261.185557143,343066.1859,283125.522357143,5842.51794671429
"26","MOUNTRAIL COUNTY","North Dakota",5.66666666666667,1939,6108.41110303636,21349.0553648182,61126.3254945455,7727.12088981818,311919.441836364,442052.674190909,353703.085527273,25069.3486390909
"27","NELSON COUNTY","North Dakota",0.888888888888889,1940,13419.92527,30482.27179,81141.74128,665.43566,212451.699,488604.2514,360277.6756,8631.916332
"28","OLIVER COUNTY","North Dakota",0.333333333333333,1941,5766.863499,25548.4115,47887.44145,5568.892371,422732.6755,367955.6693,298844.5797,10966.97724
"29","PEMBINA COUNTY","North Dakota",1.88888888888889,1942,3569.09193025,20178.02317875,37388.0499175,3622.251335075,120946.4646875,455732.902775,370506.20585,21368.0974815
"30","PIERCE COUNTY","North Dakota",1.11111111111111,1943,15929.116305,9463.17194,99079.85416,7751.2774955,259480.01595,533705.8006,442628.51515,2030.456584
"31","RAMSEY COUNTY","North Dakota",2.11111111111111,1944,5590.1695872,4600.078848,116327.64945,6371.43185375,227502.2008,529748.11415,378841.755825,3422.3362665
"32","RENVILLE COUNTY","North Dakota",0.777777777777778,1945,9026.1362375,48921.245455,76481.570845,18356.45085,272222.0222,539441.67205,453200.51835,4610.765075
"33","RICHLAND COUNTY","North Dakota",3.44444444444444,1946,5839.97258694111,19287.8234862222,35241.3254244444,7071.88044773556,373211.277455556,312302.805155556,159858.817833333,7670.99357444444
"34","ROLETTE COUNTY","North Dakota",6.11111111111111,1947,11467.2633296667,44119.1558288889,128401.210955556,8539.62213788889,218394.794544444,586907.078355556,485416.6319,5478.50108488889
"35","SARGENT COUNTY","North Dakota",1.44444444444444,1948,2954.796491,22346.90228,81905.39405,6215.631037,389078.3705,316435.2578,159341.3573,6732.684076
"36","SIOUX COUNTY","North Dakota",3.44444444444444,1949,1925.68606666667,48296.2379066667,74737.6277566667,14160.3569716667,482440.880266667,301085.570566667,260239.382966667,21085.6822066667
"37","SLOPE COUNTY","North Dakota",0.444444444444444,1950,5770.889026,23824.025745,67197.04648,16273.918505,455063.8867,252829.1567,157614.37295,3758.131457
"38","STARK COUNTY","North Dakota",3.66666666666667,1951,3117.4085534,14560.340576,22457.3504154,8335.0797848,413302.65126,311344.2275,222369.6753,7652.888469
"39","STEELE COUNTY","North Dakota",1.44444444444444,1952,3446.52542913333,27814.02541,64580.0607133333,7026.74041239333,272620.384333333,425389.897366667,275528.6845,25231.17838
"40","STUTSMAN COUNTY","North Dakota",3.11111111111111,1953,3773.2907753875,9294.8310474875,101361.8763575,5215.9253697375,334611.59615,411572.2001125,259131.3055,2445.3506261375
"41","TOWNER COUNTY","North Dakota",0.555555555555556,1954,13113.50013,52735.98485,140024.2967,21473.44702,167152.3517,575082.3984,474722.4368,45136.08068
