"","County","State","Fatalities.Count","X","DIST_br","DIST_fu","DIST_ho","DIST_in","DIST_li","DIST_ma","DIST_hi","DIST_sc"
"1","ADAMS COUNTY","Nebraska",4.44444444444444,1604,975.39465445,9142.42293416667,6853.80880508333,6181.44446216667,227700.79845,217899.615416667,162796.337933333,3873.39240283333
"2","BANNER COUNTY","Nebraska",0.555555555555556,1605,908.1719818,19519.32978,19543.34732,1150.199582,151814.817,192748.5467,80721.69928,17520.45502
"3","BOONE COUNTY","Nebraska",0.777777777777778,1606,353.444096965,10302.918705,10225.148612,10466.279945,154363.95135,156487.14825,127691.19775,4881.747058
"4","BOX BUTTE COUNTY","Nebraska",2,1607,3736.080153,61826.404385,10069.2812055,4534.9793065,252553.3931,211212.6599,61347.751705,3637.67254
"5","BROWN COUNTY","Nebraska",0.888888888888889,1608,10213.253572,18345.6375,18220.93879,16470.585935,279930.3641,270831.36,185774.02775,1450.12134215
"6","BUFFALO COUNTY","Nebraska",9.22222222222222,1609,1145.033977713,5478.44611752,6767.546671548,6521.9094101,268487.69947,258305.67419,159193.62025,1976.23820646
"7","BUTLER COUNTY","Nebraska",3.11111111111111,1610,1695.33521025,31235.65006,11931.825926,6930.29718815,98841.8497475,88576.3394,70160.9785375,3460.6916048
"8","CASS COUNTY","Nebraska",5.88888888888889,1611,1190.66719722222,12082.2989244444,6323.26627944444,3492.63903084444,49787.0186766667,45530.8869877778,24022.350606,1851.56292146333
"9","CEDAR COUNTY","Nebraska",1.55555555555556,1612,1541.256219,7153.61264766667,10557.9912686667,6863.72355633333,90608.9531566667,93770.6466633333,11924.5634113333,5151.42118466667
"10","CHASE COUNTY","Nebraska",0.555555555555556,1613,7197.392566,49071.53959,5280.019314,7781.20493,274512.9793,278687.9942,90198.33547,6247.79297
"11","CHERRY COUNTY","Nebraska",2.33333333333333,1614,7996.76120791667,68432.4227983333,20217.5290471667,14583.8135756667,352275.902316667,232615.21625,146057.8691,2627.20430783333
"12","CHEYENNE COUNTY","Nebraska",3.11111111111111,1615,1671.978318,11030.75233,11314.52024,9119.495884,195629.3307,218913.9585,46644.96445,2032.573382
"13","CLAY COUNTY","Nebraska",3.11111111111111,1616,4782.141372,26020.68761,10847.95752,5722.664435,207104.705,197725.8118,170508.1238,5628.162801
"14","COLFAX COUNTY","Nebraska",1.66666666666667,1617,1328.26029273333,42355.9619533333,11074.033527,10586.1978456667,94483.6134933333,84763.2394266667,76321.1561233333,1664.64519653333
