"","County","State","Fatalities.Count","X","DIST_br","DIST_fu","DIST_ho","DIST_in","DIST_li","DIST_ma","DIST_hi","DIST_sc"
"1","ATLANTIC COUNTY","New Jersey",44,1699,1721.44491848333,9786.20643650952,9725.77332610476,3160.63177957302,40410.7647047619,11005.1437718889,67067.3629257143,3517.02705563333
"2","BERGEN COUNTY","New Jersey",37.5555555555556,1700,393.264672957576,3767.22647584697,3237.3161783303,987.847474206061,7611.4586749697,7261.20433165,14419.6547660606,645.595373229849
"3","BURLINGTON COUNTY","New Jersey",47.8888888888889,1701,914.835635866626,6690.52761354337,9458.72575789277,2922.17692198277,17539.454566,19434.9584329639,22646.4379565181,3762.88532983253
"4","CAMDEN COUNTY","New Jersey",41.4444444444444,1702,770.644049585181,4066.75595625181,4638.63407854578,1325.99700334446,5384.42808853012,12247.2238745422,27096.3546309639,1442.05894475145
"5","CAPE MAY COUNTY","New Jersey",13.5555555555556,1703,1399.83894690833,8139.110324575,20342.3479735833,2068.34998915833,51977.3623133333,32110.9879358333,65550.0693691667,4436.53033775
"6","CUMBERLAND COUNTY","New Jersey",26.3333333333333,1704,2396.97008653636,10123.9353542045,13210.1725271364,3928.17979191136,31275.3597193182,33951.4221088636,46095.0336697727,4300.43152890682
"7","ESSEX COUNTY","New Jersey",52.6666666666667,1705,513.720608814382,2043.70619770449,1653.40949145056,1002.81390958843,3344.02422247787,8956.20643598876,5990.31120482247,510.347247837528
"8","GLOUCESTER COUNTY","New Jersey",31,1706,1414.04089015674,7112.54143348837,10588.8053549535,2532.28922865116,7109.22420205116,14873.2213691628,27528.7292983721,2650.59157175814
"9","HUDSON COUNTY","New Jersey",25.8888888888889,1707,438.672212785102,1957.75311216939,1629.81838603551,682.871352157143,1985.2628269049,4406.97907197347,4775.90866628571,544.963693858571
"10","HUNTERDON COUNTY","New Jersey",10.4444444444444,1708,618.132376922273,15787.0689469545,8186.65420645455,4749.658111,19300.0508463636,35098.9005631818,7946.08890628636,1913.70188658182
"11","MERCER COUNTY","New Jersey",27.3333333333333,1709,673.9677084285,2352.904483814,4366.9500983175,1321.12030305875,6597.087367445,8863.2408117,2178.20077082225,1199.643169656
"12","MIDDLESEX COUNTY","New Jersey",52.3333333333333,1710,601.666718163371,4318.95889551011,4800.24581065618,1684.96944844292,4202.44852820011,6074.1233773191,17109.6560345169,1015.50294338697
"13","MONMOUTH COUNTY","New Jersey",49.4444444444444,1711,891.317850166622,5960.79479276216,5509.16044818108,2111.03487247135,11704.7505406081,10866.1807736243,27237.8458828108,1691.13303783243
"14","MORRIS COUNTY","New Jersey",28.3333333333333,1712,577.614095193404,5802.7023611,5003.16214550851,1827.1252144166,18470.0551004255,10872.5928972574,27675.3972551064,1086.03191623191
"15","OCEAN COUNTY","New Jersey",55.2222222222222,1713,1059.36260789879,5890.42403467677,5319.58256996364,3243.38597839667,14606.3074186111,13503.8012370727,16228.2340607475,2018.5176038798
"16","PASSAIC COUNTY","New Jersey",28.2222222222222,1714,700.383530333061,4682.82308835918,4496.92370563265,1864.65658623694,10576.6288821224,11832.0207285918,23020.7030665306,675.221169269592
"17","SALEM COUNTY","New Jersey",17,1715,1415.07538838182,8163.60007691364,14845.8959728182,3570.15706639545,14737.0606919091,29016.4815677273,18170.464654,3472.07011162273
"18","SOMERSET COUNTY","New Jersey",19.2222222222222,1716,686.146296850682,4453.52485390455,5077.24190896364,2696.23768260227,11751.8509535227,19160.364589,10186.4569404773,1710.79677876136
"19","SUSSEX COUNTY","New Jersey",14.6666666666667,1717,1339.13959056682,10309.3598505,21057.4289494545,3390.86432591818,35748.5455179091,27244.1789871818,39037.8461666364,4480.11779207273
"20","UNION COUNTY","New Jersey",37,1718,355.013671771346,2311.06322356327,2073.11474714423,1219.13317337269,2524.47235959404,5938.32096351923,11791.8435742692,614.363227058654
"21","WARREN COUNTY","New Jersey",13.2222222222222,1719,686.0727198,20561.8827265455,12779.3096204091,5373.22342795909,23030.2624494091,34208.7755509091,13590.3980359545,4075.45799418182
