"","County","State","Fatalities.Count","X","DIST_br","DIST_fu","DIST_ho","DIST_in","DIST_li","DIST_ma","DIST_hi","DIST_sc"
"1","CHURCHILL COUNTY","Nevada",7.44444444444444,1674,2223.8849548,19617.1378527833,20960.6214541167,7894.87615986111,236946.832905556,90076.0670633333,109198.027546111,13260.6938598833
"2","CLARK COUNTY","Nevada",208.333333333333,1675,1199.41805885563,7296.35270555364,6528.52729800243,3705.95234897235,265840.937825911,15887.7875054182,11541.1075230368,2784.06675839555
"3","DOUGLAS COUNTY","Nevada",7.88888888888889,1676,3096.43321057857,10398.9512802143,22898.6514228571,7335.4515334,134998.720464286,63208.6893185714,6239.66701838571,4585.01312217857
"4","ELKO COUNTY","Nevada",17.1111111111111,1677,10873.3903027292,32974.8013101,70051.2466064583,15452.714078725,588761.601320833,255228.3771375,31745.70982265,12835.3192619167
"5","ESMERALDA COUNTY","Nevada",3.22222222222222,1678,19770.1586896667,99602.63037,26791.8536466667,14384.2940733333,299791.41295,254249.6818,11559.1738931667,18208.23616
"6","EUREKA COUNTY","Nevada",2.44444444444444,1679,5833.58785517778,63171.8515011111,30690.0095013333,13141.6789565556,463096.4272,316559.571188889,75164.7035144444,13850.1376527778
"7","HUMBOLDT COUNTY","Nevada",6.22222222222222,1680,10516.1701243,127967.378126,19896.079592,13302.94073946,399905.47232,257752.9591,151346.89424,18984.55128
"8","LANDER COUNTY","Nevada",3,1681,6851.49245328571,74222.4170557143,40671.9067507143,8664.7384252,420949.286671429,271517.149885714,105008.989798571,10726.9293612857
"9","LINCOLN COUNTY","Nevada",4.66666666666667,1682,22997.9261631429,98800.5291571429,62618.565233,34118.2861642857,403357.863,136426.571171429,29670.5203287143,31249.631413
"10","LYON COUNTY","Nevada",10,1683,4179.71807005882,12357.6157125471,22926.6219767647,7350.9933611,178986.154688235,45016.1000041176,57320.6407317647,7099.81085323529
"11","MINERAL COUNTY","Nevada",2.66666666666667,1684,9999.28176866667,29344.9060133333,22552.6370916667,9100.89932833333,235641.325433333,134413.29323,80893.33727,11302.879182
"12","NYE COUNTY","Nevada",18.4444444444444,1685,12995.8236542069,73894.3307058621,43525.4960646552,16037.0212263793,287897.494072414,133401.150348966,71902.4685841379,16216.8518934034
"13","PERSHING COUNTY","Nevada",3.33333333333333,1686,2564.7341373,122448.325296667,35083.7944626667,11050.3394566667,322431.303166667,174917.469966667,197067.666216667,9526.92246233333
"14","WASHOE COUNTY","Nevada",36.3333333333333,1687,1490.97845489745,7212.81246616545,5628.07539714364,2532.64774476909,160766.607341818,17806.3925432909,67937.5473674546,1724.01942934218
"15","WHITE PINE COUNTY","Nevada",4.66666666666667,1688,41081.9601591429,55484.0515755714,48847.9047654286,10904.7764215143,550955.042442857,256781.559857143,25069.5123378571,24599.4625617286
