"","County","State","Fatalities.Count","X","DIST_br","DIST_fu","DIST_ho","DIST_in","DIST_li","DIST_ma","DIST_hi","DIST_sc"
"1","ALBANY COUNTY","New York",19.1111111111111,1753,992.120718525152,2442.58260017576,4201.85762766061,898.216648921515,191768.970612121,138457.188363636,6465.40666806061,1756.34697767879
"2","ALLEGANY COUNTY","New York",7.66666666666667,1754,1321.2066727,18241.0063738889,28246.46626,3935.57837704444,108821.102327778,95303.8484444444,145073.531744444,6649.80408577778
"3","BRONX COUNTY","New York",47.4444444444444,1755,356.10040544809,1646.41615070371,1078.60781342449,350.901048679551,573.864886591461,14719.2471993258,8402.33964060674,315.679621960225
"4","BROOME COUNTY","New York",15.3333333333333,1756,953.166988438462,9399.95252984615,10565.9452468731,2340.92206915,168119.012784615,108999.064441538,134813.690996154,4061.13839354615
"5","CATTARAUGUS COUNTY","New York",12,1757,1380.34878600133,17274.8238523,17315.122816,3736.63341526133,122956.93494,58849.4984966667,148000.895066667,7673.28694228333
"6","CAYUGA COUNTY","New York",10.6666666666667,1758,2488.85832853154,10028.9813553077,11626.9895283846,3569.94459651385,86959.7977969231,35144.7038784615,174472.337307692,4493.05055156154
"7","CHAUTAUQUA COUNTY","New York",16.3333333333333,1759,1175.80496232273,8974.14150557727,18218.2879934091,4625.62667045455,112034.684670455,25865.5673825455,159074.056595455,2652.16774025909
"8","CHEMUNG COUNTY","New York",8.88888888888889,1760,721.368743614286,8132.36709485714,6322.48194559524,2431.61511340333,129891.830733333,109409.720757143,184296.812038095,2006.81679081429
"9","CHENANGO COUNTY","New York",7.66666666666667,1761,1606.07018401154,18480.0791855385,18403.9308377692,3665.32718481154,178736.420507692,83957.1558092308,102432.085256154,4114.80528824615
"10","CLINTON COUNTY","New York",9.88888888888889,1762,1512.43353688571,19875.5354024286,35897.7610392857,6625.75952899286,74192.7766957143,261121.337964286,78516.9009621429,5527.26467255
"11","COLUMBIA COUNTY","New York",9.33333333333333,1763,1346.374716275,8521.433041,9726.96243933333,2468.778059225,142552.729883333,96512.2643358333,35072.4530091667,3585.16237916667
"12","CORTLAND COUNTY","New York",4.55555555555556,1764,1630.95994043333,12613.573167,34867.23675,5735.570292,134824.296,49593.2512433333,140355.6905,2934.62541033333
"13","DELAWARE COUNTY","New York",10.5555555555556,1765,1074.62894859375,19328.74611475,26500.9627588125,5905.9818804,155413.5125375,123674.04434375,69180.554531875,5171.27437608313
"14","DUTCHESS COUNTY","New York",27.4444444444444,1766,1027.71892433143,14729.8265593714,10614.3315912571,2897.97221840686,81140.0249711429,42866.5647817143,15934.8561322086,3292.26981017714
"15","ERIE COUNTY","New York",59.2222222222222,1767,891.391986503034,6618.27541811348,6677.12072462011,2261.24605601809,86059.0360568539,92400.8049159551,211573.680179775,1866.36733240112
"16","ESSEX COUNTY","New York",8.55555555555556,1768,2144.66779211,31872.122215,24433.6963624,4234.28000434,136071.91147,217291.85632,59994.496974,9608.9532526
"17","FRANKLIN COUNTY","New York",7,1769,2560.15268040769,28325.4087921538,20271.3133795846,5816.59916473077,83245.2723246154,231934.445346154,55520.1937515385,8012.83894668461
"18","FULTON COUNTY","New York",8.77777777777778,1770,1925.48976520571,11738.0552206429,10014.2394115,2482.05475233786,233071.668585714,149590.491678571,19576.110717,3957.70862751429
"19","GENESEE COUNTY","New York",11,1771,1266.06614351538,28101.0294776923,11322.4261999231,3403.01140744231,46328.7001430769,61110.9950569231,228753.5046,4986.51263753846
"20","GREENE COUNTY","New York",8.88888888888889,1772,1717.843947625,16024.36223575,14179.3992988333,3540.969373045,145380.017883333,108160.423223333,35712.317895,5913.31000991667
