"","County","State","Fatalities.Count","X","DIST_br","DIST_fu","DIST_ho","DIST_in","DIST_li","DIST_ma","DIST_hi","DIST_sc"
"1","ADAMS COUNTY","Ohio",5.11111111111111,1960,1295.6298222175,27044.20836,15057.6813924167,5513.46143900833,105527.1270875,132989.327808333,82926.661505,1345.37960335
"2","ALLEN COUNTY","Ohio",11.2857142857143,1961,669.076298362,8016.24276113333,7118.63036795333,4349.59337843667,94157.09424,8482.13551712,47424.981772,1951.35409481333
"3","ASHLAND COUNTY","Ohio",7.85714285714286,1962,936.179257077895,20112.6230510526,9045.7472101579,5423.74402088579,58838.7828489474,63416.5226210526,17923.3413012105,2774.07707872632
"4","ASHTABULA COUNTY","Ohio",17.7142857142857,1963,1132.47957716875,38501.6610866667,16931.7257714167,4444.47888685,59187.98117625,43066.0382854167,89352.3532908333,3180.13560032083
"5","ATHENS COUNTY","Ohio",9,1964,1490.98919969167,31217.8098316667,9923.88392525,6038.31748583333,89610.216545,120992.642871667,38962.4449875,3212.31094859167
"6","AUGLAIZE COUNTY","Ohio",7,1965,859.756495870909,9695.48233481818,10474.3820155455,5872.13276654545,77161.37816,26936.6554945455,56025.7733663636,1313.28296608182
"7","BELMONT COUNTY","Ohio",10.5714285714286,1966,668.682427307059,15468.5905833529,9818.69449474118,3845.50721121412,122771.038276471,81749.6502217647,9330.33176170588,2062.69595954118
"8","BROWN COUNTY","Ohio",6.85714285714286,1967,1562.40851112857,18787.9264814286,15922.4710232857,4241.87098457143,74007.4731971429,115158.268505714,78055.6937842857,1237.86156648571
"9","BUTLER COUNTY","Ohio",28.4285714285714,1968,1094.61381471489,5736.15923984936,7303.68660508723,2620.79369615894,8792.23153798511,78719.507882766,41824.9757651064,964.996050856383
"10","CARROLL COUNTY","Ohio",4.14285714285714,1969,1149.09555519625,24535.58778375,24852.7840725,6182.39896975,59458.37757625,61089.97721875,9435.04199825,1878.9879876
"11","CHAMPAIGN COUNTY","Ohio",6.57142857142857,1970,1604.53860397,13388.5221724,13270.019011,8351.62262365,21584.4164493,23082.943087,40965.164,1540.91185871
"12","CLARK COUNTY","Ohio",18.7142857142857,1971,1154.53564319846,6788.94957425769,8653.68930869231,4243.15044533462,11177.1336716731,13674.1471291154,24237.9009952308,1826.57329252308
"13","CLERMONT COUNTY","Ohio",19.2857142857143,1972,1399.61963724706,6610.03367252941,8025.05568652941,3515.27267372941,46882.742355,101718.655411471,73770.3730194118,1166.55797433824
"14","CLINTON COUNTY","Ohio",9.14285714285714,1973,1194.81461413312,19728.497099125,13754.5287893125,5906.5772635125,43441.91149375,61173.509958125,35195.177105625,2693.6044811875
"15","COLUMBIANA COUNTY","Ohio",14.2857142857143,1974,1150.33398277474,19577.839234,11635.1991152105,4547.20767121211,45311.4394868421,33234.9930910526,15301.9843904526,2579.63557946842
"16","COSHOCTON COUNTY","Ohio",6.85714285714286,1975,1305.58188234917,11377.3377093333,13137.5093698333,9678.40692216667,80337.418985,94751.1554058333,11070.20263275,1104.72793361667
"17","CRAWFORD COUNTY","Ohio",6.71428571428571,1976,1086.94876075,24906.9020425,8430.318131375,6229.86622300833,80822.9493758333,85723.3041308333,48439.4562666667,2178.00395606667
"18","CUYAHOGA COUNTY","Ohio",69.8571428571429,1977,752.494631701983,3225.33286447931,2131.05500976897,1251.10148990655,3284.42445599207,18722.800586944,18807.5027426526,583.365674555172
"19","DARKE COUNTY","Ohio",8.71428571428571,1978,940.541484492308,13835.1543696923,10067.9708415385,9709.87945461538,42087.4548507692,61045.2912692308,49065.2454153846,3079.97373086154
"20","DEFIANCE COUNTY","Ohio",5.42857142857143,1979,1719.959714,12355.3114984444,7061.51878663333,5692.7010269,70917.0942933333,53367.5613866667,17302.6521745556,2508.57217724444
