"","County","State","Fatalities.Count","X","DIST_br","DIST_fu","DIST_ho","DIST_in","DIST_li","DIST_ma","DIST_hi","DIST_sc"
"1","ADAMS COUNTY","Pennsylvania",20,2160,1363.92138521615,13878.4351228462,22014.7096913462,3763.32682886923,33113.1057561538,79520.6143126923,10395.8073661538,1647.65453785
"2","ALLEGHENY COUNTY","Pennsylvania",75.8888888888889,2161,578.385233968099,3241.7819029319,6083.78058141901,1459.99945551248,99762.5686226446,10292.893751,17672.6133231488,1063.69368217835
"3","ARMSTRONG COUNTY","Pennsylvania",12.2222222222222,2162,874.808403547826,17423.203990087,26593.417883913,4489.69711694783,112924.026973913,38986.4878265217,43010.4514017391,2590.29033688696
"4","BEAVER COUNTY","Pennsylvania",17,2163,981.436135054706,6770.34537820588,9384.23970332353,2971.30178463794,59611.1727258824,31020.9595967647,10517.17094015,2244.82342771618
"5","BEDFORD COUNTY","Pennsylvania",16.5555555555556,2164,954.501957281154,16122.5579896154,17647.8436635769,7479.76850888846,48738.4246684615,103272.132322308,27140.8675295577,2824.16842532692
"6","BERKS COUNTY","Pennsylvania",52.2222222222222,2165,706.045019028608,11039.6672677177,9467.24914056456,3232.48186196367,67597.1326439241,47159.3671743038,59182.9412344304,3295.33177777494
"7","BLAIR COUNTY","Pennsylvania",16.8888888888889,2166,658.284659591724,11281.9425983793,9814.40959072414,2639.9347515069,99237.6188675862,121396.852851724,46584.0759568966,2123.25219708276
"8","BRADFORD COUNTY","Pennsylvania",10.8888888888889,2167,1038.45580856897,34238.7117006897,28732.6779638966,6119.90404577966,158349.467417241,140373.750865517,140697.664575862,4336.63960843103
"9","BUCKS COUNTY","Pennsylvania",61.5555555555556,2168,661.270287507879,4956.66035896626,7554.83317755859,1777.3173379798,13949.3744228788,9447.37721457273,18767.3535341313,1105.61591857616
"10","BUTLER COUNTY","Pennsylvania",25.3333333333333,2169,1160.39932612128,16043.8503674103,13580.9107448718,3978.72331261974,71842.1997397436,40275.300064359,37182.5616771795,2014.66351334359
"11","CAMBRIA COUNTY","Pennsylvania",17.1111111111111,2170,888.334812155,13024.45610349,10004.5131833367,3637.75798276667,84638.3973586667,92057.667019,43848.194577,3031.674327399
"12","CAMERON COUNTY","Pennsylvania",0.777777777777778,2171,2895.58069,56921.10509,37834.65749,6429.750728,185227.2337,124915.2045,56050.255115,7636.572843
"13","CARBON COUNTY","Pennsylvania",13.1111111111111,2172,1577.602197949,13785.9422518,18500.0920972,4163.050850885,57139.475153,38124.9461445,48676.0788055,4932.759039245
"14","CENTRE COUNTY","Pennsylvania",18.7777777777778,2173,1085.48987828552,12948.9953052045,31812.3455482759,4117.82048582138,135894.100151724,164432.608031034,59052.7398558621,3159.76515974483
"15","CHESTER COUNTY","Pennsylvania",45.6666666666667,2174,822.173211702656,8797.92962444688,8724.04831673438,2092.56286599484,26890.9626824688,28030.7436642031,21889.3083435,1853.30443783641
"16","CLARION COUNTY","Pennsylvania",10.5555555555556,2175,1917.94579595563,12401.0800269562,27940.12736625,4102.16436424187,108530.61149875,77748.939835,76193.440829375,2434.17855618125
"17","CLEARFIELD COUNTY","Pennsylvania",19.7777777777778,2176,1123.25728931394,27989.6809912121,27253.9426091212,4809.95046185455,150541.278381818,121351.453478788,19384.8920566667,2551.78842865455
"18","CLINTON COUNTY","Pennsylvania",8.22222222222222,2177,1522.59142306818,17377.4290261818,11861.6495571818,4550.93976903636,168550.771245455,169705.170436364,85431.6504127273,4952.73904458182
