"","County","State","Fatalities.Count","X","DIST_br","DIST_fu","DIST_ho","DIST_in","DIST_li","DIST_ma","DIST_hi","DIST_sc"
"1","ANDERSON COUNTY","Texas",15.8888888888889,2428,1617.31943878182,11052.3910111364,12006.4672289091,8032.27904562273,91413.5086845454,68523.2384754545,151984.821590909,4314.87449549091
"2","ANDREWS COUNTY","Texas",6.77777777777778,2429,23936.8294032353,14572.9513714941,18169.2798410588,12494.7430854588,331280.803376471,47060.1303035294,163341.714564706,14405.6503426706
"3","ANGELINA COUNTY","Texas",17.2222222222222,2430,1826.19175283808,12227.0285201923,11978.7326251923,4748.31767823846,8901.53376819808,118040.719084615,204101.377603846,4657.8140663
"4","ARANSAS COUNTY","Texas",4.88888888888889,2431,2002.110228405,19674.5432505,20101.3676033,5748.22701688,50636.537003,199366.17927,182738.74482,6413.9219898
"5","ARCHER COUNTY","Texas",3.44444444444444,2432,1895.9019819,14456.55664,18330.372421,6422.845642,155427.92575,173261.2019,205766.24015,9643.6436195
"6","ARMSTRONG COUNTY","Texas",1.44444444444444,2433,7041.84067168,19239.557182,39867.419568,17390.2505638,39499.94765,338810.0607,163592.51054,11886.527073
"7","ATASCOSA COUNTY","Texas",10.6666666666667,2434,1930.17640788107,28856.1788396679,19034.0954331786,8049.02404675714,62056.1909007143,60731.8032589286,139621.063285714,13325.6261188929
"8","AUSTIN COUNTY","Texas",9.66666666666667,2435,1113.11643565231,16733.1960776923,17850.9548885385,8530.89260276615,55375.3114830769,43974.2871592308,50095.9552276923,4072.46836701538
"9","BAILEY COUNTY","Texas",1.55555555555556,2436,6223.123209,5410.395669,5614.555262,4622.011212,125911.775,250918.1306,103985.0788,5142.61778
"10","BANDERA COUNTY","Texas",6.88888888888889,2437,2315.69459177273,16809.600265,37267.4311209091,15938.1592397364,63411.1810318182,59187.3840154545,66823.6730909091,15838.6486168182
"11","BASTROP COUNTY","Texas",21.1111111111111,2438,1903.658274806,13422.93731772,22154.55587976,5215.175298504,10040.93417292,42174.9770316,32693.863306,3801.311844988
"12","BAYLOR COUNTY","Texas",1.77777777777778,2439,1625.24745013333,40518.1356366667,7709.564695,2665.54282891667,193310.8699,208041.494233333,238130.238133333,7198.79879966667
"13","BEE COUNTY","Texas",5.55555555555556,2440,823.870602957143,11966.3512054286,11991.7038182857,7763.62190142857,79422.0807642857,140210.415714286,202420.4473,11480.1502218571
"14","BELL COUNTY","Texas",41.6666666666667,2441,793.531950766875,6438.9620688275,9038.82238774,4631.86902207988,20964.85802335,53670.88528575,28783.4260779375,2975.903433925
"15","BEXAR COUNTY","Texas",157.888888888889,2442,496.490103843154,3224.84840553559,5622.72181395233,2116.94740822667,14713.7916900455,14448.6235050072,84954.3676903226,1637.46520332477
"16","BLANCO COUNTY","Texas",5.66666666666667,2443,2137.58036085,10661.1981728125,27422.24571375,6257.8028986875,55586.16200375,53024.24299125,36652.3884575,10579.759339375
"17","BORDEN COUNTY","Texas",1.11111111111111,2444,20770.26722,15539.78644,35858.91665,27109.5466,250769.206,110865.7804,73678.29416,15378.55388
"18","BOSQUE COUNTY","Texas",5,2445,1016.48527931667,15578.2889885,14090.4729685,17246.4861716667,66518.541785,102885.116006667,109144.37401,13686.1602445
"19","BOWIE COUNTY","Texas",18,2446,983.496274859333,18156.2058064333,10406.7773625567,3485.80299016,99823.1368546667,110475.796745667,40627.034334,4134.23377503767
"20","BRAZORIA COUNTY","Texas",36.2222222222222,2447,1169.86784813019,10572.2303609132,12358.9872548302,5158.84747466547,18598.1678382679,43803.9434911887,42892.486765283,4540.09484330755
"21","BRAZOS COUNTY","Texas",21.6666666666667,2448,945.608154016207,5680.61313134483,8053.92164710345,3593.10771479448,75783.7418868965,88968.0670672414,96445.7710324138,3196.31090044483
"22","BREWSTER COUNTY","Texas",1.22222222222222,2449,107.5332457,59723.69357,115796.1887,1744.113931,371528.4308,329916.5066,306791.4501,33376.75652
"23","BRISCOE COUNTY","Texas",0.555555555555556,2450,12369.91774,23933.8037,31685.15497,20257.6351,69327.96329,299552.8074,124895.6002,130.8139211
"24","BROOKS COUNTY","Texas",6.11111111111111,2451,12249.0447491857,53410.52996,56825.4994142857,9959.59105271714,108573.681751429,89502.5974814286,345571.0296,24788.1826393429
"25","BROWN COUNTY","Texas",6.33333333333333,2452,1450.4380030625,38429.00468375,39479.61821625,7147.33405940125,137341.9668625,173693.2,146615.0587375,6795.758399925
"26","BURLESON COUNTY","Texas",7,2453,1711.14274015,25526.1402314286,17179.6046552857,6841.96326700429,72002.5690735714,97078.2174864286,72306.3479442857,7990.72745714286
"27","BURNET COUNTY","Texas",14.4444444444444,2454,1682.47744168208,10427.8122969583,10353.5793697408,8713.62363198333,53269.53591,49135.2979291667,25847.70086375,7338.85466162083
"28","CALDWELL COUNTY","Texas",9.88888888888889,2455,1335.32568607,10242.22487515,20083.34434365,5946.825690012,38265.134976,46562.497232,61824.8880425,8197.05110915
"29","CALHOUN COUNTY","Texas",4.11111111111111,2456,1618.72075678333,28610.5454253333,16685.8891603333,8181.46077083333,15712.6638878333,152628.836883333,117509.423248333,8047.70964033333
"30","CALLAHAN COUNTY","Texas",5.77777777777778,2457,960.217067435,14942.451833,30855.83829,4694.27276375,191467.398825,216236.22665,222677.759425,11142.5752682
"31","CAMERON COUNTY","Texas",36.3333333333333,2458,1274.13143876031,7876.77731847662,7981.24135242615,3935.32365596738,177919.722787692,23656.7262394923,405158.424484615,2736.49577504062
"32","CAMP COUNTY","Texas",3.88888888888889,2459,1614.33712368571,19027.2538114286,6599.09381632857,6089.11048,48980.6080785714,50261.6912571429,72585.9023342857,5680.98715912857
"33","CARSON COUNTY","Texas",5.22222222222222,2460,2205.43064849556,11181.2090437778,27429.4155366667,8252.2455979,38635.29762,350143.931722222,194674.588277778,5600.951515
"34","CASS COUNTY","Texas",9,2461,1471.57031072273,15066.257977,14705.2970871364,6994.50419301364,63441.4067372727,78052.3050754545,18165.3704946818,9262.55416827273
"35","CASTRO COUNTY","Texas",2.33333333333333,2462,9621.4692955,7936.0287355,5764.522032,6125.5583695,80744.598055,282473.09035,117580.0301,5691.035334
"36","CHAMBERS COUNTY","Texas",16.3333333333333,2463,1479.31520276778,6846.94035982778,16152.8449839444,5693.97976185556,54139.0288711111,25994.8974317222,60736.9477227778,6305.57334578889
"37","CHEROKEE COUNTY","Texas",18,2464,1444.189539475,12509.2373661333,11204.3809409333,6253.13569812967,56559.9936276667,45979.438363,165248.6849,6359.73164781333
"38","CHILDRESS COUNTY","Texas",1.66666666666667,2465,1060.31095125,27665.0654,26893.646235,6449.71726169,160904.9993,260574.1683,189990.5743,9300.8450895
"39","CLAY COUNTY","Texas",5.55555555555556,2466,540.798213996,18207.2939299,14004.3727984,6731.326975921,125511.73884,148882.93835,179272.05859,9239.1242151
"40","COCHRAN COUNTY","Texas",0.888888888888889,2467,38158.39241,19335.653015,20337.401555,8328.14785959,197909.82455,177339.0101,81264.99425,13791.874075
"41","COLEMAN COUNTY","Texas",3.44444444444444,2468,1425.74980055,16258.8027176667,15178.0597928333,8833.93668884,179944.164916667,212413.223283333,185441.203066667,10327.350811
"42","COLLIN COUNTY","Texas",43,2469,623.754177064478,5219.00177115925,9918.80772021791,3946.92301627493,7570.47779865687,18876.2233331194,42809.2728432836,2712.3223476209
"43","COLLINGSWORTH COUNTY","Texas",1.33333333333333,2470,232.25724005,18028.3534,14926.16458,16619.286865,138171.19795,258939.8831,206775.48855,15130.42616
"44","COLORADO COUNTY","Texas",11.2222222222222,2471,843.644924895833,10443.3969429167,8541.32401575,7053.987278,80243.557005,67346.9371691667,55164.1207241667,4884.25198775
"45","COMAL COUNTY","Texas",17.3333333333333,2472,1116.85021333032,7272.43783570968,9472.37366180968,4115.4275623,46057.2616264516,28099.0905183548,68291.9964103226,5194.04835941548
"46","COMANCHE COUNTY","Texas",3.55555555555556,2473,1560.71401516667,5422.19272566667,5901.09834766667,4448.40744203333,116036.868066667,156441.147933333,143274.0886,3306.51417566667
"47","CONCHO COUNTY","Texas",1.22222222222222,2474,787.21306665,22404.10607,35254.10435,23132.022675,207447.6477,219173.72295,177468.55765,31447.801525
"48","COOKE COUNTY","Texas",8.22222222222222,2475,745.064704789231,9704.91682316923,11211.7770093077,10285.7137202692,40665.2127892308,54012.4089453846,96081.2194207692,7327.72402301538
"49","CORYELL COUNTY","Texas",7.77777777777778,2476,838.686203382105,22467.7871761053,12607.4363215789,6704.06147987579,26957.3377773684,75188.6857726316,50207.5120368421,4003.40081053158
"50","COTTLE COUNTY","Texas",0.888888888888889,2477,2376.287562,71469.12796,56743.85448,16278.1271315,177751.5599,284911.60895,149663.51545,17499.5074865
"51","CRANE COUNTY","Texas",1,2478,3912.057013,37198.14237,38375.66334,15277.78089,339056.7906,71812.81999,206231.2226,19007.38444
"52","CROCKETT COUNTY","Texas",3,2479,1504.2397973425,39486.937555,38659.656487875,6937.10384425,302392.444175,162650.3225125,254976.6013375,15769.399723375
"53","CROSBY COUNTY","Texas",1.33333333333333,2480,7159.46663823333,10498.9670773333,10498.3074813,9622.25603382667,170534.978533333,202282.260966667,50534.7427066667,7260.5712253
"54","CULBERSON COUNTY","Texas",3.77777777777778,2481,1435.91446125714,45206.7874628571,79697.4023657143,24035.6714312857,183435.568442857,189594.181542857,75068.6068771429,35196.9842285714
"55","DALLAM COUNTY","Texas",1.88888888888889,2482,389.4980625,30276.64694,30976.90265,19805.5935,117692.7489,365978.2836,176736.8468,20146.96034
"56","DALLAS COUNTY","Texas",217.555555555556,2483,349.091155255305,2214.04230093732,4645.44618615152,1032.32103276186,2033.55791986841,12908.8200983701,13515.9348347899,975.780563569756
"57","DAWSON COUNTY","Texas",2.66666666666667,2484,11425.14123175,19160.10628925,17969.623296,8684.7734401,273598.681325,79211.5439025,97624.589665,17213.5773605
"58","DEAF SMITH COUNTY","Texas",4,2485,3643.61310233333,10662.1266548333,13949.0100001667,7980.803148,52815.1416883333,324826.8436,124060.787066667,10110.3365556767
"59","DELTA COUNTY","Texas",2.11111111111111,2486,2060.50246,21597.85719,10464.5405795,12833.522355,87187.74287,92147.8813,122815.1496,3563.3915115
"60","DENTON COUNTY","Texas",42.1111111111111,2487,741.852738286032,3992.32384422381,10603.816572146,4887.31774370206,7819.63376229365,28294.1701076032,51108.4484934921,3460.72665828571
"61","DICKENS COUNTY","Texas",0.555555555555556,2489,705.325099,26779.89051,22265.58948,16527.92815,184110.1262,211904.4126,78817.86323,19622.65615
"62","DIMMIT COUNTY","Texas",3,2490,875.025165056,15783.633962,19007.847238,7129.6287166,151374.65624,145697.20856,200445.85284,16024.592197
"63","DONLEY COUNTY","Texas",1.77777777777778,2491,173.5249268,40620.01063,24970.89811,8985.468164,101843.2244,298192.6408,176827.0662,9222.981469
"64","DUVAL COUNTY","Texas",5.77777777777778,2492,3102.99559366667,62680.0016766667,66610.7571533333,10285.49808575,104365.675116667,155883.422833333,288140.16985,14773.2381888333
"65","EASTLAND COUNTY","Texas",7.55555555555556,2493,1026.3454726325,9472.615388625,13702.1429646667,3940.47646766333,128849.6026,153984.309433333,186064.296441667,7138.34637241667
