"","County","State","Fatalities.Count","X","DIST_br","DIST_fu","DIST_ho","DIST_in","DIST_li","DIST_ma","DIST_hi","DIST_sc"
"1","ADAMS COUNTY","Wisconsin",5.77777777777778,2935,4441.0595874,16349.6173022222,19220.4861077778,11269.2623531111,221939.933566667,107817.314507778,15154.6011977778,6510.86703233333
"2","ASHLAND COUNTY","Wisconsin",2.44444444444444,2936,3027.658184,40185.1583433333,24506.4397133333,16916.33161,475254.778366667,131239.5702,115014.644466667,13876.4953696667
"3","BARRON COUNTY","Wisconsin",9.11111111111111,2937,1891.0077071,9075.57120815,8298.041919625,7098.093999625,379449.2788125,105064.03252,59274.21459,1916.0185031125
"4","BAYFIELD COUNTY","Wisconsin",4.44444444444444,2938,3155.77582807556,20098.2641285556,19841.6873757778,7760.98481945556,482280.274366667,88865.0932911111,80051.1630644444,6963.04275688889
"5","BROWN COUNTY","Wisconsin",22,2939,1141.56292548775,6083.8635756475,6338.323695355,3955.991095935,234508.065215,11719.59281205,29913.920699,1506.4391015015
"6","BUFFALO COUNTY","Wisconsin",2.33333333333333,2940,2020.0592539,16485.482874,9167.21739275,7475.2758707075,258820.814825,127003.5999,57555.366965,3041.579879
"7","BURNETT COUNTY","Wisconsin",4.22222222222222,2941,3597.70348573333,38412.1076,22648.8899593333,9457.45799911111,432761.021866667,90560.1512188889,45151.6015755556,4327.23262544444
"8","CALUMET COUNTY","Wisconsin",5.77777777777778,2942,2361.56439123333,14606.0909961667,12526.341283,3175.51641109,195674.55855,32633.7245783333,11064.6638633333,2371.76189723333
"9","CHIPPEWA COUNTY","Wisconsin",9,2943,1871.17724426154,14234.9699765385,10786.7223239231,5824.549327,336762.067261538,133165.696215385,47084.2092676923,1721.64730401538
"10","CLARK COUNTY","Wisconsin",6.77777777777778,2944,2244.02232963636,29816.8202981818,13146.5255643636,6452.33267436364,314984.286281818,187051.373963636,34400.25944,1337.47185207727
"11","COLUMBIA COUNTY","Wisconsin",13.7777777777778,2945,1720.38345804895,7648.33834663158,13610.8241940526,3918.90466718421,158654.077631579,80422.9022389474,14104.2106604737,2848.12195284211
"12","CRAWFORD COUNTY","Wisconsin",4.33333333333333,2946,1808.80081576,13538.7407566,11800.0757732,7887.234046,143272.39092,142474.13136,73577.897426,2358.8397422
"13","DANE COUNTY","Wisconsin",42.8888888888889,2947,1434.05093037682,4765.35891225606,9357.59543160757,2153.23521276045,125519.668695909,94106.188345,30798.4299350439,1803.89598155227
