"","County","State","Fatalities.Count","X","DIST_br","DIST_fu","DIST_ho","DIST_in","DIST_li","DIST_ma","DIST_hi","DIST_sc"
"1","ALBANY COUNTY","Wyoming",9.77777777777778,3007,2532.12083098588,63444.6355805882,71254.9329464706,14643.9748441294,90665.1491835294,148678.062288235,164639.542535294,11925.1179204706
"2","BIG HORN COUNTY","Wyoming",3.88888888888889,3008,4016.2486802,47480.468276,19202.9182666,11859.499097156,495541.57766,381755.3992,155645.2689,9511.0695154
"3","CAMPBELL COUNTY","Wyoming",10.4444444444444,3009,2149.79535916455,25450.7347730909,26173.0280229091,15606.5994037455,422730.961881818,182681.153845455,71412.8951281818,7861.02276881818
"4","CARBON COUNTY","Wyoming",11.5555555555556,3010,2737.39103976429,48318.7643835238,53257.0510771429,8397.03678914286,202324.046933333,251175.326514286,258366.089447619,11162.1070557619
"5","CONVERSE COUNTY","Wyoming",4.88888888888889,3011,2608.14522951,27959.4910642,30694.2885749,6848.064519478,263602.19711,227385.41123,148424.07832,6686.1032027
"6","CROOK COUNTY","Wyoming",4.33333333333333,3012,3507.04829571769,22979.1286319231,22096.5815428462,8329.57018992308,444871.742115385,110381.31739,24603.9495845385,5593.94023223077
"7","FREMONT COUNTY","Wyoming",16.6666666666667,3013,3590.85986508696,26197.157282587,21670.3360832739,11491.1290139783,402228.178534783,309177.510130435,285742.772721739,7901.6690491
"8","GOSHEN COUNTY","Wyoming",2.11111111111111,3014,3752.918753,22887.25235,22706.3858966667,9968.52767733333,181840.707866667,235292.0935,100362.018666667,9545.13057366667
"9","HOT SPRINGS COUNTY","Wyoming",1.55555555555556,3015,3889.79693823333,46653.80083,24683.6969666667,6334.62552233333,446812.686533333,364372.378333333,213266.751633333,15043.96787
"10","JOHNSON COUNTY","Wyoming",6.44444444444444,3016,1923.10594163083,60770.6349816667,31889.7850877417,9326.243095155,422145.666908333,270085.191658333,159799.771133333,9689.78166833333
"11","LARAMIE COUNTY","Wyoming",12.6666666666667,3017,1634.46918875519,10963.7841303704,10987.9315507037,4189.09905884593,73551.2601577778,131351.964140741,146850.376762963,4051.5813078
"12","LINCOLN COUNTY","Wyoming",6,3018,7281.426107073,32215.995524,26294.7747718,12642.6273535,510276.33357,125270.131061,174178.23888,10230.9962716
"13","NATRONA COUNTY","Wyoming",12.3333333333333,3019,2881.85220417273,19094.41071935,78722.3170287591,7479.89301583636,295120.755827273,297261.163168182,215682.968372727,3212.41047953636
"14","NIOBRARA COUNTY","Wyoming",2.66666666666667,3020,3139.00906725,54191.91962,55161.9750475,6016.6489555,321557.4126,117768.607725,51645.364975,9801.3994215
"15","PARK COUNTY","Wyoming",6,3021,6118.07426405714,26940.4565802857,23051.7540874286,13231.7555505714,564755.556414286,395401.005271429,104929.889907143,13119.4488108571
"16","PLATTE COUNTY","Wyoming",3.88888888888889,3022,1101.481825175,54285.746335,27818.73268,2787.8687269,194496.9632,230723.711875,134913.416375,3342.92664245
"17","SHERIDAN COUNTY","Wyoming",5.55555555555556,3023,1823.75812099909,13935.8617107636,12141.9586524545,5713.78917132727,499140.409190909,313796.600581818,173870.586409091,5206.42795122727
"18","SUBLETTE COUNTY","Wyoming",5.22222222222222,3024,4534.02745371429,37378.6929455714,35477.3891464286,25291.546155,492763.084557143,200043.712771429,249286.494985714,17702.5129792857
"19","SWEETWATER COUNTY","Wyoming",17.7777777777778,3025,5443.459302668,32151.33483756,32697.32017624,13486.626763256,349417.434812,226451.151676,246695.279504,14209.162848284
"20","TETON COUNTY","Wyoming",5.44444444444444,3026,3099.92047584,13069.5705278,19881.547758,8062.5128842,568560.36958,213409.31724,231156.05506,11242.5792054
"21","UINTA COUNTY","Wyoming",5.88888888888889,3027,1556.26831436667,11972.0650248333,22711.2440288,2475.65401281667,477221.39705,95987.117395,111717.314778333,9971.97620515
"22","WASHAKIE COUNTY","Wyoming",1,3028,756.4995767,4541.87781933333,3794.63193533333,3875.706716,451624.7927,381058.694533333,199055.698366667,2709.08939766667
"23","WESTON COUNTY","Wyoming",2.44444444444444,3029,8889.62788158333,20747.5275941667,18774.0617168333,7357.5684411,390890.36115,81273.925055,22089.5562516667,8413.55681516667
