"","County","State","Fatalities.Count","X","DIST_br","DIST_fu","DIST_ho","DIST_in","DIST_li","DIST_ma","DIST_hi","DIST_sc"
"1","DENALI COUNTY","Alaska",1.22222222222222,69,5591.29871405,112782.9168,272956.93575,6688.215356,1940509.9575,270872.08385,2625492.9925,24622.009095
"2","DILLINGHAM COUNTY","Alaska",0.666666666666667,70,22781.722205,570870.80055,576424.8971,1658.2157403,2389212.189,573766.27595,2887937.204,568053.7076
"3","FAIRBANKS NORTH STAR COUNTY","Alaska",9.55555555555556,71,3482.22847294706,17035.6085888235,370230.301994118,6264.22785984118,1896995.13682353,369060.742270588,2611250.88123529,9793.40427105882
"4","HAINES COUNTY","Alaska",0.222222222222222,72,4679.765994,103221.1942,904728.1143,2254.531833,998123.1741,909276.2214,1723179.844,101405.805
"5","JUNEAU COUNTY","Alaska",1.66666666666667,73,2605.38024685,11745.58529835,978445.492175,5592.8643225,915003.563925,983123.76815,1627345.59625,13762.39660975
"6","KENAI PENINSULA COUNTY","Alaska",12.7777777777778,74,7227.20088426818,102067.425869545,105322.208463636,11952.7352158182,1931379.67040909,105674.656085,2511344.49909091,88206.0143422727
"7","KETCHIKAN GATEWAY COUNTY","Alaska",0.666666666666667,75,1811.600913,519.9233481,965828.7212,2156.411618,623738.6227,1065890.466,1256646.728,116489.1362
"8","KODIAK ISLAND COUNTY","Alaska",0.666666666666667,76,1672.528168,375189.245333333,378358.566066667,739.856535,1995935.69033333,379438.2372,2479522.774,301141.447733333
"9","LAKE AND PENINSULA COUNTY","Alaska",0.444444444444444,77,2332.609654,736332.9865,741183.1113,281592.1693,2398219.7,740127.7982,2811445.903,698922.4598
"10","NOME COUNTY","Alaska",1.22222222222222,79,44172.121832,882028.8117,886651.8738,56181.6945955,2765724.761,881820.11795,3381099.0395,835493.9192
"11","NORTHWEST ARCTIC COUNTY","Alaska",0.222222222222222,80,460.8679787,852188.6679,881159.9684,46855.01132,2733003.414,876224.4505,3380418.667,781325.4599
"12","SOUTHEAST FAIRBANKS COUNTY","Alaska",2.33333333333333,81,8407.752616,269116.45546,445601.2107,24346.1946252,1632561.172,447387.13996,2357909.135,240049.349402
"13","WADE HAMPTON COUNTY","Alaska",0.555555555555556,82,98427.26413,830251.4,835590.1677,76184.06723,2724219.346,831220.2082,3285823.89,828243.8614
