"","County","State","Fatalities.Percent","X","DIST_br","DIST_fu","DIST_ho","DIST_in","DIST_li","DIST_ma","DIST_hi","DIST_sc"
"1","ARKANSAS COUNTY","Arkansas",0.0247899164555826,99,1658.23076806,10974.457224,11803.3350956,8156.7233226,151312.4152,77688.854828,151205.72688,2525.0231062
"2","ASHLEY COUNTY","Arkansas",0.0203584124904973,100,1664.55560041667,38930.18455,13718.9031175,6564.08020333333,240738.796816667,175712.578166667,178917.220516667,2358.9737251
"3","BAXTER COUNTY","Arkansas",0.0244061393389039,101,3044.65104813333,9828.19410379167,8977.02676731667,7072.59081685833,121238.604425,120767.653791667,198985.900225,3610.30830625
"4","BENTON COUNTY","Arkansas",0.0136940712103606,102,1207.33171648357,7580.96840097143,7900.27203904762,4013.51275773643,122957.884100476,121078.545066667,141806.259414286,1626.27034945
"5","BOONE COUNTY","Arkansas",0.0205474414726761,103,1890.84234846364,14152.2872140909,13713.5074631,8399.88097067273,100556.348685455,101010.493254545,222247.113236364,4378.93076139091
"6","BRADLEY COUNTY","Arkansas",0.0267938646152958,104,1975.41941288571,45061.4032342857,16341.8931104286,13531.3931254286,229718.195242857,138161.706,190022.117714286,1712.27392682857
"7","CALHOUN COUNTY","Arkansas",0.0486395173417975,105,745.76911027,55946.301576,15905.4026688,7408.5436884,205884.06618,134939.35328,160848.98886,6768.13257074
"8","CARROLL COUNTY","Arkansas",0.0340489007437752,106,1570.55370104211,17324.6753455789,10980.7305065789,6190.37411273684,95669.3988557895,97482.7090594737,185945.583584211,4175.78077602632
"9","CHICOT COUNTY","Arkansas",0.0339442725533033,107,1275.089314274,15462.4101938,7932.9016702,4798.559974372,219978.83614,155528.98282,151706.99898,6565.3328486
"10","CLARK COUNTY","Arkansas",0.0307095225839455,108,945.884388513333,47207.3893322222,14187.8614237,3837.45618064111,196676.282622222,122096.081866667,136616.099566667,5779.39474252222
"11","CLAY COUNTY","Arkansas",0.0282853337791326,109,1790.83137403636,33383.9438690909,10821.4664031727,4980.10539633182,116881.034629091,135625.583663636,29229.7179636364,1806.68937689091
"12","CLEBURNE COUNTY","Arkansas",0.0330574002821308,110,3107.60644777368,14511.6322523158,12677.9530131737,7838.88022576316,192497.651310526,84885.2763989474,187525.589631579,4454.30773813684
"13","CLEVELAND COUNTY","Arkansas",0.0344033934618166,111,1102.80190997714,31346.01721,20412.1189271429,10484.5614787714,234207.625642857,102582.657748571,203129.474657143,4522.6617633
"14","COLUMBIA COUNTY","Arkansas",0.027154588052352,112,1291.60539332857,23036.9037580714,11532.9034852857,6909.41133736071,128471.880257143,159906.427678571,83826.5944178571,2696.32674053571
"15","CONWAY COUNTY","Arkansas",0.0286337394636762,113,1396.85221162583,11226.33898375,9856.41820175833,7972.923432125,224689.34165,65732.42908,237538.427925,4869.336375025
"16","CRAIGHEAD COUNTY","Arkansas",0.0196852042541399,114,899.740527933333,7500.60240969091,8610.32627765758,3849.70690670848,87879.6069921212,97313.2258560606,83783.2300739394,1249.18206132121
"17","CRAWFORD COUNTY","Arkansas",0.017325859503389,115,1281.85262365833,11907.8448483333,16843.5470880917,11574.8085042167,198688.687991667,151306.778683333,108086.568729167,3960.59547155833
"18","CRITTENDEN COUNTY","Arkansas",0.029271661292729,116,1138.7770034619,10298.4268218952,13217.422790881,3892.99915848143,28402.3253219048,31711.9750195238,21111.2208772381,1702.15496707476
"19","CROSS COUNTY","Arkansas",0.0283099796993786,117,988.9173503375,9329.63277325,10365.4079980625,6129.156257875,71297.25181125,75015.6287225,63708.38868875,2309.74901065
"20","DALLAS COUNTY","Arkansas",0.0284207601674522,118,908.0591249,54700.5726333333,18526.843326,11225.691963,218546.121833333,109666.7727,166488.68,9542.40487733333
"21","DESHA COUNTY","Arkansas",0.0291359150664294,119,996.423928775,31598.96314125,7249.31265925,4026.5637968875,183756.83755,121124.3456625,180070.652625,4279.8392455
"22","DREW COUNTY","Arkansas",0.0309665165613278,120,1327.45290882,41501.767882,11225.615973,7639.85090242,226474.21822,139849.52528,195800.20274,1527.80879694
"23","FAULKNER COUNTY","Arkansas",0.0161727605805368,121,1193.17204409778,10063.7338479037,12458.2390097111,4787.8447886963,213972.293196296,39959.8095637037,209020.788240741,1709.54579548519
"24","FRANKLIN COUNTY","Arkansas",0.0243081239457305,122,1767.16731641667,12521.257197,11973.898402,5602.5321617,197089.496616667,171240.844466667,141291.962966667,3425.69954916667
"25","FULTON COUNTY","Arkansas",0.040898386021006,123,1610.843970425,25062.9635525,13877.45866875,9091.791735,157816.1566,158753.615375,141613.65205,3408.453046725
"26","GARLAND COUNTY","Arkansas",0.0209121354880665,124,790.839821416,6930.125539424,8511.261492528,4921.8947114628,248408.352912,82098.454274,185924.091076,4137.701547616
"27","GRANT COUNTY","Arkansas",0.0314080112437865,125,1777.33220996727,12975.0140882727,27881.8702390909,11159.2755014727,229710.809072727,60347.61341,210815.567518182,5350.00499428182
"28","GREENE COUNTY","Arkansas",0.0208392858122381,126,904.421442775333,5732.01161076667,6175.27129686,3472.69601941333,95655.787082,107569.887997333,58555.9379753333,1038.30660594
"29","HEMPSTEAD COUNTY","Arkansas",0.0341955711945906,127,1810.74223201667,29005.7133183333,11982.9612998778,8010.71329021667,141850.778705556,161462.747072222,79491.6451433333,2568.26066965444
"30","HOT SPRING COUNTY","Arkansas",0.0387053300052202,128,866.90776283,22767.6267627778,12180.8429634,7361.58295025556,240729.697194444,79006.8896244444,180709.08365,3944.51841231667
"31","HOWARD COUNTY","Arkansas",0.0239243391934609,129,1213.69046077667,14512.6502262222,14877.2816734444,2081.58904627778,167114.862077778,175098.528588889,102311.299788889,1593.04921736667
"32","INDEPENDENCE COUNTY","Arkansas",0.0330926068293297,130,1147.10740730556,11323.7557580556,10925.8609095556,8033.59983790556,153860.619211111,125284.629977778,145481.579116667,3969.40885916667
"33","IZARD COUNTY","Arkansas",0.0186014862035402,131,2134.874085525,26651.20104,19229.68264,6237.50123665,169676.0083,158216.447425,151807.575825,6654.47369775
"34","JACKSON COUNTY","Arkansas",0.0395632277193559,132,1047.09374076,29003.5700133333,16401.036496,7595.969124,124916.883766667,121204.549033333,118250.689866667,3442.2243192
"35","JEFFERSON COUNTY","Arkansas",0.0216192647330939,133,968.130184895185,13492.2070616667,12602.6597998889,4925.5190852,205498.585777778,62930.7475711111,205063.264551852,2350.98529938148
"36","JOHNSON COUNTY","Arkansas",0.0246350947308967,134,893.953695159,10020.0667633,9308.1377561,6253.06256849,190193.85251,137847.01763,178944.43455,3991.02463375
"37","LAFAYETTE COUNTY","Arkansas",0.0439611385999671,135,1066.37418272846,11951.598975,27560.8872107692,7982.40312183077,109020.531276923,137110.419692308,57424.6024438462,3939.47451712308
"38","LAWRENCE COUNTY","Arkansas",0.0412173942449499,136,640.221759325714,11677.6902822857,12022.3795941429,6159.85902171429,130611.855614286,139509.983714286,93120.7817414286,3032.94590631429
"39","LEE COUNTY","Arkansas",0.0412997966039941,137,1312.41173998333,22689.6762766667,9904.93437883333,5044.34339716667,82749.0191683333,94274.4500516667,82207.862875,1644.48354775
"40","LINCOLN COUNTY","Arkansas",0.0376234405562879,138,1237.66045494333,7940.33078338333,28276.6600533333,5431.22454136667,210659.089466667,101137.053331667,211061.721833333,3078.9882588
"41","LITTLE RIVER COUNTY","Arkansas",0.0249673757470509,139,1844.63254754,37533.259734,13692.9433134,6801.8180916,132927.2573,143361.86074,70145.80738,2672.91970412
