"","County","State","Fatalities.Percent","X","DIST_br","DIST_fu","DIST_ho","DIST_in","DIST_li","DIST_ma","DIST_hi","DIST_sc"
"1","APPLING COUNTY","Georgia",0.0327921173488772,371,2974.2532293,47962.4492366667,9068.8926909,5175.80068631667,102286.253056667,184276.1339,46696.0903033333,5224.463268795
"2","ATKINSON COUNTY","Georgia",0.0342248136351944,372,1143.762379615,46032.4458183333,21592.855025,6261.893647,69957.64265,158463.71565,54728.596355,3988.6721133
"3","BACON COUNTY","Georgia",0.0315641060597163,373,1009.42405792,42933.53179,9496.258217,7197.3210035,96596.713135,168148.4856,35784.890855,5710.60161175
"4","BAKER COUNTY","Georgia",0.0463634209501409,374,2708.36668063333,31904.7270433333,19441.45948,6489.22796603333,65094.4984966667,190531.714533333,151884.076033333,7761.85245233333
"5","BALDWIN COUNTY","Georgia",0.0222896252164503,375,1279.83584379231,4400.79098289231,4481.18208118462,3278.89409286923,93807.2467230769,125579.7089,28154.3167492308,1466.59333040769
"6","BANKS COUNTY","Georgia",0.0340744539650347,376,1140.52301895222,19775.1290333333,12732.0690117778,7067.27172092222,42652.7382077778,53255.5666644444,59622.58778,1876.44233956667
"7","BARROW COUNTY","Georgia",0.0197989596189847,377,1653.18693485294,17643.1759335294,5744.58094576471,2214.71644203235,22868.7493158824,25950.5705629412,64986.4628217647,2145.34643527059
"8","BARTOW COUNTY","Georgia",0.0253966113247718,378,944.509433551892,10705.3732362216,8696.16030005946,3605.81557866946,38290.3693581081,33214.0939405405,33786.7855727027,3064.04190486216
"9","BEN HILL COUNTY","Georgia",0.0123253684589637,379,1990.133445925,42355.29874,7697.7197975,6044.723335,43455.8940675,221461.0624,103101.494075,2976.943542875
"10","BERRIEN COUNTY","Georgia",0.0228891016115137,380,1092.86575625714,25386.07025,6935.72820588571,3397.82962001429,42501.9749185714,178602.729914286,92393.8971785714,5091.87505845714
"11","BIBB COUNTY","Georgia",0.0175554560857834,381,738.889589117857,4560.83183545,5311.59612232738,1670.67775009143,76663.4805754762,127138.765728571,7432.02440037381,1288.63552939452
"12","BLECKLEY COUNTY","Georgia",0.0254460982086001,382,3531.8179205,31175.6264975,10830.72642025,4760.77705,111003.7530325,182274.085825,48741.8192675,5177.39453625
"13","BRANTLEY COUNTY","Georgia",0.0422079053778332,383,1337.77744239625,28174.90635375,23257.000453125,4788.03287197625,47306.27756375,121124.4558375,27383.031382125,4719.277924375
"14","BROOKS COUNTY","Georgia",0.0361449420042163,384,1396.79603222,27743.718902,11724.3102714,6609.18233576,37790.674758,191154.39858,133482.12938,2623.43035968
"15","BRYAN COUNTY","Georgia",0.0234586390200291,385,1285.16852359231,23363.5519146154,21719.1543761538,2284.28274116077,31549.8096284615,161063.331992308,34165.1490723077,2436.94093459231
"16","BULLOCH COUNTY","Georgia",0.0230548400846433,386,1478.2004145,16538.24612965,15694.6514008,2742.2722843565,70507.9502215,171481.752015,52615.1833115,2542.71832714
"17","BURKE COUNTY","Georgia",0.0398872590616807,387,2428.3576293,35946.0813286667,16248.8073532667,5063.12132008,138144.881006667,165239.234893333,30362.7048873333,2951.31787980667
"18","BUTTS COUNTY","Georgia",0.0305058283749716,388,2176.84874733333,18631.8748973333,8640.457662,5119.36975305,31507.9207366667,61627.8614283333,13933.858479,4732.37169741667
"19","CALHOUN COUNTY","Georgia",0.0353508273396522,389,2699.72655,43396.15649,12075.23687,8356.916258,91280.32356,183912.2731,142995.4793,7552.561987
"20","CAMDEN COUNTY","Georgia",0.0211886969544459,390,981.150766785294,15092.9999381176,22489.9801294118,5094.51934442882,32435.9352705882,76032.0650682353,71110.2354141176,2636.29150078235
"21","CANDLER COUNTY","Georgia",0.0503170910853457,391,592.918942565,23493.622225,6791.8846465,5679.29512716667,96337.7475866667,196435.544983333,56556.7453233333,3723.328584
"22","CARROLL COUNTY","Georgia",0.0239282248534769,392,1510.82677624737,8020.89047044737,6482.95190236842,3071.23883141237,56589.5945544737,62284.7733878947,56264.0082702632,2056.38173398947
"23","CATOOSA COUNTY","Georgia",0.0107824245131169,393,762.122133358333,3458.69898905917,8553.96708566667,1801.9619075125,12288.8393426667,115211.66535,12639.86722375,1938.24299154167
"24","CHARLTON COUNTY","Georgia",0.032715216048769,394,3035.083261314,25401.985438,15756.7194858,3642.71531624,52264.378068,71307.343348,54727.808084,5050.52278818
"25","CHATHAM COUNTY","Georgia",0.0156979489340227,395,983.88357728,6366.13872130339,7156.23519252203,1802.70063085407,8616.27830659746,140408.437205085,9460.96301371356,2196.8653562983
"26","CHATTAHOOCHEE COUNTY","Georgia",0.0100765947412564,396,2119.7141095,18777.733595,23277.556085,1725.016387955,29096.008785,178796.1806,77853.587935,1450.5961686
"27","CHATTOOGA COUNTY","Georgia",0.0220643048876513,397,1519.682024335,7947.729019375,8069.147323,3089.964102225,30092.63539375,91870.96309125,59956.5377325,2784.0528660125
"28","CHEROKEE COUNTY","Georgia",0.00900194060218691,398,1180.25455386917,9888.54033946667,8688.00719958333,3508.9528801,22073.78507,24093.900920625,23533.6043435,2699.87941104583
"29","CLARKE COUNTY","Georgia",0.011683752162047,399,922.408928919583,3918.27946170833,4528.61902416667,1895.18300459333,5338.70785441667,56049.3224804167,59535.4984225,1396.59387007083
"30","CLAY COUNTY","Georgia",0.0386820245758663,400,370.02895225,43757.19295,18888.63895,4522.217283,86930.37234,179170.14685,139693.5954,2998.4701385
"31","CLAYTON COUNTY","Georgia",0.0105685800341104,401,729.943122039787,2481.60006525532,3087.65206621702,2082.09421574532,3919.63630128957,31451.9441244681,20882.1215040426,1537.60745086383
"32","CLINCH COUNTY","Georgia",0.0530587235317562,402,2545.98384256667,40171.8126833333,7413.37642833333,7476.027486,85988.1032166667,136536.9445,53288.8462,5226.62975943333
"33","COBB COUNTY","Georgia",0.00840981119925413,403,734.009694083947,2906.86011751513,5184.47748880921,2413.91156461224,7983.28901002105,11635.8157247697,8292.55178095,1596.91325028947
"34","COFFEE COUNTY","Georgia",0.0247639626633984,404,1470.40394664118,52831.9935223529,11186.4673210588,9881.03190488235,58620.8107105882,188090.210705882,70037.0216817647,4374.16514751765
