"","County","State","Fatalities.Percent","X","DIST_br","DIST_fu","DIST_ho","DIST_in","DIST_li","DIST_ma","DIST_hi","DIST_sc"
"1","ADAIR COUNTY","Iowa",0.0627723436924725,762,1187.54458214,15592.1063876,4287.8759692,6600.24146596,65280.665438,81300.482594,147591.73622,3548.81775992
"2","ADAMS COUNTY","Iowa",0.0221475990172269,763,2844.1954735,8575.006899,8213.944314,6897.0630965,92927.71314,103959.208855,134945.02075,4552.5777135
"3","ALLAMAKEE COUNTY","Iowa",0.0265704674478574,764,1414.52906885,20131.46398025,6938.478166,6518.4103,143746.586375,143875.679075,103756.01512,3501.99746175
"4","APPANOOSE COUNTY","Iowa",0.0325692474710366,765,5607.53406036364,13691.8095726364,11282.8848658636,9707.7691328,102707.987450909,102446.936184545,45710.2289663636,3186.3595549
"5","AUDUBON COUNTY","Iowa",0.0238557911705218,766,1429.22709258,16263.786062,7777.9893138,7483.28779032,83954.534902,98833.590928,130487.6659,7761.0429936
"6","BENTON COUNTY","Iowa",0.0202885021933241,767,1689.41745789091,11890.7772449091,8919.04145018182,6153.71315663636,32107.8380890909,41073.8531572727,130049.626489091,4482.637889
"7","BLACK HAWK COUNTY","Iowa",0.0102280416218971,768,939.250167541667,6002.4646792875,3715.0454865625,2904.51207685792,74796.5356458333,79036.4443266667,180245.447483333,2443.82906165833
"8","BOONE COUNTY","Iowa",0.0220219873275448,769,1387.49711777143,22202.1424871429,6402.64410585714,5324.3840071,47674.21804,62470.9765042857,190131.104071429,4123.92941071429
"9","BREMER COUNTY","Iowa",0.00847775759714522,770,928.76881715,21165.19181,4972.6406445,3056.8785765,102627.9379825,106551.796725,190312.251975,3656.390026
"10","BUCHANAN COUNTY","Iowa",0.0166523353067176,771,394.1570719,32926.228925,9609.180707,9361.6721195,67941.752945,69947.300735,148634.9016,2757.3585505
"11","BUENA VISTA COUNTY","Iowa",0.0188654870934416,772,2681.54989385714,13292.0189631429,5378.77656128571,10528.4571642857,109773.969605714,111564.638108571,191004.564485714,6359.01260985714
"12","BUTLER COUNTY","Iowa",0.021271154380639,773,1645.26249,7717.92312056667,4701.0994606,5057.51792483333,108205.360383333,112930.028233333,206472.163166667,1087.3674727
"13","CALHOUN COUNTY","Iowa",0.0176313605122909,774,1377.03598615,15307.9703895,10000.6280145,11752.7894925,110235.84665,124502.00435,207857.988925,5843.85102775
"14","CARROLL COUNTY","Iowa",0.015279841802359,775,1611.64681404,9571.1184168,5323.287775,6673.7545782,105723.35481,117006.5019,156273.85048,3713.4773454
"15","CASS COUNTY","Iowa",0.0184843825947002,776,1369.55717032,12196.8903008,5368.48667638,2387.26956144,74329.903774,90355.72918,120094.7222,4728.28490796
"16","CEDAR COUNTY","Iowa",0.0172558914001164,777,2560.8397099,6085.49910057143,6072.41155357143,8349.94543757143,34570.4816214286,42722.4791342857,61173.9217385714,3287.11594557143
"17","CERRO GORDO COUNTY","Iowa",0.0138768042175308,778,825.244427076667,4918.58488135556,3333.46026874444,3694.44654287778,171726.0282,177325.8474,206644.1426,2142.58136196667
"18","CHEROKEE COUNTY","Iowa",0.0304298922197007,779,2264.17196166667,4591.84058865,4730.84029541667,5114.34611013,59973.2695516667,63915.1652116667,137759.7313,3717.07732401667
"19","CHICKASAW COUNTY","Iowa",0.0172383639237052,780,1072.008392725,7118.22940925,2387.362636275,3870.241478925,120728.136875,123399.12015,177570.590275,3010.0485265
"20","CLARKE COUNTY","Iowa",0.0235179816161728,781,466.2428687,31812.49184,5668.787458,8912.308254,48887.69671,48989.51129,120988.9692,3788.65626
"21","CLAY COUNTY","Iowa",0.0202403277324242,782,1242.31234417143,7818.52996871429,6239.99290685714,6989.82636071429,120486.175794286,124879.058414286,187610.832,5195.71101457143
"22","CLAYTON COUNTY","Iowa",0.0295533184471711,783,737.782724547778,14665.1572192222,6086.33591891111,5056.97670366667,97940.1303288889,97436.4917633333,91804.3470266667,5718.64229311111
