"","County","State","Fatalities.Percent","X","DIST_br","DIST_fu","DIST_ho","DIST_in","DIST_li","DIST_ma","DIST_hi","DIST_sc"
"1","ADA COUNTY","Idaho",0.00581949538502382,530,662.981195195,5452.87046394583,6032.97368869167,2612.12861395583,453100.973979167,371173.266325,209211.8108,2127.24670062917
"2","ADAMS COUNTY","Idaho",0.0523321758086582,531,1754.6303319,30066.9967225,109596.4763025,7363.425402325,317191.58695,271637.399175,101960.29052,2908.66683245
"3","BANNOCK COUNTY","Idaho",0.0107798188632274,532,1676.64756841429,11488.1610677357,13049.4993735286,4594.58737686571,648423.770242857,121756.125600714,119483.915308571,3431.23713743571
"4","BEAR LAKE COUNTY","Idaho",0.0392113451583278,533,7979.1011445,22435.719475,34518.95606,12391.4050095,560356.66015,53811.660885,107043.0225,10789.674258
"5","BENEWAH COUNTY","Idaho",0.0257593245726021,534,3063.21163175,52664.268215,42293.9404025,11740.65117225,78726.8214525,224754.526075,86442.8352675,8917.596572
"6","BINGHAM COUNTY","Idaho",0.020051441658066,535,1178.80292524667,20369.1222963333,14999.55490675,10609.27286813,631201.896883333,163804.256391667,106245.3643225,4409.36458215833
"7","BLAINE COUNTY","Idaho",0.0283582974611013,536,7870.02398433333,26131.67678,36109.5407,11122.391553,527694.6509,272046.68325,44524.9133368333,11361.0483111667
"8","BOISE COUNTY","Idaho",0.0876890958448839,537,6036.99390374125,36253.21001,35796.955365,27179.396717625,447358.0946125,379145.3972125,177182.438075,13760.929603125
"9","BONNER COUNTY","Idaho",0.0194494165757174,538,3095.33231637071,20449.0152403857,20877.6092142857,7503.79142785,75991.04947,290681.807507143,94191.9333121428,3590.90684788571
"10","BONNEVILLE COUNTY","Idaho",0.0112907959950893,539,1357.8716948625,7324.98705099375,8320.2316431375,3263.16233495625,620336.36185625,195623.490275,142320.639875,1554.42703188125
"11","BOUNDARY COUNTY","Idaho",0.0304762863202709,540,1779.703202775,50342.0911825,13845.08562475,13543.30569275,135982.9487,351289.958625,153763.086125,2559.93397975
"12","BUTTE COUNTY","Idaho",0.0401091046878491,541,10.23128596,3685.907028,34152.71389,1824.165065,576533.5673,214629.1937,66743.83668,31800.54814
"13","CANYON COUNTY","Idaho",0.0111360539044591,542,1020.5347482736,8104.351352896,15009.12923604,3455.1496229028,436402.792976,350832.238404,236394.7422,2045.643763716
"14","CARIBOU COUNTY","Idaho",0.0272264516100523,543,3979.727679,21186.87974725,52106.9257875,18340.4773485,592064.535825,115864.6176,151282.997025,10803.07142775
"15","CASSIA COUNTY","Idaho",0.0359355332514404,544,5880.04828399,33691.8937939,27293.8541943,17004.77521728,652930.57162,171630.44657,104226.991095,14239.8589784
"16","CLARK COUNTY","Idaho",0.203038483161568,545,2028.503240705,82940.548985,75193.15568,34994.931335,539449.453625,302276.9553,175584.84945,14901.3839275
"17","CLEARWATER COUNTY","Idaho",0.020120010155549,546,2059.56339616667,57166.7607666667,4776.11632733333,10274.4238043333,156198.7478,232909.83,75003.4521666667,4076.4536015
"18","CUSTER COUNTY","Idaho",0.068989556755997,547,6335.9637204,72913.40099,83165.6057625,28479.8119725,434500.88895,353982.7674,125732.997815,15222.18984275
"19","ELMORE COUNTY","Idaho",0.0502329951696018,548,3290.33827034286,33254.3244514286,25895.4638595714,9654.43707451429,523190.008171429,342544.949578571,154863.772542857,11129.5646098929
"20","FRANKLIN COUNTY","Idaho",0.0170633767083724,549,3145.222676,1360.33549625,1242.50960235,448.03406985,590996.01505,38864.82385,76849.621375,1067.3845093
"21","FREMONT COUNTY","Idaho",0.0357554889590962,550,2851.27556365,44378.88456125,32433.000985,13755.230358125,602929.8553125,263802.3011875,195215.7953625,11330.568720625
"22","GOODING COUNTY","Idaho",0.032605072013711,551,1466.24144764,30841.205226,28559.502478,5950.3397896,567762.89236,271826.84712,101985.273474,3640.07261126
"23","IDAHO COUNTY","Idaho",0.0520331527697437,552,3844.13157312538,78393.6072476923,63357.861,28773.357125,212732.561684615,264715.755653846,58193.0510338462,12448.8082835231
"24","JEFFERSON COUNTY","Idaho",0.0138340868576998,553,982.540020823333,34038.8364933333,29413.2640433333,4907.00304833333,591523.6667,230469.160066667,139529.310733333,4556.9174579
"25","JEROME COUNTY","Idaho",0.0450128516720172,554,644.527344072727,14292.9742004727,11987.3576788182,3913.43535680909,605878.511336364,226092.594036364,95933.6254872727,5617.92070927273
"26","KOOTENAI COUNTY","Idaho",0.0106366831886643,555,2902.30677226636,14501.5615417727,14127.9643296,5039.09964426818,43748.2242354545,250435.042613636,63638.5640968182,3174.98576960682
"27","LATAH COUNTY","Idaho",0.0126681061018367,556,2476.33082747857,16996.6170319286,15374.3062483571,5506.94482469286,104889.043092857,189359.644664286,100648.604807857,5392.03864042143
