"","County","State","Fatalities.Percent","X","DIST_br","DIST_fu","DIST_ho","DIST_in","DIST_li","DIST_ma","DIST_hi","DIST_sc"
"1","ADAMS COUNTY","Illinois",0.00654855671686649,572,942.243672177778,9640.91849133333,18755.6541944444,4933.51896535556,35858.1836777778,129537.599588889,36065.6787255556,1430.2585514
"2","ALEXANDER COUNTY","Illinois",0.037200479986579,573,1135.49488235667,12748.045798,25580.8174766667,8982.857973,96546.7205166667,158296.230633333,70713.49062,2309.50873
"3","BOND COUNTY","Illinois",0.0269955832967205,574,1195.7562910025,22720.97441,8915.195453625,6099.99468425,64168.218665,51811.24828625,60288.7810075,1826.572230975
"4","BOONE COUNTY","Illinois",0.0162670913259116,575,992.786133563636,4585.144805,4836.19254836364,3211.80099382727,43413.30759,14001.073685,71061.5140427273,1443.62637785455
"5","BROWN COUNTY","Illinois",0.0256869310203127,576,1398.908087,21879.06527,26849.85345,8384.048366,60796.96974,87336.5588,58503.19479,1072.302783
"6","BUREAU COUNTY","Illinois",0.0164007256328167,577,1422.79443482667,9179.20122177778,12176.9627052222,4498.14444174444,82466.5854666667,71382.3507788889,49473.8690244444,2530.27445758889
"7","CARROLL COUNTY","Illinois",0.0213429531480648,578,1511.73471125714,20200.2521185714,23403.4198614286,6497.41107157143,72049.2910342857,73112.67188,54517.2850857143,1186.7571586
"8","CASS COUNTY","Illinois",0.0132442563484753,579,2329.027130175,6854.56368675,17169.1072435,6235.73522725,102898.77971,50121.36668,52922.229505,966.883720825
"9","CHAMPAIGN COUNTY","Illinois",0.0107282367501104,580,985.578036094194,5449.66624763871,7671.12948449032,3991.97011524613,155500.940667742,115577.664502258,18707.0046856452,1712.08385104194
"10","CHRISTIAN COUNTY","Illinois",0.0215408117931561,581,1161.14288665,9589.50987651,8988.7124589,7191.31606302,119284.78131,48107.010801,43916.423427,2242.35108232
"11","CLARK COUNTY","Illinois",0.027578678985303,582,855.277929335,11625.5577309833,11993.0436766667,6482.34114268333,221881.617333333,104432.838291667,71268.2182616667,1460.34218361667
"12","CLAY COUNTY","Illinois",0.0212711926531943,583,989.7416582375,11911.922668625,11137.762514775,9105.79688775,139128.9534375,115057.098825,85267.67450625,2338.4791196875
