"","County","State","Fatalities.Percent","X","DIST_br","DIST_fu","DIST_ho","DIST_in","DIST_li","DIST_ma","DIST_hi","DIST_sc"
"1","ADAMS COUNTY","Indiana",0.0139450370895923,670,1049.94080891429,6049.17525544286,29048.0519828571,6317.61836192857,121732.110557143,37770.7865257143,32663.9308028571,3158.09687432857
"2","ALLEN COUNTY","Indiana",0.00717532617913626,671,1060.99376502732,5074.28844854634,8328.46877082927,4362.84994253122,131693.904429268,12525.3611622927,11126.9290616293,2919.81220789024
"3","BARTHOLOMEW COUNTY","Indiana",0.0161403527600283,672,583.53518346,5740.7259225625,25611.808650625,2277.46916061062,120744.01861875,48254.572179375,54110.2247575,3069.7714388625
"4","BENTON COUNTY","Indiana",0.0319550788889554,673,1599.9618642,6814.685992825,26322.0885025,8328.72981,102065.437915,48705.36912,25948.42865,2527.57519125
"5","BLACKFORD COUNTY","Indiana",0.0161053778672593,674,419.3114655,17868.2719633333,32303.10008,11268.871269,113866.4477,29026.4496433333,29869.1121466667,1182.03717783333
"6","BOONE COUNTY","Indiana",0.0182069932818838,675,940.105268050625,4815.13573350625,10853.332000125,5160.25068495,173004.9580875,27420.5980025,10515.5439611875,4587.257744875
"7","BROWN COUNTY","Indiana",0.0277178245060456,676,1424.47690986,4742.59466498,31984.133432,6631.7411648,140472.53252,30098.248346,45741.183422,9555.8997916
"8","CARROLL COUNTY","Indiana",0.0195146481508584,677,682.408426071429,11744.3872432857,21792.4803785714,3591.16173771429,132903.571757143,25940.4660071429,8237.40585828571,5419.63604314286
"9","CASS COUNTY","Indiana",0.018228174538077,678,1352.22157235714,7511.2286394,8729.62861094286,7228.6090909,126498.709521429,40569.10254,32513.39776,5786.01726713571
"10","CLARK COUNTY","Indiana",0.0106524260299029,679,805.314338547692,8496.23403647308,14404.7168709615,5453.65161836154,153269.07475,104559.024262692,73440.0557876923,2341.60307915385
"11","CLAY COUNTY","Indiana",0.0192527879476483,680,1230.1709858,8474.2349297,28021.576795,6192.718003235,218998.826525,60860.92922,39834.30079,7647.1069415
"12","CLINTON COUNTY","Indiana",0.0262988397223124,681,795.94167429,6705.34471139,23195.588669,5128.83906112,158550.35102,26119.416306,20362.9759419,5248.59368407
"13","CRAWFORD COUNTY","Indiana",0.0320610428534856,682,649.7495095325,11423.339423,25010.33309,10946.69070125,197601.260875,96674.3814225,94361.789615,7598.1578045
"14","DAVIESS COUNTY","Indiana",0.0217739782335387,683,1124.53794659,7258.8173776,40152.111777,5099.74275686,225085.06365,73505.935021,39601.731002,3373.4541077
"15","DEARBORN COUNTY","Indiana",0.0158453585899197,684,1134.77208115714,10828.1788002143,28587.2263507143,6135.62667255714,45638.4753157143,94381.4145421429,37224.9011942857,4195.18573292857
"16","DECATUR COUNTY","Indiana",0.0223844030069729,685,1173.56336223222,8551.77235875556,26799.4289166667,5577.74034775556,85432.0793522222,63302.5660344444,37511.2442011111,7226.25192371111
"17","DELAWARE COUNTY","Indiana",0.0124118978500288,687,1245.82122035792,5908.94784291667,9613.11969775,2664.504188115,103924.722106667,9439.69699570833,20771.5108942083,3171.59378039583
"18","DUBOIS COUNTY","Indiana",0.0131052461221082,688,1461.4294661,8154.473413,10194.6249034333,5935.56897233333,200546.543933333,69368.4054766667,67843.8210133333,2404.37022533333
"19","ELKHART COUNTY","Indiana",0.016089949763758,689,1479.07857168022,4556.16832389565,26701.3243619565,3455.16617454783,137956.137886957,31292.400645,33309.5085336957,2194.12564150783
"20","FAYETTE COUNTY","Indiana",0.0115595202114672,690,1115.65827280857,17650.3297042857,23062.596,5681.80378142857,57760.4694214286,37843.6014457143,22572.4960871429,2683.45008371429
"21","FLOYD COUNTY","Indiana",0.0115722914579442,691,840.573272996923,4207.98208953846,8118.29207384615,4313.13959430769,170291.276838462,109364.794869231,66677.5605323077,2729.00529135385
"22","FOUNTAIN COUNTY","Indiana",0.0195395763476522,692,793.8279963475,5984.000089,27719.9003675,5936.20617625,151000.38905,48974.9760275,7946.200265,5931.76779375
"23","FRANKLIN COUNTY","Indiana",0.0223492406622615,693,897.38388878,6525.00182711111,35614.9443022222,4245.72666711111,40993.4922166667,67637.8959622222,14352.1984044444,2422.67158526667
"24","FULTON COUNTY","Indiana",0.0180754537098616,694,1585.6550428,5244.598028625,29897.78222,4220.8271643,123014.997425,62190.165735,31103.416185,2201.7340585
"25","GIBSON COUNTY","Indiana",0.0221955624870829,695,1079.305528122,11502.9375767,26036.27119,6720.379604136,186031.81649,35605.666684,43891.228442,4425.1768121
"26","GRANT COUNTY","Indiana",0.0133812536826369,696,1072.04439203125,6378.93287071875,31727.2898525,5331.21557939375,134750.34376875,35440.786261875,10270.5132655,2472.6028249375
"27","GREENE COUNTY","Indiana",0.0189047472143736,697,1447.31508199167,8286.78120391667,33765.9400783333,4314.901383275,212776.71455,43802.2899283333,40162.8126825,3008.07423273333
"28","HAMILTON COUNTY","Indiana",0.00691279995408803,698,780.870985415806,5773.50330101548,11078.7761704516,6562.31868510323,146645.029654839,10140.0412882677,11205.7415850323,3614.98643282581
"29","HANCOCK COUNTY","Indiana",0.0134599820859845,699,1407.70613205,8808.70715608333,9318.70278266667,6541.482143025,112834.178229167,18744.6591093333,8510.27348816667,4690.73080835
"30","HARRISON COUNTY","Indiana",0.0230446609318889,700,2274.82180187273,8231.19315809091,13044.8482758182,6973.53046815,187718.560463636,107011.138312273,74700.0542772727,5337.34750060455
"31","HENDRICKS COUNTY","Indiana",0.0101803213642922,701,725.136252158636,4051.19818702273,17435.1366254545,4419.58446864545,163348.248368182,22601.7973418182,13222.7202700909,3009.57020999091
"32","HENRY COUNTY","Indiana",0.0216070281911383,702,981.043998265714,10103.6607135,12611.447014,6190.9964627,93756.1120414286,12024.7106625,8997.83954228571,3414.43075139286
"33","HOWARD COUNTY","Indiana",0.0116714079227853,703,1239.99426547692,5604.45793253846,8853.76507538462,4871.82228234538,159170.830430769,9076.20131253846,7165.32280190769,2628.37565339231
"34","HUNTINGTON COUNTY","Indiana",0.014953253131816,704,1037.36818074286,7537.37149885714,39744.9348885714,5817.53025104286,145757.167442857,45714.3394042857,24245.9720814286,5702.57296335714
"35","JACKSON COUNTY","Indiana",0.02152230675517,705,665.361218383333,5299.65606170833,9722.45978508333,4273.40048709583,131711.424729167,56069.4317741667,75309.9235270833,4756.02732654167
"36","JASPER COUNTY","Indiana",0.0317423146104164,706,1109.30267310952,6578.46508433333,20966.078667619,4212.96719013333,60001.5933409524,54357.384782381,17818.0035591238,4864.97046690952
"37","JAY COUNTY","Indiana",0.0162748364698164,707,1705.98171376,9422.3897226,24972.218364,7369.99584974,87424.313296,42814.403334,57437.930472,3652.93889756
"38","JEFFERSON COUNTY","Indiana",0.0137801138943278,708,1043.850072625,10624.02694275,11664.061593625,6999.5483917125,108009.06026125,96844.6102675,79829.33771375,6136.859270125
"39","JENNINGS COUNTY","Indiana",0.0238116001745681,709,921.56554015,8554.64689875,11485.6451351667,7215.23577475833,104169.107394167,75484.1271183333,64086.0269658333,3932.27022143333
"40","JOHNSON COUNTY","Indiana",0.00951903024000943,710,1116.77670563846,4255.02208419231,10562.6521756154,2372.26656873077,133629.341115385,10709.274591,13819.938169,2946.62856186923
"41","KNOX COUNTY","Indiana",0.0176551833839609,711,930.38358755,7434.54201205,22180.1879564286,6939.98444309286,226710.275307143,78676.7456721429,10764.1822255786,3019.11885656429
