"","County","State","Fatalities.Percent","X","DIST_br","DIST_fu","DIST_ho","DIST_in","DIST_li","DIST_ma","DIST_hi","DIST_sc"
"1","ALLEN COUNTY","Kansas",0.0386478398888307,860,888.190473945455,40407.5470081818,8172.69722772727,6153.34207294818,137296.928681818,131529.456436364,62059.9764627273,1839.27640940909
"2","ANDERSON COUNTY","Kansas",0.0337428456789247,861,1169.27476493833,34690.6848783333,28249.8648233333,7248.60973951667,96691.1830733333,101792.99206,38320.0552966667,3669.54337938333
"3","ATCHISON COUNTY","Kansas",0.0170459370955046,862,593.943365284286,23029.5437257143,33338.6743028571,4529.33460314286,47412.1759171429,71843.4033285714,33551.1322957143,1538.40069104286
"4","BARBER COUNTY","Kansas",0.0371465490916417,863,2156.44202314,38939.522982,93624.49512,14149.7047614,365977.87632,117123.53518,181567.30868,11245.69522244
"5","BARTON COUNTY","Kansas",0.0119236890286242,864,1090.26892801429,71047.0328657143,16197.7239678571,7886.61975205714,362655.255242857,149179.936457143,127169.474671429,4603.01942602857
"6","BOURBON COUNTY","Kansas",0.0318875998508131,865,1498.39311057143,36405.0698128571,11571.3284404286,4501.186828,126608.061914286,140716.917057143,11790.2788872857,1199.80497434286
"7","BROWN COUNTY","Kansas",0.0245380112050342,866,1465.645248425,24127.269775,25174.4671325,4662.0185793,66187.862175,94321.3985175,81713.963565,5658.35106825
"8","BUTLER COUNTY","Kansas",0.0184907385097914,867,1399.08016742308,16289.3852597692,17550.1728036154,6267.011711,239261.839330769,33635.4345546154,140129.766469231,5187.55816777692
"9","CHASE COUNTY","Kansas",0.0994735150106934,868,984.755953394286,33835.6943642857,35790.1235242857,11792.1432552857,185019.718914286,87480.04609,141418.832414286,10641.0051822857
"10","CHAUTAUQUA COUNTY","Kansas",0.0330522860532767,869,1406.060430125,35334.430675,38609.971205,2515.096662175,245907.285,100998.622575,48932.3896025,6521.123091125
"11","CHEROKEE COUNTY","Kansas",0.0253986187373878,870,1097.2181152,27900.5440733333,19545.2771,5380.574847,127235.135166667,132216.429683333,67854.675385,1069.66912458333
"12","CHEYENNE COUNTY","Kansas",0.0445908823795378,871,2009.237774,38378.69775,38215.97568,13562.0757,237545.2518,245406.3692,156511.0148,3889.417007
"13","CLAY COUNTY","Kansas",0.0143908698006771,872,1313.17042125,16906.7132815,29390.631255,11974.72369225,207457.810225,120115.161525,186970.49245,2360.8209185
