"","County","State","Fatalities.Percent","X","DIST_br","DIST_fu","DIST_ho","DIST_in","DIST_li","DIST_ma","DIST_hi","DIST_sc"
"1","ACADIA COUNTY","Louisiana",0.0274100100393609,1074,812.486875165714,20985.7593879286,8450.67910367857,6468.86476112857,32832.3590382143,80276.6086928571,171538.593603571,2226.48801760036
"2","ALLEN COUNTY","Louisiana",0.0307392080009192,1075,808.13462105,43765.083825,30001.838945,2239.5449851,81757.418805,67410.1121275,163951.619475,2444.747447275
"3","ASCENSION COUNTY","Louisiana",0.0237678690339943,1076,863.57727954,11175.4611586667,7503.06925681667,4303.07489109733,26091.3751726667,64660.7672773333,155297.284513333,3434.56171748667
"4","ASSUMPTION COUNTY","Louisiana",0.036766672723942,1077,1285.80356292737,42824.8065230526,10464.3445125789,6439.94323421053,55051.8787757895,45335.8868315789,185546.355594737,4094.59537454211
"5","AVOYELLES COUNTY","Louisiana",0.024803446671564,1078,1289.57783400556,23367.7993045,15193.7801886222,5218.61732921667,86605.8069427778,150715.329577778,81560.6496194444,3559.45970933333
"6","BEAUREGARD COUNTY","Louisiana",0.02899382107454,1079,1287.40604428,26446.3262753333,9546.01798933333,4604.01243609333,129328.484573333,65556.90039,196517.873746667,3935.86513112
"7","BIENVILLE COUNTY","Louisiana",0.0400761253864286,1080,1354.66107668,44210.0626953846,20939.0726634615,4770.65007141769,125125.686941538,162593.847061538,131779.624053846,3879.70490592308
"8","BOSSIER COUNTY","Louisiana",0.0145327235338785,1081,856.8067124096,7720.573976652,8929.16730172,4162.3678040068,67575.343388,104768.295492,76315.9861308,2481.498106284
"9","CADDO COUNTY","Louisiana",0.0162799207107884,1082,715.468463014627,7550.27715381642,6461.82101525075,3963.86427869,50759.0928880597,87468.6194789552,75589.7564544776,1784.68112891642
"10","CALCASIEU COUNTY","Louisiana",0.0222893528562897,1083,1302.21309625739,13670.6995192435,7994.58160560435,4152.06725367783,116920.617929783,15114.9353385217,184188.744606522,2949.64960821891
"11","CALDWELL COUNTY","Louisiana",0.0388625541652097,1084,1763.37385752,35585.330778,10427.7377532,7250.1461012,189355.81956,187854.45604,85725.847072,3778.8960014
"12","CAMERON COUNTY","Louisiana",0.0426945672491679,1085,1987.159652,36065.051065,21035.87499,12183.4144345,86848.62383,39715.03141,190543.8091,1534.5802888
"13","CATAHOULA COUNTY","Louisiana",0.0358382248539637,1086,1173.63286966667,38859.97395,26698.83392,9634.33638,148241.019633333,170047.067233333,43761.6230666667,6697.978081
"14","CLAIBORNE COUNTY","Louisiana",0.0256736441182824,1087,951.24425383375,54622.35608875,19433.7338025,8090.0474317625,116801.9807125,154074.2660375,105194.243585,2353.5895813125
"15","CONCORDIA COUNTY","Louisiana",0.0266741402276247,1088,1750.99891067273,17544.2162897273,7651.77798518182,4822.23973122727,122067.272190909,160501.6219,14596.1062927273,3012.07629614545
"16","DE SOTO COUNTY","Louisiana",0.0395796542230944,1089,1561.454257825,12723.72493035,13899.66197425,7347.706964975,74512.11547,104523.1424025,124374.204083125,2552.49208561875
"17","EAST BATON ROUGE COUNTY","Louisiana",0.0130764782511314,1090,592.677499464598,5356.7088760254,4067.35591184943,2646.45572125287,4680.97202208069,95933.5863562069,123459.871745747,1307.16045150092
