"","County","State","Fatalities.Percent","X","DIST_br","DIST_fu","DIST_ho","DIST_in","DIST_li","DIST_ma","DIST_hi","DIST_sc"
"1","ALLEGANY COUNTY","Maryland",0.0143546046349852,1153,1113.86635098312,36280.653916875,9523.2362655,5368.05426155937,8413.30134425,73541.7410825,24988.495873125,2216.59520151875
"2","ANNE ARUNDEL COUNTY","Maryland",0.010123757723851,1154,1766.83968348562,3706.62655805342,4676.67705657808,1829.55645489027,5089.23118637918,8649.19028430411,36828.6373038356,1176.01401402466
"3","CALVERT COUNTY","Maryland",0.0147251664597026,1157,3113.37860607143,16815.3214947143,12085.6495995286,5590.21786774143,19780.5045522857,34838.2732557143,46698.213955,2479.03202954286
"4","CAROLINE COUNTY","Maryland",0.0270699657359688,1158,2207.544254625,17348.7758108425,11340.21149655,6334.51409334813,24499.544098125,40736.497793125,24461.49917375,1519.84632219375
"5","CARROLL COUNTY","Maryland",0.0121011978458651,1159,2555.39451680968,9153.43926035807,8236.30631459032,3819.21021511935,10752.8994421677,46631.1013348387,22228.3293322581,2508.50149840968
"6","CECIL COUNTY","Maryland",0.0209311869293743,1160,1337.16732318529,7575.73315767647,8613.94229323529,2877.56829019118,17075.2524651176,55002.89659,22050.3581575294,1327.65556106176
"7","CHARLES COUNTY","Maryland",0.0156238798335365,1161,2722.639519315,5188.21974333611,5531.43325116389,2875.08560938667,4032.61270864722,10238.2054440194,18515.1916326111,2352.022558975
"8","DORCHESTER COUNTY","Maryland",0.0175130633401073,1162,5442.8945155,21250.5923261667,11843.0407375,9568.36233383333,27687.64092,70496.5745666667,28239.295399,4248.73453817167
"9","FREDERICK COUNTY","Maryland",0.0110916795860926,1163,1316.231068504,8954.75698602857,7958.60150635143,4148.04501990286,9632.06317551171,39680.4203271429,22392.5046106857,1540.06772366571
"10","GARRETT COUNTY","Maryland",0.029561705183991,1164,3197.5173805875,16017.68424125,14298.0615928,4171.71206988125,44988.653826875,100082.340735625,12618.5805226875,2741.1439735
"11","HARFORD COUNTY","Maryland",0.0103650587291091,1165,1231.96117642021,5377.91131577021,5550.72819908298,2124.34651710681,10370.1744723596,52815.2122712766,21059.0823224681,1891.3989145383
"12","HOWARD COUNTY","Maryland",0.00801381047208599,1166,987.640214700588,5183.22630423529,5017.87733497059,1978.67250343235,3350.29818469029,15229.3897293235,33657.0808826471,1023.87217958235
"13","KENT COUNTY","Maryland",0.0171848397276461,1167,4156.619896,10764.237991,9472.87798266667,9571.0895,31420.4719833333,40661.6040433333,30493.1678933333,2338.39047866667
"14","MONTGOMERY COUNTY","Maryland",0.00542541483302847,1168,1112.12836163701,3273.00383164429,4241.73642575844,1733.88648638013,1394.91239164779,12589.7667836026,13110.6352179935,984.216071240909
"15","PRINCE GEORGE'S COUNTY","Maryland",0.014033137120568,1169,767.445638237829,3826.87663994457,4563.12003771486,1707.43325535874,1249.67395102463,12498.6594866286,11477.2390430286,820.763104479657
"16","QUEEN ANNE'S COUNTY","Maryland",0.0207535244523835,1170,2079.01863090714,16397.361768,9467.82632814286,6645.3301755,31006.8768371429,40407.3424457143,47926.2694057143,2546.17390879286
"17","SOMERSET COUNTY","Maryland",0.0135131092046334,1171,1189.705747725,19637.77053,12345.1759015,3707.805682775,19404.8864425,115854.29395,35374.7400975,3053.09534515
"18","ST. MARY'S COUNTY","Maryland",0.0134256824415127,1172,3901.076807812,14967.05595808,11934.69125284,4169.308297032,28904.41218416,38912.5843052,42578.2138916,1410.798784824
"19","TALBOT COUNTY","Maryland",0.0179903839431631,1173,4417.40724666667,6815.47028933333,5987.82069822222,4228.76290561111,37200.9336166667,57475.1190711111,40743.3887677778,2414.61733425556
"20","WASHINGTON COUNTY","Maryland",0.0144865282034188,1174,905.525969378571,7261.37095571429,6191.79167725,2821.5439665,8361.98222914643,60952.6939957143,17341.5687416429,1580.33072765357
"21","WICOMICO COUNTY","Maryland",0.0148760552417323,1175,1873.58210135333,7605.84067381333,7456.65300014,2659.25205432467,9037.19183193333,89360.103876,11055.9035870667,1624.69790646667
"22","WORCESTER COUNTY","Maryland",0.0234683941989104,1176,2540.59627874706,13843.6968947059,4533.38441578235,3518.46471694,27891.0466023529,111329.922856471,29240.2837196471,3249.30198695882
