"","County","State","Fatalities.Percent","X","DIST_br","DIST_fu","DIST_ho","DIST_in","DIST_li","DIST_ma","DIST_hi","DIST_sc"
"1","ALCONA COUNTY","Michigan",0.0276641191900342,1190,4503.07180588333,27956.6929746667,97793.2042733333,11563.12584615,274874.780283333,219076.600966667,159038.545033333,8100.72347933333
"2","ALGER COUNTY","Michigan",0.0205783260472503,1191,11450.22095825,19533.01022,36322.4922625,30225.09723,483474.085275,273366.490525,73385.6756775,38132.36639
"3","ALLEGAN COUNTY","Michigan",0.015163347963423,1192,1980.370367268,12740.843977552,24402.4838464,7070.84891868,160420.153288,98474.0517784,87020.1825252,2794.664403656
"4","ALPENA COUNTY","Michigan",0.0112951844655208,1193,3493.53046882,57028.177304,87031.656754,10276.0229312,296280.69026,261487.11238,126100.51356,6962.437641
"5","ANTRIM COUNTY","Michigan",0.0184832242966498,1194,6960.1729501,11213.4351053333,12347.045853,7472.55788233333,364462.111433333,240677.906333333,94434.00085,11778.699748
"6","ARENAC COUNTY","Michigan",0.027729029752396,1195,2365.35223728333,41917.609925,54902.7258283333,6111.31016083333,264685.509,168660.128433333,187288.06755,10169.2087556667
"7","BARAGA COUNTY","Michigan",0.0126313245253396,1196,1204.864848,46763.880955,71570.43871,13015.9718005,486113.4959,251933.89135,74786.03309,18814.3375535
"8","BARRY COUNTY","Michigan",0.0166041067405794,1197,3536.0694040625,15166.611776875,25275.250105625,7432.52245275,173289.36730625,117487.526244375,108335.14005,4362.3834080875
"9","BAY COUNTY","Michigan",0.0116183977935475,1198,1422.0336843788,7729.691824188,14301.38230116,7175.309027556,219895.850944,127202.034324,199198.551356,3472.803556688
"10","BENZIE COUNTY","Michigan",0.0147690553168798,1199,4434.38603133333,12002.5977993333,16853.4863,12210.8518296667,296603.6563,173716.659133333,55539.4462366667,4165.17204733333
"11","BERRIEN COUNTY","Michigan",0.0145249237806594,1200,1118.19065634191,8071.62115542128,13026.3588863447,2856.63063196021,96179.1029555319,37408.8177744043,19124.3324875532,3153.00578385957
"12","BRANCH COUNTY","Michigan",0.0175828570379063,1201,2104.28055262857,10169.0208061429,11597.381944,6752.796316,115606.7065,90933.1312257143,37569.6679485714,3211.49041607143
"13","CALHOUN COUNTY","Michigan",0.0134093937636133,1202,1226.1456706363,5242.84455642593,9245.50386425926,3109.32218784185,138099.447633333,101688.670257037,75334.9756262963,1457.21612307185
"14","CASS COUNTY","Michigan",0.0197009119077943,1203,3909.1667685,9613.2299500875,16687.22884675,2048.41203543625,120302.1728875,17901.851964625,14920.43778275,2081.855773
"15","CHARLEVOIX COUNTY","Michigan",0.0102655968333429,1204,3112.619426,15120.2314985,9228.84453175,3520.87854525,382488.47535,245403.653625,72482.371005,15401.5984925
"16","CHEBOYGAN COUNTY","Michigan",0.0176475315398227,1205,2679.99377207,34658.557901,39354.356904,8661.64494065,390596.28178,300685.71464,36546.119913,4024.5029265
"17","CHIPPEWA COUNTY","Michigan",0.0154817275631131,1206,3076.6895908,21262.7390645455,77925.6236827273,9193.25683246091,450135.324963636,351142.009327273,23915.4761763636,3938.74262318182
"18","CLARE COUNTY","Michigan",0.0221422768419136,1207,1995.0528275375,10868.4560116375,54994.37862625,4688.249852525,264954.8153875,192914.5240875,119729.248675,6206.555518625
"19","CLINTON COUNTY","Michigan",0.0118892197780704,1208,1106.14507988,8805.3712848,22201.89448,7150.46331528,156730.04268,104998.11301,134376.55718,5594.42497624
"20","CRAWFORD COUNTY","Michigan",0.0268874427678878,1209,2145.05340286667,14660.5358683333,35289.7143766667,5529.60707616667,346994.881783333,256156.991166667,116735.681583333,11594.0301633333
"21","DELTA COUNTY","Michigan",0.0104694220631555,1210,2260.85153428333,11164.4453055,15416.0373780833,5579.42890950833,389013.855766667,168608.450141667,91187.5438158333,5237.833902875
"22","DICKINSON COUNTY","Michigan",0.00914403967955619,1211,912.8134391,25540.1273433333,27696.82737,11732.0289946333,400479.9705,167588.1065,100019.128983333,19723.8447513333
"23","EATON COUNTY","Michigan",0.0120404993895998,1212,1554.34945754588,7060.50551402353,17884.6202227647,2371.00210488824,139096.513476471,94446.1819082353,106988.588347647,2494.23416127647
"24","EMMET COUNTY","Michigan",0.0142369387557569,1213,4810.73655462308,13104.3544775308,16853.9519453077,7950.00242689231,411118.472238462,272026.775538462,36190.3217942308,4763.10131169231
"25","GENESEE COUNTY","Michigan",0.0109968649725994,1214,1265.67746448598,5819.11891626707,8066.26663190854,2437.72453316805,146602.629352439,55710.6497681707,165116.906656098,1438.11745142646
"26","GLADWIN COUNTY","Michigan",0.011525609414993,1215,1885.80798032857,22125.1279957143,58069.9567514286,10389.576534,255996.812871429,171516.075,155840.843357143,15966.8850157143
"27","GOGEBIC COUNTY","Michigan",0.0117291418628171,1216,951.998624175,62326.254155,9223.23422735,5364.501959,482563.246725,167824.845125,153094.0587,7127.335061475
"28","GRAND TRAVERSE COUNTY","Michigan",0.0130988377072115,1217,4542.1283957625,10933.3986942917,12297.6197437917,6576.90260958333,316535.335225,198904.9781875,78118.8063441667,4050.87688572083
"29","GRATIOT COUNTY","Michigan",0.0203828350795365,1218,2091.23463881429,6600.863341,43384.3877585714,5211.32184275,199839.109221429,132952.490328571,168379.004442857,5463.65648807857
"30","HILLSDALE COUNTY","Michigan",0.0180973308928639,1219,2989.60747088727,18158.8955615455,14024.7058357273,7361.36932872727,78070.6650763636,74307.3111327273,28658.4274416364,4763.74998826364
"31","HOUGHTON COUNTY","Michigan",0.0156365646479573,1220,2472.99693719,3859.24822958333,107396.420833333,2913.83772416667,530289.59855,274895.815483333,38844.0054866667,2529.23834983333
"32","HURON COUNTY","Michigan",0.0123155971285749,1221,1727.87565234,10096.958533,49079.6471625,8226.103838125,214996.367925,130424.055625,244704.0513,5568.761284275
"33","INGHAM COUNTY","Michigan",0.00720130192124889,1222,1780.18603890162,5060.21971184595,10927.6677543541,3622.93181067865,127505.998278378,76834.6693608108,112619.069853514,2257.99219115676
"34","IONIA COUNTY","Michigan",0.015599647915706,1223,1971.540259193,10674.18300965,14110.9633245,6744.53088347,181293.978085,133833.43616,142957.540765,6521.28757633
"35","IOSCO COUNTY","Michigan",0.0136524590491995,1224,1550.00789879286,21551.3012947143,91548.7123342857,5882.710353,261691.5434,192446.383428571,183715.2171,7255.47217585714
"36","IRON COUNTY","Michigan",0.0173646436802585,1225,2631.016451,49650.737978,49213.33119,3519.05669234,415301.2981,182645.41242,132055.37504,7773.5277422
"37","ISABELLA COUNTY","Michigan",0.0141033097227505,1226,1490.13516133842,7985.23918131579,59279.5712642105,5622.19407193158,229538.319926316,161535.9459,143985.682878947,5402.37383723684
"38","JACKSON COUNTY","Michigan",0.0120680606194156,1227,1951.83688857576,9783.88898104545,37273.5611439394,5864.40586040758,89738.2982366667,56503.0018578788,69299.6046078788,2530.27012330212
"39","KALAMAZOO COUNTY","Michigan",0.0106465124170607,1228,2265.18273256409,4724.90770536182,8321.70202967273,3345.17049957386,165603.872963636,79671.9073656818,72696.7381911364,2249.03060587636
"40","KALKASKA COUNTY","Michigan",0.0295617021388356,1229,7162.61578275,17601.80920825,25110.684335,5571.618023125,336692.0659625,228528.6222,102626.08585,7297.098037625
"41","KENT COUNTY","Michigan",0.00999092964009039,1230,1587.45497443022,4586.24796966989,12589.7487983892,2796.00212159376,195572.254787097,152063.765184946,133410.470460215,2379.46199255441
"42","KEWEENAW COUNTY","Michigan",0.0515266896965802,1231,4698.41890366667,39463.1122633333,111159.355166667,7045.13526366667,556307.566266667,306595.7205,12984.5340363333,13784.7547896667
"43","LAKE COUNTY","Michigan",0.0243011850488389,1232,4385.789321,24354.330855,41391.661785,11272.713193,247420.6128,202541.2108,64458.364545,4423.1426805
"44","LAPEER COUNTY","Michigan",0.0157588953953442,1233,2192.48046612105,11178.8038930474,14387.1393017895,5636.44554093158,155593.481663158,49397.7276721053,175602.711831579,3923.51613607895
"45","LEELANAU COUNTY","Michigan",0.0127752701869402,1234,6862.83861633333,12595.3193483333,10824.6042746667,8335.026106,320049.429466667,187917.5374,79077.2383466667,4329.90598566667
"46","LENAWEE COUNTY","Michigan",0.0136813494410524,1235,1780.766986625,12014.4560746285,15674.54663275,7008.641944411,45230.0030905,46020.7439215,44505.619783,4473.454201925
"47","LIVINGSTON COUNTY","Michigan",0.0111573855282277,1236,1172.71170299581,5369.59732808387,10299.885368071,3793.35151469129,98206.9786332258,33484.3874490323,114573.016182258,3927.52296598387
"48","LUCE COUNTY","Michigan",0.0316430903965324,1237,3068.40890075,4745.48592375,4419.383269175,3358.4223295,474212.55305,284525.0007,35479.2773275,4209.2558148
