"","County","State","Fatalities.Percent","X","DIST_br","DIST_fu","DIST_ho","DIST_in","DIST_li","DIST_ma","DIST_hi","DIST_sc"
"1","BEAVERHEAD COUNTY","Montana",0.0525540609492888,1551,1034.23012276333,37856.4874482222,33816.2132332222,14091.4241797444,444014.893677778,397608.181466667,214832.903866667,2812.4701172
"2","BIG HORN COUNTY","Montana",0.0799059470809911,1552,2817.77047520714,66456.7500264286,18237.8485623571,9175.63198457143,560567.456828571,371029.41455,128607.6891,5337.49162585714
"3","BLAINE COUNTY","Montana",0.0494413691847314,1553,3346.71458832,84796.514704,24040.1472852,19753.4038868,314572.33572,623567.62172,317712.53022,2136.2128688
"4","BROADWATER COUNTY","Montana",0.0578902750563284,1554,1345.35512305,27709.202855,11712.9828225,9955.4091125,409287.0632,480138.3088,198033.98855,3314.29021425
"5","CARBON COUNTY","Montana",0.0421406338925711,1555,1341.73617941667,14883.5080321667,21926.4326631667,7069.087895,558638.404616667,454816.655333333,35587.0665266667,2170.32025198333
"6","CARTER COUNTY","Montana",0.0647381762881148,1556,23492.74832,100559.220365,82494.63163,34847.8138,521286.9888,188504.4474,77492.03391,4150.87076845
"7","CASCADE COUNTY","Montana",0.0118746008904916,1557,2340.68208803077,6531.94682253846,5190.23423168462,2648.59245091154,262621.409615385,621634.405884615,272198.5361,1916.16208506154
"8","CHOUTEAU COUNTY","Montana",0.0610998357020411,1558,2274.34847913333,74776.4320033333,15274.9694946667,21776.565779,260701.092933333,638374.0215,294425.291166667,4556.14994033333
"9","CUSTER COUNTY","Montana",0.0235119726473177,1559,7652.346979,80956.1836533333,38664.4700866667,33192.2727566667,432548.137733333,308359.179533333,210771.511433333,4444.90033633333
"10","DANIELS COUNTY","Montana",0.00647619047619048,1560,3383.520866,175188.2768,16181.22315,16314.42005,181814.0399,542482.1172,441974.5132,2035.535977
"11","DAWSON COUNTY","Montana",0.0227712693759009,1561,1243.66435287143,20164.5745028571,17636.1851072857,15938.753953,367901.9332,351012.968571429,250915.0544,3171.92214335714
"12","DEER LODGE COUNTY","Montana",0.0206227770722544,1562,697.0627794,31540.23237,7121.219636,2360.338815,388062.8109,492248.1377,272858.9594,3512.391348
"13","FALLON COUNTY","Montana",0.0245169771523814,1563,5193.582347,80042.26681,24155.95732,33110.91345,476566.9096,240698.6805,141433.5942,12491.96703
"14","FERGUS COUNTY","Montana",0.0293163889827622,1564,2600.52535574286,49401.7342642857,38926.62256,18112.0684372557,369087.772442857,590857.469357143,199080.418785714,5264.29436554286
"15","FLATHEAD COUNTY","Montana",0.0232850482311649,1565,3100.0497727619,13370.9009564295,12909.808387781,9887.82348000476,183654.116647619,447015.781471429,271067.901014286,4427.61670681429
"16","GALLATIN COUNTY","Montana",0.0174308055882481,1566,2348.63547417053,13632.72236,7874.66344348421,8922.24056866842,445909.723531579,452332.222973684,165448.757952632,1998.78962911053
"17","GARFIELD COUNTY","Montana",0.045939742469157,1567,3522.400777,139686.6278,49163.81727,68561.42534,437793.9823,478271.8741,189703.0595,1825.810902
"18","GLACIER COUNTY","Montana",0.0576111648751108,1568,2676.13013116,34686.7664802,15645.99821294,5464.76695285,123687.241203,526852.70185,357602.58876,5277.1585577
"19","GOLDEN VALLEY COUNTY","Montana",0.0596970424349931,1569,2984.9890475,86887.65379,35633.416095,32953.35763,450972.0046,533123.42155,80250.18328,2704.07148045
"20","GRANITE COUNTY","Montana",0.0692685207736101,1570,3217.559694,51696.27095,18386.06397,17799.10437,320679.5764,453148.4691,245808.1386,3879.740971
"21","HILL COUNTY","Montana",0.0167024285216865,1571,3011.72541605,105220.263965,10361.1253873333,14977.2255876667,252737.411666667,609263.642166667,327397.76505,4392.12336333333
"22","JEFFERSON COUNTY","Montana",0.0545558567179824,1572,3861.38088131538,53152.94352,12953.2006368462,8426.77853976923,410992.191892308,470859.657469231,239245.666915385,9011.12307761538
"23","JUDITH BASIN COUNTY","Montana",0.0752978206923674,1573,4478.62711426714,63315.5224228571,23272.646291,15184.7203581429,332713.233785714,612682.888928571,198425.7268,2495.82858112857
"24","LAKE COUNTY","Montana",0.0413403589512717,1574,1937.623231925,29829.76820375,6000.3554945125,6226.58016153875,239848.6730125,410686.2954875,240920.6036125,2997.3070741625
"25","LEWIS AND CLARK COUNTY","Montana",0.0151841637164548,1575,2116.41344933417,19030.563664875,12315.1748162583,3970.2032721325,319829.369858333,541744.501608333,269565.1288,3215.68842459167
"26","LINCOLN COUNTY","Montana",0.0304936614982864,1576,2886.59495812857,13107.4297248571,15964.3023255714,25098.1664713571,171918.754385714,388766.31,202559.294485714,6735.35805857143
"27","MADISON COUNTY","Montana",0.0619365796594337,1577,3386.44004325,33527.9751925,18934.6439315,13443.312368125,469420.8738875,410236.68395,224765.1735,3493.4878586
"28","MCCONE COUNTY","Montana",0.0573944575213996,1578,2828.4567705,92975.23962,12888.0961865,10996.523504,311079.8427,435370.3932,336310.7846,8195.0977155
"29","MEAGHER COUNTY","Montana",0.0697065367515945,1579,4432.604844,25572.4309,24907.66458,22774.77397,349823.3266,564037.3102,190320.4024,4284.043215
"30","MINERAL COUNTY","Montana",0.12289476417382,1580,1822.29029424,35454.44488,20644.418842,19750.5449664,188110.62432,344275.18774,183932.91662,2989.43088164
"31","MISSOULA COUNTY","Montana",0.0165847905445921,1581,1729.87438218929,14408.781353475,6688.444277175,5333.77942741179,270734.531735714,412613.976289286,217715.829275,2822.32203382857
"32","MUSSELSHELL COUNTY","Montana",0.0346385909172973,1582,1207.64411137667,74623.3713966667,28987.40586,27286.459152,481048.586333333,481071.311933333,109795.869976667,3995.098204
"33","PARK COUNTY","Montana",0.0274413584737173,1583,1127.43894532,12769.7744076,16022.60386096,9758.20043416,476347.40926,441709.74538,122686.0065,2275.44976786
"34","PETROLEUM COUNTY","Montana",0.24016546867826,1584,3979.193296,95639.67315,3931.503073,30784.3898,439612.4428,518245.4119,164635.5378,2308.358017
"35","PHILLIPS COUNTY","Montana",0.0522297474359268,1585,7383.455379,41678.64425608,44933.21458156,19642.073743,332520.89768,592583.3374,304633.74682,3182.46649924
"36","PONDERA COUNTY","Montana",0.0427452964733839,1586,1113.2224617,34576.4741275,14260.43341875,6968.793696575,156838.5324,574408.781225,378577.379875,2608.997919075
"37","POWDER RIVER COUNTY","Montana",0.0652715848664347,1587,4510.548715,84394.40525,94703.74618,18546.85687,523438.7935,209669.2057,90632.31441,19351.43423
"38","POWELL COUNTY","Montana",0.063156035267298,1588,4078.26056375,30915.824595,12892.0974025,9309.50832425,332701.3136,494202.444925,282733.61535,5466.896172875
