"","County","State","Fatalities.Percent","X","DIST_br","DIST_fu","DIST_ho","DIST_in","DIST_li","DIST_ma","DIST_hi","DIST_sc"
"1","ALAMANCE COUNTY","North Carolina",0.0133074465999958,1815,1129.7259515131,5349.32823679655,26313.6331668966,5145.67260253345,74561.8417013793,36704.6498510345,3522.7843595069,2503.61330264483
"2","ALEXANDER COUNTY","North Carolina",0.0192861626554676,1816,1571.25801220909,7341.35024445454,19749.2675527273,6784.95869572727,98872.2702554545,67076.7173363636,7137.98219154545,3262.77411274545
"3","ALLEGHANY COUNTY","North Carolina",0.0174909956468383,1817,1324.9767967,7443.18289566667,7315.65508466667,7211.015013,107036.153463333,95185.1723633333,7437.79324633333,4256.55384833333
"4","ANSON COUNTY","North Carolina",0.0314822869082807,1818,1003.34471296364,6212.95210736364,8200.86155005455,5837.89491065,26018.7605927273,70347.0422363636,5658.74730077273,4008.28349812727
"5","ASHE COUNTY","North Carolina",0.0159864347470176,1819,1043.53626977429,10740.6935181429,29737.8213128571,4445.9332481,79241.0139485714,74833.9188014286,8489.73191042857,5919.35033057143
"6","AVERY COUNTY","North Carolina",0.0151515443371494,1820,1238.05796948,6963.0842256,17096.625758,2589.0581392,50675.421692,53024.157354,4948.137207,4519.9281148
"7","BEAUFORT COUNTY","North Carolina",0.0235231123899197,1821,1837.33314736154,14637.1797180769,34091.6162376923,8829.99637937846,136273.901961538,129197.350007692,8323.93075169231,6223.36269453846
"8","BERTIE COUNTY","North Carolina",0.0432544249395855,1822,1827.98144491111,14915.9461151111,24330.1992424444,13086.6107713333,91867.3733533333,91090.7540877778,9026.84836444444,4470.94108322222
"9","BLADEN COUNTY","North Carolina",0.0410074082852171,1823,2084.54599358636,18732.2794328636,30804.1824118182,8214.08798504091,76981.8732009091,128846.358331818,8428.43754372273,4701.31563363636
"10","BRUNSWICK COUNTY","North Carolina",0.0247280295380736,1824,1702.88993098857,12254.1070872943,12015.1681374286,6392.77495074571,33863.1452504,190922.124668571,8929.04044202857,4614.58695460857
"11","BUNCOMBE COUNTY","North Carolina",0.0123766233429613,1825,466.268967726739,2513.84951038913,5217.16255723261,2104.3404093963,81842.1609458696,8260.61683146522,2732.95954453913,1609.92473408478
"12","BURKE COUNTY","North Carolina",0.018654178151862,1826,822.623469162941,11944.3493584118,10651.6146033529,8141.11236020588,86600.7987888235,71960.0436182353,8086.37383235294,3414.82347275294
"13","CABARRUS COUNTY","North Carolina",0.0126730939139174,1827,997.353335070625,6773.0546775875,7574.38538050312,3598.0366905375,35329.144685,13715.0692918125,3461.67687167594,1937.98081019375
"14","CALDWELL COUNTY","North Carolina",0.0176957200451215,1828,936.832172003462,7693.26738269231,7826.77640380769,5537.59754709231,89255.2267384615,81660.1154619231,6241.7159325,1747.30750726538
