"","County","State","Fatalities.Percent","X","DIST_br","DIST_fu","DIST_ho","DIST_in","DIST_li","DIST_ma","DIST_hi","DIST_sc"
"1","BELKNAP COUNTY","New Hampshire",0.0140240892716115,1689,1093.67462861714,14340.903531,6373.70517981429,2771.63673418571,190770.682357143,67401.6921985714,102847.223194286,2409.86860562857
"2","CARROLL COUNTY","New Hampshire",0.02121335355387,1690,1815.91428862941,20508.4235112647,13222.7799604706,5809.43702257647,217765.259729412,104775.911598235,83336.3555935294,4143.11577385294
"3","CHESHIRE COUNTY","New Hampshire",0.0126471437582837,1691,1132.469697655,12114.668767625,8866.6531362625,6734.8160423,133596.00201875,64643.75584,39579.643574375,3126.65555353125
"4","COOS COUNTY","New Hampshire",0.0163386874759463,1692,598.052664478571,28985.8651657143,16950.19574736,5499.01735707143,176752.589685714,175430.822085714,114088.947402857,2153.40883707143
"5","GRAFTON COUNTY","New Hampshire",0.0135940203536926,1693,885.021409495238,12307.680742381,9385.35291347619,4521.33445414286,208292.180752381,108783.708325714,124428.268847619,2643.27511430952
"6","HILLSBOROUGH COUNTY","New Hampshire",0.00702976728594024,1694,1199.17360715476,8573.51592864524,7725.99323938571,3610.70809053333,118012.703010238,16016.5757791143,37411.1351161905,1833.18369369548
"7","MERRIMACK COUNTY","New Hampshire",0.0130245955111479,1695,1149.45037345548,14326.3670444581,11494.0040251935,4581.79832043226,157520.468909677,38857.5980277419,73160.5778596774,2715.18916456129
"8","ROCKINGHAM COUNTY","New Hampshire",0.00841916199062358,1696,1411.907836614,6228.29894164,5198.4981288,4371.56011664,126796.110665714,24731.7288641714,40912.3634474286,2344.52924789143
"9","STRAFFORD COUNTY","New Hampshire",0.00959833623040631,1697,1175.63510735882,9978.42447988235,9611.21856388235,4539.10603698824,158890.833570588,58881.3779217647,74556.2595594118,2783.78051707059
"10","SULLIVAN COUNTY","New Hampshire",0.0149377180847463,1698,1087.24910676727,29347.8567645455,4545.22737136364,3285.10940269,184513.903090909,81830.2032490909,91396.5531318182,2636.6077572
