"","County","State","Fatalities.Percent","X","DIST_br","DIST_fu","DIST_ho","DIST_in","DIST_li","DIST_ma","DIST_hi","DIST_sc"
"1","ADAIR COUNTY","Oklahoma",0.0261349561930093,2048,1958.50366795714,10551.9351863143,29989.8827928571,5782.37190737143,180761.816171429,108975.82671,89157.6611371429,6302.26664837143
"2","ALFALFA COUNTY","Oklahoma",0.0316565646023337,2049,2558.903818875,32809.2053425,48140.57563,15061.149113,361894.3473,125345.2713,116762.332,9396.546060475
"3","ATOKA COUNTY","Oklahoma",0.0419763700860401,2050,1600.67321789,42168.446042,12795.7910226,12577.6011247,135593.69364,85577.889824,143950.23348,6664.5210192
"4","BEAVER COUNTY","Oklahoma",0.0562878368757274,2051,738.204506621667,34633.9932186667,47955.42392,11702.8403542617,208713.413533333,288161.683383333,286305.007783333,15590.5083264
"5","BECKHAM COUNTY","Oklahoma",0.0516514557978278,2052,901.945236236667,20291.1586015667,59412.1475177778,4543.70166144444,200532.198555556,186671.267988889,204798.131622222,7027.76339295555
"6","BLAINE COUNTY","Oklahoma",0.046863267333237,2053,3959.8593776,17455.46042,68592.61415,3355.750553754,302236.93798,106756.62258,105894.28564,17726.472604
"7","BRYAN COUNTY","Oklahoma",0.0268455263645177,2054,1051.30588141059,13056.2786246529,31182.2800841176,12547.8754064824,89539.5611311765,41497.8243417647,140400.052023529,6697.14279242353
"8","CADDO COUNTY","Oklahoma",0.04310333753689,2055,966.141964125,12541.5508721318,35268.7503036364,10308.7023825082,246489.198277273,89378.0290140909,119833.546998182,4886.10553300455
"9","CANADIAN COUNTY","Oklahoma",0.0180173238267807,2056,848.003223068125,15902.1070400656,12659.8463044375,4016.01352216875,264514.73999375,32739.1543753125,61391.21203,3399.17448712812
"10","CARTER COUNTY","Oklahoma",0.0313103291687113,2057,1118.40821925864,13368.4755531818,37379.066215,4503.04939426909,110677.650993636,80089.5210513636,161804.403445455,5897.21601625455
"11","CHEROKEE COUNTY","Oklahoma",0.0243916747408182,2058,1102.73251302214,11987.9039132857,60606.9138792857,8825.78445157143,214942.425042857,75425.6681014286,52085.3698028571,5124.00247235
"12","CHOCTAW COUNTY","Oklahoma",0.0341180510862467,2059,844.046292536364,34817.9491009091,38133.4516354545,9166.57186569273,132264.981881818,101969.849844545,156766.523945455,4572.37145263636
