"","County","State","Fatalities.Percent","X","DIST_br","DIST_fu","DIST_ho","DIST_in","DIST_li","DIST_ma","DIST_hi","DIST_sc"
"1","ABBEVILLE COUNTY","South Carolina",0.0195459376325888,2232,1387.33018382222,21920.4492911111,15230.7145496667,4046.70662823333,90055.2276655556,41020.4134,32131.8785155556,1876.91395311111
"2","AIKEN COUNTY","South Carolina",0.02121814697823,2233,2237.988751135,6556.40842712537,15202.5133341852,5217.76858785963,153200.759105556,139013.671257407,34067.178061963,1904.14731576222
"3","ALLENDALE COUNTY","South Carolina",0.0322755182276919,2234,1139.77606836667,3372.69170233333,9078.971052,3352.52741046667,112488.053333333,122398.2786,26804.07575,1837.864076
"4","ANDERSON COUNTY","South Carolina",0.0225420270531263,2235,995.917254683803,6989.9147213,9047.86407636056,4216.35051583521,95383.7129073239,12458.5132160986,43089.8420184507,1444.05598189437
"5","BAMBERG COUNTY","South Carolina",0.0269331737708865,2236,2006.77056007778,5046.74444131111,10201.6745827556,3841.66983713667,139561.585555556,105478.864535556,9626.78652755556,1561.77675355556
"6","BARNWELL COUNTY","South Carolina",0.0328023832315635,2237,2108.61178446429,9578.0902055,14822.2448307143,6444.39848178571,149535.346657143,136768.491521429,22813.9961252143,1226.95062420714
"7","BEAUFORT COUNTY","South Carolina",0.0139472211008682,2238,2222.54519294286,5706.59394407429,11855.6904423857,4695.86979773743,48714.9941262857,92050.3444914286,19289.9933449143,1876.85549626571
"8","BERKELEY COUNTY","South Carolina",0.0242753790326086,2239,1587.14248617525,13184.8779205661,17022.1910202881,8365.9197385678,157787.152445763,33313.1899661864,54657.6806983051,1845.24344562254
"9","CALHOUN COUNTY","South Carolina",0.056657358515344,2240,1941.96180979286,11977.8207472857,19855.4116035714,6397.77745407143,142534.107335714,124190.809188571,51030.9133142857,1771.22040272143
"10","CHARLESTON COUNTY","South Carolina",0.0162398592693354,2241,1621.70914672073,9104.26535568854,12459.8401101167,5709.20280406969,138424.601251042,14879.0104156438,56359.5545467708,1355.79462442458
"11","CHEROKEE COUNTY","South Carolina",0.0269685610285266,2242,1006.10951506,12609.6202390526,11033.9306655263,3279.01107578421,87829.6309442105,58809.3628605263,7113.93359906842,1422.72654291579
"12","CHESTER COUNTY","South Carolina",0.0368048492465807,2243,859.288827211765,22917.9398941176,11674.6705901176,4071.54243459412,56982.5837176471,50530.3443894118,34450.6183158824,2058.68631797059
"13","CHESTERFIELD COUNTY","South Carolina",0.0337006243285357,2244,1226.226892053,18459.94082425,19378.02530045,9196.452810795,44650.6217105,84318.3344545,23671.94470895,1693.709838893
"14","CLARENDON COUNTY","South Carolina",0.0519966929139198,2245,833.8301787045,8665.067741815,14374.351980625,3420.10014249,148170.21345,92244.4331085,65277.2954415,1548.645272145
"15","COLLETON COUNTY","South Carolina",0.0555565943129532,2246,1281.97934857697,8512.73145736364,34647.7639306061,6142.92103773364,109399.452602727,64618.1096148485,14952.2917491212,2055.13180470303
"16","DARLINGTON COUNTY","South Carolina",0.0317343703503832,2247,1346.7571505128,10961.30211164,9044.44332436,5016.711231384,83432.1711928,120119.964296,46286.9370488,1501.053155316
"17","DILLON COUNTY","South Carolina",0.0393279018326513,2248,1229.68058465045,17152.0435466864,10828.2454090909,3334.58397500455,110957.258509091,154006.706072727,11739.3155209545,2098.663273
