"","County","State","Fatalities.Percent","X","DIST_br","DIST_fu","DIST_ho","DIST_in","DIST_li","DIST_ma","DIST_hi","DIST_sc"
"1","AURORA COUNTY","South Dakota",0.0408905698241401,2278,6188.681714,32457.48993,35892.46002,6566.957353,206123.0268,134807.8651,79566.23076,8829.56047
"2","BEADLE COUNTY","South Dakota",0.0127191870405139,2279,3067.0137253,2228.758394,3614.8796701,2132.067131605,253941.427,152718.83625,106324.042,2707.183657
"3","BENNETT COUNTY","South Dakota",0.0573337652834061,2280,14703.19027,81953.155705,54762.13005,10613.3236965,399548.74995,142237.20015,70615.2346,12982.294775
"4","BON HOMME COUNTY","South Dakota",0.0207869218156088,2281,1624.804311,15187.33732,19270.45519,2342.150539,114817.6554,96229.60608,22567.11447,2401.946261
"5","BROOKINGS COUNTY","South Dakota",0.015724824507347,2282,1626.850008175,8859.953942875,35169.21870375,4242.9360967125,205949.0854875,95474.91443375,65462.32958875,3894.2933448625
"6","BROWN COUNTY","South Dakota",0.00755769057836136,2283,961.6801708,798.0807713,1575.5318902,636.0966701,366521.7252,256999.4058,125186.52325,380.87006125
"7","BRULE COUNTY","South Dakota",0.0309763023619862,2284,2400.30174533333,12242.1934553333,62283.5859333333,4074.62586633333,263843.005866667,196121.191866667,136490.064866667,5598.46758633333
"8","BUTTE COUNTY","South Dakota",0.0177234129996482,2285,58.62797172,67860.76452,63895.12074,474.7066547,514951.3301,105920.2836,6144.418054,15000.90585
"9","CHARLES MIX COUNTY","South Dakota",0.0225403693667374,2286,4671.40211025,51722.4196775,43308.42624,7721.59997775,200376.586925,154428.9946,77159.5463875,6154.732802
"10","CLARK COUNTY","South Dakota",0.0304862703102479,2287,7341.733097,11726.66811,40163.98758,6410.225434,255152.2126,143403.7786,39748.34883,17332.50924
"11","CLAY COUNTY","South Dakota",0.0161368681921926,2288,541.5288458,23942.56042,29368.87624,794.7178304,50353.34499,59198.64354,39932.71375,452.0306962
"12","CODINGTON COUNTY","South Dakota",0.0165919737631919,2289,3340.29006636667,11892.3550016667,14291.2406813333,5973.33124316667,275824.885016667,164097.161066667,14234.5813286667,7049.67737566667
"13","CORSON COUNTY","South Dakota",0.0832902201603832,2290,580.999705733333,43730.5580433333,108045.4304,5715.22867833333,506810.2735,261506.7211,224612.475733333,11099.8072663333
"14","CUSTER COUNTY","South Dakota",0.0262793194239651,2291,194.3302161,26337.86229,22404.95678,5223.346086,393050.8487,32920.14606,3089.854597,5460.028138
"15","DAVISON COUNTY","South Dakota",0.0138810053480129,2292,1062.76704038333,15902.4290033333,18392.65037,15648.01528,185071.807966667,107921.032636667,63160.8005766667,4271.85284933333
"16","DAY COUNTY","South Dakota",0.0356940062223911,2293,16305.16438,4226.10569361,56806.337605,4238.390288385,328925.40625,216585.3681,62024.078815,17708.468055
"17","DEWEY COUNTY","South Dakota",0.04887583890886,2294,3130.90541626667,28721.7401633333,165834.799366667,13500.2924283333,488654.322133333,198649.392,168912.794966667,13556.9498856667
"18","DOUGLAS COUNTY","South Dakota",0.0107878639128639,2295,1712.483275,33275.07694,36560.55324,12811.55206,191386.9657,126862.2344,64134.15607,2195.918
"19","EDMUNDS COUNTY","South Dakota",0.0396681593412902,2296,10303.905073,5362.447981,46033.41533,5154.8881665,386149.7518,280556.8793,164080.92085,22389.5245
"20","FALL RIVER COUNTY","South Dakota",0.0339795041103204,2297,1183.45512508,80343.997554,19582.680712,9247.3992616,345298.83008,85117.76321,48668.167116,5219.327448
"21","GRANT COUNTY","South Dakota",0.0248056586338412,2298,4000.132515,7179.277018,11754.2896,9502.589765,299381.317,192287.6165,59100.39925,8634.558768
"22","GREGORY COUNTY","South Dakota",0.0216085381940479,2299,7140.271412,70925.29375,27468.52761,1550.44639,244710.3623,205377.3325,126359.5174,5520.126867
"23","HAAKON COUNTY","South Dakota",0.0609599425526227,2300,129.462921,32008.41316,135484.1978,7753.4010515,445650.29025,136180.98555,59971.54777,9279.7758245
"24","HAMLIN COUNTY","South Dakota",0.0174187269964634,2301,3573.4046204,11132.93251375,22086.931495,2766.98939456,250829.303075,138982.6761,20776.736535,12438.4592375
"25","HANSON COUNTY","South Dakota",0.0247104924404232,2302,946.1176737,5541.913789,5485.427229,958.794604,180402.2874,96264.24801,63952.87665,1774.256235
"26","HARDING COUNTY","South Dakota",0.141047049269974,2303,2718.031220325,53890.4416275,99373.5208825,21124.55559825,534116.944675,171387.7007,77152.0807625,9030.31427255
"27","HUGHES COUNTY","South Dakota",0.00900058730720862,2304,1310.074330915,8895.34474,135911.07495,6393.218437625,369438.23615,239362.1,167580.901,3878.609889365
"28","HUTCHINSON COUNTY","South Dakota",0.0174210339624729,2305,565.468876,34143.78232,36896.78937,3670.711372,163519.0709,102891.149,36776.56391,8175.98578
"29","HYDE COUNTY","South Dakota",0.0466642913761279,2306,7120.8751015,57104.23411,83486.403785,13394.039725,323969.84,240047.7901,195064.2098,8763.490238
"30","JACKSON COUNTY","South Dakota",0.136059970087283,2307,1487.6089284875,30868.67152,107800.85235125,6058.60410915,430114.71755,139414.293425,56270.24983,9653.24822275
"31","JERAULD COUNTY","South Dakota",0.0225290438847659,2308,1663.2568245,4309.8897145,11348.091148,2905.002078,236000.5445,145947.715,116198.4934,2506.1747335
"32","JONES COUNTY","South Dakota",0.173400998675237,2309,1329.52591398333,44114.4832666667,112636.568183333,9399.92702783333,376290.0547,204819.639133333,122574.727516667,11015.7075841667
"33","KINGSBURY COUNTY","South Dakota",0.0169234009723113,2310,2350.7032885,10850.474212,55719.96979,3441.90197455,223956.9865,113522.4167,66048.43188,1994.07734465
"34","LAKE COUNTY","South Dakota",0.0147430577070939,2311,3478.25006266667,6825.299836,57472.64121,3784.15589186667,172230.937766667,60473.1336,97938.5887333333,6157.56913233333
"35","LAWRENCE COUNTY","South Dakota",0.0271954371831392,2312,2171.42466388545,23161.3945636364,17207.2990550909,5507.83299891818,439538.6612,53473.7232909091,32969.18589,4305.45984797273
"36","LINCOLN COUNTY","South Dakota",0.0144345894974491,2313,1203.35618318,13573.8760378,16968.9625197,7910.28505814,90365.942458,25074.9918381,75001.272934,2370.01132036
"37","LYMAN COUNTY","South Dakota",0.100822744175456,2314,4066.48557002,41359.809286,99334.075712,7754.66615,316944.90216,242971.06394,177004.45718,10370.6091874
"38","MARSHALL COUNTY","South Dakota",0.0153918512061151,2315,7120.200303,24763.057725,41200.71734,14754.71201,361850.99315,250034.8742,92647.14696,7716.3775465
"39","MCCOOK COUNTY","South Dakota",0.0391085254152891,2316,723.760654685,6675.685187,50307.217515,1200.7434943,149170.0973,52146.23675,63164.90666,3332.3700405
"40","MCPHERSON COUNTY","South Dakota",0.00917452091460463,2317,10222.76496,29535.75909,55101.23702,5027.582818,445832.473,332575.3582,224381.3666,26073.08296
"41","MEADE COUNTY","South Dakota",0.0271906019994192,2318,1627.99978758,8932.4873012,9312.6031754,5219.18773826,444894.0321,34265.9031,39271.566876,4549.2924916
"42","MELLETTE COUNTY","South Dakota",0.1476057395677,2319,6363.319563,31929.20427,90274.22022,29785.70755,399873.0467,177471.4511,91342.99842,8118.482533
"43","MINER COUNTY","South Dakota",0.0365147121134879,2320,2584.1459112,22809.5068336333,48387.47233,12589.2949135667,201539.515466667,95892.76966,97143.2580066667,11215.8015576667
"44","MINNEHAHA COUNTY","South Dakota",0.00876427103392634,2321,899.5419971315,7309.16103248,12054.77344375,4067.5770132325,122283.885655,15459.8523132,93532.682402,4465.509061665
"45","MOODY COUNTY","South Dakota",0.0341999385250946,2322,1147.55345516667,14061.8010723333,32987.6738866667,9930.18876033333,175595.122066667,66240.9160433333,94995.9638933333,4271.45401813333
"46","PENNINGTON COUNTY","South Dakota",0.0123747633934612,2323,1356.28170711,8515.5299529375,10845.1745895625,2504.99002307125,419064.32470625,11977.1998591125,26676.4719343125,3446.076712875
"47","ROBERTS COUNTY","South Dakota",0.040391076925509,2324,2714.357588765,13763.211296,27530.0437283333,5508.663001405,341521.168033333,230515.410966667,74783.6273866667,5773.49533666667
"48","SANBORN COUNTY","South Dakota",0.0275268967460661,2325,3208.189957,12994.75329,28339.91183,35.78971863,223767.5652,130221.7377,108100.7211,1888.004515
"49","SHANNON COUNTY","South Dakota",0.0899895909583703,2326,3872.88614392765,89934.9684029412,45740.9625247059,7550.23936531177,366828.840682353,118619.149364118,49628.2296623529,9451.53937111176
"50","SPINK COUNTY","South Dakota",0.0196999894638681,2327,2335.42260025,6772.4124465,20413.207401,5521.55605775,320682.46355,213510.256725,104952.9311325,4753.37019575
"51","SULLY COUNTY","South Dakota",0.0157497013142174,2328,6996.645669,30713.67672,126308.3715,12722.88647,377013.0758,255253.4746,189737.6155,6460.815266
"52","TODD COUNTY","South Dakota",0.0532179355275994,2329,3542.10632135,28840.75451,58956.575835,21345.675485,383784.8284,199579.94,114991.08985,12268.79484
"53","TRIPP COUNTY","South Dakota",0.023618681346455,2330,1237.98458315,54232.9062075,66929.2649925,5450.9783167575,299574.41735,254381.080725,173812.83995,8171.84839275
"54","TURNER COUNTY","South Dakota",0.0243526340377695,2331,956.84938764,6576.51301524,38431.655622,5276.185042,101869.101736,35678.549212,51143.326232,4826.3329666
"55","UNION COUNTY","South Dakota",0.0176475205762611,2332,721.293269075,7783.418882,8701.93177525,3731.97036225,21758.26619725,29546.692225,71908.01942,2188.67258125
"56","YANKTON COUNTY","South Dakota",0.0138284369296424,2333,1180.30144347143,8282.81803314286,28539.1730785714,6840.3812141,92838.3127657143,78268.02536,10173.3486200143,1392.60809084286
"57","ZIEBACH COUNTY","South Dakota",0.0331493065348641,2334,162.478642565,31162.18889,168305.87705,18394.4156505,481187.97865,167535.20865,132151.03285,9131.5344225
