"","County","State","Fatalities.Percent","X","DIST_br","DIST_fu","DIST_ho","DIST_in","DIST_li","DIST_ma","DIST_hi","DIST_sc"
"1","ANDERSON COUNTY","Tennessee",0.0189519860974333,2335,1029.62741496167,5097.45712377778,13161.2283252778,4139.09469170556,14154.8343991667,21273.8055116667,26074.4853333333,1440.12643515
"2","BEDFORD COUNTY","Tennessee",0.0218987883230187,2336,769.523936425,6125.577445325,9943.39253466667,8415.45641425,34216.8924516667,174866.830433333,74583.6774783333,2122.636942925
"3","BENTON COUNTY","Tennessee",0.0350821722943744,2337,1336.16399245,27529.24808,9396.99453625,7502.7659265,75988.67620375,107703.1400775,114094.5013625,979.00957345
"4","BLEDSOE COUNTY","Tennessee",0.0244418361729168,2338,1302.83720734333,7377.48081383333,17837.6023583333,5225.37094816667,45954.877675,112120.07535,8398.52734616667,2880.9471972
"5","BLOUNT COUNTY","Tennessee",0.0186102991678969,2339,1094.41595262633,5245.09243456167,10103.7319589,3405.93583259333,18206.2421495667,21918.2308594,11906.0965224667,2061.85827758667
"6","BRADLEY COUNTY","Tennessee",0.0150870360237877,2340,633.025317221429,6424.60006371429,7477.46584755714,4710.75857169619,28936.7297461905,111278.813198095,22725.1765353333,1470.25323767143
"7","CAMPBELL COUNTY","Tennessee",0.0342882857288462,2341,1521.72736227167,11526.4077751667,9265.50088806,7214.420594532,46651.2331656667,50719.6695243333,56833.3318016667,1879.08978742433
"8","CANNON COUNTY","Tennessee",0.0282218394912388,2342,758.317232321429,22037.1145857143,10297.4747211429,9595.73055814286,29557.0979071429,173997.598471429,55943.4876242857,1872.40515862857
"9","CARROLL COUNTY","Tennessee",0.0271079529214899,2343,1174.34859778333,12438.0834280833,10585.5400364167,5841.80668360833,49960.3616766667,126696.438616667,119344.2351,1928.6229534875
"10","CARTER COUNTY","Tennessee",0.0210967614112596,2344,919.169390064706,15844.295573,8970.53197735294,6071.58597326471,18705.1255572353,20040.9495962353,13273.9543576471,1235.83262195294
"11","CHEATHAM COUNTY","Tennessee",0.0262497801833973,2345,1200.98731083235,8508.97023558823,21749.0254923529,6645.91903423529,38093.2766729412,79814.19255,24548.61623,1722.45062327647
"12","CHESTER COUNTY","Tennessee",0.0299908407179215,2346,1270.00234322857,18435.1763028571,7138.05273942857,6213.20026828571,28993.6607685714,110136.843857143,129839.741871429,2068.02153471429
"13","CLAIBORNE COUNTY","Tennessee",0.0350685787337594,2347,1479.33955211375,11106.42221,12190.55585125,7554.6731965,43641.71965625,54134.3301075,60066.77045375,1521.2275234125
"14","CLAY COUNTY","Tennessee",0.0341506076727344,2348,789.2145593,10666.765152,4975.48433275,4181.678441,88090.48943,143647.98455,81938.0931025,800.55086645
"15","COCKE COUNTY","Tennessee",0.0306213679805264,2349,984.764470283077,8663.90446230769,27283.0174107692,4834.42868975385,31503.5250638462,61818.5014153846,30171.1670023077,1688.46693507692
"16","COFFEE COUNTY","Tennessee",0.026270002901272,2350,684.113721346667,5022.68067233333,5974.8683767,3660.7334725381,48581.8342438095,191824.952942857,57703.6884319048,1361.77883534762
"17","CROCKETT COUNTY","Tennessee",0.029700876033811,2351,1109.23550774,12600.416732,13931.9302596,9824.7380074,30235.103366,90419.718772,110908.568836,1469.9353007
"18","CUMBERLAND COUNTY","Tennessee",0.0281943746202724,2352,1458.168212358,7535.859710084,9577.3386836,6993.750919804,65952.4495708,87178.6197272,40976.7810892,1762.030326708
"19","DAVIDSON COUNTY","Tennessee",0.0143912762227677,2353,563.84091316731,3102.5832052069,5224.76391587586,1735.27624830634,29350.6401031034,98020.8636747586,8170.60243226414,1152.45031037586
"20","DECATUR COUNTY","Tennessee",0.0420679871569429,2354,784.427488581,13802.2920435,14177.6119841,6233.02606953,64172.703544,142473.27773,127202.63785,1316.51023274
"21","DICKSON COUNTY","Tennessee",0.0320554205296984,2356,1172.95849796367,8950.36480453,10501.8357820333,4078.67563191767,44237.4873726667,82216.2013353333,48237.965479,1516.88990691667
"22","DYER COUNTY","Tennessee",0.0214482821361385,2357,1016.06786060769,7684.28919276923,6992.30872546154,4093.56052717692,49482.6305284615,102756.859387692,84167.0584576923,1658.82835039231
"23","FAYETTE COUNTY","Tennessee",0.0260431707938761,2358,707.28847104125,13123.36726275,27412.20664,7340.07011986875,31640.876755,32517.206473125,53708.7742875,1845.49009384375
"24","FENTRESS COUNTY","Tennessee",0.0341271606900062,2359,2163.9906529225,7346.5086454,11573.366053,7862.41917425,68751.638095,91732.76801375,86797.32935875,2711.4476998625
"25","FRANKLIN COUNTY","Tennessee",0.0178398823918983,2360,822.25607663,7689.27475581667,9481.99783991667,4461.74797702333,69792.5868,195263.983416667,50254.166445,1895.50115741667
"26","GIBSON COUNTY","Tennessee",0.0225842318935552,2361,933.0251811675,16611.3081800625,9102.32324005625,6582.3848709625,30749.546168125,117283.419325,124670.1500125,1224.753956
