"","County","State","Fatalities.Percent","X","DIST_br","DIST_fu","DIST_ho","DIST_in","DIST_li","DIST_ma","DIST_hi","DIST_sc"
"1","ACCOMACK COUNTY","Virginia",0.0346062047265974,2717,4762.9946502,31142.2350115789,20597.8095041684,29159.8175894737,66910.4631905263,111843.536925789,72338.6213426316,4209.05057371579
"2","ALBEMARLE COUNTY","Virginia",0.0174363373945074,2718,989.814100737742,12048.2166909677,9661.34850900323,4926.33184362419,13152.0498518387,15803.1075354194,8518.58559102581,2112.54346550516
"3","ALLEGHANY COUNTY","Virginia",0.0304022966477656,2720,805.97993219,53046.1440866667,14736.046932,5567.28223348333,134372.985283333,59046.73124,23658.0476233333,3204.80195085
"4","AMELIA COUNTY","Virginia",0.0438082383694959,2721,1247.52176941667,43394.41863,18563.9555756667,9750.91692516667,50692.49272,49044.2917383333,49187.803405,3767.88951783333
"5","AMHERST COUNTY","Virginia",0.0119661173017769,2722,1367.73337058571,20859.1515545714,17672.5873882857,5243.19590864286,76205.9372657143,25548.433397,18888.3891858571,2850.3544087
"6","APPOMATTOX COUNTY","Virginia",0.0265850305704356,2723,1952.113759625,32536.2992825,25515.2574,6829.9478525,84323.111245,33082.2915875,8107.56953,5890.0270505
"7","ARLINGTON COUNTY","Virginia",0.00329390126471849,2724,398.77676582,1061.89924193333,1578.976504075,964.651129483333,1053.93548728333,2494.480566825,1368.25265364167,486.9234148
"8","AUGUSTA COUNTY","Virginia",0.021963325484447,2725,958.995305116667,11772.7829769444,10211.6921265333,3576.99291583833,51927.1157705556,41831.3932766667,15956.1219599444,2527.72324631111
"9","BATH COUNTY","Virginia",0.0329078033917734,2726,991.35863485,49230.55634,19788.03804,9610.398367,100369.25407,78162.363165,10042.198706,3754.4809322
"10","BLAND COUNTY","Virginia",0.0394603285608982,2729,919.8229327,19250.8721416667,17734.588335,7256.63580155,137577.029566667,94506.12392,18886.6019516667,5286.8138955
"11","BOTETOURT COUNTY","Virginia",0.0213393165073037,2730,929.176538251111,23562.9205165556,18180.2126477778,4512.37068162222,131224.557611111,26828.2050722222,19072.9797666667,2651.8578089
"12","BRUNSWICK COUNTY","Virginia",0.0491407040549408,2732,1771.04088173636,38801.0153227273,13721.4508277273,7796.73650081818,62301.4235509091,16700.8254045455,34774.8187509091,2769.24945543636
"13","BUCHANAN COUNTY","Virginia",0.0331008996350413,2733,872.37080471,43467.5399808333,12728.5749825833,8068.1613335,88261.96805,77141.374775,30148.7651891667,2297.65065860417
