"","County","State","Fatalities.Percent","X","DIST_br","DIST_fu","DIST_ho","DIST_in","DIST_li","DIST_ma","DIST_hi","DIST_sc"
"1","ADAMS COUNTY","Washington",0.0312405619975937,2843,1817.31812646667,33225.0218760833,36483.3963165833,7928.90157041667,50918.2686633333,89261.3479816667,86041.4143283333,9438.0875815
"2","ASOTIN COUNTY","Washington",0.00400756877019193,2844,2356.183456,4304.118558,3855.3075865,3218.155378,138646.5054,165287.3156,92593.57971,3359.25212795
"3","BENTON COUNTY","Washington",0.00672953000332972,2845,1659.91427851304,8988.35467173913,15165.6209394957,4153.34547957391,97967.4436086957,15868.5891364348,71344.0180569565,5777.3195457
"4","CHELAN COUNTY","Washington",0.00947570219892018,2846,4035.661313764,12163.7778379,26612.512588,9781.34376904,40444.5561162,148303.20846,200508.73494,10351.9709204
"5","CLALLAM COUNTY","Washington",0.0132082580348709,2847,1904.4086525775,11386.946941375,17489.1415098125,4029.0725350175,43226.97213875,88358.039879375,290650.9301875,4206.34715935625
"6","CLARK COUNTY","Washington",0.00537948128953519,2848,1220.67076343105,5506.36013919737,10650.8048044711,2950.39063513447,19772.4370811316,165871.363042105,25627.3086278947,2093.75398057895
"7","COWLITZ COUNTY","Washington",0.0104142049504764,2849,1508.69408917857,11225.6270499286,15720.0109409,4634.53588812357,15903.0779791929,119127.900321429,75872.1974792857,4934.08678108714
"8","DOUGLAS COUNTY","Washington",0.0130905499720964,2850,3417.557134,14552.3072624,13847.821404,3944.6883986,33826.850417,165550.04826,167686.68404,5455.864108
"9","FERRY COUNTY","Washington",0.0387367275988321,2851,6933.737389,57151.94926,51205.03365,7122.44609,138269.0253,276312.2955,137953.2732,6455.986202
"10","FRANKLIN COUNTY","Washington",0.00991247633579732,2852,2226.38086832222,12203.9448251111,21375.1751994444,3889.71151037778,86018.2039666667,20499.9953811111,60071.05262,5324.59721392222
"11","GARFIELD COUNTY","Washington",0.0415833766953828,2853,142.317821,59736.98631,26198.57343,279.0268925,128219.7481,113176.0487,72457.33913,12169.42678
"12","GRANT COUNTY","Washington",0.0211386342824583,2854,2493.43235406429,27835.6071475,28670.1560956429,6771.66034030357,33025.5624961071,106770.501518929,131397.104886071,7548.16067277143
"13","GRAYS HARBOR COUNTY","Washington",0.0156111880694794,2855,1696.61189769,20122.6964951,17414.6608312,8541.921578012,73227.362734,108839.364458,187254.44084,5268.34103803
"14","ISLAND COUNTY","Washington",0.00802408099637858,2856,6530.66624844444,3691.03001231111,10803.4848571556,6080.37056744444,40354.6922288889,55940.8573177778,294666.692711111,3488.88340318889
"15","JEFFERSON COUNTY","Washington",0.0173350647874969,2857,2778.08846086667,19959.6316688333,31019.2952633333,5569.5240111,44159.62082,54541.4272816667,257805.672466667,3036.4949339
"16","KING COUNTY","Washington",0.00534915806956843,2858,841.299969141689,2166.09544844635,6646.22894176216,1095.05610396845,5237.97486172473,22135.4507824932,221695.316503378,1351.16108121561
"17","KITSAP COUNTY","Washington",0.00822550399474327,2859,1979.81158619618,4870.08609485588,10723.5144254882,3302.06194009382,10360.2493809147,28179.2988526471,230252.513,2472.52821283824
"18","KITTITAS COUNTY","Washington",0.0303831557606937,2860,1320.08932028696,11930.6779691261,25375.1187349565,8042.05902412609,51765.3729221739,111311.453734348,211660.594078261,13905.3439517783
"19","KLICKITAT COUNTY","Washington",0.0241419733434494,2861,3758.23386171429,29298.5181412857,23222.1162277143,13415.4876854143,110960.101135714,143933.774214286,115359.141201429,10206.8972039571
"20","LEWIS COUNTY","Washington",0.0170164486633697,2862,1090.4867647,11832.8879331176,22544.2268180588,5376.66619801177,22279.3148451176,77574.5401105882,121195.765282353,4610.77451175882
"21","LINCOLN COUNTY","Washington",0.0319670760077036,2863,3353.53503194286,59333.9290828571,29804.0082794143,9344.00254127143,68818.9129628571,177872.1871,52981.1601571429,8660.93382508571
"22","MASON COUNTY","Washington",0.0179352768661713,2864,2058.37379148333,11590.0843594,14945.8152044,5589.75771598133,26598.8943493333,43744.4095986667,201165.766426667,3910.1651074
"23","OKANOGAN COUNTY","Washington",0.0248169342150998,2865,5206.88339463056,21593.6754928333,27706.9581091111,17610.2068086667,116734.29935,217286.447377778,167634.678783333,10873.2555622222
"24","PACIFIC COUNTY","Washington",0.017594008636961,2866,4272.490555175,19348.28737625,28434.451815,11739.92333225,72939.4873175,138265.5505,137841.015975,8702.2918585
"25","PEND OREILLE COUNTY","Washington",0.0134101753383251,2867,6015.61763166667,32556.1742066667,28073.7700433333,6953.29022933333,56290.83013,266341.670633333,69986.2825466667,11306.110019
"26","PIERCE COUNTY","Washington",0.00708322886642043,2868,1411.43609706857,7195.39544355714,12435.5334634643,1838.55851227,9349.08107322381,16755.2623976429,182736.603130952,1789.1066661881
"27","SAN JUAN COUNTY","Washington",0.0112366342746224,2869,4386.432782,2703.8698595,36193.046045,9150.043082,32084.275975,109182.9762,341080.85925,2746.8787625
"28","SKAGIT COUNTY","Washington",0.0125766176806723,2870,1419.695567235,14272.154734,16376.6466991429,8026.51131079643,59820.4232685714,87435.787125,325994.663992857,4600.18534531429
"29","SKAMANIA COUNTY","Washington",0.0292143313790172,2871,1995.529936,11669.6902843333,31134.7119366667,5999.91330366667,36836.3713266667,177500.803233333,51003.9956666667,4066.93968633333
"30","SNOHOMISH COUNTY","Washington",0.00641437286018586,2872,1225.4622321831,4217.82096534465,8990.7001155507,3660.41702156183,17153.0996018106,33928.4497830986,274807.688625352,3021.15799784084
"31","SPOKANE COUNTY","Washington",0.00675927526843483,2873,1538.75551748098,6832.18173423137,10545.7035596863,4254.80470332765,11234.190053349,211733.280717647,20615.1985945588,2554.17806731118
"32","STEVENS COUNTY","Washington",0.0190126783990168,2874,3987.218007695,22404.7819402857,17144.5705271429,12387.7829294786,67944.4858264286,248051.566471429,67521.0043742857,5347.47285324286
"33","THURSTON COUNTY","Washington",0.00944452920488251,2875,1467.37000582925,6224.4447119025,11497.9549054,3130.92905086925,10126.51620515,40318.511673,162899.71592,2853.3810553975
"34","WAHKIAKUM COUNTY","Washington",0.0406050302320966,2876,3481.222183,23355.61484,23608.33268,7258.597531,20746.62641,129397.8868,84320.26268,7272.146877
"35","WALLA WALLA COUNTY","Washington",0.0115032482845151,2877,1797.75073745556,13104.9291312111,19752.7619765556,5347.4146919,120154.563333333,45639.0130388889,26565.6166351111,7146.63478508889
"36","WHATCOM COUNTY","Washington",0.00857031785282479,2878,1538.85478630476,3693.0472971,11511.3326478095,3531.06126480476,25231.9479189524,126392.173885714,367238.082014286,2471.09590606143
"37","WHITMAN COUNTY","Washington",0.0191073553745656,2879,1727.32516675,26535.1833059,19468.5072033,6051.272900482,92560.230388,162443.71492,76985.762384,6182.5495495
"38","YAKIMA COUNTY","Washington",0.0157236650741438,2880,1612.18659349673,15013.3102246519,67044.9010763462,4974.72254334038,104985.082264808,92733.1002469231,152959.725740385,3397.41244707115
