"","County","Year","Poverty Count","Poverty Percent","Median Income","Population","Fatalities Count","Fatalities Percent","Commute"
"1","KENT COUNTY",2003,"14489","10.7","43446.00",135411.214953271,13,0.00960038650010353,24.2
"2","KENT COUNTY",2004,"16076.00","11.40","44889.00",141017.543859649,27,0.0191465538691217,24.2
"3","KENT COUNTY",2005,"15405.00","11.00","47335.00",140045.454545455,38,0.0271340473872119,24.2
"4","KENT COUNTY",2006,"18238","12.7","47635",143606.299212598,35,0.0243721899331067,24.2
"5","KENT COUNTY",2007,"17831","12.1","47407",147363.636363636,21,0.0142504626773597,24.2
"6","KENT COUNTY",2008,"16237","10.7","55179",151747.663551402,28,0.0184516844244626,24.2
"7","KENT COUNTY",2009,"20880","13.6","50884",153529.411764706,20,0.0130268199233716,24.2
"8","KENT COUNTY",2010,"19145.00","12.10","51490.00",158223.140495868,24,0.0151684512927657,24.2
"9","KENT COUNTY",2011,"23941.00","14.90","51045.00",160677.852348993,17,0.0105801762666555,24.2
"10","NEW CASTLE COUNTY",2003,"41937","8.3","53562.00",505265.060240964,80,0.015833273720104,24.4
"11","NEW CASTLE COUNTY",2004,"45665.00","8.90","54304.00",513089.887640449,58,0.0113040621920508,24.4
"12","NEW CASTLE COUNTY",2005,"49631.00","9.90","59054.00",501323.232323232,63,0.0125667425600935,24.4
"13","NEW CASTLE COUNTY",2006,"50560","9.9","58184",510707.070707071,63,0.0123358386075949,24.4
"14","NEW CASTLE COUNTY",2007,"51305","10.1","59871",507970.297029703,56,0.0110242666406783,24.4
"15","NEW CASTLE COUNTY",2008,"49595","9.6","63301",516614.583333333,50,0.00967839499949592,24.4
"16","NEW CASTLE COUNTY",2009,"52424","10.1","62051",519049.504950495,51,0.00982565237295895,24.4
"17","NEW CASTLE COUNTY",2010,"58386.00","11.20","59877.00",521303.571428571,46,0.00882403315863392,24.4
"18","NEW CASTLE COUNTY",2011,"62874.00","12.00","63087.00",523950,43,0.00820688997041702,24.4
"19","SUSSEX COUNTY",2003,"16989","10","39395.00",169890,49,0.0288421920065925,23.5
"20","SUSSEX COUNTY",2004,"18103.00","10.40","41661.00",174067.307692308,49,0.0281500303817047,23.5
"21","SUSSEX COUNTY",2005,"19255.00","11.20","44632.00",171919.642857143,32,0.01861334718255,23.5
"22","SUSSEX COUNTY",2006,"19951","11.3","45798",176557.522123894,49,0.0277529948373515,23.5
"23","SUSSEX COUNTY",2007,"17518","9.7","50132",180597.93814433,39,0.0215949309281881,23.5
"24","SUSSEX COUNTY",2008,"22146","12","47727",184550,43,0.0232999187212138,23.5
"25","SUSSEX COUNTY",2009,"23106","12.2","50024",189393.442622951,45,0.0237600623214749,23.5
"26","SUSSEX COUNTY",2010,"26924.00","13.90","48582.00",193697.841726619,31,0.0160043084237112,23.5
"27","SUSSEX COUNTY",2011,"24361.00","12.40","51060.00",196459.677419355,39,0.0198514018307951,23.5
