"","County","State","DIST_br","DIST_fu","DIST_ho","DIST_in","DIST_li","DIST_ma","DIST_hi","DIST_sc"
"1","Autauga County","Alabama",1150.45009213273,12165.6072471545,15630.4585789091,8493.23670805454,25440.5809036364,233437.133518182,32145.2834372727,3643.90057645455
"2","Baldwin County","Alabama",1733.90012698468,11558.4321747872,9489.1316006383,6352.9619683617,60799.9674731915,54851.2260244681,48410.9053882979,3605.76494986809
"3","Barbour County","Alabama",1922.72508722667,8504.707257,9658.69637666667,6427.26441533333,65449.15329,198298.080333333,104958.234916667,4836.8872835
"4","Bibb County","Alabama",1196.65593651733,31745.9271933333,13921.1312504667,5824.416105284,42384.2087866667,258272.94894,59892.272808,3084.54951121333
"5","Blount County","Alabama",867.634416973333,12047.3822732222,27425.7357244444,5674.87680246667,34900.6177811111,190118.391277778,53556.0882794444,3511.169159
"6","Bullock County","Alabama",703.9317066,13817.27933639,12333.32113532,9713.21100767,35911.864894,219031.83445,48513.648913,3670.62180896
"7","Butler County","Alabama",413.513078414286,17099.2435212857,7487.21223885714,4218.18305643429,68252.29169,150397.392857143,44274.8452485714,3457.08695795714
"8","Calhoun County","Alabama",830.717729712414,5047.3496456931,8370.94496862379,3436.80462115966,76154.9426272414,119679.143610345,94641.7909,1559.63374010345
"9","Chambers County","Alabama",1257.01212221214,9935.71637492857,7257.90505207143,6655.98643278571,28666.7273657143,138878.998678571,104660.79117,2993.36496235714
"10","Cherokee County","Alabama",1882.0006422425,22279.4552043333,10704.3118214167,4579.00512321667,36934.3844525,98041.8582066667,89165.9454158333,2558.2323234
"11","Chilton County","Alabama",1292.22284559923,11140.7360616615,13658.3247144615,4668.03348166154,50880.6503253846,232532.037934615,57265.1805580769,2729.67235772692
"12","Choctaw County","Alabama",1636.25163594286,41065.44729,12388.8402687571,10750.6111815714,118741.787442857,178141.938814286,171248.843785714,2831.25793377143
"13","Clarke County","Alabama",1623.145565088,16791.65346425,13684.226087935,8150.811448831,110704.0548335,143160.65389,141973.048015,3639.17448268
"14","Clay County","Alabama",1639.83153566667,8805.79286783333,11547.9211076667,5035.73962,82134.4916483333,139643.625833333,96533.2770016667,2723.5390235
"15","Cleburne County","Alabama",610.856379181429,10468.8324852857,21019.0920928571,5979.78362071429,89145.6851957143,96153.7329785714,90765.9664685714,3523.44903071429
"16","Coffee County","Alabama",1524.28321023077,15155.5219674615,9760.09465915385,4874.21574484615,72899.8897930769,130953.5918,70755.4380323077,2663.11536453846
"17","Colbert County","Alabama",1166.95348372778,9601.91241594445,9040.23256688889,4730.15387203889,94446.8131272222,199169.356238889,104473.509619444,1142.85258374556
"18","Conecuh County","Alabama",841.70540145,10952.35084975,10478.9770185,3933.99835024167,87634.4379816667,103284.041981667,89475.5319775,3773.445046275
"19","Coosa County","Alabama",1186.26245413357,21099.211278,17371.4116777857,6200.91062740571,61616.9299978571,191729.5621,64113.9355007143,3694.88569771429
"20","Covington County","Alabama",1479.89728323188,20631.162474875,11164.5458284187,7176.51362289375,90756.37513875,115210.9498375,77096.60103125,3276.94705201875
"21","Crenshaw County","Alabama",1568.1134006125,14161.5529715,14765.013368675,6911.39896125,57785.62913,168769.304925,19606.6935895,2960.3020396125
"22","Cullman County","Alabama",924.73256647125,10911.2327721563,11168.1855252,4471.69525933656,57228.7547784375,210252.53758125,71893.0752296875,2180.4735267375
"23","Dale County","Alabama",1295.35273999375,9057.11738050625,7885.66940535625,3667.59021805,51979.180879375,131772.27859375,93679.103088125,1781.24766058125
"24","Dallas County","Alabama",999.150414276111,15241.8424682778,9889.50858825556,7170.08077070556,15467.25707235,216730.790661111,72761.5683672222,2651.48461183889
"25","DeKalb County","Alabama",1021.92226882684,9436.58060857895,14285.7743726789,4624.65451706263,19081.6394372632,125530.881984211,67680.1085547368,2563.20124557895
"26","Elmore County","Alabama",1279.32316777394,8372.19777071212,12310.1524054848,5905.96949270576,22869.0214648788,220100.390924242,26720.245850697,2263.96987472727
"27","Escambia County","Alabama",1401.50853113684,43685.0852031579,10195.3086276053,6210.95256803368,61945.8694731579,70710.2794994737,109685.778803158,2745.12895623684
"28","Etowah County","Alabama",1476.52034641724,9150.02563901724,10474.6184396724,6098.39436986207,56908.3446744828,136029.068137931,93161.3002396552,1828.22881171379
"29","Fayette County","Alabama",905.347375232,45174.475016,15437.8672922,2844.64162514,57805.827086,255699.61622,83128.184262,2439.4394798
"30","Franklin County","Alabama",1169.22178852222,29259.083314,9507.45988455556,5804.09489362222,106466.477202222,204909.450355556,89014.00509,1201.60603063667
"31","Geneva County","Alabama",1377.61076215455,26262.5110916364,13611.917399,7592.77797918182,43406.0091454545,97527.9131072727,110376.150695455,2538.92438036364
"32","Greene County","Alabama",696.7376631,28646.9567842857,18803.5142977143,11744.1523521429,59232.6174442857,208029.245914286,132350.895514286,1465.77737047143
"33","Hale County","Alabama",1139.89159232222,30244.4666166667,14018.5928934444,11223.3614492222,47205.1096688889,237849.597411111,112391.156467778,2337.14517077778
"34","Henry County","Alabama",1714.1217191375,28396.55275875,7011.395376625,4624.3765421125,63947.8254775,154803.621075,111581.259875,4061.4951206875
"35","Houston County","Alabama",1470.733009012,8892.057879424,8487.83350758,5269.0234968876,27164.6275288,117335.7526016,128788.93734,2155.272901468
"36","Jackson County","Alabama",1271.12362692757,12315.5068590811,9375.51800911351,5367.56647835703,37143.9386594595,149830.34787027,44922.8675255676,1968.82267275676
"37","Jefferson County","Alabama",624.693603544917,5020.94273113812,6195.66247802541,2907.33504883105,10455.5761351283,216519.648532597,14174.9876743315,1293.27922091425
"38","Lamar County","Alabama",1085.1359575,32600.27588,18907.3791475,10206.674127,85705.1092975,218144.4392,75004.0469025,4383.57055825
"39","Lauderdale County","Alabama",1200.11660710714,12645.2634057857,12024.9610944286,6156.68803653571,92374.1390564286,199021.009157143,120878.3749,1287.95927400714
"40","Lawrence County","Alabama",1371.58291085455,21408.0703945455,8824.83389081818,6369.64165697273,110063.901799545,241223.754045455,120201.746813636,1736.67487505909
"41","Lee County","Alabama",1384.99115472902,8844.87973454634,11057.9243875366,4718.36323187902,11097.2537143659,167162.236560976,88993.3196136585,2184.80453726829
"42","Limestone County","Alabama",806.671168154634,8541.62106410976,17649.4145362683,7341.83304344878,115335.156885366,226535.960239024,124250.653704878,1732.63688164098
"43","Lowndes County","Alabama",1567.821572375,19924.64117625,28630.8267791667,8797.0809966475,28736.8963691667,196602.826533333,34286.5542575,3245.78317483333
"44","Macon County","Alabama",691.318470956923,11417.2269002308,11830.7310756154,5238.28247007692,27423.5278346154,201517.491607692,53696.22621,2052.54769015385
"45","Madison County","Alabama",792.352959383382,7223.73956574118,11020.7548648162,6794.74946118691,85840.1575775,202639.489791176,95284.8533058824,1595.75186149853
"46","Marengo County","Alabama",1762.79844185714,23036.2112845,14137.6278198571,7549.30353420714,71290.0522907143,205910.267778571,138063.07995,4138.45321123571
"47","Marion County","Alabama",1183.90150854286,48318.1405285714,8868.85637465714,4802.15677102857,104288.31115,220592.996414286,85665.0430414286,1936.40131862857
"48","Marshall County","Alabama",1544.36887367632,9045.32403640263,7085.67793176842,5845.4652104079,55321.4068205263,161299.928815789,96166.3977821053,1685.57292418947
"49","Mobile County","Alabama",1097.81441364048,9223.81704641587,10103.6889366794,4739.7091960054,103662.552667063,59197.052285873,55272.8239865873,2104.02334306968
"50","Monroe County","Alabama",2575.16265055556,39400.95517,17718.0173396667,10283.9111349111,91285.0708155556,119633.40565,110661.194012222,4725.91781922222
"51","Montgomery County","Alabama",727.783507611702,7898.83416258511,9822.05312546808,4038.37024619596,7784.38157438638,220156.765074468,12497.677056383,1962.35533229787
"52","Morgan County","Alabama",1401.24258187069,8600.57033011034,10178.2159300517,4670.8696726069,95426.0649568965,219951.737558621,112352.182588276,1574.68598848276
"53","Perry County","Alabama",1253.05138611667,15864.21896245,12008.2972404,6438.72175438333,35798.4181983333,227081.406616667,103832.780553333,1322.14601755
"54","Pickens County","Alabama",1359.6106754,23575.7558183333,16466.02241,7133.1038685,55172.6684883333,211675.377966667,118329.875113333,2840.2887611
"55","Pike County","Alabama",1134.44020834077,12843.337983,10330.9740305385,6033.34789576923,63594.5133484615,174128.437038462,43097.81544,3608.79018330769
"56","Randolph County","Alabama",1369.52698937,7132.1539182,15735.5699481,5784.4470496,69998.140995,115963.079237,108757.414405,4092.01386888
"57","Russell County","Alabama",1124.84682129706,10853.4232762647,12553.5885117706,5037.75628345,14201.2548769412,176298.8544,97049.5871447059,2138.16157594706
"58","Shelby County","Alabama",1110.37028067063,10438.5142024531,16269.4202149062,4553.60015609812,32670.736774375,209571.637065625,33911.1244628125,3419.90409229688
"59","St. Clair County","Alabama",1311.17923644878,10077.6754132439,15468.3648515122,6345.47534550732,32308.4726604878,167202.823014634,49898.7225141463,2431.67242312683
"60","Sumter County","Alabama",1108.37118676818,32323.4338290909,24976.0573518182,5219.68439526364,100650.685311818,175169.512427273,160930.510118182,2656.47342799727
"61","Talladega County","Alabama",1413.96491442258,9052.36117264516,14337.0556634839,4569.51104267742,57284.7790680645,159456.958241935,66287.6686212903,2365.8020532129
"62","Tallapoosa County","Alabama",1356.34425343333,14682.9557058167,12745.5339636667,5849.53676966667,49613.9073033333,174699.799933333,70815.1816391667,2857.3595844675
"63","Tuscaloosa County","Alabama",1073.02722204833,8912.9652819,7818.38870812222,4766.44418796518,13010.1712821111,255698.884735185,75447.44462,1710.72646902037
"64","Walker County","Alabama",1299.31783225778,13616.6361227556,10406.1334446356,7306.40559554,52244.4822573333,247256.850433333,54761.7231375556,2548.43578748111
"65","Washington County","Alabama",1723.42283684545,39140.10202,16556.9702103636,16701.1206081818,127927.1934,119915.730085455,127662.899990909,3105.32367705455
"66","Wilcox County","Alabama",2680.60534202727,35054.7609936364,15093.685564,7681.51739121818,61333.8608236364,163175.611254545,99104.9442936364,3375.15151112727
"67","Winston County","Alabama",1826.99754232636,42469.3232318182,17349.6214940909,7612.7229559,87523.9138354545,238984.127581818,89486.0228972727,3217.65523786455
"68","Anchorage County","Alaska",1353.29941104333,12808.6278864815,12817.5856545556,3813.32043785185,1884211.05559259,14447.293088763,2494201.45007407,5697.05343153333
"69","Denali County","Alaska",5591.29871405,112782.9168,272956.93575,6688.215356,1940509.9575,270872.08385,2625492.9925,24622.009095
"70","Dillingham County","Alaska",22781.722205,570870.80055,576424.8971,1658.2157403,2389212.189,573766.27595,2887937.204,568053.7076
"71","Fairbanks North Star County","Alaska",3482.22847294706,17035.6085888235,370230.301994118,6264.22785984118,1896995.13682353,369060.742270588,2611250.88123529,9793.40427105882
"72","Haines County","Alaska",4679.765994,103221.1942,904728.1143,2254.531833,998123.1741,909276.2214,1723179.844,101405.805
"73","Juneau County","Alaska",2605.38024685,11745.58529835,978445.492175,5592.8643225,915003.563925,983123.76815,1627345.59625,13762.39660975
"74","Kenai Peninsula County","Alaska",7227.20088426818,102067.425869545,105322.208463636,11952.7352158182,1931379.67040909,105674.656085,2511344.49909091,88206.0143422727
"75","Ketchikan Gateway County","Alaska",1811.600913,519.9233481,965828.7212,2156.411618,623738.6227,1065890.466,1256646.728,116489.1362
"76","Kodiak Island County","Alaska",1672.528168,375189.245333333,378358.566066667,739.856535,1995935.69033333,379438.2372,2479522.774,301141.447733333
"77","Lake and Peninsula County","Alaska",2332.609654,736332.9865,741183.1113,281592.1693,2398219.7,740127.7982,2811445.903,698922.4598
"78","Matanuska-Susitna County","Alaska",3812.13726261905,42516.2829989048,66589.4125266667,13236.2748321429,1887232.2637619,65589.9012033333,2514535.16895238,27699.8492527857
"79","Nome County","Alaska",44172.121832,882028.8117,886651.8738,56181.6945955,2765724.761,881820.11795,3381099.0395,835493.9192
"80","Northwest Arctic County","Alaska",460.8679787,852188.6679,881159.9684,46855.01132,2733003.414,876224.4505,3380418.667,781325.4599
"81","Southeast Fairbanks County","Alaska",8407.752616,269116.45546,445601.2107,24346.1946252,1632561.172,447387.13996,2357909.135,240049.349402
"82","Wade Hampton County","Alaska",98427.26413,830251.4,835590.1677,76184.06723,2724219.346,831220.2082,3285823.89,828243.8614
"83","Yukon-Koyukuk County","Alaska",1727.449147,250252.179365,469132.94185,58023.5543207,2062956.8025,466683.9767,2765742.5985,206077.267665
"84","Apache County","Arizona",3007.31701405872,66905.8185423936,28782.2626842979,22987.9415831021,167808.351721702,257892.522587234,220678.858610638,9119.86722382128
"85","Cochise County","Arizona",1868.81773007146,33062.0186016829,18388.981980061,7277.10798449024,57115.2211277317,252114.963321951,331453.316458537,8757.61483885366
"86","Coconino County","Arizona",2722.86623022463,27092.1995196567,28223.6917080299,10482.6980106251,142969.937664627,186157.631065672,116024.01826791,13494.8054971791
"87","Gila County","Arizona",2960.31150082714,38999.3295305357,20294.3607750357,14965.2415772179,32303.31559875,117584.073216071,272967.949732143,10555.3797544821
"88","Graham County","Arizona",1433.83719692,34232.8170568,49852.183334,20603.76436896,112858.927299,201836.03799,321403.40727,8585.46460328
"89","Greenlee County","Arizona",4490.671274815,17150.3053925,83183.497015,11446.342319,154685.104025,262950.658,257880.6833,14947.16053375
"90","La Paz County","Arizona",3887.0272588016,48376.988304732,46950.13623252,15020.231915368,153660.6586216,165465.337388,93529.7418096,18675.1543742
"91","Maricopa County","Arizona",960.985254171702,4930.11333185699,10183.994624949,2802.36229247383,8644.17989205622,16143.5503481317,234447.957557624,3079.88893723913
"92","Mohave County","Arizona",2170.53241073805,31387.7121417792,32201.8066814286,20971.2102654883,240475.503380519,136769.966335325,38254.0969743377,15775.2183250409
"93","Navajo County","Arizona",4399.9291583975,47608.0433016,42577.968879125,16682.9612654575,106092.218837365,223011.082945,231540.57393,8009.6579167025
"94","Pima County","Arizona",1009.18280818251,7259.29381928096,9258.94446383102,3675.2261037585,10227.8848614186,172174.810905348,398734.84374385,3081.76083201529
"95","Pinal County","Arizona",1875.62994570658,14426.6841845626,15206.7397584414,6967.74620932036,29084.6520372613,66606.9536856757,299564.83230991,5174.61930333523
"96","Santa Cruz County","Arizona",697.400076514545,16048.4081552727,52477.7733054545,11646.3028378909,53728.2665109091,238085.417890909,418374.005209091,6693.51857872727
