FID_1,STATE,COUNTY,CITY,LATITUDE,LONGITUD,OBJECTID,ICOUNT,Distance
854,4,27,0,32.66916667,-114.72777778,7128,3,7324.12785410
850,4,27,0,32.61148889,-114.57560000,7143,4,6492.21591429
859,4,15,0,34.93275556,-114.14951667,7626,3,23152.76530171
825,2,150,1340,57.80041944,-152.36913889,20055,3,951.05861182
805,2,122,120,59.72019167,-151.70973333,20067,4,13463.76135539
800,2,201,2595,55.70310556,-132.84946944,20103,3,60761.21792948
807,2,130,1250,55.37741111,-131.72718889,20107,3,2156.41161838
814,2,110,1130,58.46971667,-134.78036944,20172,3,11291.34434387
801,2,240,2630,62.91833056,-141.53896944,20210,3,16779.09103638
828,2,240,0,62.71778056,-141.17954167,20210,3,45028.46113092
822,2,122,1240,60.55260556,-151.26631111,20243,3,1732.02802048
834,2,122,1240,60.56919444,-151.17311944,20243,3,4210.72762346
836,2,122,1815,60.62431389,-151.33553333,20243,3,8857.40325866
843,2,122,2670,61.06942500,-151.14298333,20248,3,41482.90746799
794,2,122,0,60.75774444,-149.24105000,20257,3,11844.83336365
795,2,122,0,60.78796111,-149.21118056,20257,3,13397.18270935
796,2,20,0,60.98570278,-149.50182500,20257,3,20580.78835788
841,2,20,0,60.93047500,-149.35660000,20257,3,15317.43011523
824,2,20,130,61.12052778,-149.74611944,20267,3,6570.79596865
826,2,20,130,61.16561111,-149.85642222,20274,4,1632.13013592
817,2,20,130,61.21525000,-149.80842222,20279,3,2157.31410304
829,2,20,130,61.20238889,-149.73346944,20284,3,2493.88704734
797,2,20,130,61.19870556,-149.89793333,20291,3,1001.06140956
806,2,20,130,61.21951389,-149.89940278,20299,3,138.85039352
833,2,20,130,61.21744722,-149.82514722,20312,3,1927.97616263
819,2,170,2790,61.41103889,-149.92230278,20320,3,7558.45856066
792,2,20,130,61.36284167,-149.54066389,20330,3,252.66088760
816,2,20,130,61.34716389,-149.55568333,20330,3,1980.16397641
837,2,20,130,61.39293889,-149.48929444,20332,4,3285.10609523
820,2,170,292,61.52969167,-149.87719444,20333,3,10303.87953599
835,2,170,292,61.55392500,-149.81403333,20333,3,5857.73038740
840,2,170,292,61.54889167,-149.81873333,20333,3,6312.93488400
809,2,170,2790,61.55806389,-149.60193611,20335,3,4348.40131169
827,2,170,2790,61.62102500,-149.43689444,20336,4,3879.70279287
821,2,170,2823,61.68913889,-149.97114722,20337,3,9299.55785824
798,2,290,1910,64.72963611,-158.11072778,20348,3,173193.05647124
802,2,170,2790,61.57308889,-149.39570556,20378,3,844.40104474
831,2,170,2790,61.54239444,-149.42062778,20378,3,3559.47623369
804,2,170,2000,61.65725556,-149.05242500,20382,3,4841.31717255
812,2,170,0,61.80122222,-147.68410278,20387,3,73064.46542333
799,2,170,0,63.04484444,-149.58091667,20394,3,50070.83363916
838,2,68,950,63.91020833,-149.07777778,20412,3,10681.24639831
793,2,290,1760,64.55123333,-149.09593056,20421,3,746.16109183
818,2,90,2233,64.57047500,-147.04259167,20426,3,2719.05678201
839,2,90,0,64.30063056,-146.49710556,20426,3,37734.16571931
830,2,90,1895,64.76733889,-147.40311389,20435,3,5091.17804678
811,2,90,760,64.77258889,-148.26135556,20436,3,22840.05700533
832,2,90,760,64.81705000,-148.04232778,20436,3,9893.39445781
842,2,90,760,64.84550278,-147.96219444,20436,3,5705.25142594
803,2,90,0,64.85870833,-147.89555556,20443,4,2816.04013991
813,2,90,770,64.83695000,-147.73903333,20456,4,1986.67267233
815,2,90,770,64.85855556,-147.67614167,20459,3,131.14568574
823,2,90,770,64.87056389,-147.67078889,20459,3,1058.08507225
808,2,90,0,64.88480000,-147.62852778,20461,3,650.74359417
810,2,90,810,64.94661667,-147.64883611,20462,3,2283.74948286
849,4,19,530,32.13601111,-110.95622778,21818,4,505.61616245
844,4,19,530,32.18591111,-110.96328611,21886,4,441.47089402
846,4,19,530,32.25045556,-110.85331667,22061,4,442.14782861
852,4,11,0,32.98476944,-109.18194167,22152,3,5916.63373127
853,4,21,70,32.89538889,-111.68696944,22189,4,1760.10637762
855,4,13,370,33.43809444,-112.10828889,22245,4,832.22893977
845,4,13,190,33.28500556,-111.76129722,22423,4,3182.84534535
864,4,13,290,33.38351667,-111.82602500,22433,4,427.08076098
848,4,13,190,33.35718611,-111.75595278,22440,4,4338.16971059
857,4,13,290,33.40421667,-111.82770833,22441,4,646.20967435
862,4,13,290,33.43719444,-111.78786944,22467,3,1593.68318977
866,4,13,370,33.46222778,-112.12500000,22569,4,824.43264260
869,4,13,370,33.48270833,-112.11850000,22579,4,306.32699542
851,4,13,370,33.51969722,-112.04412778,22676,5,1161.42686208
863,4,13,370,33.49510556,-112.01740000,22784,4,1119.92570025
860,4,13,0,33.90247778,-111.45381667,22886,3,17014.78279691
847,4,17,0,34.10504722,-110.15660000,22906,3,17700.84710646
856,4,25,0,34.75368889,-111.67115556,23338,3,9666.59921678
865,4,5,0,34.87750833,-111.63643611,23348,3,11536.25727620
858,4,5,0,35.20193611,-111.47351944,23382,3,3990.87558027
