"ObjectID,N,9,0","NAME,C,32","STATE_NAME,C,35","STATE_FIPS,C,2","CNTY_FIPS,C,3","FIPS,C,5","POP2000,N,9,0","POP00_SQMI,N,19,11","POP2010,N,9,0","POP10_SQMI,N,19,11","WHITE,N,9,0","BLACK,N,9,0","AMERI_ES,N,9,0","ASIAN,N,9,0","HAWN_PI,N,9,0","HISPANIC,N,9,0","OTHER,N,9,0","MULT_RACE,N,9,0","MALES,N,9,0","FEMALES,N,9,0","AGE_UNDER5,N,9,0","AGE_5_9,N,9,0","AGE_10_14,N,9,0","AGE_15_19,N,9,0","AGE_20_24,N,9,0","AGE_25_34,N,9,0","AGE_35_44,N,9,0","AGE_45_54,N,9,0","AGE_55_64,N,9,0","AGE_65_74,N,9,0","AGE_75_84,N,9,0","AGE_85_UP,N,9,0","MED_AGE,N,19,11","MED_AGE_M,N,19,11","MED_AGE_F,N,19,11","HOUSEHOLDS,N,9,0","AVE_HH_SZ,N,19,11","HSEHLD_1_M,N,9,0","HSEHLD_1_F,N,9,0","MARHH_CHD,N,9,0","MARHH_NO_C,N,9,0","MHH_CHILD,N,9,0","FHH_CHILD,N,9,0","FAMILIES,N,9,0","AVE_FAM_SZ,N,19,11","HSE_UNITS,N,9,0","VACANT,N,9,0","OWNER_OCC,N,9,0","RENTER_OCC,N,9,0","NO_FARMS07,N,19,11","AVG_SIZE07,N,19,11","CROP_ACR07,N,19,11","AVG_SALE07,N,19,11","SQMI,N,19,11"
0,"Lake of the Woods","Minnesota","27","077","27077",4522,2.50000000000,4045,2.30000000000,3874,14,28,33,0,35,13,83,2068,1977,209,224,206,248,137,349,413,747,691,448,260,113,48.40000000000,48.40000000000,48.50000000000,1784,2.24000000000,304,228,292,678,45,73,1144,2.77000000000,3672,1888,1479,305,225.00000000000,431.00000000000,58265.00000000000,32.95000000000,1775.21000000000
1,"Ferry","Washington","53","019","53019",7260,3.20000000000,7551,3.30000000000,5758,26,1259,52,8,254,89,359,3905,3646,388,376,430,543,402,652,741,1152,1439,900,375,153,47.30000000000,46.70000000000,47.80000000000,3190,2.29000000000,499,409,416,1155,131,198,2070,2.75000000000,4403,1213,2295,895,232.00000000000,3230.00000000000,14842.00000000000,12.56000000000,2257.30000000000
2,"Stevens","Washington","53","065","53065",40066,15.80000000000,43531,17.10000000000,38923,145,2413,237,68,1185,289,1456,21782,21749,2310,2756,3244,3205,1675,3707,4853,6975,7290,4714,2052,750,45.00000000000,44.60000000000,45.40000000000,17316,2.50000000000,2137,2115,3397,6351,558,1057,12143,2.95000000000,21156,3840,13481,3835,1258.00000000000,422.00000000000,88344.00000000000,19.50000000000,2540.75000000000
3,"Okanogan","Washington","53","047","53047",39564,7.40000000000,41120,7.70000000000,30399,159,4675,237,31,7227,4163,1456,20750,20370,2805,2531,2616,2673,2022,4302,4555,5999,6547,4184,2103,783,42.90000000000,42.10000000000,43.80000000000,16519,2.45000000000,2397,2222,2944,5261,612,1217,10914,2.96000000000,22245,5726,11300,5219,1662.00000000000,725.00000000000,127148.00000000000,125.61000000000,5314.96000000000
4,"Pend Oreille","Washington","53","051","53051",11732,8.20000000000,13001,9.10000000000,11907,52,488,73,16,391,91,374,6593,6408,698,696,868,791,488,1044,1374,2137,2420,1541,687,257,47.70000000000,47.50000000000,47.90000000000,5479,2.35000000000,847,697,892,1978,166,346,3628,2.84000000000,7936,2457,4225,1254,316.00000000000,174.00000000000,19041.00000000000,8.92000000000,1425.22000000000
5,"Boundary","Idaho","16","021","16021",9871,7.70000000000,10972,8.60000000000,10398,29,189,62,6,402,58,230,5549,5423,687,742,855,744,415,1127,1198,1611,1761,1086,533,213,42.70000000000,42.20000000000,43.20000000000,4421,2.47000000000,624,590,917,1515,140,225,2976,3.00000000000,5175,754,3393,1028,373.00000000000,197.00000000000,43163.00000000000,81.03000000000,1277.91000000000
6,"Lincoln","Montana","30","053","30053",18837,5.10000000000,19687,5.40000000000,18881,23,182,60,9,462,71,461,9998,9689,950,1055,1108,1180,706,1772,1951,3250,3675,2552,1118,370,48.90000000000,48.90000000000,48.90000000000,8843,2.20000000000,1455,1249,1353,3243,219,435,5608,2.72000000000,11413,2570,6736,2107,350.00000000000,148.00000000000,16570.00000000000,7.73000000000,3675.08000000000
7,"Flathead","Montana","30","029","30029",74471,14.20000000000,90928,17.30000000000,86802,201,1028,531,58,2070,384,1924,45276,45652,5750,5842,5908,5910,4567,10839,10903,14430,13676,7476,4027,1600,41.20000000000,40.30000000000,42.00000000000,37504,2.40000000000,4852,5352,7547,12241,1187,2164,24817,2.91000000000,46963,9459,26537,10967,1094.00000000000,230.00000000000,88547.00000000000,30.64000000000,5256.40000000000
8,"Glacier","Montana","30","035","30035",13247,4.40000000000,13399,4.40000000000,4165,17,8795,26,1,241,23,372,6555,6844,1230,1203,1115,1115,911,1599,1437,2007,1368,796,451,167,31.80000000000,30.80000000000,32.90000000000,4361,2.91000000000,550,537,969,896,296,633,3088,3.49000000000,5348,987,2658,1703,625.00000000000,2720.00000000000,552364.00000000000,88.67000000000,3037.02000000000
9,"Toole","Montana","30","101","30101",5267,2.70000000000,5324,2.70000000000,4896,29,241,23,1,129,31,103,2966,2358,282,261,334,348,300,706,678,918,758,373,226,140,41.40000000000,39.90000000000,43.90000000000,2015,2.26000000000,348,344,373,630,63,105,1246,2.88000000000,2336,321,1352,663,428.00000000000,2605.00000000000,725052.00000000000,111.51000000000,1945.86000000000
10,"Liberty","Montana","30","051","30051",2158,1.50000000000,2339,1.60000000000,2296,2,5,3,1,8,5,27,1125,1214,127,130,154,160,129,242,241,385,309,212,173,77,44.50000000000,43.80000000000,45.10000000000,822,2.36000000000,126,139,169,320,3,21,537,3.00000000000,1043,221,553,269,299.00000000000,3025.00000000000,637568.00000000000,165.98000000000,1447.31000000000
11,"Hill","Montana","30","041","30041",16673,5.70000000000,16096,5.50000000000,11896,50,3497,67,7,373,45,534,8122,7974,1250,1189,1170,1231,1199,1993,1700,2303,2023,1044,742,252,35.10000000000,33.80000000000,36.50000000000,6275,2.47000000000,958,915,1240,1666,231,548,4020,3.10000000000,7250,975,4137,2138,854.00000000000,1987.00000000000,1202924.00000000000,101.44000000000,2916.01000000000
12,"Sheridan","Montana","30","091","30091",4105,2.40000000000,3384,2.00000000000,3229,7,57,14,0,51,11,66,1698,1686,153,161,204,187,121,275,323,586,592,353,295,134,50.30000000000,49.80000000000,50.80000000000,1587,2.08000000000,302,287,233,552,42,57,944,2.70000000000,2089,502,1206,381,602.00000000000,1770.00000000000,716256.00000000000,150.71000000000,1706.61000000000
13,"Divide","North Dakota","38","023","38023",2283,1.80000000000,2071,1.60000000000,2030,5,11,7,0,30,1,17,1061,1010,98,103,83,108,71,194,169,345,349,251,166,134,51.30000000000,50.60000000000,52.20000000000,977,2.05000000000,197,161,143,357,24,24,584,2.66000000000,1324,347,784,193,503.00000000000,1408.00000000000,538343.00000000000,160.89000000000,1294.14000000000
