"","County","Year","Poverty Count","Poverty Percent","Median Income","Population","Fatalities Count","Fatalities Percent","Commute"
"1","APPLING COUNTY",2003,"3012","17.1","30517.00",17614.0350877193,3,0.0170318725099602,23.4
"2","APPLING COUNTY",2004,"3010.00","17.00","31046.00",17705.8823529412,8,0.0451827242524917,23.4
"3","APPLING COUNTY",2005,"3613.00","20.60","32152.00",17538.8349514563,3,0.0171048989759203,23.4
"4","APPLING COUNTY",2006,"3283","18.8","34673",17462.7659574468,9,0.051538227231191,23.4
"5","APPLING COUNTY",2007,"3525","20.1","33275",17537.3134328358,7,0.0399148936170213,23.4
"6","APPLING COUNTY",2008,"3586","20.3","34654",17665.0246305419,13,0.0735917456776353,23.4
"7","APPLING COUNTY",2009,"4005","22.8","32752",17565.7894736842,2,0.0113857677902622,23.4
"8","APPLING COUNTY",2010,"4347.00","24.50","36601.00",17742.8571428571,3,0.0169082125603865,23.4
"9","APPLING COUNTY",2011,"3756.00","21.10","35164.00",17800.9478672986,4,0.0224707135250266,23.4
"10","ATKINSON COUNTY",2003,"1566","19.5","26311.00",8030.76923076923,3,0.0373563218390805,22.5
"11","ATKINSON COUNTY",2004,"1576.00","19.60","26720.00",8040.81632653061,4,0.049746192893401,22.5
"12","ATKINSON COUNTY",2005,"2020.00","25.40","27657.00",7952.75590551181,5,0.0628712871287129,22.5
"13","ATKINSON COUNTY",2006,"1818","22.7","28853",8008.81057268722,2,0.024972497249725,22.5
"14","ATKINSON COUNTY",2007,"1716","21","30431",8171.42857142857,3,0.0367132867132867,22.5
"15","ATKINSON COUNTY",2008,"2001","24.6","31389",8134.14634146341,2,0.0245877061469265,22.5
"16","ATKINSON COUNTY",2009,"2128","26.1","28917",8153.25670498084,0,0,22.5
"17","ATKINSON COUNTY",2010,"3018.00","36.30","28579.00",8314.04958677686,2,0.0240556660039761,22.5
"18","ATKINSON COUNTY",2011,"2632.00","31.40","28693.00",8382.16560509554,4,0.0477203647416413,22.5
"19","BACON COUNTY",2003,"1820","18","27902.00",10111.1111111111,4,0.0395604395604396,23.8
"20","BACON COUNTY",2004,"1843.00","18.20","28270.00",10126.3736263736,2,0.019750406945198,23.8
"21","BACON COUNTY",2005,"2193.00","21.80","29342.00",10059.6330275229,4,0.0397628818969448,23.8
"22","BACON COUNTY",2006,"2020","20.1","30872",10049.7512437811,2,0.0199009900990099,23.8
"23","BACON COUNTY",2007,"2155","21.3","31424",10117.3708920188,6,0.0593039443155452,23.8
"24","BACON COUNTY",2008,"1933","19.3","33481",10015.5440414508,3,0.0299534402483187,23.8
"25","BACON COUNTY",2009,"2267","22.3","30148",10165.9192825112,3,0.029510366122629,23.8
"26","BACON COUNTY",2010,"2750.00","25.60","31692.00",10742.1875,3,0.0279272727272727,23.8
"27","BACON COUNTY",2011,"2662.00","24.50","31301.00",10865.306122449,2,0.0184072126220887,23.8
"28","BAKER COUNTY",2003,"843","19.9","26624.00",4236.18090452261,5,0.11803084223013,27.2
"29","BAKER COUNTY",2004,"887.00","21.40","25951.00",4144.85981308411,1,0.0241262683201804,27.2
"30","BAKER COUNTY",2005,"1062.00","25.80","29610.00",4116.27906976744,0,0,27.2
"31","BAKER COUNTY",2006,"1098","27","29889",4066.66666666667,4,0.0983606557377049,27.2
"32","BAKER COUNTY",2007,"1009","26.8","41795",3764.92537313433,0,0,27.2
"33","BAKER COUNTY",2008,"985","26","31834",3788.46153846154,2,0.0527918781725888,27.2
"34","BAKER COUNTY",2009,"1057","29.2","31837",3619.86301369863,0,0,27.2
"35","BAKER COUNTY",2010,"884.00","26.00","33950.00",3400,2,0.0588235294117647,27.2
"36","BAKER COUNTY",2011,"872.00","28.40","33347.00",3070.42253521127,2,0.0651376146788991,27.2
"37","BALDWIN COUNTY",2003,"6568","17.7","32935.00",37107.3446327684,13,0.0350334957369062,19.2
"38","BALDWIN COUNTY",2004,"6993.00","18.80","33531.00",37196.8085106383,9,0.0241956241956242,19.2
"39","BALDWIN COUNTY",2005,"7258.00","19.70","36414.00",36842.6395939086,10,0.0271424634885643,19.2
"40","BALDWIN COUNTY",2006,"8160","22.1","36486",36923.0769230769,7,0.0189583333333333,19.2
"41","BALDWIN COUNTY",2007,"7281","19.3","39180",37725.3886010363,11,0.0291580826809504,19.2
"42","BALDWIN COUNTY",2008,"8885","23.5","38719",37808.5106382979,6,0.0158694428812606,19.2
"43","BALDWIN COUNTY",2009,"8045","21.2","37029",37948.1132075472,6,0.015811062771908,19.2
"44","BALDWIN COUNTY",2010,"11130.00","27.00","36091.00",41222.2222222222,3,0.00727762803234501,19.2
"45","BALDWIN COUNTY",2011,"11826.00","29.20","34304.00",40500,11,0.0271604938271605,19.2
"46","BANKS COUNTY",2003,"1929","12.3","40070.00",15682.9268292683,5,0.0318818040435459,26.9
"47","BANKS COUNTY",2004,"1977.00","12.30","40754.00",16073.1707317073,6,0.0373292867981791,26.9
"48","BANKS COUNTY",2005,"2120.00","13.30","41783.00",15939.8496240601,4,0.0250943396226415,26.9
"49","BANKS COUNTY",2006,"2382","14.6","41553",16315.0684931507,5,0.0306465155331654,26.9
"50","BANKS COUNTY",2007,"2254","13.7","43813",16452.5547445255,5,0.0303904170363798,26.9
"51","BANKS COUNTY",2008,"2550","15.3","44269",16666.6666666667,11,0.066,26.9
"52","BANKS COUNTY",2009,"2697","16.2","43026",16648.1481481481,6,0.0360400444938821,26.9
"53","BANKS COUNTY",2010,"3004.00","16.40","42196.00",18317.0731707317,5,0.0272969374167776,26.9
"54","BANKS COUNTY",2011,"3456.00","19.00","42673.00",18189.4736842105,4,0.0219907407407407,26.9
"55","BARROW COUNTY",2003,"5657","10.1","46048.00",56009.900990099,14,0.0249955806964822,31.7
"56","BARROW COUNTY",2004,"6030.00","10.10","46979.00",59702.9702970297,11,0.018424543946932,31.7
"57","BARROW COUNTY",2005,"6313.00","10.70","49829.00",59000,11,0.0186440677966102,31.7
"58","BARROW COUNTY",2006,"7070","11.2","49356",63125,14,0.0221782178217822,31.7
"59","BARROW COUNTY",2007,"7478","11.2","51283",66767.8571428571,15,0.0224658999732549,31.7
"60","BARROW COUNTY",2008,"7856","11.3","51318",69522.1238938053,19,0.0273294297352342,31.7
"61","BARROW COUNTY",2009,"8724","12.2","47864",71508.1967213115,12,0.0167812929848693,31.7
"62","BARROW COUNTY",2010,"8339.00","12.00","52391.00",69491.6666666667,9,0.0129511931886317,31.7
"63","BARROW COUNTY",2011,"10818.00","15.60","50996.00",69346.1538461538,10,0.014420410427066,31.7
"64","BARTOW COUNTY",2003,"9399","10.9","46097.00",86229.3577981651,28,0.0324715395254814,28
"65","BARTOW COUNTY",2004,"10094.00","11.40","46219.00",88543.8596491228,25,0.0282345948087973,28
"66","BARTOW COUNTY",2005,"11726.00","13.30","47309.00",88165.4135338346,31,0.0351611802831315,28
"67","BARTOW COUNTY",2006,"10777","12","46720",89808.3333333333,26,0.0289505428226779,28
"68","BARTOW COUNTY",2007,"10638","11.6","48366",91706.8965517241,27,0.0294416243654822,28
"69","BARTOW COUNTY",2008,"11790","12.6","51762",93571.4285714286,15,0.016030534351145,28
"70","BARTOW COUNTY",2009,"14087","14.9","46981",94543.6241610738,15,0.0158656917725563,28
"71","BARTOW COUNTY",2010,"14369.00","14.50","43825.00",99096.5517241379,23,0.0232096875217482,28
"72","BARTOW COUNTY",2011,"18897.00","19.10","45072.00",98937.1727748691,19,0.0192041064719268,28
"73","BEN HILL COUNTY",2003,"3300","19.4","27508.00",17010.3092783505,1,0.00587878787878788,20.2
"74","BEN HILL COUNTY",2004,"3427.00","20.20","28013.00",16965.3465346535,3,0.0176831047563467,20.2
"75","BEN HILL COUNTY",2005,"4150.00","24.60","28009.00",16869.918699187,4,0.023710843373494,20.2
"76","BEN HILL COUNTY",2006,"4667","27.1","28341",17221.4022140221,1,0.00580672809085065,20.2
"77","BEN HILL COUNTY",2007,"3640","21.1","31781",17251.1848341232,2,0.0115934065934066,20.2
"78","BEN HILL COUNTY",2008,"3985","23.2","31091",17176.724137931,1,0.00582183186951066,20.2
"79","BEN HILL COUNTY",2009,"4441","26","28711",17080.7692307692,1,0.00585453726638145,20.2
"80","BEN HILL COUNTY",2010,"4838.00","27.90","29910.00",17340.5017921147,1,0.00576684580405126,20.2
"81","BEN HILL COUNTY",2011,"5102.00","29.40","29425.00",17353.7414965986,5,0.028812230497844,20.2
"82","BERRIEN COUNTY",2003,"2791","16.9","31106.00",16514.7928994083,2,0.0121103547115729,23.6
"83","BERRIEN COUNTY",2004,"2853.00","17.20","31559.00",16587.2093023256,7,0.0422011917280056,23.6
"84","BERRIEN COUNTY",2005,"2911.00","17.70","33786.00",16446.3276836158,5,0.0304019237375472,23.6
"85","BERRIEN COUNTY",2006,"3309","20.1","32915",16462.6865671642,6,0.0364460562103354,23.6
"86","BERRIEN COUNTY",2007,"3112","18.9","34460",16465.6084656085,4,0.024293059125964,23.6
"87","BERRIEN COUNTY",2008,"3679","21.9","34718",16799.0867579909,2,0.011905409078554,23.6
"88","BERRIEN COUNTY",2009,"3847","23","33142",16726.0869565217,2,0.0119573693787367,23.6
"89","BERRIEN COUNTY",2010,"4138.00","21.70","32859.00",19069.1244239631,4,0.0209763170613823,23.6
"90","BERRIEN COUNTY",2011,"4583.00","24.00","33417.00",19095.8333333333,3,0.0157102334715252,23.6
"91","BIBB COUNTY",2003,"28463","19","35252.00",149805.263157895,28,0.0186909320872712,20.8
"92","BIBB COUNTY",2004,"29948.00","20.00","35540.00",149740,21,0.0140243088019233,20.8
"93","BIBB COUNTY",2005,"34949.00","23.50","34872.00",148719.14893617,28,0.0188274342613523,20.8
"94","BIBB COUNTY",2006,"31438","21.1","36750",148995.260663507,31,0.0208060309179973,20.8
"95","BIBB COUNTY",2007,"36034","24.2","36954",148900.826446281,23,0.0154465227285342,20.8
"96","BIBB COUNTY",2008,"32923","22.1","40857",148972.850678733,39,0.0261792667739878,20.8
"97","BIBB COUNTY",2009,"32633","21.8","37367",149692.660550459,20,0.0133607084852756,20.8
"98","BIBB COUNTY",2010,"38737.00","25.90","36220.00",149563.706563707,26,0.0173838965330304,20.8
"99","BIBB COUNTY",2011,"38253.00","25.40","35125.00",150602.362204724,20,0.0132800041826785,20.8
"100","BLECKLEY COUNTY",2003,"1745","15.3","35280.00",11405.2287581699,4,0.0350716332378223,22.8
"101","BLECKLEY COUNTY",2004,"1750.00","15.40","35869.00",11363.6363636364,2,0.0176,22.8
"102","BLECKLEY COUNTY",2005,"1901.00","16.80","36643.00",11315.4761904762,4,0.0353498158863756,22.8
"103","BLECKLEY COUNTY",2006,"1953","17.2","36909",11354.6511627907,5,0.0440348182283666,22.8
"104","BLECKLEY COUNTY",2007,"1996","18","38711",11088.8888888889,1,0.00901803607214429,22.8
"105","BLECKLEY COUNTY",2008,"2165","19.5","39962",11102.5641025641,4,0.036027713625866,22.8
"106","BLECKLEY COUNTY",2009,"2285","20.2","38610",11311.8811881188,2,0.0176805251641138,22.8
"107","BLECKLEY COUNTY",2010,"2306.00","19.80","38513.00",11646.4646464646,2,0.017172593235039,22.8
"108","BLECKLEY COUNTY",2011,"2544.00","21.70","39461.00",11723.5023041475,2,0.017059748427673,22.8
"109","BRANTLEY COUNTY",2003,"2458","15.9","32686.00",15459.1194968553,7,0.0452807160292921,30.1
"110","BRANTLEY COUNTY",2004,"2509.00","16.30","33687.00",15392.6380368098,5,0.0324830609804703,30.1
"111","BRANTLEY COUNTY",2005,"2307.00","15.00","34189.00",15380,5,0.0325097529258778,30.1
"112","BRANTLEY COUNTY",2006,"3060","19.7","36060",15532.9949238579,8,0.0515032679738562,30.1
"113","BRANTLEY COUNTY",2007,"2585","16.9","38316",15295.8579881657,11,0.0719148936170213,30.1
"114","BRANTLEY COUNTY",2008,"2699","17.6","37814",15335.2272727273,1,0.00652093367914042,30.1
"115","BRANTLEY COUNTY",2009,"3072","19.9","34631",15437.1859296482,8,0.0518229166666667,30.1
"116","BRANTLEY COUNTY",2010,"4318.00","23.60","35732.00",18296.6101694915,5,0.0273274664196387,30.1
"117","BRANTLEY COUNTY",2011,"4054.00","22.30","36300.00",18179.3721973094,11,0.0605081401085348,30.1
"118","BROOKS COUNTY",2003,"3260","20.3","26333.00",16059.1133004926,10,0.0622699386503067,22.8
"119","BROOKS COUNTY",2004,"3488.00","21.70","26064.00",16073.732718894,11,0.0684346330275229,22.8
"120","BROOKS COUNTY",2005,"3643.00","23.00","28244.00",15839.1304347826,12,0.0757617348339281,22.8
"121","BROOKS COUNTY",2006,"4164","25.9","29434",16077.2200772201,3,0.0186599423631124,22.8
"122","BROOKS COUNTY",2007,"3736","23.4","32302",15965.811965812,5,0.0313169164882227,22.8
"123","BROOKS COUNTY",2008,"3541","22","35007",16095.4545454545,2,0.0124258683987574,22.8
"124","BROOKS COUNTY",2009,"3560","22.3","31769",15964.1255605381,4,0.0250561797752809,22.8
"125","BROOKS COUNTY",2010,"3962.00","24.50","32067.00",16171.4285714286,1,0.00618374558303887,22.8
"126","BROOKS COUNTY",2011,"4731.00","29.80","29282.00",15875.8389261745,4,0.0251955189177764,22.8
"127","BRYAN COUNTY",2003,"2750","10","51620.00",27500,5,0.0181818181818182,28
"128","BRYAN COUNTY",2004,"2820.00","9.90","54365.00",28484.8484848485,8,0.0280851063829787,28
"129","BRYAN COUNTY",2005,"2960.00","10.50","57758.00",28190.4761904762,7,0.0248310810810811,28
"130","BRYAN COUNTY",2006,"3087","10.5","60620",29400,9,0.0306122448979592,28
"131","BRYAN COUNTY",2007,"2903","9.7","60879",29927.8350515464,6,0.0200482259731312,28
"132","BRYAN COUNTY",2008,"3152","10.2","62038",30901.9607843137,4,0.0129441624365482,28
"133","BRYAN COUNTY",2009,"3907","12.1","58092",32289.2561983471,9,0.0278730483747121,28
"134","BRYAN COUNTY",2010,"3560.00","11.80","65478.00",30169.4915254237,5,0.0165730337078652,28
"135","BRYAN COUNTY",2011,"3815.00","12.20","63092.00",31270.4918032787,10,0.0319790301441678,28
"136","BULLOCH COUNTY",2003,"10845","19.1","29907.00",56780.1047120419,7,0.0123282618718303,21.6
"137","BULLOCH COUNTY",2004,"11521.00","19.90","30045.00",57894.4723618091,12,0.0207273674160229,21.6
"138","BULLOCH COUNTY",2005,"13987.00","24.50","31519.00",57089.7959183673,13,0.0227711446343033,21.6
"139","BULLOCH COUNTY",2006,"13177","22.5","34153",58564.4444444444,17,0.0290278515595356,21.6
"140","BULLOCH COUNTY",2007,"14486","23.4","34861",61905.9829059829,20,0.0323070550876709,21.6
