"","County","Year","Poverty Count","Poverty Percent","Median Income","Population","Fatalities Count","Fatalities Percent","Commute"
"1","HAWAII COUNTY",2003,"21025","13.1","40041.00",160496.183206107,33,0.0205612366230678,26.3
"2","HAWAII COUNTY",2004,"17827.00","10.80","42043.00",165064.814814815,41,0.0248387277724799,26.3
"3","HAWAII COUNTY",2005,"22029.00","13.50","47007.00",163177.777777778,40,0.0245131417676699,26.3
"4","HAWAII COUNTY",2006,"23202","13.8","51454",168130.434782609,39,0.0231962761830877,26.3
"5","HAWAII COUNTY",2007,"22394","13.1","55779",170946.564885496,38,0.0222291685272841,26.3
"6","HAWAII COUNTY",2008,"22980","13.3","51402",172781.954887218,29,0.0167841601392515,26.3
"7","HAWAII COUNTY",2009,"25362","14.5","50739",174910.344827586,27,0.0154364797728886,26.3
"8","HAWAII COUNTY",2010,"33285.00","18.30","46444.00",181885.245901639,31,0.0170437133844074,26.3
"9","HAWAII COUNTY",2011,"37428.00","20.40","46186.00",183470.588235294,23,0.0125360692529657,26.3
"10","HONOLULU COUNTY",2003,"91841","10.5","51747.00",874676.190476191,79,0.00903191385111225,27
"11","HONOLULU COUNTY",2004,"77687.00","8.80","54714.00",882806.818181818,70,0.00792925457283715,27
"12","HONOLULU COUNTY",2005,"80700.00","9.30","59963.00",867741.935483871,75,0.00864312267657993,27
"13","HONOLULU COUNTY",2006,"74969","8.5","62534",881988.235294118,88,0.0099774573490376,27
"14","HONOLULU COUNTY",2007,"68696","7.8","64849",880717.948717949,67,0.0076074298357983,27
"15","HONOLULU COUNTY",2008,"74601","8.5","70010",877658.823529412,43,0.00489939813139234,27
"16","HONOLULU COUNTY",2009,"85138","9.7","67019",877711.340206186,53,0.00603843172261505,27
"17","HONOLULU COUNTY",2010,"87411.00","9.50","67519.00",920115.789473684,60,0.00652091841987851,27
"18","HONOLULU COUNTY",2011,"95769.00","10.30","65489.00",929796.116504854,51,0.00548507345800833,27
"28","KAUAI COUNTY",2003,"6466","10.5","43153.00",61580.9523809524,5,0.00811939375193319,19.9
"29","KAUAI COUNTY",2004,"5361.00","8.60","45146.00",62337.2093023256,10,0.0160417832493938,19.9
"30","KAUAI COUNTY",2005,"7272.00","11.80","56865.00",61627.1186440678,10,0.0162266226622662,19.9
"31","KAUAI COUNTY",2006,"5888","9.4","50764",62638.2978723404,14,0.0223505434782609,19.9
"32","KAUAI COUNTY",2007,"5632","9","55786",62577.7777777778,9,0.0143821022727273,19.9
"33","KAUAI COUNTY",2008,"6239","9.9","62501",63020.202020202,11,0.0174547203077416,19.9
"34","KAUAI COUNTY",2009,"6672","10.4","55723",64153.8461538461,8,0.0124700239808153,19.9
"35","KAUAI COUNTY",2010,"8012.00","12.10","52714.00",66214.8760330579,10,0.0151023464802796,19.9
"36","KAUAI COUNTY",2011,"8637.00","12.90","56937.00",66953.488372093,6,0.00896144494616186,19.9
"37","MAUI COUNTY",2003,"14034","10.2","46915.00",137588.235294118,16,0.0116289012398461,20.8
"38","MAUI COUNTY",2004,"11562.00","8.30","49065.00",139301.204819277,21,0.0150752464971458,20.8
"39","MAUI COUNTY",2005,"11755.00","8.50","54537.00",138294.117647059,15,0.0108464483198639,20.8
"40","MAUI COUNTY",2006,"13752","9.8","57468",140326.530612245,20,0.0142524723676556,20.8
"41","MAUI COUNTY",2007,"9509","6.8","60435",139838.235294118,24,0.0171626879798086,20.8
"42","MAUI COUNTY",2008,"12798","9","64150",142200,24,0.0168776371308017,20.8
"43","MAUI COUNTY",2009,"14724","10.2","58167",144352.941176471,21,0.0145476772616137,20.8
"44","MAUI COUNTY",2010,"18214.00","11.90","56206.00",153058.823529412,12,0.00784012298232129,20.8
"45","MAUI COUNTY",2011,"19773.00","12.80","57789.00",154476.5625,20,0.0129469478581905,20.8
