LONGITUDE,LATITUDE
-80.6123,35.4365
-80.6017,35.4354
-80.872,35.0901
-81.6743,35.7304
-81.6448,35.7254
-81.5226,35.7482
-81.5373,35.3021
-81.1392,35.2729
-80.879,35.801
-81.2548,35.4646
-80.4848,35.6851
-80.2884,35.8037
-80.5714,35.899
-76.393,34.8824
-77.3577,34.7216
-76.2183,36.3238
-78.2908,34.0093
-80.5642,35.8824
-82.4671,35.3204
-76.608,36.0699
-78.9856,36.4085
-80.7326,35.3051
-80.7476,35.3065
-78.9358,36.0035
-79.8906,35.3649
-77.385,34.7624
-81.5401,35.9126
-82.5493,35.5809
-82.5487,35.5759
-82.2885,35.914
-82.5412,35.5729
-82.5598,35.5915
-80.2673,36.089
-83.2082,35.3859
-81.5348,35.9104
-77.863,34.2127
-78.9334,35.0324
-79.7411,36.0854
-81.2676,35.7137
-78.0289,35.3899
-80.1114,35.8796
-79.7867,36.0912
-80.8378,35.2049
-80.8301,35.8168
-78.6553,35.769
-77.8928,35.7254
-82.3571,35.6226
-80.8531,35.2254
-81.8665,36.1571
-82.5687,35.6107
-78.8914,35.0554
-80.6712,36.1354
-78.0219,33.9296
-79.7895,36.076
-80.8042,35.5804
-80.8381,35.3965
-80.8212,35.2107
-82.4871,35.3973
-78.7378,36.1499
-77.8522,35.9765
-77.9214,34.2054
-78.4497,36.331
-79.667,36.3535
-79.4723,35.1035
-79.47,35.1682
-80.2317,36.1029
-79.7703,36.0682
-80.4709,35.6821
-82.5501,35.5807
-79.3884,35.1999
-79.7775,36.0843
-79.7792,36.0818
-82.4968,35.3523
-82.7121,35.2559
-80.5226,34.9763
-82.4835,35.5907
-78.5878,35.784
-78.9206,36.0185
-81.1579,36.159
-80.1937,35.3638
-82.5348,35.5643
-77.0616,35.8602
-77.0722,35.8396
-78.6945,34.3377
-77.4027,35.6068
-78.5936,36.3265
-77.9519,35.3985
-81.9657,35.3626
-77.9436,35.7185
-77.583,35.2902
-82.2129,35.2398
-81.2359,35.471
-80.0762,34.9607
-77.5833,35.2729
-78.3244,35.0071
-97.4101,48.4136
-101.3149,48.2461
-100.7776,46.808
-96.7848,46.8691
-97.4142,48.4111
-101.2874,48.232
-96.7867,46.8844
-101.2941,48.2325
-102.9349,48.4028
-99.5623,46.2544
-96.7754,46.9058
-81.4046,40.7962
-84.4955,39.1484
-81.5371,41.4476
-83.6091,41.6784
-84.5094,39.1214
-84.2391,39.7767
-80.8362,41.2789
-84.5216,39.1295
-81.7054,41.4406
-84.2263,40.0867
-82.4482,40.3884
-82.0976,41.3659
-83.5552,41.6831
-81.6129,41.5387
-81.911,41.4256
-84.2344,39.7881
-82.7116,41.4456
-81.6926,41.4803
-84.2022,39.7687
-82.9918,39.9606
-83.611,39.2217
-81.7112,41.3814
-81.5832,41.5248
-81.7976,41.4842
-82.9068,39.9451
-81.5982,41.4923
-81.5979,41.4212
-83.1991,41.112
-81.249,40.8814
-80.6573,41.1348
-81.7421,41.4778
-80.6248,40.3548
-80.6442,41.1167
-84.1424,40.7223
-82.7121,41.437
-81.5176,41.5156
-83.5152,41.6623
-83.5972,41.6206
-81.5646,41.347
-82.958,39.9601
-81.6007,41.4912
-82.9632,39.9706
-83.4852,41.6359
-84.5605,39.1267
-83.0524,41.2623
-82.1674,41.4509
-82.3104,40.8595
-83.7588,39.9248
-84.2566,39.842
-84.2188,40.0339
-81.6493,41.4853
-84.2555,39.7351
-83.5949,41.672
-84.5458,39.2103
-81.4557,40.5142
-84.5083,39.1395
-81.5904,41.5003
-81.6057,41.5067
-82.9868,38.7465
-82.9971,38.737
-82.9707,38.7526
-82.9782,38.7529
-83.1285,40.5709
-83.1207,40.5701
-82.5282,40.7523
-82.4913,40.7587
-82.7118,41.4359
-82.6035,41.2256
-82.4002,41.0848
-83.6658,41.3753
-81.4443,39.4404
-81.4651,39.4317
-80.7326,41.2503
-80.8334,41.2462
-80.7992,41.2362
-80.7773,41.2309
-84.0374,39.8053
-83.9277,39.7001
-83.7691,39.9198
