"","County","Year","Poverty Count","Poverty Percent","Median Income","Population","Fatalities Count","Fatalities Percent","Commute"
"1","ADA COUNTY",2003,"30292","9.3","49512.00",325720.430107527,22,0.00675425855011224,19.3
"2","ADA COUNTY",2004,"30644.00","9.10","50754.00",336747.252747253,23,0.00683004829656703,19.3
"3","ADA COUNTY",2005,"31468.00","9.40","51343.00",334765.957446809,26,0.0077666200584721,19.3
"4","ADA COUNTY",2006,"29106","8.3","53909",350674.698795181,31,0.00884010169724456,19.3
"5","ADA COUNTY",2007,"28734","7.9","55121",363721.518987342,23,0.00632351917588919,19.3
"6","ADA COUNTY",2008,"33406","9","57159",371177.777777778,16,0.00431060288570915,19.3
"7","ADA COUNTY",2009,"44204","11.8","53828",374610.169491525,18,0.00480499502307484,19.3
"8","ADA COUNTY",2010,"53188.00","13.90","50909.00",382647.482014388,17,0.00444273144318267,19.3
"9","ADA COUNTY",2011,"52376.00","13.40","50701.00",390865.671641791,9,0.00230258133496258,19.3
"10","ADAMS COUNTY",2003,"456","13.3","30697.00",3428.57142857143,1,0.0291666666666667,18.3
"11","ADAMS COUNTY",2004,"423.00","11.90","32187.00",3554.6218487395,1,0.0281323877068558,18.3
"12","ADAMS COUNTY",2005,"503.00","14.20","38028.00",3542.25352112676,3,0.0846918489065606,18.3
"13","ADAMS COUNTY",2006,"502","14.6","33062",3438.35616438356,0,0,18.3
"14","ADAMS COUNTY",2007,"440","12.6","37796",3492.06349206349,1,0.0286363636363636,18.3
"15","ADAMS COUNTY",2008,"457","13.2","37479",3462.12121212121,1,0.0288840262582057,18.3
"16","ADAMS COUNTY",2009,"518","14.9","35932",3476.51006711409,5,0.143822393822394,18.3
"17","ADAMS COUNTY",2010,"618.00","15.80","34730.00",3911.39240506329,1,0.0255663430420712,18.3
"18","ADAMS COUNTY",2011,"670.00","17.10","32752.00",3918.12865497076,4,0.102089552238806,18.3
"19","BANNOCK COUNTY",2003,"9895","13.4","38462.00",73843.2835820896,13,0.0176048509348156,17.7
"20","BANNOCK COUNTY",2004,"9950.00","13.00","38943.00",76538.4615384615,8,0.0104522613065327,17.7
"21","BANNOCK COUNTY",2005,"12431.00","16.50","37641.00",75339.3939393939,11,0.0146005952859786,17.7
"22","BANNOCK COUNTY",2006,"11858","15.5","40919",76503.2258064516,10,0.0130713442401754,17.7
"23","BANNOCK COUNTY",2007,"11894","15.3","44150",77738.5620915033,5,0.0064318143601816,17.7
"24","BANNOCK COUNTY",2008,"11065","14.1","47819",78475.1773049645,7,0.0089200180750113,17.7
"25","BANNOCK COUNTY",2009,"11630","14.5","44451",80206.8965517241,6,0.00748065348237317,17.7
"26","BANNOCK COUNTY",2010,"13233.00","16.30","40946.00",81184.0490797546,9,0.011085921559737,17.7
"27","BANNOCK COUNTY",2011,"15222.00","18.70","41749.00",81401.0695187166,6,0.00737091052424123,17.7
"28","BEAR LAKE COUNTY",2003,"700","11.1","34959.00",6306.30630630631,4,0.0634285714285714,20.9
"29","BEAR LAKE COUNTY",2004,"661.00","10.70","36292.00",6177.57009345794,2,0.032375189107413,20.9
"30","BEAR LAKE COUNTY",2005,"766.00","12.60","38277.00",6079.36507936508,3,0.0493472584856397,20.9
"31","BEAR LAKE COUNTY",2006,"763","12.5","37730",6104,0,0,20.9
"32","BEAR LAKE COUNTY",2007,"645","11.1","42360",5810.81081081081,1,0.0172093023255814,20.9
"33","BEAR LAKE COUNTY",2008,"672","11.7","40589",5743.58974358974,3,0.0522321428571429,20.9
"34","BEAR LAKE COUNTY",2009,"746","13","42199",5738.46153846154,6,0.10455764075067,20.9
"35","BEAR LAKE COUNTY",2010,"918.00","15.50","39469.00",5922.58064516129,1,0.0168845315904139,20.9
"36","BEAR LAKE COUNTY",2011,"830.00","14.00","42327.00",5928.57142857143,1,0.0168674698795181,20.9
"37","BENEWAH COUNTY",2003,"1136","12.9","33267.00",8806.2015503876,4,0.0454225352112676,17.1
"38","BENEWAH COUNTY",2004,"1153.00","12.70","34724.00",9078.74015748032,1,0.0110147441457069,17.1
"39","BENEWAH COUNTY",2005,"1348.00","14.90","35274.00",9046.97986577181,2,0.022106824925816,17.1
"40","BENEWAH COUNTY",2006,"1370","14.9","37736",9194.63087248322,2,0.0217518248175182,17.1
"41","BENEWAH COUNTY",2007,"1384","15.2","38402",9105.26315789474,2,0.0219653179190751,17.1
"42","BENEWAH COUNTY",2008,"1380","15","39173",9200,0,0,17.1
"43","BENEWAH COUNTY",2009,"1483","16.3","36635",9098.15950920245,5,0.054956169925826,17.1
"44","BENEWAH COUNTY",2010,"1543.00","16.80","36906.00",9184.52380952381,3,0.0326636422553467,17.1
"45","BENEWAH COUNTY",2011,"1485.00","16.30","39327.00",9110.42944785276,2,0.021952861952862,17.1
"46","BINGHAM COUNTY",2003,"5507","12.8","37992.00",43023.4375,10,0.0232431450880697,20.2
"47","BINGHAM COUNTY",2004,"5767.00","13.20","38966.00",43689.3939393939,9,0.0205999653199237,20.2
"48","BINGHAM COUNTY",2005,"6357.00","14.70","40771.00",43244.8979591837,10,0.023124115148655,20.2
"49","BINGHAM COUNTY",2006,"6039","13.9","40603",43446.0431654676,11,0.0253187613843352,20.2
"50","BINGHAM COUNTY",2007,"5522","12.8","42714",43140.625,12,0.0278160086925027,20.2
"51","BINGHAM COUNTY",2008,"5648","13","45890",43446.1538461538,4,0.00920679886685553,20.2
"52","BINGHAM COUNTY",2009,"7059","15.9","43262",44396.2264150943,8,0.0180195495112622,20.2
"53","BINGHAM COUNTY",2010,"7060.00","15.60","43571.00",45256.4102564103,10,0.0220963172804533,20.2
"54","BINGHAM COUNTY",2011,"7021.00","15.50","45354.00",45296.7741935484,5,0.011038313630537,20.2
"55","BLAINE COUNTY",2003,"1325","6.3","52568.00",21031.746031746,14,0.0665660377358491,17.8
"56","BLAINE COUNTY",2004,"1243.00","5.90","54131.00",21067.7966101695,3,0.0142397425583266,17.8
"57","BLAINE COUNTY",2005,"1466.00","7.10","55431.00",20647.8873239437,12,0.0581173260572988,17.8
"58","BLAINE COUNTY",2006,"1744","8.2","60028",21268.2926829268,7,0.0329128440366972,17.8
"59","BLAINE COUNTY",2007,"1383","6.5","65857",21276.9230769231,2,0.0093998553868402,17.8
"60","BLAINE COUNTY",2008,"1542","7.1","65239",21718.3098591549,5,0.0230220492866407,17.8
"61","BLAINE COUNTY",2009,"1771","8","62717",22137.5,5,0.0225861095426313,17.8
"62","BLAINE COUNTY",2010,"2139.00","10.10","59191.00",21178.2178217822,4,0.0188873305282842,17.8
"63","BLAINE COUNTY",2011,"2191.00","10.40","60448.00",21067.3076923077,2,0.00949338201734368,17.8
"64","BOISE COUNTY",2003,"738","10.1","40024.00",7306.93069306931,8,0.109485094850948,36.5
"65","BOISE COUNTY",2004,"744.00","9.90","41566.00",7515.15151515152,5,0.0665322580645161,36.5
"66","BOISE COUNTY",2005,"865.00","11.70","42459.00",7393.16239316239,9,0.121734104046243,36.5
"67","BOISE COUNTY",2006,"1005","13.3","45058",7556.39097744361,7,0.092636815920398,36.5
"68","BOISE COUNTY",2007,"904","12","48991",7533.33333333333,5,0.0663716814159292,36.5
"69","BOISE COUNTY",2008,"834","11.2","50834",7446.42857142857,6,0.0805755395683453,36.5
