"","County","Year","Poverty Count","Poverty Percent","Median Income","Population","Fatalities Count","Fatalities Percent","Commute"
"1","ADAMS COUNTY",2004,"3389.00","10.10","43781.00",33554.4554455446,7,0.0208616110947182,21.8
"2","ADAMS COUNTY",2005,"3806.00","11.50","45381.00",33095.652173913,4,0.0120861797162375,21.8
"3","ADAMS COUNTY",2006,"4482","13.5","41976",33200,8,0.0240963855421687,21.8
"4","ADAMS COUNTY",2007,"4146","12.5","46601",33168,3,0.00904486251808972,21.8
"5","ADAMS COUNTY",2010,"5705.00","16.80","43121.00",33958.3333333333,2,0.00588957055214724,21.8
"6","ADAMS COUNTY",2011,"5066.00","15.00","47265.00",33773.3333333333,5,0.0148045795499408,21.8
"7","ADAMS COUNTY",2008,"4244","12.7","43304",33417.3228346457,3,0.00897737983034873,21.8
"8","ADAMS COUNTY",2009,"5322","15.8","42994",33683.5443037975,1,0.00296880871852687,21.8
"9","ADAMS COUNTY",2003,"3294","9.8","42058.00",33612.2448979592,9,0.026775956284153,21.8
"10","ALLEN COUNTY",2008,"39724","11.5","49110",345426.086956522,22,0.00636894572550599,20.4
"11","ALLEN COUNTY",2009,"51005","14.6","47284",349349.315068493,25,0.00715616116067052,20.4
"12","ALLEN COUNTY",2010,"48764.00","13.90","47014.00",350820.143884892,21,0.00598597325896153,20.4
"13","ALLEN COUNTY",2011,"60699.00","17.20","47411.00",352901.162790698,22,0.0062340400995074,20.4
"14","ALLEN COUNTY",2005,"39523.00","11.80","45506.00",334940.677966102,30,0.00895680995875819,20.4
"15","ALLEN COUNTY",2006,"39538","11.6","45844",340844.827586207,27,0.00792149324700288,20.4
"16","ALLEN COUNTY",2003,"34712","10.2","43059.00",340313.725490196,23,0.00675846969347776,20.4
"17","ALLEN COUNTY",2004,"38569.00","11.30","42867.00",341318.584070796,31,0.0090824237081594,20.4
"18","ALLEN COUNTY",2007,"37441","10.9","47947",343495.412844037,21,0.00611361876018269,20.4
"19","BARTHOLOMEW COUNTY",2003,"6065","8.4","45671.00",72202.3809523809,11,0.015234954657873,19.8
"20","BARTHOLOMEW COUNTY",2004,"6716.00","9.20","47091.00",73000,11,0.0150684931506849,19.8
"21","BARTHOLOMEW COUNTY",2006,"7122","9.7","49681",73422.6804123711,16,0.0217916315641674,19.8
"22","BARTHOLOMEW COUNTY",2007,"8021","10.9","53395",73587.1559633028,19,0.0258197232265304,19.8
"23","BARTHOLOMEW COUNTY",2008,"7871","10.6","51850",74254.7169811321,11,0.0148138737136323,19.8
"24","BARTHOLOMEW COUNTY",2005,"7227.00","10.00","46172.00",72270,16,0.022139200221392,19.8
"25","BARTHOLOMEW COUNTY",2011,"9729.00","12.70","52669.00",76606.2992125984,6,0.0078322540857231,19.8
"26","BARTHOLOMEW COUNTY",2009,"7150","9.6","49888",74479.1666666667,5,0.00671328671328671,19.8
"27","BARTHOLOMEW COUNTY",2010,"9691.00","12.80","49045.00",75710.9375,12,0.0158497575069652,19.8
"28","BENTON COUNTY",2004,"758.00","8.50","41414.00",8917.64705882353,1,0.0112137203166227,25
"29","BENTON COUNTY",2003,"670","7.5","39640.00",8933.33333333333,4,0.0447761194029851,25
"30","BENTON COUNTY",2010,"996.00","11.30","47520.00",8814.1592920354,3,0.0340361445783133,25
"31","BENTON COUNTY",2005,"794.00","9.00","42467.00",8822.22222222222,1,0.0113350125944584,25
"32","BENTON COUNTY",2006,"802","9.1","43645",8813.18681318681,4,0.0453865336658354,25
"33","BENTON COUNTY",2009,"834","10","42994",8340,3,0.0359712230215827,25
"34","BENTON COUNTY",2007,"873","10.2","44637",8558.82352941177,4,0.0467353951890034,25
"35","BENTON COUNTY",2011,"1136.00","13.00","45644.00",8738.46153846154,2,0.022887323943662,25
"36","BENTON COUNTY",2008,"885","10.4","46441",8509.61538461538,3,0.0352542372881356,25
"37","BLACKFORD COUNTY",2003,"1271","9.3","36376.00",13666.6666666667,2,0.0146341463414634,23.9
"38","BLACKFORD COUNTY",2004,"1509.00","11.00","36551.00",13718.1818181818,2,0.0145791915175613,23.9
"39","BLACKFORD COUNTY",2005,"1585.00","11.70","37671.00",13547.0085470085,5,0.0369085173501577,23.9
"40","BLACKFORD COUNTY",2011,"1997.00","16.10","38346.00",12403.7267080745,4,0.0322483725588383,23.9
"41","BLACKFORD COUNTY",2007,"1634","12.6","40996",12968.253968254,2,0.015422276621787,23.9
"42","BLACKFORD COUNTY",2009,"1812","14.1","38371",12851.0638297872,1,0.00778145695364238,23.9
"43","BLACKFORD COUNTY",2010,"2001.00","16.00","38637.00",12506.25,0,0,23.9
"44","BLACKFORD COUNTY",2006,"1733","13","38185",13330.7692307692,0,0,23.9
"45","BLACKFORD COUNTY",2008,"1784","13.9","38769",12834.5323741007,3,0.0233744394618834,23.9
