"","County","Year","Poverty Count","Poverty Percent","Median Income","Population","Fatalities Count","Fatalities Percent","Commute"
"1","ALLEN COUNTY",2003,"1920","14","32416.00",13714.2857142857,3,0.021875,16.8
"2","ALLEN COUNTY",2004,"1984.00","14.60","33459.00",13589.0410958904,9,0.0662298387096774,16.8
"3","ALLEN COUNTY",2005,"2088.00","15.60","34106.00",13384.6153846154,7,0.0522988505747126,16.8
"4","ALLEN COUNTY",2006,"2056","15.4","38730",13350.6493506493,4,0.0299610894941634,16.8
"5","ALLEN COUNTY",2007,"2087","15.9","36702",13125.786163522,5,0.0380929563967417,16.8
"6","ALLEN COUNTY",2008,"1976","15.2","37919",13000,6,0.0461538461538462,16.8
"7","ALLEN COUNTY",2009,"2090","16.2","38169",12901.2345679012,1,0.0077511961722488,16.8
"8","ALLEN COUNTY",2010,"2367.00","18.40","39662.00",12864.1304347826,9,0.0699619771863118,16.8
"9","ALLEN COUNTY",2011,"2412.00","18.70","37353.00",12898.3957219251,2,0.0155058043117745,16.8
"10","ANDERSON COUNTY",2003,"986","12.1","35002.00",8148.76033057851,3,0.036815415821501,25.8
"11","ANDERSON COUNTY",2004,"1008.00","12.40","36715.00",8129.03225806452,1,0.0123015873015873,25.8
"12","ANDERSON COUNTY",2005,"1115.00","13.90","37384.00",8021.58273381295,2,0.024932735426009,25.8
"13","ANDERSON COUNTY",2006,"1145","14.5","38465",7896.55172413793,2,0.0253275109170306,25.8
"14","ANDERSON COUNTY",2007,"956","12.3","40330",7772.35772357724,3,0.0385983263598326,25.8
"15","ANDERSON COUNTY",2008,"1075","13.7","41825",7846.71532846715,3,0.0382325581395349,25.8
"16","ANDERSON COUNTY",2009,"1071","13.9","41040",7705.03597122302,4,0.0519140989729225,25.8
"17","ANDERSON COUNTY",2010,"1160.00","14.60","41054.00",7945.20547945206,2,0.0251724137931034,25.8
"18","ANDERSON COUNTY",2011,"1151.00","14.50","42185.00",7937.93103448276,4,0.050390964378801,25.8
