"","County","Year","Poverty Count","Poverty Percent","Median Income","Population","Fatalities Count","Fatalities Percent","Commute"
"1","ADAIR COUNTY",2003,"3387","20","25266.00",16935,6,0.0354295837023915,23.1
"2","ADAIR COUNTY",2004,"3642.00","21.50","25696.00",16939.5348837209,5,0.0295167490389896,23.1
"3","ADAIR COUNTY",2005,"4169.00","24.90","26903.00",16742.9718875502,1,0.00597265531302471,23.1
"4","ADAIR COUNTY",2006,"4175","24.8","27529",16834.6774193548,4,0.0237604790419162,23.1
"5","ADAIR COUNTY",2007,"3653","21.4","32643",17070.0934579439,4,0.0234327949630441,23.1
"6","ADAIR COUNTY",2008,"3975","23.4","30169",16987.1794871795,3,0.0176603773584906,23.1
"7","ADAIR COUNTY",2009,"4107","24","29200",17112.5,8,0.0467494521548576,23.1
"8","ADAIR COUNTY",2010,"4189.00","24.00","30177.00",17454.1666666667,2,0.0114585820004774,23.1
"9","ADAIR COUNTY",2011,"4056.00","23.10","30147.00",17558.4415584416,6,0.0341715976331361,23.1
"10","ALLEN COUNTY",2003,"2721","14.8","33839.00",18385.1351351351,13,0.0707092980521867,26.8
"11","ALLEN COUNTY",2004,"3185.00","17.20","33541.00",18517.4418604651,4,0.0216012558869702,26.8
"12","ALLEN COUNTY",2005,"3077.00","16.70","34121.00",18425.1497005988,5,0.0271368215794605,26.8
"13","ALLEN COUNTY",2006,"3441","18.6","34821",18500,8,0.0432432432432432,26.8
"14","ALLEN COUNTY",2007,"3361","18.1","36283",18569.0607734807,0,0,26.8
"15","ALLEN COUNTY",2008,"3617","19.2","36097",18838.5416666667,7,0.0371578656345037,26.8
"16","ALLEN COUNTY",2009,"3356","17.9","36563",18748.6033519553,3,0.0160011918951132,26.8
"17","ALLEN COUNTY",2010,"4402.00","22.30","35617.00",19739.9103139013,2,0.0101317582916856,26.8
"18","ALLEN COUNTY",2011,"4078.00","20.50","35614.00",19892.6829268293,3,0.0150809220205983,26.8
"19","ANDERSON COUNTY",2003,"1838","9.2","47435.00",19978.2608695652,0,0,27.4
"20","ANDERSON COUNTY",2004,"1956.00","9.60","48280.00",20375,7,0.0343558282208589,27.4
"21","ANDERSON COUNTY",2005,"1774.00","8.80","47415.00",20159.0909090909,2,0.00992108229988726,27.4
"22","ANDERSON COUNTY",2006,"1770","8.6","52056",20581.3953488372,1,0.00485875706214689,27.4
"23","ANDERSON COUNTY",2007,"1949","9.3","54819",20956.9892473118,0,0,27.4
"24","ANDERSON COUNTY",2008,"2062","9.7","49615",21257.7319587629,3,0.0141125121241513,27.4
"25","ANDERSON COUNTY",2009,"2375","11","51486",21590.9090909091,3,0.0138947368421053,27.4
"26","ANDERSON COUNTY",2010,"2722.00","12.80","52660.00",21265.625,2,0.00940484937545922,27.4
"27","ANDERSON COUNTY",2011,"2311.00","10.80","51817.00",21398.1481481481,4,0.018693206404154,27.4
"28","BALLARD COUNTY",2003,"1108","13.6","35052.00",8147.05882352941,0,0,20.9
"29","BALLARD COUNTY",2004,"1179.00","14.50","35735.00",8131.03448275862,1,0.0122985581000848,20.9
"30","BALLARD COUNTY",2005,"1209.00","15.00","36575.00",8060,2,0.0248138957816377,20.9
"31","BALLARD COUNTY",2006,"1154","14.3","38191",8069.93006993007,4,0.0495667244367418,20.9
"32","BALLARD COUNTY",2007,"1293","15.9","39118",8132.07547169811,3,0.0368909512761021,20.9
"33","BALLARD COUNTY",2008,"1238","15.2","36776",8144.73684210526,3,0.0368336025848142,20.9
"34","BALLARD COUNTY",2009,"1188","14.9","39995",7973.15436241611,3,0.0376262626262626,20.9
"35","BALLARD COUNTY",2010,"1171.00","14.40","41776.00",8131.94444444444,0,0,20.9
"36","BALLARD COUNTY",2011,"1336.00","16.50","40790.00",8096.9696969697,2,0.0247005988023952,20.9
"37","BARREN COUNTY",2003,"5957","15.3","32932.00",38934.6405228758,11,0.028252476078563,19.5
"38","BARREN COUNTY",2004,"6561.00","16.60","33531.00",39524.0963855422,12,0.0303612254229538,19.5
