"","County","Year","Poverty Count","Poverty Percent","Median Income","Population","Fatalities Count","Fatalities Percent","Commute"
"1","ACADIA County",2003,11656,20,29671,58280,17,0.0291695264241592,28.9
"2","ACADIA County",2004,12345,21,30040,58785.7142857143,16,0.0272174969623329,28.9
"3","ACADIA County",2005,13169,22.6,28648,58269.9115044248,18,0.0308907282253778,28.9
"4","ACADIA County",2006,13359,22.5,30639,59373.3333333333,15,0.0252638670559174,28.9
"5","ACADIA County",2007,13801,23.5,33098,58727.6595744681,14,0.0238388522570828,28.9
"6","ACADIA County",2008,11609,19.7,37862,58928.9340101523,18,0.0305452666034973,28.9
"7","ACADIA County",2009,11957,20.3,35583,58901.4778325123,17,0.0288617546207243,28.9
"8","ACADIA County",2010,12760,21,36814,60761.9047619048,15,0.0246865203761755,28.9
"9","ACADIA County",2011,13671,22.4,34960,61031.25,16,0.0262160778289811,28.9
"10","ALLEN County",2003,4405,20.5,28552,21487.8048780488,5,0.0232690124858116,28.9
"11","ALLEN County",2004,4688,22,29067,21309.0909090909,7,0.0328498293515358,28.9
"12","ALLEN County",2005,4547,21.5,31217,21148.8372093023,13,0.061469100505828,28.9
"13","ALLEN County",2006,4817,22.6,30341,21314.1592920354,10,0.0469171683620511,28.9
"14","ALLEN County",2007,4592,21.6,34958,21259.2592592593,6,0.0282229965156794,28.9
"15","ALLEN County",2008,4438,20.7,40131,21439.6135265701,11,0.0513068949977467,28.9
"16","ALLEN County",2009,4946,23.1,34506,21411.2554112554,1,0.00467044076021027,28.9
"17","ALLEN County",2010,4374,20.4,35711,21441.1764705882,2,0.0093278463648834,28.9
"18","ALLEN County",2011,4984,23.2,34586,21482.7586206897,4,0.0186195826645265,28.9
"19","ASCENSION County",2003,9883,11.4,47959,86692.9824561404,26,0.0299908934534048,26.9
"20","ASCENSION County",2004,10844,12,48789,90366.6666666667,28,0.0309848764293619,26.9
"21","ASCENSION County",2005,10467,11.7,48440,89461.5384615385,23,0.0257093723129837,26.9
"22","ASCENSION County",2006,10999,11.4,54037,96482.4561403509,31,0.0321301936539685,26.9
"23","ASCENSION County",2007,11949,12.2,56720,97942.6229508197,22,0.0224621307222362,26.9
"24","ASCENSION County",2008,9995,9.9,61345,100959.595959596,20,0.0198099049524762,26.9
"25","ASCENSION County",2009,11624,11.2,60995,103785.714285714,22,0.0211975223675155,26.9
"26","ASCENSION County",2010,13622,12.8,62069,106421.875,19,0.0178534723241815,26.9
"27","ASCENSION County",2011,12525,11.5,63305,108913.043478261,15,0.0137724550898204,26.9
"28","ASSUMPTION County",2003,4155,18,35296,23083.3333333333,12,0.051985559566787,32
"29","ASSUMPTION County",2004,4457,19.3,34781,23093.2642487047,10,0.0433026699573704,32
"30","ASSUMPTION County",2005,4921,21.5,35183,22888.3720930233,3,0.0131070920544605,32
"31","ASSUMPTION County",2006,4715,20.3,35916,23226.6009852217,11,0.0473594909862142,32
"32","ASSUMPTION County",2007,4976,21.9,39643,22721.4611872146,2,0.00880225080385852,32
"33","ASSUMPTION County",2008,4380,19.3,41319,22694.3005181347,9,0.0396575342465753,32
"34","ASSUMPTION County",2009,4037,17.8,42494,22679.7752808989,9,0.0396829328709438,32
"35","ASSUMPTION County",2010,3858,16.7,43503,23101.7964071856,10,0.043286677034733,32
"36","ASSUMPTION County",2011,4209,18.4,44770,22875,10,0.0437158469945355,32
"37","AVOYELLES County",2003,8996,23.1,25490,38943.7229437229,9,0.0231102712316585,31.2
"38","AVOYELLES County",2004,9696,24.8,25915,39096.7741935484,9,0.023019801980198,31.2
"39","AVOYELLES County",2005,11105,28.6,26715,38828.6713286713,18,0.0463574966231427,31.2
"40","AVOYELLES County",2006,10625,26.9,27104,39498.1412639405,10,0.0253176470588235,31.2
"41","AVOYELLES County",2007,10419,26.7,29239,39022.4719101124,11,0.0281888856896055,31.2
"42","AVOYELLES County",2008,8599,21.9,32744,39264.8401826484,7,0.0178276543784161,31.2
"43","AVOYELLES County",2009,9779,24.9,30791,39273.0923694779,5,0.0127313631250639,31.2
"44","AVOYELLES County",2010,8350,21.6,31523,38657.4074074074,8,0.0206946107784431,31.2
"45","AVOYELLES County",2011,9814,25.5,31733,38486.2745098039,10,0.0259832891787243,31.2
"46","BEAUREGARD County",2003,5047,15.3,34447,32986.9281045752,3,0.00909451159104419,31.4
"47","BEAUREGARD County",2004,5439,16.3,35372,33368.0981595092,16,0.0479499908071337,31.4
"48","BEAUREGARD County",2005,5647,17,35334,33217.6470588235,14,0.0421462723570037,31.4
"49","BEAUREGARD County",2006,4931,14.6,44103,33773.9726027397,9,0.0266477387953762,31.4
"50","BEAUREGARD County",2007,5329,15.9,40592,33515.7232704402,8,0.0238693938825296,31.4
"51","BEAUREGARD County",2008,4729,14,43398,33778.5714285714,13,0.0384859378304081,31.4
"52","BEAUREGARD County",2009,4767,14,42167,34050,10,0.0293685756240822,31.4
"53","BEAUREGARD County",2010,5410,15.7,43672,34458.5987261147,7,0.0203142329020333,31.4
"54","BEAUREGARD County",2011,5861,16.9,43673,34680.4733727811,8,0.0230677358812489,31.4
"55","BIENVILLE County",2003,3098,20.6,25695,15038.8349514563,3,0.0199483537766301,30
"56","BIENVILLE County",2004,3338,22.5,26320,14835.5555555556,6,0.0404433792690234,30
"57","BIENVILLE County",2005,3751,25.5,26492,14709.8039215686,4,0.0271927486003732,30
"58","BIENVILLE County",2006,3801,25.8,28457,14732.5581395349,7,0.0475138121546961,30
"59","BIENVILLE County",2007,3691,25.5,29728,14474.5098039216,6,0.041452180980764,30
"60","BIENVILLE County",2008,3005,21,31440,14309.5238095238,6,0.0419301164725458,30
"61","BIENVILLE County",2009,3326,23.2,29847,14336.2068965517,6,0.0418520745640409,30
"62","BIENVILLE County",2010,3403,24.4,31421,13946.7213114754,11,0.0788715838965618,30
"63","BIENVILLE County",2011,3687,26.4,30750,13965.9090909091,3,0.0214808787632221,30
"64","BOSSIER County",2003,13648,13.4,40631,101850.746268657,15,0.0147274325908558,20.4
"65","BOSSIER County",2004,14915,14.4,42141,103576.388888889,23,0.0222058330539725,20.4
"66","BOSSIER County",2005,15350,14.9,44110,103020.134228188,14,0.0135895765472313,20.4
"67","BOSSIER County",2006,12644,12.1,46316,104495.867768595,14,0.0133976589686808,20.4
"68","BOSSIER County",2007,15889,15,47539,105926.666666667,18,0.0169928881616212,20.4
"69","BOSSIER County",2008,14715,13.6,49331,108198.529411765,17,0.0157118586476385,20.4
"70","BOSSIER County",2009,15618,14.3,49053,109216.783216783,10,0.00915610193366628,20.4
"71","BOSSIER County",2010,16090,14,48957,114928.571428571,18,0.0156619018023617,20.4
"72","BOSSIER County",2011,16586,14.1,50577,117631.205673759,11,0.00935126009887857,20.4
"73","CADDO County",2003,48572,19.7,32652,246558.375634518,39,0.0158177550852343,19.5
"74","CADDO County",2004,50603,20.5,33190,246843.902439024,41,0.0166096871726973,19.5
"75","CADDO County",2005,56309,23.1,33603,243761.904761905,46,0.0188708732174253,19.5
"76","CADDO County",2006,54839,22.2,32989,247022.522522523,38,0.0153832126771094,19.5
"77","CADDO County",2007,56372,22.9,35547,246165.938864629,53,0.0215301922940467,19.5
