"","County","Year","Poverty Count","Poverty Percent","Median Income","Population","Fatalities Count","Fatalities Percent","Commute"
"1","ANDROSCOGGIN COUNTY",2003,"11991","11.5","38105.00",104269.565217391,15,0.0143857893420065,22.9
"2","ANDROSCOGGIN COUNTY",2004,"12954.00","12.30","39184.00",105317.073170732,15,0.0142427049559981,22.9
"3","ANDROSCOGGIN COUNTY",2005,"12447.00","12.00","41930.00",103725,8,0.00771270185586888,22.9
"4","ANDROSCOGGIN COUNTY",2006,"16364","15.7","39537",104229.299363057,15,0.0143913468589587,22.9
"5","ANDROSCOGGIN COUNTY",2007,"14565","14.1","45254",103297.872340426,11,0.010648815653965,22.9
"6","ANDROSCOGGIN COUNTY",2008,"13547","13.1","44484",103412.213740458,8,0.00773603011736916,22.9
"7","ANDROSCOGGIN COUNTY",2009,"15427","15","40653",102846.666666667,10,0.00972321254942633,22.9
"8","ANDROSCOGGIN COUNTY",2010,"15240.00","14.60","41831.00",104383.561643836,12,0.011496062992126,22.9
"9","ANDROSCOGGIN COUNTY",2011,"16815.00","16.10","43899.00",104440.99378882,12,0.0114897413024086,22.9
"10","AROOSTOOK COUNTY",2003,"10368","14.3","31556.00",72503.4965034965,19,0.0262056327160494,16.7
"11","AROOSTOOK COUNTY",2004,"10918.00","15.10","32629.00",72304.6357615894,15,0.0207455577944679,16.7
"12","AROOSTOOK COUNTY",2005,"11736.00","16.60","32435.00",70698.7951807229,6,0.00848670756646217,16.7
"13","AROOSTOOK COUNTY",2006,"11972","16.8","33040",71261.9047619048,11,0.0154360173738724,16.7
"14","AROOSTOOK COUNTY",2007,"12273","17.4","35438",70534.4827586207,17,0.024101686629186,16.7
"15","AROOSTOOK COUNTY",2008,"10597","15.2","36107",69717.1052631579,7,0.0100405775219402,16.7
"16","AROOSTOOK COUNTY",2009,"11441","16.4","34868",69762.1951219512,12,0.0172012935932174,16.7
"17","AROOSTOOK COUNTY",2010,"9828.00","14.00","36344.00",70200,11,0.0156695156695157,16.7
"18","AROOSTOOK COUNTY",2011,"12738.00","18.30","35572.00",69606.5573770492,14,0.0201130475741875,16.7
"19","CUMBERLAND COUNTY",2003,"22320","8.3","47729.00",268915.662650602,19,0.00706541218637993,21.9
"20","CUMBERLAND COUNTY",2004,"24708.00","9.20","49870.00",268565.217391304,25,0.00930872591873077,21.9
"21","CUMBERLAND COUNTY",2005,"26448.00","10.00","49970.00",264480,28,0.0105868118572293,21.9
"22","CUMBERLAND COUNTY",2006,"26189","9.9","51474",264535.353535353,28,0.0105845965863531,21.9
"23","CUMBERLAND COUNTY",2007,"25837","9.7","54992",266360.824742268,27,0.0101366257692457,21.9
"24","CUMBERLAND COUNTY",2008,"27789","10.4","54053",267201.923076923,21,0.00785922487315125,21.9
"25","CUMBERLAND COUNTY",2009,"25188","9.3","52459",270838.709677419,20,0.00738446879466413,21.9
"26","CUMBERLAND COUNTY",2010,"28176.00","10.30","57424.00",273553.398058252,25,0.00913898353208404,21.9
"27","CUMBERLAND COUNTY",2011,"33225.00","12.10","55459.00",274586.776859504,13,0.00473438675696012,21.9
"28","FRANKLIN COUNTY",2003,"3600","12.5","34010.00",28800,8,0.0277777777777778,23.4
"29","FRANKLIN COUNTY",2004,"3865.00","13.60","34846.00",28419.1176470588,4,0.0140750323415265,23.4
"30","FRANKLIN COUNTY",2005,"4752.00","16.90","35124.00",28118.3431952663,4,0.0142255892255892,23.4
"31","FRANKLIN COUNTY",2006,"3962","13.9","36753",28503.5971223022,7,0.0245583038869258,23.4
"32","FRANKLIN COUNTY",2007,"4564","16","39929",28525,5,0.0175284837861525,23.4
"33","FRANKLIN COUNTY",2008,"4955","17.5","36405",28314.2857142857,5,0.0176589303733602,23.4
"34","FRANKLIN COUNTY",2009,"4588","16.2","39827",28320.987654321,6,0.0211857018308631,23.4
"35","FRANKLIN COUNTY",2010,"4596.00","15.60","39034.00",29461.5384615385,8,0.027154046997389,23.4
"36","FRANKLIN COUNTY",2011,"5136.00","17.40","39405.00",29517.2413793103,5,0.0169392523364486,23.4
"37","HANCOCK COUNTY",2003,"5215","9.9","37991.00",52676.7676767677,9,0.0170853307766059,22.6
"38","HANCOCK COUNTY",2004,"5242.00","9.90","38580.00",52949.4949494949,12,0.0226631056848531,22.6
"39","HANCOCK COUNTY",2005,"5386.00","10.40","43175.00",51788.4615384615,13,0.0251021165985889,22.6
"40","HANCOCK COUNTY",2006,"6472","12.4","41579",52193.5483870968,12,0.022991347342398,22.6
"41","HANCOCK COUNTY",2007,"5149","9.9","44632",52010.101010101,14,0.0269178481258497,22.6
"42","HANCOCK COUNTY",2008,"5588","10.8","47849",51740.7407407407,8,0.01546170365068,22.6
"43","HANCOCK COUNTY",2009,"6162","11.9","48018",51781.512605042,8,0.01544952937358,22.6
"44","HANCOCK COUNTY",2010,"7461.00","14.00","41106.00",53292.8571428571,14,0.0262699370057633,22.6
"45","HANCOCK COUNTY",2011,"7375.00","13.80","44599.00",53442.0289855072,9,0.0168406779661017,22.6
"46","KENNEBEC COUNTY",2003,"13267","11.2","38507.00",118455.357142857,17,0.0143513982060752,22.4
