"","County","Year","Poverty Count","Poverty Percent","Median Income","Population","Fatalities Count","Fatalities Percent","Commute"
"1","ALCONA COUNTY",2003,"1379","12","31116.00",11491.6666666667,5,0.0435097897026831,23.9
"2","ALCONA COUNTY",2004,"1490.00","12.90","32355.00",11550.3875968992,3,0.0259731543624161,23.9
"3","ALCONA COUNTY",2005,"1753.00","15.40","33974.00",11383.1168831169,3,0.0263548203080434,23.9
"4","ALCONA COUNTY",2006,"1707","14.7","33616",11612.2448979592,4,0.0344463971880492,23.9
"5","ALCONA COUNTY",2007,"1538","13.5","34121",11392.5925925926,1,0.008777633289987,23.9
"6","ALCONA COUNTY",2008,"1766","15.5","34547",11393.5483870968,2,0.0175537938844847,23.9
"7","ALCONA COUNTY",2009,"1787","16.3","32644",10963.1901840491,3,0.0273642977056519,23.9
"8","ALCONA COUNTY",2010,"1777.00","16.50","33853.00",10769.696969697,7,0.0649971862689927,23.9
"9","ALCONA COUNTY",2011,"1914.00","17.90","35407.00",10692.7374301676,0,0,23.9
"10","ALGER COUNTY",2003,"902","10.2","35623.00",8843.13725490196,0,0,18.4
"11","ALGER COUNTY",2004,"996.00","11.30","36959.00",8814.1592920354,1,0.0113453815261044,18.4
"12","ALGER COUNTY",2005,"1156.00","13.40","37825.00",8626.86567164179,4,0.0463667820069204,18.4
"13","ALGER COUNTY",2006,"1031","11.8","41451",8737.28813559322,0,0,18.4
"14","ALGER COUNTY",2007,"1087","12.5","39076",8696,4,0.0459981600735971,18.4
"15","ALGER COUNTY",2008,"1150","13.5","41152",8518.51851851852,0,0,18.4
"16","ALGER COUNTY",2009,"1221","14.2","39254",8598.59154929578,3,0.0348894348894349,18.4
"17","ALGER COUNTY",2010,"1265.00","14.70","36749.00",8605.44217687075,3,0.0348616600790514,18.4
"18","ALGER COUNTY",2011,"1388.00","16.30","39486.00",8515.33742331288,1,0.0117435158501441,18.4
"19","ALLEGAN COUNTY",2003,"9397","8.4","46735.00",111869.047619048,21,0.0187719484942003,23.4
"20","ALLEGAN COUNTY",2004,"10603.00","9.40","48045.00",112797.872340426,22,0.0195039139866076,23.4
"21","ALLEGAN COUNTY",2005,"10627.00","9.60","47662.00",110697.916666667,21,0.0189705467206173,23.4
"22","ALLEGAN COUNTY",2006,"10859","9.7","50650",111948.453608247,15,0.0133990238511833,23.4
"23","ALLEGAN COUNTY",2007,"11883","10.7","51233",111056.074766355,20,0.01800892030632,23.4
"24","ALLEGAN COUNTY",2008,"12855","11.5","49784",111782.608695652,19,0.0169972773239984,23.4
"25","ALLEGAN COUNTY",2009,"12850","11.5","50487",111739.130434783,8,0.00715953307392996,23.4
"26","ALLEGAN COUNTY",2010,"16283.00","14.80","45879.00",110020.27027027,11,0.00999815758766812,23.4
"27","ALLEGAN COUNTY",2011,"13945.00","12.70","50559.00",109803.149606299,15,0.0136608103262818,23.4
"28","ALPENA COUNTY",2003,"3567","11.7","34606.00",30487.1794871795,0,0,16.1
"29","ALPENA COUNTY",2004,"4006.00","13.20","35946.00",30348.4848484849,3,0.00988517224163754,16.1
"30","ALPENA COUNTY",2005,"4094.00","13.70","35628.00",29883.2116788321,7,0.0234245236932096,16.1
"31","ALPENA COUNTY",2006,"4174","14","35738",29814.2857142857,4,0.0134163871586009,16.1
"32","ALPENA COUNTY",2007,"4567","15.5","37508",29464.5161290323,4,0.0135756514123057,16.1
"33","ALPENA COUNTY",2008,"4823","16.5","37546",29230.303030303,3,0.0102633215840763,16.1
"34","ALPENA COUNTY",2009,"4796","16.6","35710",28891.5662650602,4,0.0138448707256047,16.1
"35","ALPENA COUNTY",2010,"4875.00","16.80","36289.00",29017.8571428571,2,0.00689230769230769,16.1
"36","ALPENA COUNTY",2011,"5389.00","18.60","37270.00",28973.1182795699,3,0.0103544256819447,16.1
"37","ANTRIM COUNTY",2003,"2209","9.1","39390.00",24274.7252747253,10,0.041195110909914,22.3
"38","ANTRIM COUNTY",2004,"2437.00","10.00","40999.00",24370,3,0.0123102174805088,22.3
"39","ANTRIM COUNTY",2005,"2488.00","10.30","45232.00",24155.3398058252,6,0.0248392282958199,22.3
"40","ANTRIM COUNTY",2006,"3073","12.7","42612",24196.8503937008,6,0.0247966156849984,22.3
"41","ANTRIM COUNTY",2007,"2880","12","43099",24000,4,0.0166666666666667,22.3
"42","ANTRIM COUNTY",2008,"3080","12.9","42732",23875.9689922481,6,0.0251298701298701,22.3
"43","ANTRIM COUNTY",2009,"3806","16.1","40198",23639.751552795,2,0.00846032580136626,22.3
"44","ANTRIM COUNTY",2010,"3528.00","15.20","42083.00",23210.5263157895,2,0.00861678004535147,22.3
"45","ANTRIM COUNTY",2011,"3830.00","16.60","41679.00",23072.2891566265,1,0.00433420365535248,22.3
"46","ARENAC COUNTY",2003,"2265","13.6","32740.00",16654.4117647059,3,0.0180132450331126,28.9
"47","ARENAC COUNTY",2004,"2473.00","15.00","33930.00",16486.6666666667,9,0.054589567327133,28.9
"48","ARENAC COUNTY",2005,"2859.00","17.60","34179.00",16244.3181818182,2,0.0123119972018188,28.9
"49","ARENAC COUNTY",2006,"2888","17.8","36252",16224.7191011236,9,0.0554709141274238,28.9
"50","ARENAC COUNTY",2007,"2742","17.3","36770",15849.710982659,2,0.012618526622903,28.9
"51","ARENAC COUNTY",2008,"2833","18.2","36418",15565.9340659341,2,0.0128485704200494,28.9
"52","ARENAC COUNTY",2009,"2732","17.7","35164",15435.0282485876,5,0.032393850658858,28.9
"53","ARENAC COUNTY",2010,"2878.00","18.40","34116.00",15641.3043478261,6,0.0383599722029187,28.9
"54","ARENAC COUNTY",2011,"2887.00","18.70","38008.00",15438.5026737968,2,0.0129546241773467,28.9
"55","BARAGA COUNTY",2003,"886","11.1","32163.00",7981.98198198198,3,0.0375846501128668,15.5
"56","BARAGA COUNTY",2004,"1048.00","13.10","33827.00",8000,2,0.025,15.5
"57","BARAGA COUNTY",2005,"1017.00","13.00","37283.00",7823.07692307692,1,0.0127826941986234,15.5
"58","BARAGA COUNTY",2006,"1212","15.3","36984",7921.56862745098,1,0.0126237623762376,15.5
"59","BARAGA COUNTY",2007,"1162","15.4","38949",7545.45454545455,0,0,15.5
"60","BARAGA COUNTY",2008,"1215","16.1","35387",7546.58385093168,0,0,15.5
"61","BARAGA COUNTY",2009,"1189","15.6","37716",7621.79487179487,0,0,15.5
"62","BARAGA COUNTY",2010,"1106.00","14.10","38819.00",7843.97163120567,0,0,15.5
"63","BARAGA COUNTY",2011,"1339.00","17.20","38119.00",7784.88372093023,2,0.0256908140403286,15.5
"64","BARRY COUNTY",2003,"4310","7.3","48362.00",59041.095890411,10,0.0169373549883991,27.1
"65","BARRY COUNTY",2004,"5197.00","8.70","49450.00",59735.632183908,15,0.0251106407542813,27.1
"66","BARRY COUNTY",2005,"5042.00","8.50","48768.00",59317.6470588235,8,0.0134867116223721,27.1
"67","BARRY COUNTY",2006,"4508","7.6","50409",59315.7894736842,13,0.0219165927240461,27.1
"68","BARRY COUNTY",2007,"4919","8.4","51811",58559.5238095238,9,0.0153689774344379,27.1
"69","BARRY COUNTY",2008,"5145","8.8","54177",58465.9090909091,5,0.00855199222546161,27.1
"70","BARRY COUNTY",2009,"6038","10.4","53566",58057.6923076923,9,0.0155018217952965,27.1
"71","BARRY COUNTY",2010,"6434.00","11.00","50062.00",58490.9090909091,9,0.015387006527821,27.1
"72","BARRY COUNTY",2011,"6579.00","11.30","50051.00",58221.2389380531,10,0.0171758625930993,27.1
"73","BAY COUNTY",2003,"11510","10.6","39229.00",108584.905660377,22,0.0202606429192007,20.9
"74","BAY COUNTY",2004,"13246.00","12.20","39954.00",108573.770491803,11,0.01013136041069,20.9
"75","BAY COUNTY",2005,"12021.00","11.20","41390.00",107330.357142857,19,0.0177023542134598,20.9
"76","BAY COUNTY",2006,"14348","13.4","42014",107074.626865672,7,0.00653749651519376,20.9
"77","BAY COUNTY",2007,"12457","11.7","42688",106470.085470085,10,0.00939230954483423,20.9
"78","BAY COUNTY",2008,"13585","12.8","45704",106132.8125,6,0.00565329407434671,20.9
"79","BAY COUNTY",2009,"13465","12.7","43696",106023.622047244,10,0.00943186037875975,20.9
"80","BAY COUNTY",2010,"16923.00","15.90","43845.00",106433.962264151,12,0.0112745967027123,20.9
"81","BAY COUNTY",2011,"14279.00","13.50","43068.00",105770.37037037,15,0.0141816653827299,20.9
"82","BENZIE COUNTY",2003,"1354","7.8","39565.00",17358.9743589744,2,0.0115214180206795,23.1
"83","BENZIE COUNTY",2004,"1581.00","9.00","41037.00",17566.6666666667,3,0.0170777988614801,23.1
"84","BENZIE COUNTY",2005,"1450.00","8.40","41877.00",17261.9047619048,3,0.0173793103448276,23.1
"85","BENZIE COUNTY",2006,"1741","10","41274",17410,2,0.0114876507754164,23.1
"86","BENZIE COUNTY",2007,"1685","9.7","41198",17371.1340206186,3,0.0172700296735905,23.1
"87","BENZIE COUNTY",2008,"1773","10.3","45309",17213.5922330097,6,0.0348561759729272,23.1
"88","BENZIE COUNTY",2009,"2256","13.3","45587",16962.4060150376,1,0.00589539007092199,23.1
"89","BENZIE COUNTY",2010,"2171.00","12.60","43136.00",17230.1587301587,2,0.0116075541225242,23.1
"90","BENZIE COUNTY",2011,"2094.00","12.20","45998.00",17163.9344262295,1,0.0058261700095511,23.1
"91","BERRIEN COUNTY",2003,"19785","12.3","38512.00",160853.658536585,25,0.0155420773313116,19.1
