"","County","Year","Poverty Count","Poverty Percent","Median Income","Population","Fatalities Count","Fatalities Percent","Commute"
"1","ADAIR COUNTY",2003,"3523","15.9","28651.00",22157.2327044025,1,0.00451319897814363,13.9
"2","ADAIR COUNTY",2004,"4004.00","18.20","28630.00",22000,4,0.0181818181818182,13.9
"3","ADAIR COUNTY",2005,"5281.00","24.40","30022.00",21643.4426229508,2,0.00924067411475099,13.9
"4","ADAIR COUNTY",2006,"4882","22.5","29942",21697.7777777778,1,0.00460876689881196,13.9
"5","ADAIR COUNTY",2007,"5382","24.6","31676",21878.0487804878,1,0.00457079152731327,13.9
"6","ADAIR COUNTY",2008,"6057","27.3","33471",22186.8131868132,4,0.0180287270926201,13.9
"7","ADAIR COUNTY",2009,"5240","23.4","31531",22393.1623931624,3,0.0133969465648855,13.9
"8","ADAIR COUNTY",2010,"5031.00","22.20","32015.00",22662.1621621622,6,0.0264758497316637,13.9
"9","ADAIR COUNTY",2011,"5697.00","25.10","33639.00",22697.2111553785,2,0.00881165525715289,13.9
"10","ANDREW COUNTY",2003,"1382","8.3","43337.00",16650.6024096386,3,0.0180173661360347,22.6
"11","ANDREW COUNTY",2004,"1522.00","9.10","44625.00",16725.2747252747,10,0.0597897503285151,22.6
"12","ANDREW COUNTY",2005,"1562.00","9.40","46351.00",16617.0212765957,1,0.0060179257362356,22.6
"13","ANDREW COUNTY",2006,"1613","9.6","47497",16802.0833333333,6,0.0357098574085555,22.6
"14","ANDREW COUNTY",2007,"1390","8.4","48354",16547.619047619,3,0.0181294964028777,22.6
"15","ANDREW COUNTY",2008,"1564","9.4","54491",16638.2978723404,5,0.0300511508951407,22.6
"16","ANDREW COUNTY",2009,"1478","8.8","52715",16795.4545454545,2,0.0119079837618403,22.6
"17","ANDREW COUNTY",2010,"1727.00","10.10","53150.00",17099.0099009901,7,0.0409380428488709,22.6
"18","ANDREW COUNTY",2011,"1599.00","9.40","54994.00",17010.6382978723,3,0.0176360225140713,22.6
"19","ATCHISON COUNTY",2003,"668","11.1","33091.00",6018.01801801802,1,0.0166167664670659,19.2
"20","ATCHISON COUNTY",2004,"727.00","12.10","34820.00",6008.26446280992,4,0.0665749656121045,19.2
"21","ATCHISON COUNTY",2005,"838.00","14.10","36183.00",5943.26241134752,2,0.0336515513126492,19.2
"22","ATCHISON COUNTY",2006,"810","13.9","35930",5827.3381294964,1,0.0171604938271605,19.2
"23","ATCHISON COUNTY",2007,"814","14","38114",5814.28571428571,2,0.0343980343980344,19.2
"24","ATCHISON COUNTY",2008,"791","13.8","40895",5731.88405797101,1,0.0174462705436157,19.2
"25","ATCHISON COUNTY",2009,"724","12.6","41035",5746.03174603175,0,0,19.2
"26","ATCHISON COUNTY",2010,"646.00","11.60","43587.00",5568.96551724138,0,0,19.2
"27","ATCHISON COUNTY",2011,"682.00","12.50","43322.00",5456,1,0.0183284457478006,19.2
"28","AUDRAIN COUNTY",2003,"3210","13.6","32681.00",23602.9411764706,12,0.0508411214953271,19.5
"29","AUDRAIN COUNTY",2004,"3586.00","15.10","33712.00",23748.3443708609,3,0.0126324595649749,19.5
"30","AUDRAIN COUNTY",2005,"3703.00","15.80","35514.00",23436.7088607595,13,0.0554685390224143,19.5
"31","AUDRAIN COUNTY",2006,"3565","15.2","34999",23453.9473684211,1,0.00426367461430575,19.5
"32","AUDRAIN COUNTY",2007,"4458","19.1","37945",23340.3141361257,0,0,19.5
"33","AUDRAIN COUNTY",2008,"4047","17.2","38944",23529.0697674419,7,0.0297504324190759,19.5
"34","AUDRAIN COUNTY",2009,"4176","18.1","38379",23071.8232044199,3,0.0130028735632184,19.5
"35","AUDRAIN COUNTY",2010,"4331.00","18.40","40899.00",23538.0434782609,7,0.0297390902793812,19.5
"36","AUDRAIN COUNTY",2011,"4081.00","17.30","39554.00",23589.5953757225,1,0.00423915706934575,19.5
"37","BARRY COUNTY",2003,"5228","14.9","30767.00",35087.2483221477,22,0.0627008416220352,22.2
"38","BARRY COUNTY",2004,"5884.00","16.60","31078.00",35445.7831325301,19,0.0536029911624745,22.2
"39","BARRY COUNTY",2005,"6563.00","18.70","32479.00",35096.256684492,18,0.0512875209507847,22.2
"40","BARRY COUNTY",2006,"6923","19.3","33386",35870.4663212435,19,0.0529683663151813,22.2
"41","BARRY COUNTY",2007,"6182","17.3","34749",35734.1040462428,7,0.0195891297314785,22.2
"42","BARRY COUNTY",2008,"6051","16.9","38692",35804.7337278107,16,0.044686828623368,22.2
