"","County","Year","Poverty Count","Poverty Percent","Median Income","Population","Fatalities Count","Fatalities Percent","Commute"
"1","BEAVERHEAD COUNTY",2003,"1316","15.7","31605.00",8382.16560509554,4,0.0477203647416413,13.7
"2","BEAVERHEAD COUNTY",2004,"1218.00","14.60","33153.00",8342.46575342466,5,0.0599343185550082,13.7
"3","BEAVERHEAD COUNTY",2005,"1325.00","16.10","33404.00",8229.81366459627,4,0.0486037735849057,13.7
"4","BEAVERHEAD COUNTY",2006,"1399","16.9","34087",8278.10650887574,3,0.0362401715511079,13.7
"5","BEAVERHEAD COUNTY",2007,"1363","16.4","38427",8310.9756097561,1,0.0120322817314747,13.7
"6","BEAVERHEAD COUNTY",2008,"1322","15.7","39284",8420.3821656051,8,0.0950075642965204,13.7
"7","BEAVERHEAD COUNTY",2009,"1370","16.2","37304",8456.79012345679,6,0.070948905109489,13.7
"8","BEAVERHEAD COUNTY",2010,"1591.00","18.10","35952.00",8790.05524861878,6,0.0682589566310497,13.7
"9","BEAVERHEAD COUNTY",2011,"1507.00","17.20","38632.00",8761.62790697674,3,0.0342402123424021,13.7
"10","BIG HORN COUNTY",2003,"3090","24","27719.00",12875,10,0.0776699029126214,19
"11","BIG HORN COUNTY",2004,"3013.00","23.10","29593.00",13043.29004329,8,0.0613342183869897,19
"12","BIG HORN COUNTY",2005,"3445.00","26.80","30680.00",12854.4776119403,11,0.0855732946298984,19
"13","BIG HORN COUNTY",2006,"3489","27.2","31705",12827.2058823529,11,0.0857552307251361,19
"14","BIG HORN COUNTY",2007,"3329","26.4","33004",12609.8484848485,11,0.0872334034244518,19
"15","BIG HORN COUNTY",2008,"3093","24.5","37798",12624.4897959184,12,0.0950533462657614,19
"16","BIG HORN COUNTY",2009,"3064","24","32223",12766.6666666667,9,0.0704960835509138,19
"17","BIG HORN COUNTY",2010,"3299.00","25.90","34507.00",12737.4517374517,13,0.102061230675962,19
"18","BIG HORN COUNTY",2011,"3709.00","28.60","34778.00",12968.5314685315,7,0.0539768131571852,19
"19","BLAINE COUNTY",2003,"1483","22.3","25373.00",6650.22421524664,5,0.0751854349291976,13.3
"20","BLAINE COUNTY",2004,"1423.00","21.50","27862.00",6618.60465116279,3,0.0453267744202389,13.3
"21","BLAINE COUNTY",2005,"1714.00","26.20","28486.00",6541.98473282443,3,0.0458576429404901,13.3
"22","BLAINE COUNTY",2006,"1701","25.9","30543",6567.56756756757,2,0.0304526748971193,13.3
"23","BLAINE COUNTY",2007,"1564","24.1","32331",6489.6265560166,4,0.0616368286445013,13.3
"24","BLAINE COUNTY",2008,"1545","24","32605",6437.5,4,0.0621359223300971,13.3
"25","BLAINE COUNTY",2009,"1768","27.6","31541",6405.79710144928,2,0.0312217194570136,13.3
