"","County","Year","Poverty Count","Poverty Percent","Median Income","Population","Fatalities Count","Fatalities Percent","Commute"
"1","ADAMS COUNTY",2003,"2973","10","38341.00",29730,1,0.00336360578540195,14.4
"2","ADAMS COUNTY",2004,"3197.00","10.10","38732.00",31653.4653465347,4,0.0126368470441038,14.4
"3","ADAMS COUNTY",2005,"3804.00","12.20","39239.00",31180.3278688525,9,0.0288643533123028,14.4
"4","ADAMS COUNTY",2006,"3813","12.1","40489",31512.3966942149,8,0.0253868345135064,14.4
"5","ADAMS COUNTY",2007,"3646","11.6","41503",31431.0344827586,5,0.015907844212836,14.4
"6","ADAMS COUNTY",2008,"3254","10.3","47106",31592.2330097087,1,0.00316533497234173,14.4
"7","ADAMS COUNTY",2009,"4195","13.2","45244",31780.303030303,4,0.0125864123957092,14.4
"8","ADAMS COUNTY",2010,"3739.00","12.50","45149.00",29912,4,0.0133725595078898,14.4
"9","ADAMS COUNTY",2011,"4078.00","13.70","46321.00",29766.4233576642,4,0.0134379597842079,14.4
"10","ANTELOPE COUNTY",2003,"833","11.8","33260.00",7059.3220338983,8,0.113325330132053,17.8
"11","ANTELOPE COUNTY",2004,"783.00","11.30","34933.00",6929.20353982301,3,0.0432950191570881,17.8
"12","ANTELOPE COUNTY",2005,"874.00","12.70","33800.00",6881.88976377953,0,0,17.8
"13","ANTELOPE COUNTY",2006,"865","12.7","33892",6811.02362204724,0,0,17.8
"14","ANTELOPE COUNTY",2007,"938","14.1","36761",6652.48226950355,3,0.0450959488272921,17.8
"15","ANTELOPE COUNTY",2008,"906","13.8","37307",6565.21739130435,2,0.0304635761589404,17.8
"16","ANTELOPE COUNTY",2009,"981","15","37213",6540,1,0.0152905198776758,17.8
"17","ANTELOPE COUNTY",2010,"903.00","13.70","40652.00",6591.24087591241,0,0,17.8
"18","ANTELOPE COUNTY",2011,"923.00","14.10","44394.00",6546.09929078014,0,0,17.8
"19","ARTHUR COUNTY",2003,"40","10","30848.00",400,0,0,22.3
"20","ARTHUR COUNTY",2004,"36.00","9.40","33816.00",382.978723404255,1,0.261111111111111,22.3
"21","ARTHUR COUNTY",2005,"45.00","12.00","33691.00",375,1,0.266666666666667,22.3
"22","ARTHUR COUNTY",2006,"51","13.8","32986",369.565217391304,0,0,22.3
"23","ARTHUR COUNTY",2007,"40","11.3","34241",353.982300884956,1,0.2825,22.3
