"","County","Year","Poverty Count","Poverty Percent","Median Income","Population","Fatalities Count","Fatalities Percent","Commute"
"1","BERNALILLO COUNTY",2003,"86837","14.8","41115.00",586736.486486487,61,0.0103964899754713,21.9
"2","BERNALILLO COUNTY",2004,"84378.00","14.10","43047.00",598425.531914894,79,0.0132013083979236,21.9
"3","BERNALILLO COUNTY",2005,"81184.00","13.80","42584.00",588289.855072464,82,0.0139387071344107,21.9
"4","BERNALILLO COUNTY",2006,"90563","15","43865",603753.333333333,73,0.0120910305533165,21.9
"5","BERNALILLO COUNTY",2007,"92450","14.9","45147",620469.798657718,67,0.0107982693347756,21.9
"6","BERNALILLO COUNTY",2008,"89607","14.3","46988",626622.377622378,57,0.00909638755900767,21.9
"7","BERNALILLO COUNTY",2009,"98582","15.6","45550",631935.897435897,58,0.00917814611186626,21.9
"8","BERNALILLO COUNTY",2010,"107186.00","16.40","47405.00",653573.170731707,49,0.00749724777489597,21.9
"9","BERNALILLO COUNTY",2011,"129882.00","19.70","44224.00",659299.492385787,46,0.00697710229285043,21.9
"10","CATRON COUNTY",2003,"654","19.1","24267.00",3424.08376963351,4,0.116819571865443,27.9
"11","CATRON COUNTY",2004,"613.00","18.00","24913.00",3405.55555555556,1,0.0293637846655791,27.9
"12","CATRON COUNTY",2005,"760.00","22.50","25917.00",3377.77777777778,2,0.0592105263157895,27.9
"13","CATRON COUNTY",2006,"694","20.1","27481",3452.73631840796,2,0.0579250720461095,27.9
"14","CATRON COUNTY",2007,"708","20.8","29559",3403.84615384615,1,0.0293785310734463,27.9
"15","CATRON COUNTY",2008,"700","20.7","29127",3381.64251207729,0,0,27.9
"16","CATRON COUNTY",2009,"753","22","29853",3422.72727272727,2,0.0584329349269588,27.9
"17","CATRON COUNTY",2010,"854.00","23.10","28427.00",3696.9696969697,1,0.0270491803278689,27.9
"18","CATRON COUNTY",2011,"813.00","21.90","37277.00",3712.32876712329,1,0.0269372693726937,27.9
"19","CHAVES COUNTY",2003,"12737","21.2","28708.00",60080.1886792453,5,0.00832221088168328,16.5
"20","CHAVES COUNTY",2004,"12062.00","20.00","29779.00",60310,13,0.0215552976289173,16.5
"21","CHAVES COUNTY",2005,"13191.00","22.10","32124.00",59687.7828054299,10,0.0167538473201425,16.5
"22","CHAVES COUNTY",2006,"13715","22.7","35235",60418.5022026432,20,0.0331024425811156,16.5
"23","CHAVES COUNTY",2007,"12387","20.5","35221",60424.3902439024,9,0.0148946476144345,16.5
"24","CHAVES COUNTY",2008,"12926","21.2","34634",60971.6981132076,11,0.0180411573572644,16.5
"25","CHAVES COUNTY",2009,"12786","20.8","34803",61471.1538461538,15,0.0244016893477241,16.5
"26","CHAVES COUNTY",2010,"14625.00","22.80","34681.00",64144.7368421053,15,0.0233846153846154,16.5
"27","CHAVES COUNTY",2011,"14287.00","22.30","35894.00",64067.264573991,13,0.0202911737943585,16.5
"28","CIBOLA COUNTY",2003,"5496","21.4","28592.00",25682.2429906542,14,0.0545123726346434,26
"29","CIBOLA COUNTY",2004,"5368.00","20.80","29888.00",25807.6923076923,14,0.05424739195231,26
"30","CIBOLA COUNTY",2005,"6139.00","24.00","31670.00",25579.1666666667,17,0.0664603355595374,26
"31","CIBOLA COUNTY",2006,"6491","25.4","34112",25555.1181102362,11,0.0430442150670159,26
"32","CIBOLA COUNTY",2007,"6215","24.5","32664",25367.3469387755,13,0.0512469831053902,26
"33","CIBOLA COUNTY",2008,"6151","24.2","34699",25417.3553719008,7,0.0275402373597789,26
"34","CIBOLA COUNTY",2009,"6491","25.8","32954",25158.9147286822,8,0.031797873979356,26
"35","CIBOLA COUNTY",2010,"6843.00","27.60","33782.00",24793.4782608696,10,0.0403331871985971,26
"36","CIBOLA COUNTY",2011,"7530.00","29.90","33345.00",25183.9464882943,13,0.0516201859229748,26
"37","COLFAX COUNTY",2003,"2115","15.6","31644.00",13557.6923076923,17,0.125390070921986,16.3
"38","COLFAX COUNTY",2004,"1940.00","14.40","32336.00",13472.2222222222,6,0.0445360824742268,16.3
"39","COLFAX COUNTY",2005,"2258.00","16.90","33791.00",13360.9467455621,8,0.0598759964570416,16.3
"40","COLFAX COUNTY",2006,"2314","17.6","34432",13147.7272727273,6,0.0456352636127917,16.3
"41","COLFAX COUNTY",2007,"2199","17.1","35852",12859.649122807,5,0.038881309686221,16.3
"42","COLFAX COUNTY",2008,"2097","16.6","36755",12632.5301204819,4,0.0316642823080591,16.3
"43","COLFAX COUNTY",2009,"2148","17.3","38856",12416.1849710983,4,0.0322160148975791,16.3
"44","COLFAX COUNTY",2010,"2383.00","17.90","36468.00",13312.8491620112,5,0.0375577003776752,16.3
"45","COLFAX COUNTY",2011,"2580.00","19.50","33988.00",13230.7692307692,5,0.0377906976744186,16.3
"46","CURRY COUNTY",2003,"8340","18.7","30823.00",44598.9304812834,8,0.0179376498800959,15.3
"47","CURRY COUNTY",2004,"7744.00","17.30","31824.00",44763.0057803468,4,0.00893595041322314,15.3
"48","CURRY COUNTY",2005,"8666.00","19.50","33548.00",44441.0256410256,13,0.0292522501730902,15.3
"49","CURRY COUNTY",2006,"9067","20.4","33160",44446.0784313726,13,0.0292489246718871,15.3
"50","CURRY COUNTY",2007,"8146","18.5","35243",44032.4324324324,7,0.0158973729437761,15.3
"51","CURRY COUNTY",2008,"7682","17.9","39401",42916.2011173184,6,0.0139807341838063,15.3
"52","CURRY COUNTY",2009,"7791","17.9","37196",43525.1396648045,3,0.00689256834809395,15.3
"53","CURRY COUNTY",2010,"9491.00","19.80","36085.00",47934.3434343434,6,0.0125171214835107,15.3
"54","CURRY COUNTY",2011,"8972.00","18.50","38423.00",48497.2972972973,13,0.0268056174765938,15.3
"55","DONA ANA COUNTY",2003,"44388","24.5","30189.00",181175.510204082,29,0.0160065783545102,18.9
"56","DONA ANA COUNTY",2004,"42588.00","23.00","30740.00",185165.217391304,44,0.0237625622241007,18.9
"57","DONA ANA COUNTY",2005,"49095.00","26.80","30482.00",183190.298507463,22,0.0120093695895712,18.9
"58","DONA ANA COUNTY",2006,"44717","23.8","33878",187886.554621849,34,0.0180960261198202,18.9
"59","DONA ANA COUNTY",2007,"46007","23.9","35267",192497.907949791,25,0.0129871541287195,18.9
"60","DONA ANA COUNTY",2008,"45531","23.3","36361",195412.017167382,12,0.00614087105488568,18.9
"61","DONA ANA COUNTY",2009,"49686","24.8","35541",200346.774193548,29,0.0144749023869903,18.9
"62","DONA ANA COUNTY",2010,"52262.00","25.40","35584.00",205755.905511811,27,0.0131223451073438,18.9
"63","DONA ANA COUNTY",2011,"61023.00","29.20","36136.00",208982.876712329,17,0.00813463775953329,18.9
"64","EDDY COUNTY",2003,"8937","17.5","34712.00",51068.5714285714,17,0.0332885755846481,17.4
"65","EDDY COUNTY",2004,"8368.00","16.40","36329.00",51024.3902439024,10,0.0195984703632887,17.4
"66","EDDY COUNTY",2005,"9814.00","19.50","37001.00",50328.2051282051,10,0.019869574077848,17.4
"67","EDDY COUNTY",2006,"8575","16.8","39754",51041.6666666667,14,0.0274285714285714,17.4
"68","EDDY COUNTY",2007,"8061","16.1","42169",50068.3229813665,9,0.0179754372906587,17.4
"69","EDDY COUNTY",2008,"7744","15.3","43784",50614.3790849673,15,0.029635847107438,17.4
"70","EDDY COUNTY",2009,"7066","13.6","47117",51955.8823529412,15,0.0288706481743561,17.4
"71","EDDY COUNTY",2010,"8820.00","16.60","43240.00",53132.5301204819,15,0.0282312925170068,17.4
