"","County","Year","Poverty Count","Poverty Percent","Median Income","Population","Fatalities Count","Fatalities Percent","Commute"
"1","BRISTOL COUNTY",2003,"3459","7","52614.00",49414.2857142857,6,0.0121422376409367,25.3
"2","BRISTOL COUNTY",2004,"3526.00","7.20","54877.00",48972.2222222222,1,0.00204197390811117,25.3
"3","BRISTOL COUNTY",2005,"3117.00","6.50","60329.00",47953.8461538462,3,0.00625601539942252,25.3
"4","BRISTOL COUNTY",2006,"3165","6.6","62136",47954.5454545455,2,0.00417061611374408,25.3
"5","BRISTOL COUNTY",2007,"3154","6.7","62575",47074.6268656716,5,0.0106214331008244,25.3
"6","BRISTOL COUNTY",2008,"4061","8.6","67704",47220.9302325581,1,0.00211770499876878,25.3
"7","BRISTOL COUNTY",2009,"3252","6.9","66202",47130.4347826087,3,0.00636531365313653,25.3
"8","BRISTOL COUNTY",2010,"3812.00","8.20","60631.00",46487.8048780488,3,0.00645330535152151,25.3
"9","BRISTOL COUNTY",2011,"4046.00","8.70","68483.00",46505.7471264368,0,0,25.3
"10","KENT COUNTY",2003,"11642","6.7","51134.00",173761.194029851,21,0.0120855523105996,23.8
"11","KENT COUNTY",2004,"12323.00","7.10","53227.00",173563.38028169,15,0.00864237604479429,23.8
"12","KENT COUNTY",2005,"11574.00","6.80","56234.00",170205.882352941,7,0.00411266632106445,23.8
"13","KENT COUNTY",2006,"12595","7.5","58261",167933.333333333,10,0.00595474394601032,23.8
"14","KENT COUNTY",2007,"10928","6.6","57986",165575.757575758,10,0.00603953147877013,23.8
"15","KENT COUNTY",2008,"13464","8.1","63309",166222.222222222,12,0.0072192513368984,23.8
"16","KENT COUNTY",2009,"13908","8.3","58364",167566.265060241,8,0.00477423065861375,23.8
"17","KENT COUNTY",2010,"16716.00","10.20","54665.00",163882.352941176,8,0.00488155061019383,23.8
"18","KENT COUNTY",2011,"15481.00","9.50","59880.00",162957.894736842,13,0.0079775208319876,23.8
"19","NEWPORT COUNTY",2003,"6670","7.9","51470.00",84430.3797468354,10,0.0118440779610195,20.5
"20","NEWPORT COUNTY",2004,"6401.00","7.70","54135.00",83129.8701298701,6,0.00721762224652398,20.5
"21","NEWPORT COUNTY",2005,"5750.00","7.10","56937.00",80985.9154929577,9,0.0111130434782609,20.5
"22","NEWPORT COUNTY",2006,"5780","7.2","58748",80277.7777777778,8,0.00996539792387543,20.5
"23","NEWPORT COUNTY",2007,"6534","8.3","62046",78722.8915662651,6,0.00762167125803489,20.5
"24","NEWPORT COUNTY",2008,"6945","8.9","65792",78033.7078651685,4,0.00512598992080634,20.5
"25","NEWPORT COUNTY",2009,"6577","8.4","63219",78297.619047619,9,0.0114946024023111,20.5
"26","NEWPORT COUNTY",2010,"6804.00","8.60","67431.00",79116.2790697674,1,0.00126396237507349,20.5
"27","NEWPORT COUNTY",2011,"7948.00","10.00","65755.00",79480,5,0.00629089079013588,20.5
"28","PROVIDENCE COUNTY",2003,"90019","14.4","38728.00",625131.944444444,47,0.00751841277952432,22.5
"29","PROVIDENCE COUNTY",2004,"92098.00","14.80","40284.00",622283.783783784,49,0.00787422093856544,22.5
"30","PROVIDENCE COUNTY",2005,"93899.00","15.40","44230.00",609733.766233766,53,0.00869231834204837,22.5
"31","PROVIDENCE COUNTY",2006,"86752","14.3","45717",606657.342657343,51,0.00840672261158244,22.5
"32","PROVIDENCE COUNTY",2007,"92940","15.4","47337",603506.493506494,40,0.00662793199913923,22.5
"33","PROVIDENCE COUNTY",2008,"87789","14.6","46997",601294.520547945,37,0.00615339051589607,22.5
"34","PROVIDENCE COUNTY",2009,"89058","14.8","47432",601743.243243243,46,0.0076444564216578,22.5
"35","PROVIDENCE COUNTY",2010,"105124.00","17.50","45572.00",600708.571428571,44,0.00732468323123169,22.5
"36","PROVIDENCE COUNTY",2011,"109466.00","18.30","46385.00",598174.863387978,35,0.0058511318582939,22.5
"37","WASHINGTON COUNTY",2003,"7693","6.1","57276.00",126114.754098361,20,0.0158585727284544,24.2
"38","WASHINGTON COUNTY",2004,"8172.00","6.50","59494.00",125723.076923077,12,0.00954478707782672,24.2
"39","WASHINGTON COUNTY",2005,"8140.00","6.60","61723.00",123333.333333333,15,0.0121621621621622,24.2
"40","WASHINGTON COUNTY",2006,"9293","7.6","64864",122276.315789474,10,0.00817819864414075,24.2
"41","WASHINGTON COUNTY",2007,"7616","6.3","66583",120888.888888889,8,0.00661764705882353,24.2
"42","WASHINGTON COUNTY",2008,"9914","8.2","71056",120902.43902439,11,0.00909824490619326,24.2
"43","WASHINGTON COUNTY",2009,"9585","7.9","66705",121329.113924051,17,0.0140114762649974,24.2
"44","WASHINGTON COUNTY",2010,"10676.00","8.80","67195.00",121318.181818182,11,0.00906706631697265,24.2
"45","WASHINGTON COUNTY",2011,"11139.00","9.30","68539.00",119774.193548387,13,0.0108537570697549,24.2
