"","County","Year","Poverty Count","Poverty Percent","Median Income","Population","Fatalities Count","Fatalities Percent","Commute"
"1","AURORA COUNTY",2003,"321","11.6","33642.00",2767.24137931035,3,0.108411214953271,18.3
"2","AURORA COUNTY",2004,"309.00","11.30","34566.00",2734.51327433628,3,0.109708737864078,18.3
"3","AURORA COUNTY",2005,"306.00","11.30","35953.00",2707.96460176991,1,0.0369281045751634,18.3
"4","AURORA COUNTY",2006,"320","11.8","36422",2711.86440677966,0,0,18.3
"5","AURORA COUNTY",2007,"280","10.5","37680",2666.66666666667,1,0.0375,18.3
"6","AURORA COUNTY",2008,"316","11.8","40874",2677.96610169491,0,0,18.3
"7","AURORA COUNTY",2009,"348","13","40900",2676.92307692308,1,0.0373563218390805,18.3
"8","AURORA COUNTY",2010,"307.00","11.70","43934.00",2623.93162393162,1,0.0381107491856678,18.3
"9","AURORA COUNTY",2011,"318.00","12.20","45615.00",2606.55737704918,0,0,18.3
"10","BEADLE COUNTY",2003,"1885","11.9","33768.00",15840.3361344538,1,0.00631299734748011,12.4
"11","BEADLE COUNTY",2004,"1938.00","12.30","34431.00",15756.0975609756,2,0.0126934984520124,12.4
"12","BEADLE COUNTY",2005,"1858.00","12.10","35286.00",15355.3719008264,3,0.0195371367061356,12.4
"13","BEADLE COUNTY",2006,"1986","13","37761",15276.9230769231,2,0.013091641490433,12.4
"14","BEADLE COUNTY",2007,"1954","12.8","37632",15265.625,0,0,12.4
"15","BEADLE COUNTY",2008,"1700","11","40991",15454.5454545455,4,0.0258823529411765,12.4
"16","BEADLE COUNTY",2009,"2138","13.5","42348",15837.037037037,4,0.0252572497661366,12.4
"17","BEADLE COUNTY",2010,"2487.00","14.60","39504.00",17034.2465753425,0,0,12.4
"18","BEADLE COUNTY",2011,"2462.00","14.40","43803.00",17097.2222222222,2,0.011697806661251,12.4
"19","BENNETT COUNTY",2003,"962","27.6","25909.00",3485.50724637681,4,0.114760914760915,22
"20","BENNETT COUNTY",2004,"1041.00","29.30","25755.00",3552.90102389078,9,0.253314121037464,22
"21","BENNETT COUNTY",2005,"1200.00","34.20","30823.00",3508.77192982456,0,0,22
"22","BENNETT COUNTY",2006,"1226","35.3","30585",3473.08781869688,0,0,22
"23","BENNETT COUNTY",2007,"1171","34.6","30635",3384.39306358382,2,0.0590947907771136,22
"24","BENNETT COUNTY",2008,"1124","33.8","30560",3325.44378698225,1,0.0300711743772242,22
"25","BENNETT COUNTY",2009,"1242","37.8","32137",3285.71428571429,0,0,22
"26","BENNETT COUNTY",2010,"1164.00","34.20","31183.00",3403.50877192982,2,0.0587628865979381,22
"27","BENNETT COUNTY",2011,"1261.00","37.00","31712.00",3408.10810810811,0,0,22
"28","BON HOMME COUNTY",2003,"782","12.9","32599.00",6062.01550387597,1,0.0164961636828645,17.8
"29","BON HOMME COUNTY",2004,"823.00","13.70","33466.00",6007.29927007299,4,0.0665856622114216,17.8
"30","BON HOMME COUNTY",2005,"833.00","14.10","34058.00",5907.80141843972,1,0.0169267707082833,17.8
"31","BON HOMME COUNTY",2006,"872","14.8","35158",5891.89189189189,2,0.0339449541284404,17.8
"32","BON HOMME COUNTY",2007,"816","14.2","37978",5746.47887323944,1,0.0174019607843137,17.8
"33","BON HOMME COUNTY",2008,"805","14.2","40010",5669.01408450704,0,0,17.8
"34","BON HOMME COUNTY",2009,"864","15.5","39485",5574.1935483871,1,0.0179398148148148,17.8
"35","BON HOMME COUNTY",2010,"967.00","17.20","41580.00",5622.09302325581,1,0.0177869700103413,17.8
"36","BON HOMME COUNTY",2011,"917.00","16.60","41711.00",5524.09638554217,0,0,17.8
"37","BROOKINGS COUNTY",2003,"3135","12.4","37987.00",25282.2580645161,3,0.011866028708134,13.5
"38","BROOKINGS COUNTY",2004,"3243.00","12.90","39278.00",25139.5348837209,3,0.0119333950046253,13.5
"39","BROOKINGS COUNTY",2005,"3899.00","15.80","37731.00",24677.2151898734,3,0.0121569633239292,13.5
"40","BROOKINGS COUNTY",2006,"3370","13.5","41251",24962.962962963,10,0.0400593471810089,13.5
"41","BROOKINGS COUNTY",2007,"3751","14.4","45120",26048.6111111111,4,0.0153559050919755,13.5
"42","BROOKINGS COUNTY",2008,"3295","12.5","48270",26360,3,0.0113808801213961,13.5
"43","BROOKINGS COUNTY",2009,"3942","14.7","46733",26816.3265306122,2,0.00745814307458143,13.5
"44","BROOKINGS COUNTY",2010,"4917.00","17.20","48290.00",28587.2093023256,4,0.0139922717103925,13.5
"45","BROOKINGS COUNTY",2011,"4359.00","15.10","48233.00",28867.5496688742,5,0.0173204863500803,13.5
"46","BROWN COUNTY",2003,"3432","10.1","39980.00",33980.198019802,4,0.0117715617715618,12.8
"47","BROWN COUNTY",2004,"3566.00","10.50","40974.00",33961.9047619048,3,0.0088334268087493,12.8
"48","BROWN COUNTY",2005,"3853.00","11.60","39385.00",33215.5172413793,5,0.0150532052945757,12.8
"49","BROWN COUNTY",2006,"3382","10.1","43544",33485.1485148515,5,0.0149319929036073,12.8
"50","BROWN COUNTY",2007,"3652","10.8","43777",33814.8148148148,0,0,12.8
"51","BROWN COUNTY",2008,"3881","11.4","43140",34043.8596491228,2,0.00587477454264365,12.8
"52","BROWN COUNTY",2009,"3455","10.2","47378",33872.5490196078,2,0.00590448625180897,12.8
"53","BROWN COUNTY",2010,"3641.00","10.30","47803.00",35349.5145631068,1,0.00282889316121945,12.8
"54","BROWN COUNTY",2011,"3545.00","10.00","50115.00",35450,1,0.00282087447108604,12.8
"55","BRULE COUNTY",2003,"573","11.5","32936.00",4982.60869565217,2,0.0401396160558464,13.4
"56","BRULE COUNTY",2004,"657.00","13.20","33004.00",4977.27272727273,3,0.0602739726027397,13.4
"57","BRULE COUNTY",2005,"593.00","12.40","35412.00",4782.25806451613,1,0.0209106239460371,13.4
"58","BRULE COUNTY",2006,"795","16.1","37348",4937.88819875776,2,0.0405031446540881,13.4
"59","BRULE COUNTY",2007,"629","12.6","38576",4992.06349206349,0,0,13.4
"60","BRULE COUNTY",2008,"648","12.9","43627",5023.25581395349,1,0.0199074074074074,13.4
"61","BRULE COUNTY",2009,"739","14.6","40113",5061.64383561644,1,0.0197564276048714,13.4
"62","BRULE COUNTY",2010,"734.00","14.20","42604.00",5169.01408450704,1,0.0193460490463215,13.4
"63","BRULE COUNTY",2011,"673.00","13.00","45265.00",5176.92307692308,3,0.0579494799405646,13.4
"64","BUFFALO COUNTY",2003,"629","30.2","17136.00",2082.78145695364,1,0.0480127186009539,12.3
"65","BUFFALO COUNTY",2004,"665.00","31.60","17787.00",2104.43037974684,0,0,12.3
"66","BUFFALO COUNTY",2005,"810.00","39.30","16868.00",2061.06870229008,0,0,12.3
"67","BUFFALO COUNTY",2006,"895","42.8","16986",2091.1214953271,0,0,12.3
"68","BUFFALO COUNTY",2007,"1055","50.3","17488",2097.41550695825,4,0.190710900473934,12.3
"69","BUFFALO COUNTY",2008,"801","37.7","19182",2124.66843501326,0,0,12.3
"70","BUFFALO COUNTY",2009,"893","43.6","18860",2048.16513761468,0,0,12.3
"71","BUFFALO COUNTY",2010,"752.00","39.00","20577.00",1928.20512820513,0,0,12.3
"72","BUFFALO COUNTY",2011,"776.00","39.30","21269.00",1974.55470737913,0,0,12.3
"73","BUTTE COUNTY",2003,"1273","13.8","32574.00",9224.63768115942,1,0.010840534171249,21.3
"74","BUTTE COUNTY",2004,"1227.00","13.20","33286.00",9295.45454545455,1,0.0107579462102689,21.3
"75","BUTTE COUNTY",2005,"1230.00","13.40","34163.00",9179.10447761194,2,0.0217886178861789,21.3
"76","BUTTE COUNTY",2006,"1236","13.4","34183",9223.88059701493,2,0.0216828478964401,21.3
"77","BUTTE COUNTY",2007,"1316","14","38513",9400,0,0,21.3
"78","BUTTE COUNTY",2008,"1375","14.5","39348",9482.75862068966,5,0.0527272727272727,21.3
"79","BUTTE COUNTY",2009,"1343","14.2","38015",9457.74647887324,3,0.0317200297840655,21.3
"80","BUTTE COUNTY",2010,"1531.00","15.30","38767.00",10006.5359477124,1,0.00999346832135859,21.3
"81","BUTTE COUNTY",2011,"1600.00","15.80","39615.00",10126.582278481,0,0,21.3
"82","CAMPBELL COUNTY",2003,"174","10.7","30326.00",1626.16822429907,1,0.0614942528735632,17.5
"83","CAMPBELL COUNTY",2004,"174.00","11.00","30882.00",1581.81818181818,1,0.0632183908045977,17.5
"84","CAMPBELL COUNTY",2005,"188.00","12.10","31652.00",1553.71900826446,0,0,17.5
"85","CAMPBELL COUNTY",2006,"185","12.4","32797",1491.93548387097,1,0.067027027027027,17.5
"86","CAMPBELL COUNTY",2007,"159","11.4","34594",1394.73684210526,0,0,17.5
"87","CAMPBELL COUNTY",2008,"157","11.6","36665",1353.44827586207,0,0,17.5
"88","CAMPBELL COUNTY",2009,"162","12","39048",1350,0,0,17.5
"89","CAMPBELL COUNTY",2010,"175.00","12.00","38767.00",1458.33333333333,0,0,17.5
"90","CAMPBELL COUNTY",2011,"156.00","11.00","40855.00",1418.18181818182,0,0,17.5
"91","CHARLES MIX COUNTY",2003,"1922","21.4","28296.00",8981.30841121495,4,0.0445369406867846,12.3
"92","CHARLES MIX COUNTY",2004,"2039.00","22.40","29082.00",9102.67857142857,1,0.0109857773418342,12.3
"93","CHARLES MIX COUNTY",2005,"2708.00","30.20","29778.00",8966.88741721854,0,0,12.3
"94","CHARLES MIX COUNTY",2006,"2208","24.5","31361",9012.24489795918,3,0.0332880434782609,12.3
"95","CHARLES MIX COUNTY",2007,"2093","23.9","32550",8757.32217573222,0,0,12.3
"96","CHARLES MIX COUNTY",2008,"1988","22.8","31548",8719.29824561403,1,0.0114688128772636,12.3
"97","CHARLES MIX COUNTY",2009,"2137","24.3","33135",8794.23868312757,5,0.0568554047730463,12.3
"98","CHARLES MIX COUNTY",2010,"2246.00","25.70","35122.00",8739.29961089494,3,0.0343276936776492,12.3
"99","CHARLES MIX COUNTY",2011,"2149.00","24.50","37448.00",8771.42857142857,1,0.011400651465798,12.3
"100","CLARK COUNTY",2003,"496","12.6","31111.00",3936.50793650794,0,0,19.7
"101","CLARK COUNTY",2004,"490.00","12.90","32220.00",3798.4496124031,3,0.0789795918367347,19.7
"102","CLARK COUNTY",2005,"504.00","13.60","34365.00",3705.88235294118,0,0,19.7
"103","CLARK COUNTY",2006,"502","13.8","36624",3637.68115942029,5,0.137450199203187,19.7
"104","CLARK COUNTY",2007,"494","14.4","36697",3430.55555555556,1,0.0291497975708502,19.7
"105","CLARK COUNTY",2008,"437","12.9","40536",3387.59689922481,0,0,19.7
"106","CLARK COUNTY",2009,"428","12.7","40806",3370.07874015748,0,0,19.7
"107","CLARK COUNTY",2010,"507.00","14.60","42413.00",3472.60273972603,1,0.0287968441814596,19.7
"108","CLARK COUNTY",2011,"486.00","14.20","43496.00",3422.53521126761,0,0,19.7
"109","CLAY COUNTY",2003,"1940","17.8","30328.00",10898.8764044944,8,0.0734020618556701,16.4
"110","CLAY COUNTY",2004,"2147.00","19.80","31222.00",10843.4343434343,0,0,16.4
"111","CLAY COUNTY",2005,"2311.00","21.60","29174.00",10699.0740740741,1,0.00934660320207702,16.4
"112","CLAY COUNTY",2006,"2102","19.7","33188",10670.0507614213,1,0.00937202664129401,16.4
"113","CLAY COUNTY",2007,"2190","19.6","36538",11173.4693877551,1,0.00894977168949772,16.4
"114","CLAY COUNTY",2008,"2323","20.7","39784",11222.2222222222,2,0.0178217821782178,16.4
"115","CLAY COUNTY",2009,"2573","23.1","38421",11138.5281385281,2,0.0179556937427128,16.4
"116","CLAY COUNTY",2010,"2314.00","19.70","40492.00",11746.192893401,0,0,16.4
"117","CLAY COUNTY",2011,"2803.00","23.50","39870.00",11927.6595744681,1,0.008383874420264,16.4
"118","CODINGTON COUNTY",2003,"2691","10.3","39673.00",26126.213592233,3,0.0114827201783724,14.1
"119","CODINGTON COUNTY",2004,"2691.00","10.30","40536.00",26126.213592233,4,0.0153102935711631,14.1
"120","CODINGTON COUNTY",2005,"2614.00","10.30","39360.00",25378.640776699,9,0.0354628921193573,14.1
"121","CODINGTON COUNTY",2006,"3032","11.6","41976",26137.9310344828,4,0.0153034300791557,14.1
"122","CODINGTON COUNTY",2007,"3177","12.1","43084",26256.1983471074,7,0.0266603714195782,14.1
"123","CODINGTON COUNTY",2008,"2686","10.3","45020",26077.6699029126,3,0.0115040953090097,14.1
"124","CODINGTON COUNTY",2009,"2952","11.4","44548",25894.7368421053,2,0.00772357723577236,14.1
"125","CODINGTON COUNTY",2010,"2994.00","11.10","44999.00",26972.972972973,4,0.0148296593186373,14.1
"126","CODINGTON COUNTY",2011,"3312.00","12.20","47282.00",27147.5409836066,3,0.0110507246376812,14.1
"127","CORSON COUNTY",2003,"1209","27.6","22752.00",4380.4347826087,6,0.13697270471464,20.6
"128","CORSON COUNTY",2004,"1416.00","32.40","23136.00",4370.37037037037,10,0.228813559322034,20.6
"129","CORSON COUNTY",2005,"1807.00","41.90","23436.00",4312.6491646778,4,0.0927504150525733,20.6
"130","CORSON COUNTY",2006,"1475","34.8","24967",4238.50574712644,3,0.0707796610169491,20.6
"131","CORSON COUNTY",2007,"1505","36.1","25204",4168.97506925208,3,0.0719601328903654,20.6
"132","CORSON COUNTY",2008,"1428","34.9","27591",4091.69054441261,1,0.0244397759103641,20.6
"133","CORSON COUNTY",2009,"1578","39","26426",4046.15384615385,2,0.0494296577946768,20.6
"134","CORSON COUNTY",2010,"1665.00","40.90","27233.00",4070.90464547677,1,0.0245645645645646,20.6
"135","CORSON COUNTY",2011,"1523.00","38.00","28770.00",4007.89473684211,2,0.0499015101772817,20.6
"136","CUSTER COUNTY",2003,"757","9.9","39794.00",7646.46464646465,1,0.0130779392338177,25.1
"137","CUSTER COUNTY",2004,"785.00","10.20","41412.00",7696.07843137255,2,0.0259872611464968,25.1
"138","CUSTER COUNTY",2005,"778.00","10.30","40376.00",7553.39805825243,7,0.0926735218508997,25.1
"139","CUSTER COUNTY",2006,"823","10.8","42930",7620.37037037037,2,0.0262454434993925,25.1
"140","CUSTER COUNTY",2007,"758","10","48539",7580,4,0.0527704485488127,25.1
"141","CUSTER COUNTY",2008,"776","10.3","42952",7533.98058252427,1,0.0132731958762887,25.1
"142","CUSTER COUNTY",2009,"830","10.9","46441",7614.67889908257,0,0,25.1
"143","CUSTER COUNTY",2010,"897.00","11.20","46565.00",8008.92857142857,1,0.0124860646599777,25.1
"144","CUSTER COUNTY",2011,"884.00","10.90","49649.00",8110.09174311927,0,0,25.1
"145","DAVISON COUNTY",2003,"1997","10.8","37598.00",18490.7407407407,8,0.043264897346019,13.2
"146","DAVISON COUNTY",2004,"2129.00","11.60","37846.00",18353.4482758621,3,0.0163457022076092,13.2
"147","DAVISON COUNTY",2005,"2062.00","11.50","39604.00",17930.4347826087,1,0.00557710960232784,13.2
"148","DAVISON COUNTY",2006,"2250","12.3","40495",18292.6829268293,4,0.0218666666666667,13.2
"149","DAVISON COUNTY",2007,"2166","11.8","42373",18355.9322033898,0,0,13.2
"150","DAVISON COUNTY",2008,"2186","12","43691",18216.6666666667,2,0.0109789569990851,13.2
"151","DAVISON COUNTY",2009,"2384","13.1","41441",18198.4732824427,2,0.010989932885906,13.2
"152","DAVISON COUNTY",2010,"2788.00","14.80","40972.00",18837.8378378378,2,0.0106169296987088,13.2
"153","DAVISON COUNTY",2011,"2458.00","13.00","47100.00",18907.6923076923,1,0.00528885272579333,13.2
"154","DAY COUNTY",2003,"752","13.1","32086.00",5740.45801526718,6,0.104521276595745,15.1
"155","DAY COUNTY",2004,"770.00","13.60","33035.00",5661.76470588235,2,0.0353246753246753,15.1
"156","DAY COUNTY",2005,"781.00","14.00","32911.00",5578.57142857143,1,0.0179257362355954,15.1
"157","DAY COUNTY",2006,"802","14.3","33112",5608.39160839161,1,0.0178304239401496,15.1
"158","DAY COUNTY",2007,"710","12.9","35848",5503.87596899225,3,0.0545070422535211,15.1
"159","DAY COUNTY",2008,"722","13.5","38189",5348.14814814815,2,0.0373961218836565,15.1
"160","DAY COUNTY",2009,"848","15.9","36702",5333.33333333333,0,0,15.1
"161","DAY COUNTY",2010,"949.00","17.00","37186.00",5582.35294117647,3,0.053740779768177,15.1
